"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.898804167E-2,-3.051853638E0,3.394940186E0,8.198301544E0
3.905404161E-2,-2.882705383E0,3.388204193E0,8.786428528E0
5.912104168E-2,-2.814147949E0,3.190914459E0,9.142238617E0
7.918704161E-2,-2.814746704E0,3.121309204E0,9.174571381E0
9.925304167E-2,-2.918031921E0,3.004552002E0,8.990154877E0
1.193190416E-1,-2.987786865E0,2.934048615E0,8.874744873E0
1.393850417E-1,-2.804717560E0,2.905308380E0,8.844507751E0
1.594510416E-1,-2.658920746E0,2.843786316E0,8.886270905E0
1.795180417E-1,-2.686762848E0,2.847678223E0,8.860374756E0
1.995840416E-1,-2.696941681E0,2.901266785E0,8.844807129E0
2.196500417E-1,-2.554887085E0,2.944676514E0,9.029223633E0
2.397160416E-1,-2.428250427E0,2.797532501E0,9.040749664E0
2.597820417E-1,-2.462678833E0,2.841391296E0,9.032816162E0
2.798490416E-1,-2.085912323E0,2.878813477E0,9.348210297E0
2.999150417E-1,-1.922452240E0,2.920726318E0,9.425299988E0
3.199810416E-1,-1.999990997E0,2.911295929E0,9.369017029E0
3.400470417E-1,-1.974543915E0,2.902314606E0,9.312883759E0
3.601130416E-1,-2.072440338E0,2.878663788E0,9.434580688E0
3.801800417E-1,-2.048190765E0,2.827919312E0,9.595645752E0
4.002460416E-1,-1.781595154E0,2.609373779E0,9.484726410E0
4.203120416E-1,-1.675765228E0,2.537972260E0,9.410331116E0
4.403780416E-1,-1.735491028E0,2.836601257E0,9.687704315E0
4.604442916E-1,-1.352587280E0,2.801424408E0,9.807155914E0
4.805112917E-1,-1.163530426E0,2.562521210E0,9.845775604E0
5.005772916E-1,-1.580413513E0,2.830763397E0,9.802665253E0
5.206432916E-1,-1.571881256E0,2.583777008E0,9.625583496E0
5.407092916E-1,-1.374441833E0,2.081271973E0,8.938961334E0
5.607752916E-1,-2.100132751E0,2.537223816E0,8.838969269E0
5.808412916E-1,-1.966909790E0,2.622845764E0,8.841364288E0
6.009082916E-1,-1.875449982E0,2.874322815E0,8.806786194E0
6.209742916E-1,-1.701811066E0,3.000061340E0,8.605005798E0
6.410402916E-1,-1.827848969E0,2.987337799E0,8.744964752E0
6.611062916E-1,-1.801952820E0,2.901865540E0,9.011111298E0
6.811722916E-1,-1.839524689E0,2.767295380E0,9.284742279E0
7.012392916E-1,-1.933229828E0,2.748733978E0,9.377998352E0
7.213052916E-1,-2.052831116E0,2.653082886E0,9.318422241E0
7.413712917E-1,-2.156116333E0,2.714006195E0,9.266480255E0
7.614372916E-1,-1.935026093E0,2.634371796E0,9.125922546E0
7.815042916E-1,-2.014061737E0,2.818339233E0,9.077124023E0
