"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.135096073E-2,5.233482992E1,4.867883423E0,1.874473975E0,NaN,NaN,1.360657411E1,3.000000000E1
4.217696190E-2,5.233480666E1,4.867840511E0,2.008339334E0,NaN,NaN,1.978791956E1,3.000000000E1
4.217696190E-2,5.233480666E1,4.867840511E0,2.008339334E0,NaN,NaN,1.978791956E1,3.000000000E1
2.183608890E0,5.233504307E1,4.868588811E0,1.337350082E1,7.900000215E-1,7.664062500E1,1.579111451E1,2.400000000E1
3.223091960E0,5.233492635E1,4.868456712E0,1.532009125E0,7.900000215E-1,7.664062500E1,1.818581671E1,4.000000000E0
4.221957088E0,5.233504458E1,4.868438020E0,7.481346130E-1,7.900000215E-1,2.489062500E2,2.108655304E1,3.000000000E0
5.221043944E0,5.233491734E1,4.868315142E0,1.450038910E0,0.000000000E0,2.489062500E2,1.612643692E1,3.000000000E0
6.222494960E0,5.233492857E1,4.868336599E0,1.196437836E0,0.000000000E0,2.489062500E2,1.845926001E1,3.000000000E0
7.223235965E0,5.233481005E1,4.868163848E0,1.678123474E-1,1.539999962E0,1.923046875E2,1.662218776E1,3.000000000E0
8.287824988E0,5.233489991E1,4.868192263E0,8.473777771E-1,2.399999946E-1,1.923046875E2,1.402549470E1,3.000000000E0
9.437610984E0,5.233490971E1,4.868235765E0,4.247703552E-1,5.000000000E-1,1.205859375E2,1.556794473E1,3.000000000E0
1.043887007E1,5.233487845E1,4.868244734E0,1.527976990E-1,1.039999962E0,1.311328125E2,1.532274524E1,3.000000000E0
1.143793190E1,5.233486902E1,4.868257223E0,6.747055054E-2,1.279999971E0,8.964843750E1,1.532428078E1,3.000000000E0
1.244223392E1,5.233486944E1,4.868284129E0,-1.391944885E-1,1.279999971E0,8.085937500E1,1.488496164E1,3.000000000E0
1.343864191E1,5.233486789E1,4.868313968E0,-3.402442932E-1,1.710000038E0,8.578125000E1,1.458925654E1,3.000000000E0
1.443919432E1,5.233486902E1,4.868339000E0,-3.402439961E-1,1.710000038E0,8.578126982E1,1.458925654E1,3.000000000E0
1.544062531E1,5.233487073E1,4.868385960E0,-9.048787598E-2,2.500000000E0,8.296877886E1,1.426776723E1,3.000000000E0
1.643677855E1,5.233487072E1,4.868426302E0,2.688274905E-2,2.559999943E0,8.437502947E1,1.424595459E1,1.208809331E1
1.743728352E1,5.233487215E1,4.868464796E0,-3.519000858E-2,2.539999962E0,8.296877929E1,1.424595459E1,1.208809331E1
1.844054818E1,5.233487305E1,4.868502823E0,-8.722871756E-1,2.539999962E0,8.472659197E1,1.424595459E1,1.208809331E1
1.943757558E1,5.233487432E1,4.868528735E0,-8.519016271E-1,2.009999990E0,8.472658567E1,1.424595459E1,1.208809331E1
2.043898392E1,5.233487498E1,4.868554328E0,-9.208103158E-1,2.009999990E0,8.437502326E1,4.748651530E0,4.029364438E0
2.144246340E1,5.233487463E1,4.868564938E0,-1.059909564E0,1.549999952E0,8.296876793E1,4.748651530E0,4.029364438E0
2.245854294E1,5.233487508E1,4.868570537E0,-1.376315907E0,1.090000033E0,8.015626267E1,4.748651530E0,4.029364438E0
2.343917465E1,5.233487280E1,4.868563772E0,-1.185947345E0,3.199999928E-1,8.121094110E1,4.748651530E0,4.029364438E0
2.444160271E1,5.233487078E1,4.868558971E0,-1.117282800E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.543896556E1,5.233486956E1,4.868557379E0,-1.043003013E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.643951905E1,5.233486956E1,4.868557379E0,-1.043003013E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
