"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.783304164E-2,-3.937812805E0,-1.469345856E1,-3.723056030E1
6.789904158E-2,-4.032264709E0,-1.485722351E1,-3.743705750E1
8.796504163E-2,-4.656265259E0,-1.477271080E1,-3.747198486E1
1.080310417E-1,-4.371215820E0,-1.486634445E1,-3.730786133E1
1.280980416E-1,-4.385009766E0,-1.461875725E1,-3.739984131E1
1.481640417E-1,-5.031471252E0,-1.484388924E1,-3.740539551E1
1.682300416E-1,-5.255928040E0,-1.454913902E1,-3.735188293E1
1.882960417E-1,-5.417526245E0,-1.458517075E1,-3.749653625E1
2.083620416E-1,-5.713058472E0,-1.410295677E1,-3.756854248E1
2.284290417E-1,-5.749435425E0,-1.414891148E1,-3.734510803E1
2.484950416E-1,-6.078590393E0,-1.406139088E1,-3.721661377E1
2.685610417E-1,-6.378601074E0,-1.406102180E1,-3.730632019E1
2.886270416E-1,-6.727668762E0,-1.380154800E1,-3.745306396E1
3.086930417E-1,-6.897834778E0,-1.399112892E1,-3.742436218E1
3.287600416E-1,-7.337730408E0,-1.349825859E1,-3.767022705E1
3.488260417E-1,-7.534683228E0,-1.359675026E1,-3.732899475E1
3.688920416E-1,-7.729484558E0,-1.352361870E1,-3.767184448E1
3.889580417E-1,-8.008796692E0,-1.311929703E1,-3.773327637E1
4.090240416E-1,-8.247550964E0,-1.294481850E1,-3.794058228E1
4.290910417E-1,-8.649871826E0,-1.262552452E1,-3.744296265E1
4.491572917E-1,-8.649047852E0,-1.257074928E1,-3.726780701E1
4.692232916E-1,-8.677742004E0,-1.232974052E1,-3.731924438E1
4.892892917E-1,-8.135429382E0,-1.224546242E1,-3.744987488E1
5.093552916E-1,-7.857284546E0,-1.207333565E1,-3.717187500E1
5.294212917E-1,-7.526817322E0,-1.232486343E1,-3.740060425E1
5.494882916E-1,-6.890174866E0,-1.271104240E1,-3.765211487E1
5.695542917E-1,-6.729934692E0,-1.264855576E1,-3.775747681E1
