"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.819037499E-2,-3.555705872E0,5.351521454E0,5.413193207E0
5.804437501E-2,-3.637435913E0,5.431754608E0,4.994214478E0
7.789937500E-2,-3.297642517E0,5.536985779E0,5.757028198E0
9.775337501E-2,-2.006128235E0,5.350174255E0,6.493646393E0
1.176073750E-1,-1.185983734E0,4.900808716E0,6.867568817E0
1.374613750E-1,-1.388961639E0,4.571343842E0,6.465355225E0
1.573153750E-1,-1.433568878E0,4.324656830E0,5.594615936E0
1.771693750E-1,-3.018473053E0,4.225712585E0,6.346951447E0
1.970243750E-1,-4.238885193E0,4.824617157E0,8.433761902E0
2.168783750E-1,-1.149609375E0,4.947810974E0,9.373956757E0
2.367323750E-1,-2.752775574E-1,3.256777496E0,8.613837433E0
2.565863750E-1,-2.919828186E0,2.197729797E0,9.089548187E0
2.764403750E-1,-3.767365723E0,2.469414825E0,9.458081818E0
2.962943750E-1,-1.844015350E0,3.243604889E0,8.109536133E0
3.161483750E-1,-8.292755127E-1,3.207380219E0,5.430706787E0
3.360033750E-1,-8.361611938E-1,3.304827576E0,5.722300415E0
3.558573750E-1,1.113384705E0,4.805457001E0,7.741451569E0
3.757113750E-1,1.430275726E0,5.567522278E0,8.338410187E0
3.955653750E-1,-3.951782227E-2,3.845503235E0,9.084907837E0
4.154193750E-1,3.960763550E-1,1.197809143E0,1.127126129E1
4.352733750E-1,4.111949158E-1,1.294807434E-1,1.005968079E1
4.551283750E-1,1.384171600E0,3.891906738E-2,8.605305176E0
4.749823750E-1,2.875370636E0,5.093907166E-1,9.078171844E0
4.948363750E-1,1.714534607E0,5.650749207E-1,9.905202026E0
5.146905417E-1,1.370849304E0,-8.173004150E-2,1.113549362E1
5.345445417E-1,8.940907288E-1,-1.346749420E0,1.226788879E1
5.543985417E-1,-2.671943665E-1,-1.023870850E0,1.288969574E1
5.742535417E-1,7.047344971E-1,-1.097667389E0,1.242087067E1
5.941075417E-1,1.585203552E-1,-1.238674164E0,1.046413971E1
6.139615417E-1,-3.367996216E-1,-8.562194824E-1,9.991273041E0
6.338155417E-1,-5.703140259E-2,-9.571096802E-1,1.187286026E1
