"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.950337500E-2,-3.532247543E-1,-6.892499328E-2,-5.943779945E-1
4.935737498E-2,-6.290006042E-1,-5.197144747E-1,-3.794151545E-1
6.921137500E-2,-6.640274525E-1,-1.099171042E0,-2.537542880E-1
8.906637499E-2,-5.279250145E-1,-1.416997433E0,-2.330618054E-1
1.089203750E-1,-3.794925213E-1,-1.259049535E0,-3.268133402E-1
1.287743750E-1,-4.101139009E-1,-9.852123260E-1,-4.907071888E-1
1.486283750E-1,-7.881127596E-1,-6.795921326E-1,-5.839173198E-1
1.684823750E-1,-1.354060054E0,-7.520543933E-1,-6.218478084E-1
1.883363750E-1,-1.224187374E0,-1.431291819E0,-4.092023373E-1
2.081913750E-1,-5.825192332E-1,-1.912018776E0,-6.807535291E-1
2.280453750E-1,7.465284318E-2,-2.262842178E0,-1.289227605E0
2.478993750E-1,5.562021136E-1,-2.231753588E0,-1.155751228E0
2.677533750E-1,6.771207452E-1,-1.405108571E0,-4.472282827E-1
2.876073750E-1,3.520081341E-1,-1.184387803E0,4.406061769E-2
3.074613750E-1,-7.051270008E-1,-7.983253598E-1,8.293157816E-2
3.273163750E-1,-1.773425817E0,-8.533065915E-1,-4.615621269E-2
3.471703750E-1,-1.681167960E0,-1.695703864E0,-7.454126328E-2
3.670243750E-1,-1.568161845E0,-1.976194859E0,-3.036807179E-1
3.868783750E-1,-2.134696484E0,-1.793417931E0,-6.566871405E-1
4.067323750E-1,-2.186859846E0,-1.480468988E0,-7.510981560E-1
4.265863750E-1,-1.965503573E0,-6.967949271E-1,-7.083279490E-1
4.464413750E-1,-1.925093412E0,4.065383375E-1,-8.529925346E-1
4.662953750E-1,-1.835976124E0,-5.312349200E-1,-1.166430473E0
4.861493750E-1,-1.794525385E0,-1.366691589E0,-1.624463677E0
5.060033750E-1,-1.700765371E0,-1.593144536E0,-1.975161433E0
5.258575417E-1,-1.239188194E0,-1.742842793E0,-2.312379599E0
5.457115417E-1,-3.191977143E-1,-1.713148594E0,-2.149526119E0
5.655655417E-1,5.197830200E-1,-9.339447618E-1,-1.825006604E0
5.854205417E-1,6.710727811E-1,-2.714254558E-1,-1.899946809E0
6.052745417E-1,4.344114363E-1,-1.043526292E0,-1.949929357E0
6.251285417E-1,3.301208019E-1,-2.166478157E0,-1.859196663E0
6.449825417E-1,4.762824178E-1,-2.006962061E0,-1.606813312E0
6.648365417E-1,7.006238699E-1,-1.124054074E0,-1.397211909E0
6.846905417E-1,6.374857426E-1,-6.238188148E-1,-1.253163815E0
7.045455417E-1,3.906471729E-1,-1.589559674E0,-8.831213117E-1
7.243995417E-1,-4.928898215E-1,-2.228377581E0,-3.493485972E-2
7.442535417E-1,-1.237161756E0,-1.563643336E0,3.906319141E-1
7.641075417E-1,-1.438735723E0,-1.204166174E0,2.475844473E-1
7.839615417E-1,-1.105865598E0,-1.778921008E0,3.033644855E-1
8.038165417E-1,-7.840578556E-1,-1.326207280E0,4.648941755E-2
8.236705417E-1,-2.678814232E-1,-6.853512526E-1,1.498135477E-1
8.435245417E-1,2.724782526E-1,-2.488145381E-1,2.692924142E-1
8.633785417E-1,6.749353409E-1,6.208692119E-2,2.305544615E-1
8.832325417E-1,6.521230340E-1,-6.986771822E-1,3.139248788E-1
9.030865417E-1,1.116215214E-1,-1.058254480E0,7.052814364E-1
9.229415417E-1,-5.426370502E-1,-4.713700116E-1,9.805604219E-1
9.427955417E-1,-8.362928629E-1,3.539991677E-1,9.239836931E-1
9.626495417E-1,-6.101917028E-1,-1.572995186E0,8.595201969E-1
9.825035417E-1,3.667166224E-3,-2.657252312E0,9.394803643E-1
1.002357542E0,6.107030511E-1,-1.811966538E0,1.527741998E-1
1.022211542E0,1.076612115E0,-1.069124341E0,1.995460838E-1
1.042066542E0,8.109186292E-1,-1.112394929E0,2.852679193E-1
1.061920542E0,4.644624293E-1,-5.519720912E-1,-5.578049272E-2
1.081774542E0,3.254921734E-2,-1.259334981E-1,-1.682827771E-1
1.101628542E0,-4.049481750E-1,1.368168354E0,-1.230210438E-1
1.121482542E0,-2.130520493E-1,1.099158525E0,1.787972748E-1
1.141337542E0,-1.547006816E-1,4.302917123E-1,3.936346993E-2
1.161191542E0,-1.367127597E-1,8.655721694E-2,-1.056025028E-1
1.181045542E0,-3.945444226E-1,1.822709441E-1,-5.066899061E-1
1.200899542E0,-2.960282862E-1,1.960057765E-1,-7.797115445E-1
1.220753542E0,-5.126949549E-1,5.673385412E-2,-8.751690984E-1
1.240607542E0,-7.484810352E-1,-8.617084622E-1,-1.113829017E0
1.260462542E0,-1.260381222E0,-2.525886536E0,-1.384708166E0
1.280316542E0,-7.673356533E-1,2.755693197E-1,-6.488411427E-1
1.300170542E0,-2.959915102E-1,4.991741180E-1,-3.894235790E-1
1.320024542E0,-1.447991282E-1,2.933526039E-1,-1.175884530E-1
1.339878542E0,-2.545889914E-1,-3.949007988E-1,4.993781075E-2
1.359732542E0,-1.551280320E-1,-3.063638806E-1,-8.661150932E-2
1.379587542E0,-1.394727975E-1,1.654825360E-1,-7.095637918E-2
1.399441542E0,9.270680696E-2,7.204779983E-1,8.981707692E-2
1.419295542E0,1.694287956E-1,3.779456317E-1,1.421224773E-1
1.439149542E0,3.292535543E-1,5.559445024E-1,2.186144590E-1
1.459003542E0,5.599977970E-1,5.018575788E-1,4.279218614E-1
1.478858542E0,1.884356737E-1,7.063630819E-1,4.048390687E-1
1.498712542E0,-3.034533560E-1,1.366168737E0,-8.297602087E-2
1.518566875E0,-1.833482385E-1,8.204392195E-1,8.033412509E-3
1.538420875E0,1.239607558E-1,-9.209643006E-1,-1.413699538E-1
1.558274875E0,2.570673823E-2,-3.487478793E-1,-9.902048856E-2
1.578129875E0,3.386263037E-3,3.875252232E-2,8.388399146E-4
1.597983875E0,-5.336431786E-3,-3.405313939E-3,-2.837977372E-4
1.617837875E0,3.436886240E-3,-2.002462186E-2,4.940254614E-3
1.637691875E0,-3.689665813E-3,2.728438750E-2,-1.465965528E-3
1.657545875E0,2.165825106E-3,-1.268852595E-2,5.415086634E-4
1.677399875E0,-2.479297109E-4,-9.234156460E-5,5.636201240E-4
1.697254875E0,-7.170296740E-4,7.751987316E-3,1.427145209E-3
1.717108875E0,-1.106769778E-4,-1.149274409E-2,9.162244387E-4
1.736962875E0,-8.831769228E-4,1.132873818E-3,8.343318477E-4
1.756816875E0,-1.615466550E-3,-2.215879969E-3,1.588124316E-3
1.776670875E0,6.435965188E-4,3.788891248E-3,-1.362380572E-3
1.796525875E0,1.498384285E-3,-6.631828845E-3,-7.571890019E-4
1.816379875E0,7.798823062E-4,1.293183584E-2,4.640412517E-4
1.836233875E0,1.504728105E-3,-5.768626928E-3,4.878464621E-3
1.856087875E0,2.820830792E-3,1.198492944E-3,-1.490209717E-3
1.875941875E0,-5.472691264E-4,3.942880780E-3,9.700185619E-4
1.895795875E0,8.231601678E-4,-4.188260064E-3,-6.209420972E-4
1.915650875E0,3.282056190E-3,1.274608076E-4,-3.530462272E-4
1.935504875E0,-2.176191658E-3,-3.605559468E-4,4.216833040E-4
1.955358875E0,-1.555375522E-3,8.194291033E-3,-2.848956967E-3
1.975212875E0,-2.052367199E-4,-6.480698474E-3,7.898746990E-4
1.995066875E0,-2.451683395E-4,1.633508876E-2,-3.701142734E-3
2.014921875E0,-2.787059639E-4,-2.556552179E-3,5.813357420E-4
2.034775875E0,2.454130212E-3,1.131335273E-3,1.140863635E-3
2.054629875E0,-1.282617450E-3,6.297184154E-3,-3.584912047E-4
2.074483875E0,-8.390198927E-4,-1.229757443E-2,-2.105683088E-4
2.094337875E0,7.116904017E-4,2.543226816E-3,1.662838738E-3
2.114192875E0,-5.446554162E-3,-4.246838391E-3,8.246023208E-4
2.134046875E0,-4.725672770E-4,4.406767897E-3,3.692186438E-4
2.153900875E0,2.049494535E-3,-2.123707905E-3,2.608017530E-3
2.173754875E0,5.008012522E-4,1.185461041E-2,-1.430948731E-3
2.193608875E0,-4.272707738E-4,-3.352873027E-3,2.775258385E-3
2.213462875E0,1.799274120E-3,3.064954653E-4,5.828104913E-4
2.233317875E0,3.214729717E-3,4.622797482E-3,3.517433070E-4
2.253171875E0,2.235103399E-3,-1.247049496E-2,1.119517721E-3
2.273025875E0,2.114821924E-3,-3.429101780E-4,2.565720584E-3
2.292879875E0,-2.273765858E-3,3.381667659E-3,-8.255057037E-5
2.312733875E0,3.573244670E-3,1.279452816E-3,-1.892975532E-3
2.332588875E0,-4.731663503E-4,-3.769460134E-3,4.295590334E-4
2.352442875E0,1.010141103E-3,1.529487036E-2,-3.005406586E-3
2.372296875E0,-8.843773976E-4,2.248287201E-4,1.033026259E-3
2.392150875E0,3.301488003E-3,2.815760672E-3,-2.182982862E-4
2.412004875E0,1.565694343E-3,6.850508042E-3,-1.317523420E-4
2.431859875E0,6.449217908E-4,-8.796513081E-3,1.191124320E-4
2.451713875E0,3.125256626E-3,-2.238918096E-3,2.009041142E-3
2.471567875E0,-5.319756456E-4,-6.798481569E-3,2.921687439E-3
2.491421875E0,3.044368001E-3,7.088546641E-3,-5.761310458E-4
2.511275875E0,-2.848212607E-4,-8.952366188E-3,-1.401056536E-3
2.531130625E0,-1.260199351E-3,1.362307649E-2,-2.613449702E-3
2.550984625E0,-2.249407116E-4,-1.598116942E-3,3.123499919E-3
2.570838625E0,3.357600886E-3,4.400712438E-3,-9.580692276E-4
2.590692625E0,-3.472740296E-3,-7.283016108E-3,-3.892998677E-3
2.610546625E0,-6.977061275E-4,-2.071691304E-2,1.488658600E-4
2.630401625E0,7.941501681E-4,1.048201788E-2,-1.069806982E-3
2.650255625E0,3.756637219E-3,-1.341941301E-2,2.559144050E-4
2.670109625E0,-3.661372932E-3,-6.279791705E-3,5.327768158E-3
2.689963625E0,5.221500993E-3,-1.561396196E-2,-1.471564174E-3
2.709817625E0,-1.271673664E-2,-7.185636554E-3,1.227675937E-3
2.729672625E0,-3.697110806E-3,-9.312530980E-3,5.731345620E-3
2.749526625E0,-1.332323300E-3,1.245529111E-2,-1.069039572E-3
2.769380625E0,7.287140470E-4,3.039779142E-3,-1.486536115E-3
2.789234625E0,7.660668343E-4,-1.179687679E-2,-2.185615944E-3
2.809088625E0,3.029802581E-3,4.533277825E-4,-1.675493550E-3
2.828943625E0,-2.946496941E-3,1.061049290E-3,3.293543123E-4
2.848797625E0,2.501114272E-3,-5.895663053E-4,-6.366996095E-4
2.868651625E0,1.369688311E-3,2.754870802E-4,1.154383179E-3
2.888505625E0,-1.482240856E-3,1.586815715E-2,-2.489211038E-3
2.908359625E0,3.376780078E-3,-4.066565074E-3,1.988494769E-4
2.928214625E0,6.522261538E-5,1.207495853E-2,-4.700049758E-4
2.948068625E0,5.328231491E-4,9.919199161E-3,-4.443299025E-3
2.967922625E0,-9.794030339E-4,-5.136021413E-3,-7.349792868E-4
2.987776625E0,2.101716818E-3,1.498918049E-3,-1.913525630E-3
3.007630625E0,-1.630665269E-3,-5.029044114E-3,6.774454378E-4
3.027485625E0,7.555463817E-4,1.332315803E-2,3.931154497E-4
3.047339625E0,6.474226248E-4,-9.591281414E-3,-6.253584288E-3
3.067193625E0,-1.381889917E-3,5.121571012E-3,-3.565252293E-3
3.087047625E0,-4.471272696E-3,9.046527557E-3,-1.063049212E-2
3.106901625E0,2.317374572E-3,1.290629338E-2,-3.530374961E-3
3.126756625E0,1.643043826E-3,-8.371588774E-3,3.377506509E-4
3.146610625E0,4.471861757E-4,-8.501539007E-3,-1.332607120E-3
3.166464625E0,-1.186267240E-3,1.327209547E-2,-1.894766930E-3
3.186318625E0,3.030117368E-3,-1.546965446E-2,2.567945048E-4
3.206172625E0,1.491910894E-3,4.200431518E-3,-9.129568934E-5
3.226027625E0,-1.596075483E-3,2.496875823E-3,-5.316394381E-4
3.245881625E0,-4.073814489E-5,1.233212743E-2,-1.984803472E-3
3.265735625E0,2.412299393E-3,-3.266540356E-3,-8.239313029E-4
3.285589625E0,1.486664056E-3,8.130758069E-3,-8.647879586E-4
3.305443625E0,1.933535095E-4,-6.058331579E-3,1.856007613E-3
3.325298625E0,1.011053799E-3,-1.105368417E-2,-3.153667785E-4
3.345152625E0,2.403674414E-3,2.447353676E-3,1.872271299E-3
3.365006625E0,-1.040223613E-2,7.573057897E-3,7.476342842E-3
3.384860625E0,7.396502420E-3,-7.881288417E-3,-1.454846468E-3
3.404715625E0,-7.655933499E-3,-5.330027081E-3,-3.660093062E-4
3.424569625E0,1.933955587E-3,1.753794588E-2,-1.618330833E-3
3.444423625E0,-4.520243965E-5,-5.549089983E-4,-2.298523672E-3
3.464277625E0,1.049224054E-3,6.210086867E-3,-2.516380511E-3
3.484131625E0,-1.808365341E-3,1.436878927E-3,-4.197894596E-4
3.503986625E0,4.601564258E-3,-6.438261829E-3,3.882006276E-3
3.523840625E0,1.258614007E-3,3.115042113E-3,-7.845112123E-4
3.543694625E0,-1.225232612E-3,-8.845908567E-3,4.705018364E-4
3.563548625E0,-2.548377961E-5,1.665516756E-3,-7.089227438E-5
3.583402625E0,5.859949626E-3,-7.721317001E-3,-3.918484785E-3
3.603257625E0,-1.711264951E-3,7.454696111E-3,-2.233112929E-3
3.623111625E0,2.845475916E-3,2.835398540E-3,-2.439805772E-3
3.642965625E0,-4.576507024E-3,6.258070469E-3,-3.536875360E-3
3.662819625E0,-1.997732557E-3,1.983140595E-3,5.212337710E-4
3.682673625E0,-5.928156897E-4,1.810370013E-4,5.862177350E-4
3.702528625E0,1.253220253E-3,-5.342243239E-3,-2.129906788E-4
3.722382625E0,-1.819134224E-3,-1.116840541E-2,7.558558136E-4
3.742236625E0,4.749632441E-3,-6.846328266E-3,4.627928138E-5
3.762090625E0,-3.244191408E-3,1.012095250E-3,1.159590669E-3
3.781944625E0,-1.040026546E-4,3.221461549E-3,3.750628326E-3
3.801799625E0,-8.781598881E-4,3.082547337E-4,1.260148361E-3
3.821653625E0,2.343459055E-4,6.987857632E-3,9.772987105E-4
3.841507625E0,5.262284540E-4,-3.279427066E-3,-8.467002772E-4
3.861361625E0,2.148088766E-3,1.420182176E-3,-1.551080961E-3
3.881216625E0,3.655975219E-3,-1.761425287E-3,2.025785390E-3
3.901070625E0,-1.352498075E-3,-5.007784814E-3,8.289511316E-4
3.920924625E0,2.521996619E-3,3.902780823E-3,-3.830746748E-3
3.940778625E0,-3.060291056E-4,-3.378787078E-3,1.812086906E-3
3.960632625E0,1.590924920E-3,1.893519424E-3,-1.174786594E-3
3.980487625E0,6.057075225E-4,-2.056645788E-2,2.312822267E-3
4.000341625E0,-1.636757050E-3,2.521796897E-2,-9.129210375E-4
4.020195625E0,-8.282908238E-4,-5.315189064E-2,4.318627063E-3
4.040049625E0,1.414122526E-4,2.805467322E-2,-2.245116979E-3
4.059904625E0,1.266507898E-4,-5.653497763E-3,-7.094144821E-4
4.079758625E0,-1.301754732E-3,-1.593994722E-2,1.869733445E-3
4.099612625E0,-1.152945682E-3,-1.214954909E-2,5.413275212E-4
4.119466625E0,3.003096208E-4,-7.139657158E-3,2.154276706E-3
4.139320625E0,6.399804261E-4,1.032596733E-2,-1.139937434E-3
4.159175625E0,-1.355477143E-3,1.526925713E-2,-4.031821154E-4
4.179029625E0,-6.828466430E-4,-1.629136503E-3,-4.179622047E-4
4.198883625E0,-3.621580545E-4,-1.645836048E-2,1.086628065E-3
4.218737625E0,-5.326952320E-3,-4.234313965E-4,1.691416837E-3
4.238591625E0,-2.571394667E-3,3.705128655E-2,-7.230313029E-3
4.258446625E0,-3.845016472E-3,-3.135445714E-2,2.399140038E-3
4.278300625E0,-6.632530130E-4,-5.099316128E-3,-3.645708784E-5
4.298154625E0,-5.754469428E-3,-1.877830736E-2,4.714231938E-3
4.318008625E0,-5.690083839E-3,5.018329248E-4,5.191449542E-3
4.337863625E0,-5.740268156E-3,4.827919975E-2,-9.282703511E-3
4.357717625E0,-6.599704269E-3,-2.757905796E-2,1.051924378E-2
4.377571625E0,-8.444627747E-4,1.534496155E-2,-2.063267399E-3
4.397425625E0,-9.142421186E-5,-9.373562410E-3,3.807372414E-4
4.417280625E0,2.880594926E-3,-1.215032581E-2,-4.823871888E-3
4.437134625E0,1.260614954E-5,2.182051726E-2,-1.092527062E-3
4.456988625E0,-8.989782073E-4,-2.149797417E-2,-5.190107040E-4
4.476842625E0,-1.525234431E-3,-1.856894791E-2,-3.517614212E-3
4.496696625E0,-3.671945073E-3,3.290657327E-2,2.190891653E-3
