"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.370903969E-2,5.201348013E1,5.170884865E0,4.694774134E0,NaN,NaN,2.398735961E1,3.000000000E1
6.553399563E-2,5.201364527E1,5.171721212E0,4.964899845E-1,NaN,NaN,5.281802675E2,3.002578942E1
8.682410717E-1,5.201361704E1,5.170773394E0,4.651633934E0,NaN,NaN,3.194191125E1,3.000000000E1
1.692885041E0,5.201346712E1,5.170883406E0,7.179775238E0,1.080000043E0,3.589453125E2,3.073540297E1,2.400000000E1
2.745782971E0,5.201339994E1,5.170892794E0,2.141506195E0,0.000000000E0,NaN,1.400000000E1,4.000000000E0
3.746050000E0,5.201339487E1,5.170849375E0,3.225734711E0,1.899999976E-1,NaN,3.668416119E0,3.000000000E0
4.745762944E0,5.201340300E1,5.170836886E0,4.357082367E0,0.000000000E0,NaN,3.535533906E0,3.000000000E0
5.744130969E0,5.201341381E1,5.170842251E0,4.326869965E0,6.100000143E-1,4.640625000E1,3.535533906E0,3.000000000E0
6.725040555E0,5.201341842E1,5.170840994E0,4.248867035E0,6.100000143E-1,4.605468750E1,3.535533906E0,3.000000000E0
7.725205541E0,5.201342194E1,5.170866977E0,4.424037933E0,6.100000143E-1,4.640625000E1,3.535533906E0,3.000000000E0
8.725369215E0,5.201343121E1,5.170882400E0,4.506862640E0,1.379999995E0,6.679687500E1,3.535533906E0,3.000000000E0
9.725541711E0,5.201343598E1,5.170891620E0,4.732936859E0,1.379999995E0,7.699218750E1,3.535533906E0,3.000000000E0
1.072569990E1,5.201343598E1,5.170909893E0,4.279384613E0,1.450000048E0,7.699218750E1,3.535533906E0,3.000000000E0
1.172584331E1,5.201343217E1,5.170903103E0,4.871425629E0,1.450000048E0,7.699218750E1,3.535533906E0,3.000000000E0
1.272595596E1,5.201343682E1,5.170872174E0,4.737697601E0,1.450000048E0,7.699218750E1,3.535533906E0,3.000000000E0
1.372611892E1,5.201343975E1,5.170892752E0,4.737697834E0,1.450000048E0,7.699220372E1,4.748651530E0,4.029364438E0
1.472623503E1,5.201346852E1,5.170797968E0,4.196560427E0,2.410000086E0,3.044531022E2,4.748651530E0,4.029364438E0
1.572635210E1,5.201349862E1,5.170716265E0,4.307096109E0,4.329999924E0,3.002343321E2,4.748651530E0,4.029364438E0
1.672645748E1,5.201351186E1,5.170660868E0,3.673734291E0,4.329999924E0,2.942577672E2,4.748651530E0,4.029364438E0
1.772655010E1,5.201349980E1,5.170613907E0,2.662442428E0,3.759999990E0,2.710546443E2,4.748651530E0,4.029364438E0
1.872664392E1,5.201344297E1,5.170563537E0,2.547391159E0,3.759999990E0,2.348437147E2,4.748651530E0,4.029364438E0
1.972672665E1,5.201338471E1,5.170495937E0,2.570769045E0,5.679999828E0,2.207812074E2,4.748651530E0,4.029364438E0
2.072679996E1,5.201335498E1,5.170420823E0,2.266325683E0,5.679999828E0,2.264062028E2,4.748651530E0,4.029364438E0
2.172686768E1,5.201332707E1,5.170365013E0,1.914213788E0,5.590000153E0,2.250817719E2,4.748651530E0,4.029364438E0
2.272693110E1,5.201329853E1,5.170321242E0,1.976224986E0,4.960000038E0,2.250817719E2,4.748651530E0,4.029364438E0
2.372698951E1,5.201327129E1,5.170261711E0,1.658231892E0,5.050000191E0,2.284653168E2,4.748651530E0,4.029364438E0
2.472704458E1,5.201324513E1,5.170199184E0,1.224210897E0,5.050000191E0,2.293375854E2,4.748651530E0,4.029364438E0
2.572709584E1,5.201321710E1,5.170141096E0,1.157987729E0,5.019999981E0,2.293375854E2,4.748651530E0,4.029364438E0
2.672714233E1,5.201318598E1,5.170085584E0,8.957196465E-1,5.000000000E0,2.293375854E2,4.748651530E0,4.029364438E0
2.772718620E1,5.201315251E1,5.170034447E0,9.706707941E-1,4.969999790E0,2.293375854E2,4.748651530E0,4.029364438E0
2.872722733E1,5.201312062E1,5.169982480E0,1.066801165E0,4.969999790E0,2.293375854E2,4.748651530E0,4.029364438E0
2.972726452E1,5.201309276E1,5.169933072E0,7.397747058E-1,4.849999905E0,2.293375854E2,4.748651530E0,4.029364438E0
3.072729957E1,5.201306895E1,5.169888839E0,8.644693382E-1,4.590000153E0,2.284456940E2,4.748651530E0,4.029364438E0
3.172733188E1,5.201305112E1,5.169836759E0,2.207312910E-1,4.219999790E0,2.284456940E2,4.748651530E0,4.029364438E0
3.272736073E1,5.201302632E1,5.169798102E0,4.892859785E-1,4.219999790E0,2.284456940E2,4.748651530E0,4.029364438E0
3.372738874E1,5.201300085E1,5.169798204E0,2.044319961E0,3.311446777E0,2.250995636E2,2.389079560E0,3.000000000E0
3.472741365E1,5.201297909E1,5.169744578E0,1.955695829E0,3.675737256E0,2.250995636E2,2.733447767E0,3.000000000E0
3.572743678E1,5.201296155E1,5.169721832E0,2.243522944E0,3.803070764E0,1.844520371E2,5.963922983E0,3.000000000E0
3.672745800E1,5.201295225E1,5.169730108E0,2.138424265E0,4.562613827E0,1.546809152E2,1.056770318E1,3.000000000E0
3.772747791E1,5.201282993E1,5.169930034E0,2.329333761E0,5.989995944E0,1.378974762E2,2.636669851E0,3.000000000E0
3.872749448E1,5.201278291E1,5.169998882E0,2.324023582E0,6.569769557E0,1.378974762E2,2.861183117E0,3.000000000E0
3.972751117E1,5.201273539E1,5.170068476E0,2.413085002E0,7.077345424E0,1.378974762E2,2.626779718E0,3.000000000E0
4.072752512E1,5.201268488E1,5.170142452E0,2.447137605E0,7.286155197E0,1.378974762E2,2.557022641E0,3.000000000E0
4.172753954E1,5.201263556E1,5.170215339E0,2.343509127E0,7.195576388E0,1.377047119E2,2.564960494E0,3.000000000E0
4.272755110E1,5.201259347E1,5.170275806E0,2.274011450E0,6.586919505E0,1.387904205E2,2.483423140E0,3.000000000E0
4.372756147E1,5.201255319E1,5.170332973E0,2.608980466E0,6.129272537E0,1.387904205E2,2.539082397E0,3.000000000E0
4.472757149E1,5.201251478E1,5.170387489E0,2.842123369E0,5.909004573E0,1.387904205E2,2.460009587E0,3.000000000E0
4.572757983E1,5.201247192E1,5.170448315E0,3.052568167E0,6.207606752E0,1.387904205E2,2.392941643E0,3.000000000E0
4.672758722E1,5.201242599E1,5.170515453E0,2.883465705E0,6.571186055E0,1.382570038E2,2.370547558E0,3.000000000E0
4.772759378E1,5.201238449E1,5.170575470E0,3.155108876E0,6.179055442E0,1.382570038E2,2.325895353E0,3.000000000E0
4.872759914E1,5.201234773E1,5.170629109E0,2.985375476E0,5.647012061E0,1.376086426E2,2.328541234E0,3.000000000E0
4.972760391E1,5.201230479E1,5.170692624E0,3.120746305E0,6.331437877E0,1.376086426E2,2.480606848E0,3.000000000E0
5.072760797E1,5.201225521E1,5.170765972E0,3.250606732E0,7.017767942E0,1.376086426E2,2.525517819E0,3.000000000E0
5.172761154E1,5.201220918E1,5.170834072E0,3.445914779E0,6.929517339E0,1.376086426E2,2.441980724E0,3.000000000E0
5.272761488E1,5.201216059E1,5.170905960E0,3.160612657E0,6.970758790E0,1.376086426E2,2.349555826E0,3.000000000E0
5.372761607E1,5.201211752E1,5.170971943E0,3.001933570E0,6.741600319E0,1.369851837E2,2.295165865E0,3.000000000E0
5.472761822E1,5.201207386E1,5.171037950E0,3.007239629E0,6.712986884E0,1.369851837E2,2.459127683E0,3.000000000E0
5.572761881E1,5.201203428E1,5.171097808E0,2.993364247E0,6.271630571E0,1.369851837E2,2.417355768E0,3.000000000E0
5.672761977E1,5.201199466E1,5.171157713E0,3.120922714E0,5.992266884E0,1.369851837E2,2.486659857E0,3.000000000E0
5.772761965E1,5.201196100E1,5.171208605E0,3.029535464E0,5.424943655E0,1.369851837E2,2.534633762E0,3.000000000E0
5.872761846E1,5.201192632E1,5.171261045E0,2.936279839E0,5.369633480E0,1.369851837E2,2.458257516E0,3.000000000E0
5.972761726E1,5.201188805E1,5.171330922E0,3.021217905E0,5.693135831E0,1.380761261E2,2.419095427E0,3.000000000E0
6.072761667E1,5.201184918E1,5.171391256E0,2.803493994E0,5.754737941E0,1.403703918E2,2.358601432E0,3.000000000E0
6.172761440E1,5.201181428E1,5.171443893E0,2.849031291E0,5.455552097E0,1.419328156E2,2.353934223E0,3.000000000E0
6.272761166E1,5.201176785E1,5.171469089E0,2.438000689E0,5.166486390E0,1.446385040E2,2.321837774E0,3.000000000E0
6.372760975E1,5.201173550E1,5.171518429E0,3.215966710E0,5.239515953E0,1.446385040E2,2.370010409E0,3.000000000E0
6.472760653E1,5.201168656E1,5.171556843E0,2.763315736E0,5.854684255E0,1.446385040E2,2.404523711E0,3.000000000E0
6.572760320E1,5.201164448E1,5.171620230E0,2.994074874E0,5.921528356E0,1.389734802E2,2.365564571E0,3.000000000E0
6.672760022E1,5.201159991E1,5.171681147E0,2.378247448E0,6.031549407E0,1.386398926E2,2.323374712E0,3.000000000E0
6.772759700E1,5.201155665E1,5.171718975E0,2.321688672E0,5.837772998E0,1.386398926E2,2.313360338E0,3.000000000E0
6.872759283E1,5.201150015E1,5.171723083E0,2.257208325E0,6.187976888E0,1.854228668E2,2.306651859E0,3.000000000E0
6.972758889E1,5.201145015E1,5.171697173E0,2.079603683E0,6.157506052E0,1.854228668E2,2.281097568E0,3.000000000E0
7.072758484E1,5.201136967E1,5.171701205E0,2.175978642E0,7.521899545E0,1.784983673E2,2.536131922E0,3.000000000E0
7.172758007E1,5.201130049E1,5.171735479E0,1.997267325E0,7.596351939E0,1.639734802E2,2.535075685E0,3.000000000E0
7.272757494E1,5.201124578E1,5.171792838E0,2.103296421E0,7.473045052E0,1.536746811E2,2.666115508E0,3.000000000E0
7.372757030E1,5.201120051E1,5.171868289E0,2.701583124E0,7.360591818E0,1.422668637E2,2.796698062E0,3.000000000E0
7.472756493E1,5.201114047E1,5.171962442E0,3.186615711E0,8.339936634E0,1.374385558E2,2.991559928E0,3.000000000E0
7.572756004E1,5.201108982E1,5.172052469E0,2.737989761E0,8.205698846E0,1.345292517E2,2.683171412E0,3.000000000E0
7.672755456E1,5.201103731E1,5.172114478E0,2.624719567E0,7.626887105E0,1.450933228E2,2.857104153E0,3.000000000E0
7.772754931E1,5.201098514E1,5.172133414E0,3.150546500E0,6.582561779E0,1.626095276E2,2.795762686E0,3.000000000E0
7.872754407E1,5.201092587E1,5.172107306E0,3.271785429E0,6.427895545E0,1.809594269E2,2.620348393E0,3.000000000E0
7.972753823E1,5.201087249E1,5.172092046E0,3.875575499E0,6.655870625E0,1.809594269E2,2.516197921E0,3.000000000E0
8.072753239E1,5.201082436E1,5.171932480E0,3.755593267E0,7.993361213E0,2.289782867E2,2.622185854E0,3.000000000E0
8.172752595E1,5.201076266E1,5.171804920E0,3.552861399E0,9.678513925E0,2.289782867E2,2.477373950E0,3.000000000E0
8.272751999E1,5.201069178E1,5.171669502E0,3.275109448E0,1.103167187E1,2.251249695E2,2.864720063E0,3.000000000E0
8.372751451E1,5.201059402E1,5.171563897E0,2.829705391E0,1.195986444E1,2.200154419E2,2.516058800E0,3.000000000E0
8.472750807E1,5.201050554E1,5.171437015E0,2.847857988E0,1.241377307E1,2.147452545E2,2.458449455E0,3.000000000E0
8.572750139E1,5.201041496E1,5.171339118E0,2.523379510E0,1.218604220E1,2.169655304E2,2.615019325E0,3.000000000E0
8.672749555E1,5.201034294E1,5.171204601E0,2.916472666E0,1.211411512E1,2.237910461E2,2.320364906E0,3.000000000E0
8.772748911E1,5.201027800E1,5.171069034E0,2.543648354E0,1.183622239E1,2.237910461E2,2.211236560E0,3.000000000E0
8.872748184E1,5.201020864E1,5.170969023E0,2.142042417E0,1.091805730E1,2.162318726E2,2.226959422E0,3.000000000E0
8.972747540E1,5.201014986E1,5.170897838E0,2.084295036E0,9.391044534E0,2.151059113E2,2.367932290E0,3.000000000E0
9.072746873E1,5.201010841E1,5.170847248E0,2.084375762E0,7.399665438E0,2.151059113E2,2.353778031E0,3.000000000E0
9.172746253E1,5.201008431E1,5.170825295E0,2.092275410E0,5.048473962E0,2.127765045E2,2.403244590E0,3.000000000E0
