"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.112687495E-2,-3.182980957E0,7.755073242E0,5.118456116E0
5.083387496E-2,-2.779719543E0,7.385940857E0,6.096372528E0
7.068687491E-2,-2.657124481E0,7.510481873E0,5.173990631E0
9.053987497E-2,-2.631078644E0,7.296726379E0,5.370980988E0
1.103928749E-1,-2.448757782E0,7.244634705E0,5.900729370E0
1.302468750E-1,-2.207309875E0,6.912625122E0,6.303990784E0
1.500998749E-1,-2.247127075E0,7.002588043E0,5.870342560E0
1.699528750E-1,-2.235151978E0,7.022047577E0,5.789959717E0
1.898058750E-1,-2.043849792E0,6.920558624E0,6.138884125E0
2.096598749E-1,-2.120490417E0,7.208410034E0,6.647676086E0
2.295128750E-1,-2.087109833E0,6.843768311E0,7.141499176E0
2.493658749E-1,-2.145189056E0,6.623426514E0,7.635621643E0
2.692188750E-1,-1.795815582E0,6.524033203E0,8.002209320E0
2.890728749E-1,-1.466500397E0,6.606362000E0,8.148455200E0
3.089258750E-1,-1.876198425E0,6.866670685E0,8.879834290E0
3.287788749E-1,-1.474433899E0,7.633076935E0,8.258925476E0
3.486318750E-1,-1.791025543E0,6.854545898E0,8.921896820E0
3.684858750E-1,-6.412664795E-1,6.537954254E0,9.398805084E0
3.883388749E-1,-3.263214111E-1,5.822142792E0,8.383915558E0
4.081918750E-1,-2.739303589E-1,5.929768982E0,7.495662689E0
4.280448749E-1,1.519340515E-1,5.539530487E0,7.294780426E0
4.478988750E-1,8.617579651E-1,4.987777863E0,7.839946747E0
4.677518749E-1,1.630708923E0,3.987108765E0,8.052055664E0
4.876048750E-1,1.554367676E0,3.717070312E0,7.432793427E0
5.074578749E-1,9.499246216E-1,4.622088318E0,7.370822296E0
5.273118749E-1,1.519340515E0,3.681444397E0,6.904841309E0
5.471648750E-1,2.312391357E0,2.176174622E0,7.461833038E0
5.670178749E-1,1.415755920E0,5.012626190E0,7.381450195E0
5.868708750E-1,1.705403595E0,6.779252472E0,9.501641235E0
6.067248749E-1,1.755549316E0,6.373296661E0,9.534572754E0
6.265778750E-1,3.118315430E0,5.042114868E0,7.700287170E0
6.464308749E-1,2.240840149E0,5.878276062E0,7.015012207E0
6.662838750E-1,1.058598633E0,7.849676514E0,6.356980591E0
6.861378750E-1,5.219645691E-1,8.750203857E0,6.737040253E0
7.059908749E-1,1.748364258E0,8.835825806E0,3.884871368E0
7.258438750E-1,-2.301913147E0,8.144413605E0,5.647605743E0
7.456968749E-1,-1.392703857E0,5.568420410E0,5.789810028E0
7.655508750E-1,-2.075583801E0,5.938301239E0,8.101153564E0
7.854038749E-1,6.282435608E-1,5.762566681E0,1.051144135E1
8.052568750E-1,1.287472687E0,4.846920776E0,9.874964905E0
8.251098749E-1,3.481759644E-1,5.243146820E0,9.176517334E0
8.449628750E-1,9.854008484E-1,3.613186340E0,7.917335815E0
8.648168750E-1,-8.053253174E-2,4.863536224E0,8.474177856E0
