"Time (s)","X (hPa)"
-5.047833751E-1,1.018471222E3
5.264326249E-1,1.018473511E3
1.625759000E0,1.018487167E3
2.656931000E0,1.018484879E3
3.688154000E0,1.018487167E3
4.719409000E0,1.018488693E3
5.750675000E0,1.018491516E3
5.945131000E0,1.018491516E3
7.009681000E0,1.018490219E3
8.074254000E0,1.018490219E3
9.138824000E0,1.018490448E3
1.020343700E1,1.018491592E3
1.126798100E1,1.018492889E3
1.233249900E1,1.018493347E3
1.339707700E1,1.018493347E3
1.446169800E1,1.018489380E3
1.552629900E1,1.018484955E3
1.659091800E1,1.018478775E3
1.765553000E1,1.018472137E3
1.872013900E1,1.018462982E3
1.978477200E1,1.018453979E3
2.084940000E1,1.018446121E3
2.191404900E1,1.018434372E3
2.297870500E1,1.018419189E3
2.404337500E1,1.018406525E3
2.510798700E1,1.018388977E3
2.617262300E1,1.018373795E3
2.723725900E1,1.018367462E3
2.830188400E1,1.018367386E3
2.936656000E1,1.018367386E3
3.043124400E1,1.018377228E3
3.149590600E1,1.018389740E3
3.256055300E1,1.018402176E3
3.362519500E1,1.018413696E3
3.468983600E1,1.018428040E3
3.575443900E1,1.018434982E3
3.681909500E1,1.018434982E3
3.788368600E1,1.018426819E3
3.894833500E1,1.018416138E3
4.001297600E1,1.018403625E3
4.107759200E1,1.018394241E3
4.214227400E1,1.018394241E3
4.320693000E1,1.018398361E3
4.427158000E1,1.018408890E3
4.533623300E1,1.018421097E3
4.640090700E1,1.018433075E3
4.746552800E1,1.018433380E3
4.853010300E1,1.018433380E3
4.959470900E1,1.018418579E3
5.065933400E1,1.018417740E3
5.172400300E1,1.018417740E3
5.278872400E1,1.018422775E3
5.385346700E1,1.018444519E3
5.491814100E1,1.018472748E3
5.598276800E1,1.018488312E3
5.704743900E1,1.018488312E3
5.811217700E1,1.018488312E3
5.917691000E1,1.018487625E3
6.024164900E1,1.018484879E3
6.130634800E1,1.018484268E3
6.237103300E1,1.018482132E3
6.343570200E1,1.018478241E3
6.450033500E1,1.018462448E3
6.556491600E1,1.018442307E3
6.662954600E1,1.018422775E3
6.769418700E1,1.018405075E3
6.875884300E1,1.018392563E3
6.982350400E1,1.018384247E3
7.088812200E1,1.018366776E3
7.195278000E1,1.018337173E3
7.301746300E1,1.018312759E3
7.408209200E1,1.018289108E3
7.514666300E1,1.018289108E3
7.621123900E1,1.018293304E3
7.727581100E1,1.018329086E3
7.834046100E1,1.018367386E3
7.940513200E1,1.018390579E3
8.046977000E1,1.018405533E3
8.153444700E1,1.018405533E3
8.259910400E1,1.018376923E3
8.366379600E1,1.018326340E3
8.472850800E1,1.018271866E3
8.579320500E1,1.018211060E3
8.685790100E1,1.018166885E3
8.792253900E1,1.018166885E3
8.898717400E1,1.018169937E3
9.005183300E1,1.018200150E3
9.111656000E1,1.018246002E3
9.218123300E1,1.018300552E3
9.324588900E1,1.018363266E3
9.431055900E1,1.018418579E3
9.537522200E1,1.018471832E3
9.643993100E1,1.018519897E3
9.750463400E1,1.018548508E3
9.856928900E1,1.018558197E3
9.963395500E1,1.018558350E3
1.006986330E2,1.018558350E3
1.017633530E2,1.018557587E3
1.028280960E2,1.018556442E3
1.038928480E2,1.018556366E3
1.049575330E2,1.018555832E3
1.060222020E2,1.018554611E3
1.070868920E2,1.018554382E3
1.081516450E2,1.018550110E3
1.092163740E2,1.018550110E3
1.102811230E2,1.018551636E3
1.113459110E2,1.018553314E3
1.124106650E2,1.018553314E3
1.134753990E2,1.018546753E3
1.145401250E2,1.018538361E3
1.156048760E2,1.018514404E3
1.166696050E2,1.018472519E3
1.177343370E2,1.018446350E3
1.187990770E2,1.018403854E3
1.198638480E2,1.018330765E3
1.209286560E2,1.018233948E3
1.219934330E2,1.018155212E3
1.230581520E2,1.018048325E3
1.241228580E2,1.017899094E3
1.251876070E2,1.017748108E3
1.262523420E2,1.017647247E3
1.273170870E2,1.017524338E3
1.283818090E2,1.017395020E3
1.294465100E2,1.017308350E3
1.305112120E2,1.017244186E3
1.315759080E2,1.017177963E3
1.326406300E2,1.017145233E3
1.337054090E2,1.017132721E3
1.347701570E2,1.017131348E3
1.358349890E2,1.017132721E3
1.368998440E2,1.017148361E3
1.379645840E2,1.017163696E3
1.390293210E2,1.017187119E3
1.400940470E2,1.017214279E3
1.411588130E2,1.017258453E3
1.422236280E2,1.017288818E3
1.432884230E2,1.017310638E3
1.443531950E2,1.017312088E3
1.454179690E2,1.017312088E3
1.464827310E2,1.017293167E3
1.475474880E2,1.017273560E3
1.486122570E2,1.017237396E3
1.496770600E2,1.017195587E3
1.507418150E2,1.017158508E3
1.518065590E2,1.017142868E3
1.528712680E2,1.017128296E3
1.539360750E2,1.017123337E3
1.550009040E2,1.017123337E3
1.560657110E2,1.017123337E3
1.571304170E2,1.017111511E3
1.581951690E2,1.017111511E3
1.592598960E2,1.017146912E3
1.603246250E2,1.017182693E3
1.613893930E2,1.017223663E3
1.624541280E2,1.017286072E3
1.635188740E2,1.017375717E3
1.645836510E2,1.017426224E3
1.656484360E2,1.017516174E3
1.667132620E2,1.017624969E3
1.677780920E2,1.017761383E3
1.688429270E2,1.017861633E3
1.699077600E2,1.017975006E3
1.709725680E2,1.018062973E3
1.720373790E2,1.018143082E3
1.731021850E2,1.018209381E3
1.741670410E2,1.018255081E3
1.752319160E2,1.018275223E3
1.762967570E2,1.018275223E3
1.773616090E2,1.018259048E3
1.784264040E2,1.018216934E3
1.794911750E2,1.018159027E3
1.805559510E2,1.018082657E3
1.816207140E2,1.017996902E3
1.826855060E2,1.017899704E3
1.837503530E2,1.017774429E3
1.848152480E2,1.017633362E3
1.858800870E2,1.017498016E3
1.869449540E2,1.017360992E3
1.880098230E2,1.017245026E3
1.890746840E2,1.017163925E3
1.901394780E2,1.017126923E3
1.912042490E2,1.017093811E3
1.922690370E2,1.017066650E3
1.933337890E2,1.017007904E3
1.943985190E2,1.016953201E3
1.954632690E2,1.016867676E3
1.965280550E2,1.016819458E3
1.975928240E2,1.016810913E3
1.986576100E2,1.016810913E3
1.997224200E2,1.016839752E3
2.007872400E2,1.016871338E3
2.018520470E2,1.016881790E3
2.029168420E2,1.016881790E3
2.039816070E2,1.016868362E3
2.050463680E2,1.016846695E3
2.061111550E2,1.016837158E3
2.071759510E2,1.016837158E3
2.082407550E2,1.016862411E3
2.093056030E2,1.016898270E3
2.103704740E2,1.016929779E3
2.114353800E2,1.016965561E3
2.125002350E2,1.017013016E3
2.135651370E2,1.017031250E3
2.146300170E2,1.017046509E3
2.156948780E2,1.017087097E3
2.167597080E2,1.017127686E3
2.178245370E2,1.017145844E3
2.188894360E2,1.017165146E3
2.199543470E2,1.017178040E3
2.210193370E2,1.017179031E3
2.220842710E2,1.017183533E3
2.231491690E2,1.017208939E3
2.242140460E2,1.017235336E3
2.252789420E2,1.017271729E3
2.263437670E2,1.017282410E3
2.274086030E2,1.017282410E3
2.284735110E2,1.017247467E3
2.295384220E2,1.017210388E3
2.306033250E2,1.017177200E3
2.316682380E2,1.017158279E3
2.327331260E2,1.017152786E3
2.337980020E2,1.017136993E3
2.348629280E2,1.017116089E3
2.359278390E2,1.017097244E3
2.369927670E2,1.017074814E3
2.380576820E2,1.017034302E3
2.391225680E2,1.016997223E3
2.401874940E2,1.016991959E3
2.412523630E2,1.016983566E3
2.423172170E2,1.016983566E3
2.433820950E2,1.017014923E3
2.444470120E2,1.017093353E3
2.455119250E2,1.017187119E3
2.465768380E2,1.017281876E3
2.476417330E2,1.017402191E3
2.487066810E2,1.017548752E3
2.497715660E2,1.017707062E3
2.508364740E2,1.017849808E3
2.519014170E2,1.017990265E3
2.529664030E2,1.018099289E3
2.540312950E2,1.018151474E3
2.550961750E2,1.018151474E3
2.561610840E2,1.018140717E3
2.572259240E2,1.018104324E3
2.582907880E2,1.018104324E3
2.593556770E2,1.018105621E3
2.604205590E2,1.018265991E3
2.614855330E2,1.018417130E3
2.625504690E2,1.018479843E3
2.636154430E2,1.018537521E3
2.646804350E2,1.018537521E3
2.657453090E2,1.018495178E3
2.668102050E2,1.018428955E3
2.678751270E2,1.018428955E3
2.689400970E2,1.018437271E3
2.700050790E2,1.018437271E3
2.710700430E2,1.018423691E3
2.721349910E2,1.018400955E3
2.731999160E2,1.018375244E3
2.742648360E2,1.018349380E3
2.753298110E2,1.018325729E3
2.763947160E2,1.018305588E3
2.774596320E2,1.018282623E3
2.785246010E2,1.018265991E3
2.795896140E2,1.018261566E3
2.806546570E2,1.018259811E3
2.817197080E2,1.018253098E3
2.827846910E2,1.018249359E3
2.838496670E2,1.018239212E3
2.849146420E2,1.018213959E3
2.859796670E2,1.018189392E3
2.870446760E2,1.018179245E3
2.881096760E2,1.018169403E3
2.891746740E2,1.018166656E3
2.902396190E2,1.018162155E3
2.913045900E2,1.018162003E3
2.923694930E2,1.018162003E3
2.934344060E2,1.018162231E3
2.944993630E2,1.018164139E3
2.955643780E2,1.018176270E3
2.966293340E2,1.018192444E3
2.976942850E2,1.018192444E3
2.987592060E2,1.018170242E3
2.998241410E2,1.018115921E3
3.008890770E2,1.018054352E3
3.019540590E2,1.017983475E3
3.030190190E2,1.017907028E3
3.040839360E2,1.017855225E3
3.051488500E2,1.017855225E3
3.062137320E2,1.017867050E3
3.072786540E2,1.017888107E3
3.083435640E2,1.017937775E3
3.094085080E2,1.017972107E3
3.104734870E2,1.017980347E3
3.115384570E2,1.017980347E3
3.126034310E2,1.017966614E3
3.136683800E2,1.017948456E3
3.147333350E2,1.017929535E3
3.157982590E2,1.017916946E3
3.168632510E2,1.017908936E3
3.179282770E2,1.017903290E3
3.189932980E2,1.017891922E3
3.200583320E2,1.017876282E3
3.211233410E2,1.017845764E3
3.221883110E2,1.017810669E3
3.232533220E2,1.017775421E3
3.243183300E2,1.017750778E3
3.253832800E2,1.017727661E3
3.264482390E2,1.017726669E3
3.275132300E2,1.017726669E3
3.285782090E2,1.017742844E3
3.296431950E2,1.017750397E3
3.307081660E2,1.017787247E3
3.317732370E2,1.017822266E3
3.328382880E2,1.017850037E3
3.339032960E2,1.017865982E3
3.349683500E2,1.017865982E3
