"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.594387497E-2,-2.991917729E-1,-4.191038609E-1,-6.105232984E-2
5.579687492E-2,-3.130727410E-1,-4.039451480E-1,2.695216984E-2
7.564987498E-2,-5.473107696E-1,-4.581115246E-1,6.967430562E-2
9.550387494E-2,-6.563280225E-1,-6.478668451E-1,5.919228867E-2
1.153568750E-1,-6.294849515E-1,-5.951462388E-1,-4.086648673E-2
1.352098749E-1,-6.303224564E-1,-6.018463373E-1,-2.191503905E-2
1.550628750E-1,-8.562508225E-1,-7.353716493E-1,8.725900948E-2
1.749158750E-1,-1.084222913E0,-7.849942446E-1,8.956898749E-2
1.947698749E-1,-1.150123835E0,-5.706661940E-1,4.706481844E-2
2.146228750E-1,-1.232734561E0,-5.891003013E-1,7.531623542E-2
2.344758749E-1,-1.405616641E0,-8.370541334E-1,1.391985267E-1
2.543288750E-1,-1.406661510E0,-1.308042049E0,1.687245965E-1
2.741828749E-1,-1.202176332E0,-1.509145975E0,2.848224342E-2
2.940358750E-1,-9.382088184E-1,-1.404973745E0,-5.924919248E-2
3.138888750E-1,-6.254318357E-1,-9.962173700E-1,1.931462586E-1
3.337418750E-1,-6.520924568E-1,-1.186056376E0,5.278284550E-1
3.535958750E-1,-5.762634277E-1,-1.268628001E0,8.576432467E-1
3.734488749E-1,-2.755425572E-1,-9.568781257E-1,8.437370062E-1
3.933018750E-1,-8.473128080E-2,-7.099681497E-1,9.629724026E-1
4.131548749E-1,1.872867718E-2,-3.910035193E-1,1.244457483E0
4.330088750E-1,2.082468122E-1,8.189714700E-2,1.511178970E0
4.528618749E-1,6.461622119E-1,6.283258200E-1,1.405621767E0
4.727148750E-1,1.077196121E0,7.232234478E-1,1.222048759E0
4.925678750E-1,1.292098165E0,4.082559645E-1,1.165715098E0
5.124218749E-1,1.364089608E0,1.215426251E-1,1.016592145E0
5.322748750E-1,5.139504001E-2,-1.968229175E0,-5.058316588E-1
5.521278749E-1,-4.889669120E-1,-7.061026096E-1,-7.820827961E-1
5.719808750E-1,6.094164215E-3,-6.748989820E-1,-6.040780544E-1
5.918348749E-1,8.041859269E-1,-4.455676973E-1,-6.027958393E-1
6.116878750E-1,1.659709454E0,-4.128243923E-1,-5.452584028E-1
6.315408750E-1,1.840172648E0,-5.099779963E-1,-8.814140558E-1
6.513938750E-1,1.100006461E0,-7.639237642E-1,-7.190821171E-1
6.712478750E-1,6.942431927E-1,-3.491408527E-1,-3.120884001E-1
6.911008749E-1,-5.347271562E-1,1.159081578E0,8.226931095E-2
7.109538750E-1,-1.815249205E0,3.699793577E0,-3.250760734E-1
