"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.594387497E-2,-2.940333787E-1,7.626406431E-2,7.831310409E-1
5.579687492E-2,-2.464779738E-1,-3.265260637E-2,-1.281037241E-1
7.564987498E-2,-5.935245484E-2,1.373984581E-1,-7.906973380E-1
9.550387494E-2,-2.925793223E-1,-1.365149438E-1,-5.796625543E-1
1.153568750E-1,1.027063429E-2,-5.113214672E-2,-3.544231296E-2
1.352098749E-1,5.315089792E-2,-2.336974221E-1,-9.841097832E-2
1.550628750E-1,-1.230014437E-1,-9.954241455E-2,-6.620293576E-1
1.749158750E-1,-7.511991039E-2,7.495253384E-2,-7.627663583E-1
1.947698749E-1,-2.118399453E-1,2.276426303E-1,-5.110139036E-1
2.146228750E-1,-1.793639249E-1,4.741945714E-1,-1.139289039E-1
2.344758749E-1,-3.411381094E-1,3.093200469E-1,6.248919368E-2
2.543288750E-1,-4.842036889E-1,3.099427754E-1,4.097658563E-1
2.741828749E-1,-3.690161718E-1,4.100044227E-1,4.849546176E-1
2.940358750E-1,-2.303618049E-1,7.088684785E-1,3.091148096E-1
3.138888750E-1,-1.568791295E0,1.579670332E0,1.972261747E0
3.337418750E-1,-8.038431944E-1,1.608739765E0,9.211528122E-2
3.535958750E-1,-1.015826981E0,1.284887048E0,1.380244026E0
3.734488749E-1,-2.453443266E-1,7.548246700E-1,1.032415386E0
3.933018750E-1,-4.219852944E-1,2.947289050E-1,-1.341368812E-1
4.131548749E-1,-4.166418530E-1,3.789826047E-1,-7.903921133E-1
4.330088750E-1,-1.504567890E-1,-1.149071431E-1,-7.284677607E-1
4.528618749E-1,6.290022370E-1,-8.874909765E-1,-7.837607861E-3
4.727148750E-1,1.054251520E0,-1.961681795E0,-5.949775815E-2
4.925678750E-1,6.522495970E-1,-1.932282579E0,-5.917241907E-1
5.124218749E-1,3.627429134E-1,-1.176430553E0,-5.066846251E-1
5.322748750E-1,7.026033331E-1,-3.882529559E0,-1.361038846E-1
5.521278749E-1,1.497761658E0,-2.705707827E0,-1.144730458E0
5.719808750E-1,6.796160281E-2,-3.944841582E-1,8.153211325E-1
5.918348749E-1,9.466669916E-1,8.706281912E-1,2.231069452E0
6.116878750E-1,1.010064843E0,-4.460554308E-1,1.666697366E0
6.315408750E-1,2.038413636E0,-1.703502665E0,3.313348138E-1
6.513938750E-1,8.840319099E-1,-3.648077846E-1,-2.628241575E-1
6.712478750E-1,-1.804014402E-1,1.599619278E0,-3.764554381E-1
6.911008749E-1,-5.448178998E-1,9.262486607E-1,-1.396502209E-1
