"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.442800045E-2,5.201339120E1,5.170869173E0,4.703193195E0,NaN,NaN,2.497142544E1,3.000000000E1
2.918459097E0,5.201341578E1,5.170908635E0,4.090053558E0,0.000000000E0,1.430859375E2,5.288886505E0,3.000000000E0
3.917186180E0,5.201339127E1,5.170865385E0,3.493495941E0,0.000000000E0,1.430859375E2,1.400000000E1,3.000000000E0
4.917059103E0,5.201336151E1,5.170945181E0,3.480068207E0,1.700000018E-1,1.430859375E2,7.331575090E0,3.000000000E0
5.919412056E0,5.201340007E1,5.170887765E0,3.004238129E0,1.700000018E-1,1.430859375E2,1.400000000E1,3.000000000E0
6.916796127E0,5.201339961E1,5.170905283E0,3.737697601E0,6.800000072E-1,5.027343750E1,1.118267312E1,3.000000000E0
7.921088139E0,5.201343858E1,5.171046266E0,3.740749359E0,1.009999990E0,NaN,3.821724402E1,3.000000000E0
9.572606007E0,5.201346968E1,5.170769999E0,3.608547211E0,3.400000036E-1,1.335937500E1,1.400000000E1,3.000000000E0
1.057307998E1,5.201347177E1,5.170772932E0,3.389186859E0,3.000000119E-1,1.125000000E1,1.400000000E1,3.000000000E0
1.157202212E1,5.201345388E1,5.170818949E0,3.501857758E0,3.400000036E-1,4.113281250E1,1.400000000E1,3.000000000E0
1.257117263E1,5.201345388E1,5.170818949E0,3.501857825E0,3.400000036E-1,NaN,9.926410965E0,3.000000000E0
1.357277290E1,5.201345388E1,5.170818949E0,3.501857825E0,0.000000000E0,NaN,1.018924901E1,3.000000000E0
1.457210747E1,5.201341163E1,5.170828756E0,3.495266029E0,7.500000000E-1,NaN,9.951565097E0,3.000000000E0
1.557226364E1,5.201341163E1,5.170828756E0,3.495266029E0,0.000000000E0,NaN,1.019793099E1,3.000000000E0
1.657373265E1,5.201344307E1,5.170913413E0,3.533351965E0,7.500000000E-1,NaN,9.820008665E0,3.000000000E0
1.757252351E1,5.201340575E1,5.170982009E0,3.696682443E0,2.259999990E0,1.328906440E2,9.542989303E0,3.000000000E0
1.857326357E1,5.201338155E1,5.170999745E0,3.722561432E0,2.480000019E0,1.487109523E2,1.006137490E1,3.000000000E0
1.957170192E1,5.201337004E1,5.170999944E0,3.953335274E0,2.259999990E0,1.585546970E2,1.065531113E1,3.000000000E0
2.057354418E1,5.201337400E1,5.170998322E0,3.750087805E0,1.960000038E0,NaN,1.207231866E1,3.000000000E0
2.157247178E1,5.201333688E1,5.171024698E0,3.777614960E0,1.960000038E0,1.525781354E2,1.301460519E1,3.000000000E0
2.257293526E1,5.201329637E1,5.171048668E0,3.810818500E0,3.019999981E0,1.522265787E2,1.307873751E1,3.000000000E0
2.357237057E1,5.201326477E1,5.171105981E0,3.869107527E0,3.859999895E0,1.420312772E2,1.230514575E1,3.000000000E0
2.457271473E1,5.201319190E1,5.171236338E0,3.905118270E0,3.859999895E0,1.374609675E2,9.982451102E0,3.000000000E0
2.557251624E1,5.201317934E1,5.171280758E0,4.267361919E0,3.859999895E0,1.237500368E2,8.711420048E0,3.000000000E0
2.657224015E1,5.201310032E1,5.171370756E0,4.684478121E0,6.300000191E0,1.342969267E2,8.977528745E0,3.000000000E0
2.757228915E1,5.201306867E1,5.171469581E0,4.856354208E0,7.320000172E0,1.262110053E2,8.752584156E0,4.000000000E0
2.857357148E1,5.201299055E1,5.171484559E0,4.499908059E0,6.539999962E0,1.380288086E2,8.605843258E0,4.000000000E0
2.957147042E1,5.201295367E1,5.171538317E0,4.604644364E0,6.539999962E0,1.380288086E2,9.102187911E0,4.000000000E0
3.057302240E1,5.201292573E1,5.171579050E0,4.798552729E0,6.190000057E0,1.380288086E2,9.525107445E0,4.000000000E0
3.157143394E1,5.201288947E1,5.171631899E0,4.955168620E0,5.869999886E0,1.380288086E2,1.047159715E1,4.000000000E0
3.257512788E1,5.201279763E1,5.171751656E0,4.232727268E0,6.409520813E0,1.376434784E2,8.625889792E0,3.000000000E0
3.357333497E1,5.201275523E1,5.171814726E0,3.907783974E0,5.818354489E0,1.376434784E2,6.595550217E0,3.000000000E0
3.457275931E1,5.201272576E1,5.171854909E0,3.928630223E0,5.066608657E0,1.376434784E2,6.092348017E0,3.000000000E0
3.557310275E1,5.201270040E1,5.171902279E0,3.804138282E0,5.037200542E0,1.374878540E2,6.314947573E0,3.000000000E0
3.657191102E1,5.201266638E1,5.171954033E0,3.604737014E0,4.901318567E0,1.374878540E2,7.417383143E0,3.000000000E0
3.757146637E1,5.201265463E1,5.171984325E0,3.606868774E0,4.463831330E0,1.374878540E2,9.051407136E0,3.000000000E0
3.857291822E1,5.201262389E1,5.172030123E0,3.909296526E0,4.434609830E0,1.374878540E2,1.186673958E1,3.000000000E0
3.957252173E1,5.201259290E1,5.172070951E0,4.095270163E0,4.554253776E0,1.374878540E2,1.352251860E1,3.000000000E0
4.057278673E1,5.201255086E1,5.172146353E0,4.025122329E0,5.259175554E0,1.374878540E2,1.465671499E1,3.000000000E0
4.157248966E1,5.201248317E1,5.172227438E0,4.040256880E0,5.912273371E0,1.374878540E2,1.099031209E1,3.000000000E0
4.257362370E1,5.201243251E1,5.172286816E0,3.989709968E0,5.975555314E0,1.377534943E2,9.962707368E0,3.000000000E0
4.357307593E1,5.201241467E1,5.172326846E0,3.587084007E0,5.685464127E0,1.377534943E2,8.816569089E0,3.000000000E0
4.457365338E1,5.201237689E1,5.172381952E0,3.395016493E0,5.616334185E0,1.377534943E2,1.092492795E1,3.000000000E0
4.557326917E1,5.201232919E1,5.172438184E0,2.947830237E0,5.629479458E0,1.377534943E2,1.085759881E1,3.000000000E0
4.657306592E1,5.201228425E1,5.172495547E0,2.963305167E0,5.832670021E0,1.377534943E2,1.154519088E1,3.000000000E0
4.757267562E1,5.201227165E1,5.172532492E0,2.905455858E0,5.582517817E0,1.377534943E2,1.234191354E1,3.000000000E0
4.857279960E1,5.201224413E1,5.172544748E0,3.151973264E0,5.294333489E0,1.377534943E2,1.292719643E1,3.000000000E0
4.957291404E1,5.201221879E1,5.172586139E0,3.066107795E0,5.100909801E0,1.377534943E2,1.246987450E1,3.000000000E0
5.057240430E1,5.201222614E1,5.172575317E0,3.133220744E0,4.316522590E0,1.377534943E2,1.177670747E1,3.000000000E0
5.157309691E1,5.201221050E1,5.172311906E0,3.929682515E0,4.239118061E0,1.791021862E2,1.232661848E1,3.000000000E0
5.257251338E1,5.201214643E1,5.172171400E0,2.651286157E0,4.204304934E0,2.269916534E2,8.716852285E0,3.000000000E0
5.357198111E1,5.201211867E1,5.172120586E0,1.921917414E0,3.801812129E0,2.269916534E2,1.048898030E1,3.000000000E0
5.457223741E1,5.201209329E1,5.172089080E0,1.858897531E0,3.810927743E0,2.269916534E2,8.942908709E0,3.000000000E0
5.557244186E1,5.201206892E1,5.172057799E0,1.741247890E0,3.863783148E0,2.273248138E2,9.438912492E0,3.000000000E0
5.657164768E1,5.201204410E1,5.172021719E0,2.090255816E0,4.017779001E0,2.273248138E2,9.792853705E0,3.000000000E0
5.757390896E1,5.201202066E1,5.171982104E0,2.155689608E0,4.164866411E0,2.273248138E2,1.124857823E1,3.000000000E0
