"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.594387497E-2,-1.148304749E1,-4.221435547E0,-1.582154846E1
5.579687492E-2,-1.122949219E1,-3.762931824E0,-1.552808762E1
7.564987498E-2,-1.138040161E1,-3.884748459E0,-1.590010071E1
9.550387494E-2,-1.155557251E1,-3.492813110E0,-1.574853516E1
1.153568750E-1,-1.191053772E1,-3.635457993E0,-1.589675522E1
1.352098749E-1,-1.203071594E1,-3.308860779E0,-1.596112823E1
1.550628750E-1,-1.242300415E1,-3.116733551E0,-1.556156158E1
1.749158750E-1,-1.278677368E1,-2.809160233E0,-1.573962784E1
1.947698749E-1,-1.298410034E1,-2.557006836E0,-1.587358856E1
2.146228750E-1,-1.325996399E1,-2.105337143E0,-1.586724091E1
2.344758749E-1,-1.387699890E1,-1.750623703E0,-1.574161530E1
2.543288750E-1,-1.400358582E1,-1.216495514E0,-1.576618576E1
2.741828749E-1,-1.474876404E1,-5.890979767E-1,-1.537797546E1
2.940358750E-1,-1.533056641E1,-6.533260345E-1,-1.511610031E1
3.138888750E-1,-1.582969666E1,-3.071804047E-1,-1.493947220E1
3.337418750E-1,-1.630178833E1,-2.206916809E-1,-1.433258820E1
3.535958750E-1,-1.679583740E1,2.679271698E-1,-1.423323822E1
3.734488749E-1,-1.697442627E1,1.291122437E-1,-1.480278778E1
3.933018750E-1,-1.730061340E1,6.811504364E-1,-1.489290237E1
4.131548749E-1,-1.739012146E1,7.839927673E-1,-1.467533493E1
4.330088750E-1,-1.725309753E1,8.351688385E-1,-1.520778275E1
4.528618749E-1,-1.734323120E1,1.148048401E0,-1.516839600E1
4.727148750E-1,-1.728826904E1,1.256532669E0,-1.594087601E1
4.925678750E-1,-1.648310852E1,1.203277588E0,-1.681597519E1
5.124218749E-1,-1.636532593E1,9.373703003E-1,-1.674843216E1
5.322748750E-1,-1.632325745E1,6.777477264E-1,-1.676013947E1
5.521278749E-1,-1.711502075E1,8.274555206E-1,-1.631009293E1
5.719808750E-1,-1.697195435E1,6.041564941E-1,-1.613275146E1
5.918348749E-1,-1.724545288E1,2.142791748E-1,-1.584754181E1
6.116878750E-1,-1.726519775E1,-2.779579163E-2,-1.572333527E1
6.315408750E-1,-1.726692200E1,-1.052045822E0,-1.561810684E1
6.513938750E-1,-1.732606506E1,-1.521789551E0,-1.494795227E1
6.712478750E-1,-1.707690430E1,-2.285190582E0,-1.436865997E1
6.911008749E-1,-1.700186157E1,-2.330671310E0,-1.444521713E1
7.109538750E-1,-1.621369934E1,-2.084344864E0,-1.510449982E1
7.308068749E-1,-1.521203613E1,-1.597183228E0,-1.620007706E1
7.506608750E-1,-1.427871704E1,-7.269840240E-1,-1.650728989E1
7.705138749E-1,-1.395814514E1,7.193183899E-1,-1.659420395E1
7.903668750E-1,-1.373092651E1,1.999923706E0,-1.649514008E1
8.102198750E-1,-1.390992737E1,2.291938782E0,-1.639450836E1
8.300738749E-1,-1.390400696E1,2.921663284E0,-1.658055115E1
8.499268750E-1,-1.349070740E1,3.046760559E0,-1.642777634E1
8.697798749E-1,-1.314387512E1,3.124891281E0,-1.643109131E1
8.896328750E-1,-1.280744934E1,2.949928284E0,-1.644626617E1
9.094868749E-1,-1.220559692E1,2.932182312E0,-1.671815109E1
9.293398750E-1,-1.153395081E1,2.872034073E0,-1.679661179E1
9.491928749E-1,-1.109693909E1,2.939743042E0,-1.672810364E1
9.690458750E-1,-1.057574463E1,3.084358215E0,-1.722172165E1
9.888998750E-1,-1.076564026E1,2.873897552E0,-1.737848663E1
1.008752875E0,-1.079498291E1,2.766641617E0,-1.687825394E1
1.028605875E0,-1.052471924E1,2.698509216E0,-1.658953094E1
1.048458875E0,-1.041824341E1,2.657152176E0,-1.680282211E1
1.068312875E0,-1.055386353E1,2.557630539E0,-1.684133911E1
1.088165875E0,-1.082437134E1,2.538351059E0,-1.699394989E1
1.108019417E0,-1.152734375E1,2.477403641E0,-1.719760895E1
1.127872417E0,-1.179919434E1,2.560995102E0,-1.701033401E1
1.147726417E0,-1.199336243E1,2.166849136E0,-1.677182770E1
1.167579417E0,-1.214710999E1,2.016609192E0,-1.665101624E1
1.187432417E0,-1.247434998E1,1.785785675E0,-1.669442368E1
1.207285417E0,-1.274032593E1,1.550544739E0,-1.630911636E1
1.227139417E0,-1.334992981E1,1.267887115E0,-1.606910706E1
1.246992417E0,-1.341300964E1,9.504489899E-1,-1.596757507E1
1.266845417E0,-1.429168701E1,5.658016205E-1,-1.548260117E1
1.286698417E0,-1.459062195E1,2.824401855E-2,-1.522250366E1
1.306552417E0,-1.494749451E1,-5.368766785E-1,-1.472464752E1
1.326405417E0,-1.533409119E1,-1.215147018E0,-1.481138611E1
1.346258417E0,-1.542358398E1,-1.453706741E0,-1.356114578E1
1.366112417E0,-1.596551514E1,-1.941699982E0,-1.304158401E1
1.385965417E0,-1.619694519E1,-2.506055832E0,-1.285706711E1
1.405818417E0,-1.694612122E1,-3.329689026E0,-1.205049133E1
1.425671417E0,-1.718862915E1,-3.068794250E0,-1.214365387E1
1.445525417E0,-1.706912231E1,-3.595333099E0,-1.212543488E1
1.465378417E0,-1.688002014E1,-3.528633118E0,-1.174955750E1
1.485231417E0,-1.668383789E1,-3.944158554E0,-1.184550095E1
1.505084417E0,-1.688653564E1,-4.224214554E0,-1.205514145E1
1.524938417E0,-1.642684937E1,-4.510196686E0,-1.204879379E1
1.544791417E0,-1.671821594E1,-4.499160767E0,-1.209072113E1
1.564644417E0,-1.678932190E1,-4.626840591E0,-1.186224365E1
1.584497417E0,-1.688743591E1,-4.594604492E0,-1.174824905E1
1.604351417E0,-1.670516968E1,-4.487886429E0,-1.198413849E1
1.624204417E0,-1.672956848E1,-4.330371857E0,-1.197605515E1
1.644057417E0,-1.681823730E1,-4.376468658E0,-1.155041885E1
1.663910417E0,-1.709901428E1,-4.486999512E0,-1.168846893E1
1.683764417E0,-1.739797974E1,-4.531389236E0,-1.121863174E1
1.703617417E0,-1.769049072E1,-4.297941208E0,-1.077943802E1
1.723470417E0,-1.769537354E1,-4.816040039E0,-1.047084808E1
1.743323417E0,-1.795245361E1,-5.085391998E0,-9.839225769E0
1.763177417E0,-1.782575989E1,-5.584112167E0,-9.543262482E0
1.783030417E0,-1.789451599E1,-5.347787857E0,-9.443908691E0
1.802883417E0,-1.820951843E1,-4.680360794E0,-9.186923981E0
1.822737417E0,-1.852424622E1,-4.713483810E0,-8.844802856E0
1.842590417E0,-1.882868958E1,-4.184741974E0,-8.963088989E0
1.862443417E0,-1.901512146E1,-4.143522263E0,-8.509117126E0
1.882296417E0,-1.937219238E1,-3.607278824E0,-9.105743408E0
1.902150417E0,-1.920021057E1,-3.442193985E0,-8.483547211E0
1.922003417E0,-1.939678955E1,-3.220842361E0,-8.800136566E0
1.941856417E0,-1.948292542E1,-2.997631073E0,-8.025005341E0
1.961709417E0,-1.934556580E1,-2.928779602E0,-8.439071655E0
1.981563417E0,-1.946527100E1,-2.728992462E0,-8.556758881E0
2.001416417E0,-1.912408447E1,-2.931514740E0,-8.575099945E0
2.021269417E0,-1.915713501E1,-3.070928574E0,-8.746326447E0
2.041122417E0,-1.885504150E1,-3.193307877E0,-9.494483948E0
2.060976417E0,-1.871875000E1,-3.082931519E0,-1.002321625E1
2.080829417E0,-1.841572571E1,-3.187023163E0,-1.001134872E1
2.100682417E0,-1.825196838E1,-3.193061829E0,-1.027110672E1
2.120535875E0,-1.790473938E1,-3.248374939E0,-1.083609009E1
2.140388875E0,-1.792268372E1,-3.287631989E0,-1.110945129E1
2.184482250E0,-1.431263733E1,-4.591705322E0,-1.539022064E1
2.204336250E0,-1.430671692E1,-4.486200333E0,-1.527363205E1
2.224189250E0,-1.424050903E1,-4.493999481E0,-1.587661743E1
2.244042250E0,-1.478724670E1,-4.220769882E0,-1.540071869E1
2.263896250E0,-1.532872009E1,-4.005565643E0,-1.550808334E1
2.283749250E0,-1.591181946E1,-3.651233673E0,-1.583628082E1
2.303602250E0,-1.613380432E1,-3.188405991E0,-1.523165512E1
