"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.040199999E-2,-4.312532043E-1,9.689799957E0,1.691183167E0
4.047199999E-2,-7.370672607E-1,9.507030029E0,3.740721130E-1
6.054300000E-2,-5.836363220E-1,9.621242523E0,1.457968140E-1
8.061400001E-2,-1.869612122E-1,1.014156052E1,7.439529419E-1
1.006850000E-1,-4.825964355E-1,9.654772797E0,8.765771484E-1
1.207560000E-1,-3.873944092E-1,9.497000885E0,6.912625122E-1
1.408270000E-1,-3.344046021E-1,9.921518097E0,6.800358582E-1
1.608980000E-1,-4.815486145E-1,9.861642609E0,4.896318054E-1
1.809680000E-1,-4.266128540E-1,9.683662720E0,4.999603271E-1
2.010390000E-1,-3.695814514E-1,9.836644592E0,8.607101440E-1
2.211100000E-1,-3.588038635E-1,9.722432098E0,7.207511902E-1
2.411810000E-1,-3.960763550E-1,9.772877197E0,5.845344543E-1
2.612520000E-1,-4.854405212E-1,9.833052063E0,6.107299805E-1
2.813230000E-1,-3.641926575E-1,9.752369843E0,6.069877625E-1
3.013930000E-1,-3.387455750E-1,9.774673462E0,6.951544189E-1
3.214640000E-1,-5.233117676E-1,9.690698090E0,6.966513062E-1
3.415350000E-1,-3.363505554E-1,9.810299377E0,6.616241455E-1
3.616060000E-1,-3.267704773E-1,9.813442841E0,5.713618469E-1
3.816770000E-1,-5.903723145E-1,9.665550385E0,5.981561279E-1
4.017480000E-1,-3.121009827E-1,9.852361908E0,7.761360168E-1
4.218190000E-1,-3.083587646E-1,9.709109802E0,5.966592407E-1
4.418890000E-1,-5.670208740E-1,9.724228363E0,6.426136780E-1
4.619600000E-1,-3.652404785E-1,9.894574127E0,7.150630188E-1
4.820310000E-1,-3.013233948E-1,9.670490112E0,5.261558533E-1
5.021020000E-1,-4.968168640E-1,9.853559418E0,7.478448486E-1
5.221730000E-1,-4.222718811E-1,9.749226379E0,6.515950012E-1
5.422440000E-1,-2.899470520E-1,9.708061981E0,5.806425476E-1
5.623140000E-1,-4.294569397E-1,9.929301910E0,7.535330200E-1
5.823850000E-1,-5.260061646E-1,9.621841278E0,5.719606018E-1
6.024560000E-1,-2.457888794E-1,9.868528290E0,7.128176880E-1
6.225270000E-1,-4.326004028E-1,9.752519531E0,6.333329773E-1
6.425980000E-1,-5.300477600E-1,9.690698090E0,6.050418091E-1
6.626690000E-1,-2.423460388E-1,9.898915100E0,7.006929016E-1
6.827400000E-1,-4.397854614E-1,9.626481628E0,5.433700562E-1
7.028100000E-1,-4.357438660E-1,9.869276733E0,7.339237976E-1
7.228812500E-1,-3.873944092E-1,9.685009918E0,5.748046875E-1
7.429522500E-1,-3.448828125E-1,9.812544708E0,6.792874146E-1
7.630232500E-1,-4.436773682E-1,9.819280701E0,6.863227844E-1
