"Time (s)","X (hPa)"
-5.001936250E-1,1.022026215E3
5.326783750E-1,1.022026825E3
1.565577375E0,1.022027512E3
2.598494375E0,1.022029114E3
3.631459375E0,1.022032242E3
3.823646375E0,1.022032700E3
4.889902375E0,1.022035294E3
5.956219375E0,1.022035294E3
7.022533375E0,1.022036972E3
8.088823375E0,1.022037659E3
9.155151375E0,1.022039948E3
1.022145037E1,1.022042007E3
1.128778937E1,1.022042084E3
1.235412037E1,1.022044525E3
1.342038037E1,1.022044525E3
1.448665137E1,1.022044754E3
1.555295737E1,1.022046432E3
1.661927437E1,1.022047729E3
1.768556937E1,1.022048950E3
1.875191437E1,1.022051239E3
1.981824137E1,1.022054596E3
2.088455837E1,1.022058411E3
2.195089337E1,1.022061539E3
2.301722937E1,1.022061539E3
2.408357037E1,1.022058868E3
2.514989037E1,1.022054062E3
2.621617437E1,1.022048187E3
2.728252237E1,1.022042847E3
2.834884537E1,1.022038269E3
2.941517037E1,1.022038269E3
3.048149437E1,1.022038269E3
3.154782837E1,1.022037964E3
3.261408837E1,1.022033768E3
3.368042537E1,1.022021027E3
3.474682937E1,1.022006912E3
3.581327337E1,1.021979904E3
3.687976037E1,1.021945877E3
3.794619037E1,1.021912918E3
3.901270437E1,1.021896362E3
4.007915637E1,1.021869965E3
4.114553837E1,1.021850510E3
4.221194337E1,1.021841660E3
4.327835837E1,1.021832733E3
4.434478137E1,1.021809387E3
4.541117837E1,1.021796494E3
4.647763837E1,1.021783905E3
4.754413337E1,1.021765213E3
4.861067137E1,1.021744614E3
4.967721537E1,1.021729889E3
5.074372037E1,1.021719513E3
5.181020137E1,1.021719513E3
5.287674737E1,1.021726837E3
5.394326137E1,1.021742859E3
5.500979737E1,1.021762924E3
5.607629137E1,1.021781998E3
5.714277237E1,1.021793442E3
5.820921737E1,1.021803284E3
5.927569537E1,1.021803284E3
6.034210737E1,1.021797256E3
6.140851737E1,1.021788406E3
6.247493937E1,1.021788406E3
6.354137537E1,1.021793365E3
6.460778337E1,1.021804962E3
6.567422837E1,1.021825867E3
6.674066737E1,1.021837997E3
6.780710537E1,1.021856995E3
6.887352637E1,1.021865158E3
6.993995937E1,1.021881561E3
7.100642537E1,1.021893387E3
7.207288337E1,1.021944199E3
7.313930837E1,1.021979446E3
7.420580837E1,1.022002258E3
7.527233437E1,1.022010803E3
7.633889137E1,1.022010803E3
7.740543637E1,1.021975327E3
7.847198937E1,1.021935120E3
7.953853537E1,1.021892319E3
8.060513237E1,1.021849365E3
8.167171137E1,1.021811600E3
8.273824437E1,1.021771088E3
8.380475437E1,1.021742859E3
8.487123037E1,1.021720123E3
8.593772237E1,1.021704178E3
8.700421537E1,1.021695480E3
8.807065737E1,1.021695480E3
8.913709137E1,1.021704330E3
9.020353737E1,1.021730728E3
9.127005137E1,1.021773224E3
9.233654837E1,1.021826096E3
9.340302337E1,1.021882477E3
9.446956637E1,1.021941376E3
9.553607237E1,1.021991730E3
9.660258837E1,1.022011108E3
9.766910037E1,1.022011108E3
9.873557137E1,1.022009583E3
9.980211837E1,1.022004318E3
1.008685954E2,1.022004318E3
1.019350494E2,1.022010498E3
1.030014964E2,1.022033005E3
1.040678814E2,1.022042007E3
1.051342664E2,1.022042007E3
1.062006894E2,1.022025375E3
1.072671124E2,1.021995316E3
1.083335654E2,1.021954803E3
1.094000144E2,1.021928787E3
1.104664424E2,1.021912537E3
1.115328864E2,1.021912537E3
1.125992974E2,1.021919556E3
1.136657694E2,1.021953125E3
1.147322294E2,1.021988983E3
1.157986524E2,1.022011490E3
1.168651064E2,1.022023239E3
1.179315804E2,1.022023239E3
1.189980174E2,1.022004089E3
1.200644504E2,1.021983032E3
1.211308314E2,1.021969452E3
1.221972294E2,1.021955338E3
1.232636434E2,1.021955338E3
1.243300684E2,1.021954498E3
1.253964464E2,1.021954498E3
1.264628894E2,1.021947937E3
1.275293174E2,1.021944122E3
1.285957314E2,1.021937866E3
1.296620924E2,1.021937866E3
1.307284384E2,1.021939774E3
1.317948484E2,1.021944504E3
1.328612384E2,1.021945648E3
1.339276224E2,1.021955566E3
1.349940514E2,1.021961823E3
1.360604394E2,1.021967926E3
1.371268174E2,1.021972580E3
1.381932274E2,1.021978302E3
1.392596464E2,1.021987534E3
1.403260674E2,1.021989822E3
1.413924594E2,1.021992569E3
1.424588234E2,1.021999130E3
1.435251874E2,1.022009430E3
1.445915404E2,1.022014465E3
1.456578834E2,1.022016525E3
1.467241514E2,1.022016525E3
1.477904244E2,1.022015228E3
1.488566924E2,1.022010040E3
1.499229574E2,1.021998215E3
1.509892554E2,1.021990891E3
1.520555414E2,1.021979065E3
1.531218534E2,1.021970062E3
1.541881864E2,1.021958618E3
1.552544854E2,1.021950226E3
1.563208414E2,1.021937561E3
1.573871964E2,1.021931763E3
1.584535524E2,1.021929016E3
1.595199194E2,1.021926193E3
1.605862954E2,1.021926193E3
1.616527344E2,1.021925507E3
1.627191474E2,1.021921844E3
1.637855584E2,1.021920776E3
1.648519674E2,1.021918716E3
1.659183634E2,1.021911087E3
1.669847814E2,1.021906891E3
1.680511824E2,1.021906891E3
1.691175264E2,1.021913757E3
1.701839124E2,1.021920090E3
1.712503264E2,1.021930618E3
1.723167654E2,1.021943970E3
1.733832184E2,1.021946640E3
1.744496794E2,1.021946640E3
1.755161254E2,1.021942825E3
1.765825674E2,1.021942291E3
1.776490274E2,1.021938858E3
1.787154904E2,1.021938858E3
1.797819674E2,1.021944122E3
1.808483824E2,1.021944122E3
1.819148624E2,1.021945038E3
1.829813924E2,1.021947708E3
1.840479034E2,1.021953583E3
1.851143934E2,1.021955948E3
1.861808794E2,1.021965332E3
1.872473254E2,1.021977615E3
1.883137944E2,1.021992111E3
1.893802684E2,1.022009430E3
1.904467064E2,1.022034378E3
1.915132324E2,1.022061615E3
1.925797354E2,1.022087250E3
1.936461544E2,1.022112961E3
1.947126434E2,1.022134171E3
1.957791544E2,1.022154694E3
1.968456444E2,1.022173538E3
1.979121874E2,1.022197952E3
1.989787614E2,1.022216721E3
2.000453454E2,1.022232590E3
2.011118714E2,1.022243500E3
2.021783904E2,1.022250061E3
2.032449014E2,1.022252274E3
2.043114484E2,1.022252274E3
2.053780154E2,1.022252121E3
2.064446044E2,1.022238922E3
2.075111724E2,1.022227478E3
2.085776944E2,1.022210236E3
2.096442184E2,1.022190628E3
2.107107554E2,1.022171936E3
2.117773284E2,1.022157974E3
2.128439484E2,1.022140808E3
2.139105814E2,1.022126389E3
2.149772594E2,1.022109375E3
2.160438574E2,1.022086258E3
2.171104984E2,1.022069016E3
2.181771304E2,1.022048492E3
2.192437834E2,1.022029572E3
2.203104464E2,1.022012177E3
2.213771034E2,1.021997375E3
2.224437884E2,1.021983643E3
2.235104664E2,1.021983643E3
2.245771634E2,1.021986465E3
2.256438314E2,1.022000809E3
2.267105204E2,1.022025757E3
2.277771684E2,1.022054062E3
2.288437864E2,1.022089157E3
2.299104114E2,1.022117233E3
2.309770154E2,1.022145615E3
2.320437194E2,1.022174835E3
2.331103974E2,1.022201767E3
2.341770464E2,1.022219849E3
2.352437314E2,1.022236176E3
2.363104084E2,1.022251282E3
2.373770654E2,1.022263489E3
2.384436714E2,1.022272110E3
2.395102934E2,1.022282639E3
2.405769894E2,1.022287292E3
2.416436764E2,1.022292099E3
2.427103274E2,1.022296371E3
2.437769984E2,1.022299500E3
2.448436674E2,1.022299500E3
2.459103284E2,1.022304382E3
2.469770034E2,1.022309418E3
2.480437374E2,1.022313614E3
2.491105014E2,1.022316895E3
2.501772614E2,1.022319107E3
2.512439944E2,1.022319107E3
2.523108144E2,1.022313385E3
2.533776214E2,1.022305832E3
2.544444264E2,1.022295227E3
2.555112074E2,1.022284546E3
2.565779944E2,1.022269211E3
2.576448514E2,1.022257538E3
2.587117034E2,1.022242584E3
2.597785144E2,1.022229614E3
2.608452634E2,1.022209854E3
2.619119984E2,1.022188797E3
2.629787464E2,1.022162857E3
2.640455334E2,1.022143021E3
2.651123044E2,1.022122421E3
2.661791124E2,1.022109756E3
2.672459314E2,1.022102585E3
2.683127524E2,1.022093582E3
2.693795724E2,1.022072144E3
2.704463804E2,1.022052460E3
2.715131514E2,1.022030487E3
2.725799634E2,1.022011337E3
2.736467644E2,1.022001572E3
2.747136264E2,1.022001572E3
2.757804644E2,1.022008820E3
2.768473044E2,1.022012787E3
2.779141504E2,1.022012787E3
2.789809934E2,1.022012177E3
2.800478644E2,1.022005539E3
2.811147904E2,1.021990433E3
2.821817504E2,1.021978912E3
2.832486384E2,1.021969376E3
2.843155664E2,1.021959305E3
2.853825064E2,1.021944351E3
2.864494654E2,1.021939468E3
2.875164404E2,1.021931915E3
2.885834114E2,1.021919250E3
2.896503194E2,1.021907120E3
2.907171694E2,1.021907120E3
2.917841014E2,1.021907959E3
2.928510234E2,1.021909866E3
2.939179424E2,1.021915283E3
2.949848464E2,1.021929016E3
2.960517354E2,1.021929016E3
2.971185974E2,1.021926422E3
2.981854524E2,1.021922913E3
2.992523444E2,1.021922913E3
3.003192394E2,1.021908112E3
3.013860724E2,1.021908112E3
3.024529634E2,1.021906204E3
3.035199014E2,1.021892166E3
3.045868584E2,1.021878204E3
3.056537814E2,1.021870728E3
3.067207224E2,1.021855469E3
3.077877134E2,1.021831284E3
3.088546754E2,1.021810226E3
