"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.423400000E-2,7.208562642E-2,5.373467132E-2,2.012410760E-2
6.430499998E-2,-7.012525946E-2,-4.886868969E-2,1.403485052E-2
8.437599998E-2,-7.454011589E-2,-2.292238176E-2,-4.193649162E-3
1.044470000E-1,2.906133980E-2,3.062150069E-2,8.749613538E-3
1.245180000E-1,3.840148449E-2,-1.192795858E-2,-1.034668647E-2
1.445890000E-1,1.838217489E-2,1.062126644E-2,-9.443073533E-3
1.646600000E-1,-1.461287960E-2,5.825865082E-3,1.079974510E-2
1.847300000E-1,-4.587482661E-2,-2.317154035E-2,3.348557977E-3
2.048010000E-1,4.422506317E-3,-1.732224366E-3,1.819836558E-3
2.248720000E-1,3.638144583E-2,2.651315928E-2,-4.010758828E-3
2.449430000E-1,-4.263342358E-3,-1.663715579E-2,-1.102719177E-2
2.650140000E-1,-1.580406167E-2,9.845452383E-3,1.283483580E-2
2.850850000E-1,-5.770402960E-3,-2.020308748E-3,-1.822635531E-3
3.051550000E-1,-6.548747420E-3,-2.203473588E-3,-1.033040602E-2
3.252260000E-1,1.657311618E-2,6.094416603E-3,7.033668924E-3
3.452970000E-1,1.300707273E-2,-6.643530913E-3,-2.264723182E-3
3.653680000E-1,-6.539247930E-3,1.175198518E-2,-1.472781319E-2
3.854390000E-1,-1.519567892E-2,-8.740354329E-3,1.999674179E-2
4.055100000E-1,5.700971000E-3,-9.246460162E-3,-1.678093104E-3
4.255810000E-1,9.767240845E-3,2.770026773E-2,-1.547023747E-2
4.456510000E-1,-9.827884845E-3,-2.429461852E-2,1.195379626E-2
4.657220000E-1,3.989679273E-3,6.197290495E-3,6.980012171E-3
4.857930000E-1,-3.760449355E-3,1.188649982E-2,-1.362260431E-2
5.058640000E-1,-8.691018447E-3,-2.286826260E-2,8.756705560E-3
5.259350000E-1,1.191336382E-2,1.871223748E-2,6.320411339E-3
5.460060000E-1,-4.232292995E-3,-8.061860688E-3,-1.487938408E-2
5.660760000E-1,-1.592487097E-4,1.346369274E-2,-1.633217908E-4
5.861470000E-1,-4.500467330E-3,-1.113139838E-2,1.333038229E-2
6.062180000E-1,-9.185590316E-4,-5.837091245E-3,-1.160366274E-2
6.262890000E-1,1.015674230E-2,2.470035478E-2,-3.396930406E-3
6.463600000E-1,-9.749017656E-3,-2.855270915E-2,1.238040160E-2
6.664310000E-1,4.351133481E-3,2.504879050E-2,-1.156867296E-2
6.865020000E-1,4.120729864E-5,-4.325249232E-3,2.549472963E-3
7.065720000E-1,-4.348467104E-3,-1.309685875E-2,3.799763042E-3
7.266432500E-1,4.653164651E-3,1.181049459E-2,4.135454074E-3
7.467142500E-1,-8.459751494E-3,-2.349508740E-2,-9.276426397E-3
7.667852500E-1,5.914106034E-3,2.880647406E-2,5.342965480E-3
7.868562500E-1,-5.189190619E-3,-2.944943309E-2,6.325737573E-3
8.069272500E-1,5.389336497E-3,2.710509859E-2,-1.133491565E-2
8.269972500E-1,-3.014756599E-3,-1.064994652E-2,3.756619757E-3
8.470682500E-1,6.730209570E-4,-7.049558684E-3,-3.764982102E-3
8.671392500E-1,4.137392156E-3,1.198981795E-2,4.817390349E-3
8.872102500E-1,-7.906781510E-3,-2.635199204E-2,-9.381517768E-3
9.072812500E-1,4.095491953E-3,3.035912476E-2,4.873714410E-3
9.273522500E-1,-1.044685766E-2,-3.464767709E-2,1.661746530E-3
9.474232500E-1,8.958512917E-3,3.031982295E-2,-6.470417604E-3
9.674932500E-1,3.193164477E-3,-2.336908877E-2,5.820171908E-3
9.875642500E-1,2.350025810E-3,1.083174814E-2,-1.657154411E-3
1.007635250E0,-1.268362906E-2,-8.419282734E-3,9.178017266E-3
1.027706250E0,3.225740977E-3,-9.879607707E-3,-8.377676830E-3
1.047777250E0,1.156993397E-2,2.311430499E-2,3.629154759E-3
1.067848250E0,-1.022405922E-2,-3.390748054E-2,-1.877665520E-3
1.087918250E0,4.533901811E-4,2.903343551E-2,7.075049914E-3
1.107989250E0,-1.109402440E-2,-2.963965200E-2,-1.173229236E-2
1.128060250E0,1.568283886E-2,2.150832675E-2,1.127465721E-2
1.148131250E0,-3.833041759E-3,-2.356379852E-2,-2.776448848E-3
1.168202250E0,1.724560512E-3,1.791373082E-2,-2.674315823E-3
1.188273250E0,-1.583816111E-2,-1.748280786E-2,4.810668528E-3
1.208343250E0,8.670780808E-3,7.847291417E-4,-1.629755832E-3
1.228414250E0,8.543436415E-3,1.471619960E-2,6.390565541E-4
1.248485250E0,-3.763315035E-3,3.629204584E-3,-1.052760892E-2
1.268556250E0,-1.657392830E-2,7.432974875E-3,1.214764174E-2
1.288627250E0,-1.533330185E-3,-1.514595374E-2,-3.367566271E-3
1.308698250E0,1.522731967E-2,2.255349047E-2,9.771441109E-4
1.328768250E0,-8.489324711E-3,-1.587744802E-2,-3.049859311E-3
1.348839250E0,-5.217631347E-3,1.372821257E-2,6.952015683E-3
1.368910250E0,-6.472011097E-3,-2.044316381E-2,-5.060310476E-3
1.388981250E0,1.214693114E-2,1.725551113E-2,-1.213170588E-3
1.409052250E0,-1.061367244E-2,-1.669837721E-2,-4.910771735E-3
1.429123250E0,2.607984468E-3,1.020928472E-2,2.322741784E-3
1.449193250E0,-2.940701321E-3,-8.041067980E-3,-5.302719306E-3
1.469264250E0,8.275056258E-3,8.199492469E-3,2.957036952E-3
1.489335250E0,-9.012744762E-3,-7.273314521E-3,-2.050167415E-3
1.509406250E0,1.087237033E-3,3.991511185E-3,2.526306314E-3
1.529477250E0,5.837820470E-3,2.993391827E-4,-4.518587142E-3
1.549548250E0,-5.922739394E-3,3.433346283E-3,-5.590288783E-4
1.569618250E0,-7.217544131E-3,-9.157002904E-3,-1.758784056E-3
1.589689250E0,3.497720463E-3,-7.251335774E-4,9.299958125E-3
1.609760250E0,6.587399635E-3,4.257513676E-3,-1.611711830E-2
1.629831250E0,-1.076836511E-2,-1.667195698E-3,1.360562164E-2
1.649902250E0,-6.450987421E-3,-5.890287459E-3,-2.091589267E-4
1.669973250E0,4.068030976E-3,9.604563937E-3,-3.550661961E-3
1.690043250E0,4.111936316E-3,-3.687840654E-3,-1.981227659E-3
1.710114250E0,-2.690121997E-3,6.528807338E-3,6.968861446E-3
1.730184500E0,-1.224303152E-2,-1.793499338E-3,-8.901218884E-3
1.750255500E0,-5.137729459E-4,9.561323095E-4,1.181264967E-2
1.770326500E0,5.781031214E-3,4.817186855E-4,-9.303719737E-3
1.790397500E0,-4.884009715E-3,-4.640477709E-3,7.591773756E-3
1.810467500E0,-1.173269190E-2,-2.149171894E-3,-1.124684233E-3
1.830538500E0,1.745142392E-3,8.132914081E-5,-4.137206706E-4
1.850609500E0,1.102088368E-3,3.380835522E-3,-1.466865884E-3
1.870680500E0,-2.325171605E-3,-5.669187289E-3,7.041763980E-3
1.890751500E0,-1.013782062E-2,7.756620180E-4,-5.129148252E-3
1.910822500E0,6.433704402E-4,-7.871713489E-3,4.760066513E-3
1.930892500E0,-1.504707616E-4,7.338188589E-3,-3.735216334E-3
1.950963500E0,-1.310157357E-3,-1.034294255E-2,2.765160985E-3
1.971034500E0,-1.185295824E-2,8.685203269E-3,2.197775058E-3
1.991105500E0,3.408395452E-3,-1.175685041E-2,-2.311056945E-3
2.011176500E0,5.264207255E-3,1.287778374E-2,4.409563728E-3
2.031247500E0,-3.140834626E-3,-1.566238701E-2,1.945770578E-3
2.051317500E0,-6.781197153E-3,1.515964977E-2,2.046474256E-3
2.071388500E0,1.315042097E-2,-1.631787047E-2,-6.850582082E-3
2.091459500E0,5.256326869E-3,2.338458970E-2,3.272560192E-3
2.111530500E0,-3.437720006E-3,-2.158890665E-2,-9.292334318E-3
2.131601500E0,-2.324189991E-3,1.936496794E-2,1.498340908E-2
2.151672500E0,7.803143933E-3,-2.189230919E-2,-2.181365155E-2
2.171742500E0,5.723607726E-3,2.126457728E-2,1.346464176E-2
2.191813500E0,1.835282077E-3,-2.143372223E-2,-1.287045982E-2
2.211884500E0,-1.008080505E-2,2.246236056E-2,1.238320116E-2
2.231955500E0,3.366149729E-3,-1.978003979E-2,-1.363841072E-2
