"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.423400000E-2,-3.038413155E-1,1.829289722E-1,-9.643059947E-2
6.430499998E-2,-1.127729459E-1,-3.456751102E-1,-7.049560335E-1
8.437599998E-2,1.327304797E-1,1.770911121E-1,4.625330307E-2
1.044470000E-1,6.704088561E-3,5.417854607E-2,3.428275162E-1
1.245180000E-1,3.999934047E-2,-2.874795270E-1,-7.019238867E-2
1.445890000E-1,2.320482150E-2,7.219498694E-2,-9.327427246E-2
1.646600000E-1,-2.768159598E-2,1.600265980E-1,-1.313776533E-1
1.847300000E-1,-4.828265235E-3,-1.290293384E-1,-1.755280783E-1
2.048010000E-1,2.968236700E-2,6.091044545E-3,1.642629057E-1
2.248720000E-1,9.953558061E-2,9.753155708E-4,3.432907619E-2
2.449430000E-1,-2.262667805E-2,-4.607255101E-2,-1.376814634E-1
2.650140000E-1,-4.936065964E-2,8.698668838E-2,-4.589252986E-2
2.850850000E-1,9.598515127E-2,-2.713458896E-2,-7.217335224E-2
3.051550000E-1,3.393928617E-2,-3.806478918E-2,-2.406129241E-3
3.252260000E-1,-7.950269088E-2,-3.686727941E-2,3.184919894E-2
3.452970000E-1,1.073040451E-1,-1.830704749E-2,-7.855858482E-2
3.653680000E-1,5.625072621E-2,8.267612100E-2,-6.398958921E-2
3.854390000E-1,-1.631940347E-1,-1.265337467E-1,-8.687383711E-2
4.055100000E-1,1.404446748E-1,3.652521729E-2,5.230451345E-2
4.255810000E-1,9.075532850E-2,-1.181897700E-2,-4.593046367E-2
4.456510000E-1,-1.695887325E-1,-1.063836569E-1,-7.912042916E-2
4.657220000E-1,1.081272966E-1,1.361354595E-1,3.466404855E-2
4.857930000E-1,9.631332625E-2,-7.690784276E-2,-1.280633783E-1
5.058640000E-1,-1.320933159E-1,-2.761523008E-2,1.583659887E-2
5.259350000E-1,9.034518287E-2,8.122659624E-2,3.575272702E-2
5.460060000E-1,9.507883284E-2,-1.394040531E-1,-1.565814185E-1
5.660760000E-1,-4.905835859E-2,1.412599593E-1,7.367901027E-2
