"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.232896328E-2,5.240391786E1,4.695454827E0,3.829014972E0,NaN,NaN,1.998274602E1,3.000000000E1
3.336703777E-2,5.240391738E1,4.695455027E0,3.829014972E0,NaN,NaN,1.855634630E1,3.000000000E1
1.179394007E0,5.240392488E1,4.695553053E0,-1.150296402E1,0.000000000E0,NaN,1.400000000E1,2.400000000E1
2.544384003E0,5.240392488E1,4.695553053E0,-1.150296402E1,0.000000000E0,3.522656250E2,1.400000000E1,4.000000000E0
3.558595896E0,5.240392488E1,4.695553053E0,-1.150296402E1,0.000000000E0,3.522656250E2,3.535533906E0,3.000000000E0
4.557954073E0,5.240392488E1,4.695553053E0,-1.150296402E1,0.000000000E0,3.522656250E2,3.535533906E0,3.000000000E0
5.552186012E0,5.240392488E1,4.695553053E0,-1.150296402E1,0.000000000E0,3.522656250E2,3.535533906E0,3.000000000E0
6.526319623E0,5.240392488E1,4.695553053E0,-1.150296402E1,0.000000000E0,3.522656250E2,3.535533906E0,3.000000000E0
7.526321888E0,5.240392488E1,4.695553053E0,-1.150296402E1,0.000000000E0,3.522656250E2,3.535533906E0,3.000000000E0
8.526321411E0,5.240392488E1,4.695553053E0,-1.150296402E1,0.000000000E0,3.522656250E2,3.535533906E0,3.000000000E0
9.526324391E0,5.240392488E1,4.695553053E0,-1.150296402E1,0.000000000E0,3.522656250E2,3.535533906E0,3.000000000E0
1.052632928E1,5.240392488E1,4.695553053E0,-1.150296402E1,0.000000000E0,3.522656250E2,3.535533906E0,3.000000000E0
1.152632916E1,5.240396356E1,4.695540899E0,2.373806000E0,0.000000000E0,0.000000000E0,3.535533906E0,3.000000000E0
1.252632785E1,5.240396034E1,4.695544336E0,2.655300140E0,0.000000000E0,1.297265625E2,3.535533906E0,3.000000000E0
1.352633071E1,5.240396034E1,4.695544336E0,2.655300207E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
1.452633238E1,5.240395656E1,4.695547437E0,3.437038489E0,3.000000119E-1,NaN,4.748651530E0,4.029364438E0
1.552634072E1,5.240395593E1,4.695556825E0,2.576259681E0,3.100000024E-1,NaN,4.748651530E0,4.029364438E0
1.652634478E1,5.240396038E1,4.695559423E0,2.940822669E0,1.599999964E-1,NaN,4.748651530E0,4.029364438E0
1.752634811E1,5.240395987E1,4.695561351E0,3.443386148E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
1.852635360E1,5.240395577E1,4.695564620E0,4.075649329E0,1.599999964E-1,NaN,4.748651530E0,4.029364438E0
1.952635944E1,5.240395363E1,4.695564285E0,4.625881261E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.052636206E1,5.240395552E1,4.695567302E0,5.129726477E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.152636492E1,5.240395749E1,4.695569063E0,5.766933507E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.252636647E1,5.240395258E1,4.695576439E0,5.550991126E0,4.399999976E-1,NaN,4.748651530E0,4.029364438E0
2.352636874E1,5.240394162E1,4.695595472E0,5.537319308E0,8.600000143E-1,1.325390699E2,4.748651530E0,4.029364438E0
2.452637005E1,5.240393497E1,4.695611366E0,5.798671882E0,1.090000033E0,1.293750098E2,4.748651530E0,4.029364438E0
2.552637184E1,5.240393051E1,4.695622480E0,5.744594702E0,8.799999952E-1,1.321875076E2,4.748651530E0,4.029364438E0
2.652637374E1,5.240392627E1,4.695634101E0,5.680507790E0,8.799999952E-1,1.318359451E2,4.748651530E0,4.029364438E0
2.752637494E1,5.240393016E1,4.695630334E0,6.022060462E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.852637625E1,5.240393033E1,4.695631592E0,6.531032630E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.952637696E1,5.240393179E1,4.695632262E0,6.857265540E0,1.700000018E-1,NaN,4.748651530E0,4.029364438E0
3.052637792E1,5.240393590E1,4.695631759E0,6.646083900E0,1.700000018E-1,NaN,4.748651530E0,4.029364438E0
