"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.423400000E-2,1.058462906E1,1.598815918E0,1.004486084E0
6.430499998E-2,1.058041000E1,1.730422974E0,8.644104004E-1
8.437599998E-2,1.093571091E1,1.468078613E0,1.007110596E0
1.044470000E-1,1.059272766E1,1.686080933E0,6.137542725E-1
1.245180000E-1,1.068495941E1,1.476875305E0,4.492492676E-1
1.445890000E-1,1.081892395E1,1.567886353E0,6.119079590E-1
1.646600000E-1,1.059585190E1,1.606094360E0,6.257019043E-1
1.847300000E-1,1.050016403E1,1.375045776E0,8.728790283E-1
2.048010000E-1,1.070996094E1,1.741889954E0,1.344299316E-1
2.248720000E-1,1.072270203E1,1.695365906E0,7.361145020E-1
2.449430000E-1,1.059930801E1,1.647171021E0,5.821228027E-1
2.650140000E-1,1.076640701E1,1.745597839E0,6.227111816E-1
2.850850000E-1,1.105034637E1,1.848098755E0,4.905853271E-1
3.051550000E-1,1.104262543E1,1.876724243E0,5.474395752E-1
3.252260000E-1,1.069137573E1,1.649002075E0,2.806091309E-1
3.452970000E-1,1.058774948E1,1.899833679E0,6.499328613E-1
3.653680000E-1,1.074400330E1,1.621734619E0,9.738616943E-1
3.854390000E-1,1.068181992E1,2.044692993E0,9.867401123E-1
4.055100000E-1,1.083425140E1,1.717895508E0,8.049011230E-1
4.255810000E-1,1.058452988E1,2.241935730E0,1.267318726E0
4.456510000E-1,1.072385025E1,2.133720398E0,8.414611816E-1
4.657220000E-1,1.073590088E1,1.820495605E0,1.368896484E0
4.857930000E-1,1.060488510E1,2.005897522E0,1.105377197E0
5.058640000E-1,1.069621658E1,1.989189148E0,1.103805542E0
5.259350000E-1,1.069964218E1,1.659790039E0,7.159576416E-1
5.460060000E-1,1.084798431E1,1.522483826E0,1.116638184E0
5.660760000E-1,1.083949280E1,1.209518433E0,9.085388184E-1
5.861470000E-1,1.100048447E1,1.066230774E0,7.523498535E-1
6.062180000E-1,1.103198624E1,9.938583374E-1,7.522125244E-1
6.262890000E-1,1.071780014E1,1.352424622E0,9.410400391E-1
6.463600000E-1,1.070821381E1,1.192283630E0,1.276519775E0
6.664310000E-1,1.069141006E1,1.536407471E0,9.152984619E-1
6.865020000E-1,1.062121201E1,1.463821411E0,8.418884277E-1
7.065720000E-1,1.075127792E1,1.524475098E0,7.126007080E-1
7.266432500E-1,1.083981323E1,1.763824463E0,6.920013428E-1
7.467142500E-1,1.098890686E1,1.593437195E0,7.556762695E-1
7.667852500E-1,1.076577759E1,1.462928772E0,8.301849365E-1
7.868562500E-1,1.090030289E1,1.112236023E0,6.156005859E-1
8.069272500E-1,1.103127289E1,1.546699524E0,5.269317627E-1
8.269972500E-1,1.071072388E1,1.499832153E0,9.629058838E-1
8.470682500E-1,1.092286682E1,1.767662048E0,1.135757446E0
8.671392500E-1,1.076415634E1,1.575477600E0,9.699401855E-1
8.872102500E-1,1.087017059E1,1.296775818E0,8.386383057E-1
9.072812500E-1,1.114247131E1,1.455436707E0,7.953338623E-1
9.273522500E-1,1.070754242E1,1.117691040E0,9.912414551E-1
9.474232500E-1,1.062314224E1,1.458450317E0,1.158157349E0
9.674932500E-1,1.078020859E1,1.512466431E0,1.278579712E0
9.875642500E-1,1.098662186E1,1.200714111E0,7.493591309E-1
1.007635250E0,1.109592056E1,1.305870056E0,1.088043213E0
1.027706250E0,1.099362183E1,1.146232605E0,1.424057007E0
1.047777250E0,1.139789200E1,1.334709167E0,1.220245361E0
1.067848250E0,1.121218872E1,1.227195740E0,1.555847168E0
1.087918250E0,1.155044174E1,1.214630127E0,1.577941895E0
1.107989250E0,1.117589569E1,1.372871399E0,1.737121582E0
1.128060250E0,1.110797882E1,1.268157959E0,1.338699341E0
1.148131250E0,1.134575272E1,1.559555054E0,1.478515625E0
1.168202250E0,1.104265213E1,1.380752563E0,1.601379395E0
1.188273250E0,1.122785568E1,1.349624634E0,1.383163452E0
1.208343250E0,1.130212021E1,1.167388916E0,1.304321289E0
1.228414250E0,1.143921280E1,1.283287048E0,1.340362549E0
1.248485250E0,1.149316406E1,1.281250000E0,1.628524780E0
1.268556250E0,1.130728912E1,1.624671936E0,1.992340088E0
1.288627250E0,1.136392212E1,1.516265869E0,1.243972778E0
1.308698250E0,1.141204071E1,1.408988953E0,1.516433716E0
1.328768250E0,1.138836288E1,1.439430237E0,1.677658081E0
1.348839250E0,1.152153778E1,1.638488770E0,1.854385376E0
1.368910250E0,1.163228226E1,1.887367249E0,1.813781738E0
1.388981250E0,1.151482010E1,1.734214783E0,1.767257690E0
1.409052250E0,1.121547699E1,1.858978271E0,1.751464844E0
1.429123250E0,1.154176712E1,1.839096069E0,1.744705200E0
1.449193250E0,1.142669678E1,1.668998718E0,1.864059448E0
1.469264250E0,1.152426910E1,1.754974365E0,1.476013184E0
1.489335250E0,1.176440430E1,1.586761475E0,1.264953613E0
1.509406250E0,1.174417496E1,1.992141724E0,1.560714722E0
1.529477250E0,1.169452286E1,1.846206665E0,1.574600220E0
1.549548250E0,1.165428162E1,2.075103760E0,1.531036377E0
1.569618250E0,1.153026962E1,1.894989014E0,1.878463745E0
1.589689250E0,1.163790894E1,1.979331970E0,1.651535034E0
1.609760250E0,1.124097061E1,2.122245789E0,1.829360962E0
1.629831250E0,1.169834518E1,2.133888245E0,1.970169067E0
1.649902250E0,1.166587448E1,2.068305969E0,2.617019653E0
1.669973250E0,1.148489761E1,2.190856934E0,2.254943848E0
1.690043250E0,1.173405838E1,2.196891785E0,2.044235229E0
1.710114250E0,1.120822906E1,2.079101562E0,2.100662231E0
1.730184500E0,1.146245956E1,2.397453308E0,2.627044678E0
1.750255500E0,1.143613815E1,2.288955688E0,2.780868530E0
1.770326500E0,1.164672470E1,2.378822327E0,2.293045044E0
1.790397500E0,1.172411728E1,2.522071838E0,2.384094238E0
1.810467500E0,1.166307068E1,2.686149597E0,2.473739624E0
1.830538500E0,1.160421753E1,2.505699158E0,2.607818604E0
1.850609500E0,1.163784409E1,2.614662170E0,2.550582886E0
1.870680500E0,1.150112915E1,2.498199463E0,2.603134155E0
1.890751500E0,1.155047226E1,2.765174866E0,2.794479370E0
1.910822500E0,1.143740845E1,2.846496582E0,2.586425781E0
1.930892500E0,1.150724792E1,2.905990601E0,2.865051270E0
1.950963500E0,1.126974869E1,2.610923767E0,2.340911865E0
1.971034500E0,1.180570221E1,2.708015442E0,2.567398071E0
1.991105500E0,1.192453766E1,2.820739746E0,2.575592041E0
2.011176500E0,1.174646759E1,2.831520081E0,3.008483887E0
2.031247500E0,1.183756638E1,2.803153992E0,2.719390869E0
2.051317500E0,1.182909775E1,3.173423767E0,2.855209351E0
2.071388500E0,1.154139328E1,2.681732178E0,2.722549438E0
2.091459500E0,1.174278259E1,2.798027039E0,2.199386597E0
2.111530500E0,1.158567047E1,2.581520081E0,2.347915649E0
2.131601500E0,1.147608185E1,2.914093018E0,2.518966675E0
2.151672500E0,1.169487381E1,2.796859741E0,2.673583984E0
2.171742500E0,1.163233566E1,2.880065918E0,3.137847900E0
2.191813500E0,1.164638138E1,2.892547607E0,2.735977173E0
2.211884500E0,1.195418549E1,3.106521606E0,3.070678711E0
2.231955500E0,1.174011993E1,3.045043945E0,2.973693848E0
2.252026500E0,1.185321808E1,3.083900452E0,3.137664795E0
2.272096500E0,1.163924408E1,3.205574036E0,2.888565063E0
2.292167500E0,1.177002716E1,2.724700928E0,3.043899536E0
2.312238500E0,1.200214005E1,3.038711548E0,2.870697021E0
2.332309500E0,1.166268921E1,3.032104492E0,3.125442505E0
2.352380500E0,1.144203568E1,3.116539001E0,3.408706665E0
2.372451500E0,1.158676910E1,3.271690369E0,3.304565430E0
2.392521500E0,1.179198456E1,3.565895081E0,3.476287842E0
2.412592500E0,1.180734634E1,3.450622559E0,3.262725830E0
2.432663500E0,1.199793625E1,3.111572266E0,3.407394409E0
2.452734500E0,1.169352341E1,3.369735718E0,3.344955444E0
2.472805500E0,1.162502289E1,3.567352295E0,3.175659180E0
2.492876500E0,1.167604065E1,3.413215637E0,3.149887085E0
2.512946500E0,1.171973801E1,3.288940430E0,3.285110474E0
2.533017500E0,1.184061813E1,3.415275574E0,3.086746216E0
2.553088500E0,1.176565170E1,3.381134033E0,2.694976807E0
2.573159500E0,1.198445892E1,3.374763489E0,2.989364624E0
2.593230500E0,1.189369583E1,3.761856079E0,3.059326172E0
2.613300500E0,1.220823288E1,3.737609863E0,3.437774658E0
2.633371500E0,1.188392258E1,3.559783936E0,2.628051758E0
2.653442500E0,1.185781097E1,3.923919678E0,3.453399658E0
2.673513500E0,1.188997650E1,3.627922058E0,2.779907227E0
2.693584500E0,1.230969620E1,3.995239258E0,3.147689819E0
2.713654500E0,1.203998184E1,3.735649109E0,2.624465942E0
2.733726000E0,1.184416962E1,3.872123718E0,3.114730835E0
2.753797000E0,1.204596710E1,3.772987366E0,3.057464600E0
2.773868000E0,1.223573685E1,3.645820618E0,3.230743408E0
2.793939000E0,1.243492508E1,3.634658813E0,3.237731934E0
2.814010000E0,1.211370468E1,3.461990356E0,3.406860352E0
2.834080000E0,1.204732132E1,3.774879456E0,3.632049561E0
2.854151000E0,1.229385376E1,3.761497498E0,3.241744995E0
2.874222000E0,1.233234787E1,4.136253357E0,3.372161865E0
2.894293000E0,1.226412201E1,3.641700745E0,3.292572021E0
2.914364000E0,1.244729233E1,3.859138489E0,3.189361572E0
2.934434000E0,1.208033752E1,3.714309692E0,3.219421387E0
2.954505000E0,1.217053986E1,4.092224121E0,3.674362183E0
2.974576000E0,1.213282013E1,4.012886047E0,3.560058594E0
2.994647000E0,1.228429413E1,3.583572388E0,3.164520264E0
3.014718000E0,1.282788086E1,3.903388977E0,3.305831909E0
3.034789000E0,1.244001389E1,3.659965515E0,2.976348877E0
3.054859000E0,1.251506805E1,3.896034241E0,3.434768677E0
3.074930000E0,1.249215317E1,3.805274963E0,3.045364380E0
3.095001000E0,1.253426743E1,3.945594788E0,3.760742188E0
3.115072000E0,1.223715591E1,3.947113037E0,3.133682251E0
3.135143000E0,1.250904083E1,3.919387817E0,3.522201538E0
3.155213000E0,1.201856232E1,3.827239990E0,3.332702637E0
3.175284000E0,1.226926422E1,3.681816101E0,3.201019287E0
3.195355000E0,1.242624283E1,3.859855652E0,3.349029541E0
3.215426000E0,1.243509293E1,3.797004700E0,3.412719727E0
3.235497000E0,1.236469269E1,3.894462585E0,3.316329956E0
3.255567000E0,1.232889938E1,4.058822632E0,3.327194214E0
3.275638000E0,1.242379761E1,4.189376831E0,3.583328247E0
3.295709000E0,1.240570450E1,4.208572388E0,3.415527344E0
3.315780000E0,1.236832809E1,3.916641235E0,3.784057617E0
3.335851000E0,1.245367050E1,4.094779968E0,3.523986816E0
3.355921000E0,1.254646301E1,3.769744873E0,3.653335571E0
3.375992000E0,1.234167862E1,3.967788696E0,3.451538086E0
3.396063000E0,1.234466934E1,4.002220154E0,3.453323364E0
3.416134000E0,1.251653671E1,3.941650391E0,3.481353760E0
3.436205000E0,1.247394180E1,3.967758179E0,3.236755371E0
3.456276000E0,1.248887253E1,4.078765869E0,3.538452148E0
3.476346000E0,1.261772919E1,4.067848206E0,3.466857910E0
3.496417000E0,1.261051941E1,4.229614258E0,3.699600220E0
3.516488000E0,1.256688690E1,4.108665466E0,3.389724731E0
3.536559000E0,1.265079117E1,4.261116028E0,3.825210571E0
3.556630000E0,1.248669434E1,4.249076843E0,3.928527832E0
3.576700000E0,1.226839447E1,4.150184631E0,3.913208008E0
3.596771000E0,1.260872650E1,4.308883667E0,3.779113770E0
3.616842000E0,1.253211975E1,4.315170288E0,3.023361206E0
3.636913000E0,1.242319489E1,4.526206970E0,3.680053711E0
3.656984000E0,1.251655960E1,4.385688782E0,3.050827026E0
3.677054000E0,1.273769760E1,4.615486145E0,3.811080933E0
3.697125000E0,1.250580978E1,4.632247925E0,3.042922974E0
3.717196000E0,1.258417511E1,4.575317383E0,3.473831177E0
3.737266500E0,1.268301392E1,4.396575928E0,3.441528320E0
3.757337500E0,1.231721497E1,4.310035706E0,2.968917847E0
3.777407500E0,1.267301178E1,4.468162537E0,3.446350098E0
3.797478500E0,1.258854294E1,3.990066528E0,3.358657837E0
3.817549500E0,1.270601654E1,4.173690796E0,3.312362671E0
3.837620500E0,1.264331055E1,3.856193542E0,3.266677856E0
3.857691500E0,1.260223007E1,4.065124512E0,3.205078125E0
3.877761500E0,1.252990341E1,3.829444885E0,3.544570923E0
3.897832500E0,1.273045349E1,3.746101379E0,3.367156982E0
3.917903500E0,1.274621201E1,4.124786377E0,3.894790649E0
3.937974500E0,1.237483597E1,3.736068726E0,3.487594604E0
3.958045500E0,1.270668793E1,4.080406189E0,3.758026123E0
3.978115500E0,1.250699234E1,3.630043030E0,3.308685303E0
3.998186500E0,1.240282822E1,3.826797485E0,3.697052002E0
4.018257500E0,1.240800476E1,3.893455505E0,3.752563477E0
4.038328500E0,1.249182892E1,3.908744812E0,3.825637817E0
4.058399500E0,1.273917389E1,3.769943237E0,3.683685303E0
4.078469500E0,1.270498276E1,3.614433289E0,3.282424927E0
4.098540500E0,1.273104095E1,3.845695496E0,3.579162598E0
4.118611500E0,1.256933212E1,3.769187927E0,3.091156006E0
4.138682500E0,1.272654343E1,4.194847107E0,3.700836182E0
4.158753500E0,1.252536774E1,4.093223572E0,3.053482056E0
4.178823500E0,1.275282288E1,4.061714172E0,3.811340332E0
4.198894500E0,1.264725876E1,3.877708435E0,3.561096191E0
4.218965500E0,1.268547821E1,3.725654602E0,4.061248779E0
4.239036500E0,1.283750534E1,3.799110413E0,3.834426880E0
4.259107500E0,1.274598312E1,3.762969971E0,3.483795166E0
4.279177500E0,1.281311035E1,4.080940247E0,3.705993652E0
