"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.041345832E-2,-2.307900696E0,5.107828217E0,7.304210815E0
4.026645832E-2,-1.868713989E0,4.901706848E0,8.053552551E0
6.012045834E-2,-1.805245972E0,4.732708282E0,8.692274323E0
7.997345834E-2,-1.951641541E0,4.548291779E0,8.969497833E0
9.982745833E-2,-2.155517578E0,4.388424225E0,8.985364838E0
1.196804583E-1,-2.352058868E0,4.368066559E0,8.778495026E0
1.395344583E-1,-2.304906921E0,4.448150024E0,8.501421204E0
1.593884583E-1,-2.199076996E0,4.564607849E0,8.161627808E0
1.792414583E-1,-2.188898163E0,4.697232056E0,7.910001068E0
1.990954583E-1,-1.859582977E0,4.852459259E0,8.158484344E0
2.189484583E-1,-1.660496979E0,4.889731750E0,8.130193176E0
2.388024583E-1,-1.707648926E0,4.854105835E0,8.174800415E0
2.586558333E-1,-1.523382111E0,4.803061981E0,8.332572327E0
2.785098333E-1,-1.212927704E0,4.556524658E0,8.581205292E0
2.983638333E-1,-9.253756714E-1,4.401147766E0,8.690927124E0
3.182168333E-1,-1.323547668E0,4.141288147E0,8.891060944E0
3.380708333E-1,-1.356479187E0,4.579876099E0,8.983568573E0
3.579238333E-1,-9.623487854E-1,4.407135315E0,9.149573364E0
3.777778333E-1,-5.858816528E-1,4.585414581E0,9.022337952E0
3.976308333E-1,-5.351371765E-1,4.616250458E0,8.888216858E0
4.174848333E-1,-6.881190491E-1,4.351002045E0,8.793763275E0
4.373388333E-1,-1.169967041E0,4.299808502E0,8.710386658E0
4.571918333E-1,-1.309626617E0,4.517755280E0,8.909921722E0
4.770458333E-1,-8.572673035E-1,4.560266876E0,8.737180939E0
4.968988333E-1,-8.702902222E-1,4.582869873E0,8.418194275E0
5.167528333E-1,-9.809101868E-1,4.622986450E0,8.303383026E0
5.366058333E-1,-1.055604858E0,4.592749329E0,8.348289642E0
5.564598333E-1,-8.267308044E-1,4.613256683E0,8.674760742E0
5.763128333E-1,-8.800199890E-1,4.387376404E0,8.632997589E0
5.961668333E-1,-1.044378204E0,4.373754730E0,8.604407043E0
6.160208333E-1,-1.156794434E0,4.377946014E0,8.643775177E0
6.358738333E-1,-8.175997925E-1,4.644541626E0,8.905580750E0
6.557278333E-1,-5.090913391E-1,4.685256958E0,9.017248535E0
6.755808333E-1,-4.285588074E-1,4.546645203E0,8.716823273E0
6.954348333E-1,-7.436535645E-1,4.397704926E0,8.303981781E0
7.152888333E-1,-9.246272278E-1,4.584666138E0,8.290809174E0
7.351418333E-1,-6.273454285E-1,4.724176025E0,8.517288208E0
7.549958333E-1,-4.796026611E-1,4.632117462E0,8.665180664E0
7.748488333E-1,-6.515950012E-1,4.515360260E0,8.554261322E0
7.947028333E-1,-8.813671875E-1,4.545597382E0,8.393645325E0
8.145558333E-1,-6.568341064E-1,4.802163849E0,8.436755676E0
8.344098333E-1,-5.713618469E-1,4.827311554E0,8.493936768E0
8.542638333E-1,-6.795867920E-1,4.737947388E0,8.554261322E0
8.741168333E-1,-8.268804932E-1,4.515959015E0,8.401578827E0
8.939708333E-1,-9.150471497E-1,4.609215088E0,8.284971313E0
9.138238333E-1,-6.854246521E-1,4.848417664E0,8.267906799E0
9.336778333E-1,-6.656657410E-1,4.573439484E0,8.125103760E0
9.535308333E-1,-8.732839966E-1,3.903283081E0,7.835456085E0
9.733848333E-1,-1.737137604E0,3.359613647E0,7.445966034E0
9.932388333E-1,-1.583556976E0,2.788700867E0,7.902965698E0
1.013091833E0,-1.501677246E0,2.974314880E0,9.030421143E0
1.032945833E0,-7.619155884E-1,2.518512726E0,8.743617554E0
1.052798833E0,-6.364764404E-1,1.776356049E0,7.905211029E0
1.072652833E0,-7.149133301E-1,1.187031555E0,8.171656952E0
1.092505833E0,1.423390045E0,7.921527100E-1,8.247698822E0
1.112359833E0,1.316512299E0,2.167492676E-1,1.062954575E1
1.132213833E0,-6.801855469E-1,-1.055455170E0,1.106094864E1
1.152066833E0,-1.280886383E0,-1.309177551E0,1.177256882E1
1.171920833E0,-5.469625854E-1,-2.228116608E0,1.113369736E1
1.191773833E0,1.944456482E-1,-3.105292511E0,9.389674072E0
1.211627833E0,-3.652404785E-1,-1.906884613E0,9.045689392E0
1.231481833E0,-3.091072083E-1,-2.206112366E0,9.244476013E0
1.251335208E0,-1.056203613E0,-2.947370911E0,1.059915894E1
1.271189208E0,-6.138734436E-1,-1.882485352E0,1.134909943E1
1.291042208E0,-3.192860413E-1,-5.358856201E-1,1.090856552E1
1.310896208E0,-5.495072937E-1,1.329235840E-1,9.223519592E0
1.330749208E0,-2.008373566E0,-1.957928467E-1,9.258846130E0
1.350603208E0,-1.971250763E0,-6.171665955E-1,9.932295685E0
1.370457208E0,-4.055666199E0,-1.206341400E0,9.015751648E0
1.390310208E0,-4.367018738E0,-8.258326721E-1,6.974296875E0
1.410164208E0,-3.040327606E0,1.018182678E0,4.829257507E0
1.430017208E0,-2.195933533E-1,1.563199310E0,1.004231689E1
1.449871208E0,-6.556365967E-1,3.588038635E-1,1.098610428E1
1.469725208E0,-1.535357208E0,-3.965254211E-1,9.985435181E0
1.489578208E0,-1.018781433E0,-1.652563477E-1,1.038839722E1
1.509432208E0,1.565744019E-1,3.811074829E-1,1.057490936E1
1.529285208E0,8.259823608E-1,5.692662048E-1,9.724827118E0
1.549139208E0,2.113604736E0,4.351451111E-1,9.424701233E0
1.568992208E0,-4.132905579E-1,9.168434143E-1,9.547595673E0
1.588846208E0,6.027964783E-1,2.794688416E-1,1.051922516E1
1.608700208E0,1.050365753E0,9.912387085E-1,1.223331070E1
1.628553208E0,1.628463593E0,1.786684570E0,1.122770187E1
1.648407208E0,1.624272308E0,1.986519012E0,9.870025177E0
1.668260208E0,1.720522156E0,2.095342712E0,9.495204620E0
1.688114208E0,2.109413452E0,2.217339020E0,9.948312378E0
1.707967208E0,2.613115997E0,2.706671448E0,1.058868073E1
1.727821208E0,3.133883057E0,3.265908508E0,9.750723267E0
1.747675208E0,2.666105804E0,4.066294098E0,7.914042664E0
1.767528208E0,3.061882782E0,4.396657104E0,9.210197296E0
1.787382208E0,2.306403809E0,3.793411560E0,1.008422974E1
1.807235208E0,2.951562195E0,3.829636230E0,1.052431458E1
1.827089208E0,2.290985870E0,4.337679749E0,9.145831146E0
1.846943208E0,1.835034027E0,4.538412323E0,8.304730225E0
1.866796208E0,1.645228729E0,4.597239990E0,8.290360107E0
1.886650208E0,1.695224762E0,4.077969818E0,8.598569183E0
1.906503208E0,1.909728699E0,4.270768890E0,1.001971390E1
1.926357208E0,1.066981201E0,4.421804810E0,1.004590942E1
1.946210208E0,1.208437042E0,4.405488739E0,8.568032684E0
1.966064208E0,2.116748199E0,4.700076141E0,7.495213623E0
1.985918208E0,2.070195007E0,5.003944244E0,7.723339233E0
2.005771208E0,1.215771790E0,4.242028656E0,6.397246857E0
2.025625208E0,5.284011841E-2,3.434607697E0,6.485862579E0
2.045478208E0,1.497935028E0,3.265908508E0,9.242080994E0
2.065332208E0,1.709445190E0,3.960913239E0,1.062834824E1
2.085186208E0,1.532812500E-1,3.763324127E0,7.266040192E0
2.105039208E0,-6.319857788E-1,4.336332550E0,5.990991669E0
2.124893208E0,-1.056652679E0,3.332669678E0,6.997798004E0
2.144746208E0,2.638413391E0,4.608616333E0,1.187765030E1
2.164600208E0,1.849404144E0,4.040248260E0,1.184861069E1
2.184454208E0,-1.193019104E-1,3.566333771E0,8.518635406E0
2.204307208E0,-6.945556641E-1,1.746268616E0,7.422614594E0
2.224161208E0,-9.482780457E-1,1.760039978E0,6.629414062E0
2.244014208E0,1.947450256E0,3.338657227E0,7.832013245E0
2.263867208E0,4.379891968E0,5.320236511E0,9.217382355E0
2.283720208E0,2.841990051E0,4.595892792E0,1.100661163E1
2.303574208E0,1.368454285E0,3.318299561E0,1.058194473E1
2.323428208E0,7.644602966E-1,3.238515472E0,1.105211700E1
2.343281208E0,2.532733154E-1,3.668870544E0,1.177930481E1
2.363135208E0,-1.236428833E-1,3.439547424E0,9.533225555E0
2.382988208E0,-1.404529266E0,3.798950043E0,6.881040802E0
2.402842208E0,-2.492017822E0,4.744533691E0,5.928122406E0
2.422696208E0,-2.361189880E0,5.373675385E0,7.204518127E0
2.442549208E0,-9.307644653E-1,4.767136688E0,7.598798218E0
2.462403208E0,-9.017248535E-1,4.117936707E0,7.596103821E0
2.482256208E0,-1.884431305E0,3.776796112E0,7.512278137E0
2.502110208E0,-2.750081177E0,3.318299561E0,7.974666595E0
2.521964208E0,-2.112407227E0,2.601589966E0,6.336922302E0
2.541817208E0,-2.355950775E0,3.926335144E0,8.144862671E0
2.561671208E0,-5.008584595E-1,4.485871582E0,9.495054932E0
2.581524208E0,-1.369202728E0,2.999612274E0,9.622290344E0
2.601378208E0,-1.697021027E0,2.795736237E0,9.304650879E0
2.627828250E0,-2.686164093E0,4.143533478E0,6.960375824E0
2.647682250E0,-2.812052307E0,4.080963593E0,7.558082886E0
2.667536250E0,-1.975292358E0,4.163442078E0,8.952283630E0
2.687389250E0,-1.534459076E0,4.204456787E0,9.211694183E0
2.707243250E0,-1.613794098E0,4.407883759E0,8.681496735E0
2.727096250E0,-1.778451691E0,4.463717651E0,8.454269257E0
2.746950250E0,-1.925446014E0,4.536166992E0,8.991352386E0
2.766804250E0,-1.990261230E0,4.113745422E0,8.925938416E0
2.786657250E0,-2.221679993E0,3.954326935E0,8.489745483E0
