"Time (s)","X (hPa)"
-5.008378334E-1,1.026937103E3
5.298751666E-1,1.026950073E3
1.560545167E0,1.026963120E3
2.591246167E0,1.026980743E3
3.621917167E0,1.026980743E3
3.817103167E0,1.026976089E3
4.881092167E0,1.026975327E3
5.945074167E0,1.026975327E3
7.009109167E0,1.026973572E3
8.073097167E0,1.026973572E3
9.137099167E0,1.026975937E3
1.020105717E1,1.026977463E3
1.126501917E1,1.026977463E3
1.232899317E1,1.026973343E3
1.339298317E1,1.026969833E3
1.445693317E1,1.026963425E3
1.552088217E1,1.026956787E3
1.658484317E1,1.026938171E3
1.764884317E1,1.026895218E3
1.871281717E1,1.026811600E3
1.977671717E1,1.026735077E3
2.084058417E1,1.026667099E3
2.190455717E1,1.026620102E3
2.296853717E1,1.026620102E3
2.403253217E1,1.026674728E3
2.509653217E1,1.026752090E3
2.616050617E1,1.026830292E3
2.722449017E1,1.026902084E3
2.828848417E1,1.026939468E3
2.935245817E1,1.026961823E3
3.041642417E1,1.026965637E3
3.148037717E1,1.026965637E3
3.254433917E1,1.026955643E3
3.360833417E1,1.026942902E3
3.467227117E1,1.026942062E3
3.573627117E1,1.026942062E3
3.680033817E1,1.026951447E3
3.786435017E1,1.026962585E3
3.892833817E1,1.026970978E3
3.999229117E1,1.026970978E3
4.105625917E1,1.026970062E3
4.212018017E1,1.026954422E3
4.318414917E1,1.026939087E3
4.424815517E1,1.026916809E3
4.531215617E1,1.026898499E3
4.637614517E1,1.026892090E3
4.744011917E1,1.026892090E3
4.850401717E1,1.026894073E3
4.956792117E1,1.026908340E3
5.063189317E1,1.026927338E3
5.169587917E1,1.026930618E3
5.275989117E1,1.026930618E3
5.382387617E1,1.026929550E3
5.488787717E1,1.026927109E3
5.595187417E1,1.026917191E3
5.701587317E1,1.026911316E3
5.807985217E1,1.026899490E3
5.914381617E1,1.026890182E3
6.020777617E1,1.026884766E3
6.127174517E1,1.026879272E3
6.233569117E1,1.026879272E3
6.339965017E1,1.026884155E3
6.446361217E1,1.026885757E3
6.552759317E1,1.026888123E3
6.659155317E1,1.026887970E3
6.765548017E1,1.026887970E3
6.871941717E1,1.026887970E3
6.978337717E1,1.026882477E3
7.084739017E1,1.026877747E3
7.191144217E1,1.026877213E3
7.297543817E1,1.026877747E3
7.403947317E1,1.026879272E3
7.510350517E1,1.026890640E3
7.616749517E1,1.026890640E3
7.723138017E1,1.026885986E3
7.829531617E1,1.026877747E3
7.935929817E1,1.026868134E3
8.042331117E1,1.026849442E3
8.148734217E1,1.026839066E3
8.255126917E1,1.026828766E3
8.361518317E1,1.026817780E3
8.467911417E1,1.026812820E3
8.574306617E1,1.026812820E3
8.680712217E1,1.026819305E3
8.787116017E1,1.026832809E3
8.893519817E1,1.026851120E3
8.999928717E1,1.026858673E3
9.106328217E1,1.026869659E3
9.212723417E1,1.026872559E3
9.319118617E1,1.026872559E3
9.425514717E1,1.026867905E3
9.531913617E1,1.026865616E3
9.638308017E1,1.026850510E3
9.744701117E1,1.026816177E3
9.851096517E1,1.026779938E3
9.957494217E1,1.026744308E3
1.006389702E2,1.026744308E3
1.017030012E2,1.026749191E3
1.027669932E2,1.026786499E3
1.038309302E2,1.026826706E3
1.048949062E2,1.026863708E3
1.059589422E2,1.026892395E3
1.070229452E2,1.026894379E3
1.080869202E2,1.026898804E3
1.091508492E2,1.026899643E3
1.102147592E2,1.026905212E3
1.112787042E2,1.026908340E3
1.123426142E2,1.026908340E3
1.134066082E2,1.026907043E3
1.144706512E2,1.026905975E3
1.155346452E2,1.026901016E3
1.165986132E2,1.026889877E3
1.176625832E2,1.026885605E3
1.187265642E2,1.026885223E3
1.197905742E2,1.026884918E3
1.208545822E2,1.026879807E3
1.219186302E2,1.026874390E3
1.229826632E2,1.026868362E3
1.240466722E2,1.026867676E3
1.251106682E2,1.026860733E3
1.261746342E2,1.026860733E3
1.272386012E2,1.026866074E3
1.283025922E2,1.026866074E3
1.293666542E2,1.026861572E3
1.304306782E2,1.026858826E3
1.314946552E2,1.026858826E3
1.325586732E2,1.026863022E3
1.336227002E2,1.026869583E3
1.346867682E2,1.026881790E3
1.357507902E2,1.026890640E3
1.368148212E2,1.026899872E3
1.378788862E2,1.026904526E3
1.389429502E2,1.026907120E3
1.400069892E2,1.026908798E3
1.410710492E2,1.026914215E3
1.421351222E2,1.026914215E3
1.431992342E2,1.026914215E3
1.442633552E2,1.026914062E3
1.453274372E2,1.026914062E3
1.463915422E2,1.026910019E3
1.474556292E2,1.026910019E3
1.485197162E2,1.026911316E3
1.495838342E2,1.026912918E3
1.506479032E2,1.026916580E3
1.517120002E2,1.026928329E3
1.527760612E2,1.026930389E3
1.538401922E2,1.026930389E3
1.549042992E2,1.026930389E3
1.559683662E2,1.026930084E3
1.570324772E2,1.026928101E3
1.580965652E2,1.026917801E3
1.591606402E2,1.026916504E3
1.602247902E2,1.026916504E3
1.612888922E2,1.026916962E3
1.623529452E2,1.026920319E3
1.634170182E2,1.026925659E3
1.644810932E2,1.026928787E3
1.655451862E2,1.026930466E3
1.666093202E2,1.026930466E3
1.676734952E2,1.026930466E3
1.687375782E2,1.026930466E3
1.698016602E2,1.026931305E3
1.708656992E2,1.026932602E3
1.719297432E2,1.026933441E3
1.729938492E2,1.026940384E3
1.740580232E2,1.026940384E3
1.751221652E2,1.026935959E3
1.761862762E2,1.026935272E3
1.772503842E2,1.026935272E3
1.783145082E2,1.026928787E3
1.793786012E2,1.026928787E3
1.804426772E2,1.026933975E3
1.815068022E2,1.026933975E3
1.825709422E2,1.026913605E3
1.836350792E2,1.026913605E3
1.846991822E2,1.026935501E3
1.857633022E2,1.026947861E3
1.868274332E2,1.026969147E3
1.878915802E2,1.027004776E3
1.889557342E2,1.027004776E3
1.900199202E2,1.026989822E3
1.910840972E2,1.026966019E3
1.921482442E2,1.026942902E3
1.932123952E2,1.026919861E3
1.942765192E2,1.026899948E3
1.953406652E2,1.026885147E3
1.964048602E2,1.026878891E3
1.974690032E2,1.026878891E3
1.985331552E2,1.026880722E3
1.995972392E2,1.026884537E3
2.006613782E2,1.026887741E3
2.017254742E2,1.026887741E3
2.027895882E2,1.026878204E3
2.038537412E2,1.026871872E3
2.049178392E2,1.026854477E3
2.059819702E2,1.026836548E3
2.070460512E2,1.026820068E3
2.081100942E2,1.026807098E3
2.091741092E2,1.026793213E3
2.102381802E2,1.026792145E3
2.113022642E2,1.026779022E3
2.123663682E2,1.026773148E3
2.134305022E2,1.026771545E3
2.144945632E2,1.026771545E3
2.155586572E2,1.026771545E3
2.166227942E2,1.026781616E3
2.176869002E2,1.026781616E3
2.187509922E2,1.026780396E3
2.198151032E2,1.026777344E3
2.208791982E2,1.026772919E3
2.219433122E2,1.026772919E3
2.230074062E2,1.026784973E3
2.240715202E2,1.026789856E3
2.251355932E2,1.026800919E3
2.261997472E2,1.026809235E3
2.272638712E2,1.026814499E3
2.283279922E2,1.026815262E3
2.293920952E2,1.026815262E3
2.304562142E2,1.026815262E3
2.315202632E2,1.026809006E3
2.325843212E2,1.026794815E3
2.336484102E2,1.026789246E3
2.347125242E2,1.026784515E3
2.357766752E2,1.026771698E3
2.368407752E2,1.026749725E3
2.379048692E2,1.026736298E3
2.389689692E2,1.026702652E3
2.400330732E2,1.026667938E3
2.410972052E2,1.026651230E3
2.421612972E2,1.026651230E3
2.432253552E2,1.026654892E3
2.442893642E2,1.026691666E3
2.453534152E2,1.026724091E3
2.464174872E2,1.026752701E3
2.474815662E2,1.026778717E3
2.485456652E2,1.026779861E3
2.496097952E2,1.026779861E3
2.506738752E2,1.026769867E3
2.517379852E2,1.026769791E3
2.528021152E2,1.026769791E3
2.538662742E2,1.026782303E3
2.549304462E2,1.026782303E3
2.559945702E2,1.026769333E3
2.570586842E2,1.026760788E3
2.581227942E2,1.026756134E3
2.591868812E2,1.026756134E3
2.602509582E2,1.026767120E3
2.613150782E2,1.026800919E3
2.623791792E2,1.026842422E3
2.634432882E2,1.026872711E3
2.645074032E2,1.026893616E3
2.655714922E2,1.026909027E3
2.666355812E2,1.026914597E3
2.676996242E2,1.026914597E3
2.687637652E2,1.026912155E3
2.698279362E2,1.026903915E3
2.708919852E2,1.026893387E3
2.719560342E2,1.026887283E3
2.730201022E2,1.026882477E3
2.740842042E2,1.026871490E3
2.751482982E2,1.026865616E3
2.762124302E2,1.026862259E3
2.772765982E2,1.026855545E3
2.783407002E2,1.026848907E3
2.794047742E2,1.026843643E3
2.804688432E2,1.026835938E3
2.815329262E2,1.026831512E3
2.825969842E2,1.026831512E3
2.836610162E2,1.026838379E3
2.847250612E2,1.026850433E3
2.857890962E2,1.026861649E3
2.868531002E2,1.026861649E3
2.879171532E2,1.026858063E3
2.889812762E2,1.026839523E3
2.900453812E2,1.026819229E3
2.911094572E2,1.026798019E3
2.921735022E2,1.026794815E3
2.932375582E2,1.026794815E3
2.943015672E2,1.026804810E3
2.953655822E2,1.026815262E3
2.964296452E2,1.026828537E3
2.974937252E2,1.026828537E3
2.985578072E2,1.026821442E3
2.996219292E2,1.026816330E3
3.006860672E2,1.026807861E3
3.017501792E2,1.026795883E3
3.028143092E2,1.026791306E3
3.038784472E2,1.026791306E3
3.049425622E2,1.026794510E3
3.060067112E2,1.026795120E3
3.070708682E2,1.026809616E3
3.081350252E2,1.026809998E3
3.091991672E2,1.026810226E3
3.102633032E2,1.026811905E3
3.113274952E2,1.026811905E3
3.123916812E2,1.026815338E3
3.134558252E2,1.026816177E3
3.145200002E2,1.026819077E3
3.155841412E2,1.026819077E3
3.166483302E2,1.026819077E3
3.177124882E2,1.026816711E3
3.187766072E2,1.026816101E3
3.198407642E2,1.026814194E3
3.209048752E2,1.026810684E3
3.219689622E2,1.026808929E3
3.230330592E2,1.026796112E3
3.240971522E2,1.026795349E3
3.251612572E2,1.026794205E3
3.262253552E2,1.026785431E3
3.272895112E2,1.026770401E3
3.283536502E2,1.026755981E3
3.294178062E2,1.026743927E3
3.304819492E2,1.026728973E3
3.315460772E2,1.026703491E3
3.326102202E2,1.026692581E3
3.336743142E2,1.026682510E3
3.347383952E2,1.026666412E3
