"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.194029165E-2,-1.607999057E-1,-3.609890342E-1,-9.016231447E-2
6.179229158E-2,-2.766584754E-1,-3.217195272E-1,-1.736074090E-1
8.164429164E-2,-5.196759105E-1,-2.218946368E-1,-2.001494020E-1
1.014962916E-1,-6.328638792E-1,-1.974237412E-1,-2.075725198E-1
1.213482916E-1,-7.021420598E-1,-3.740324378E-1,-2.353169024E-1
1.412002916E-1,-9.615951180E-1,-5.362073779E-1,-4.783647656E-1
1.610532916E-1,-1.273027778E0,-4.726411700E-1,-8.461874127E-1
1.809052916E-1,-1.764978647E0,-2.913764417E-1,-8.640175462E-1
2.007572916E-1,-2.262002707E0,-4.704679549E-1,-5.557084680E-1
2.206092916E-1,-2.833185673E0,-1.562634230E0,-3.909179568E-1
2.404612916E-1,-3.211102962E0,-2.109864473E0,-1.818707585E-1
2.603132917E-1,-3.637857676E0,-2.787273169E0,5.135756135E-1
2.801652916E-1,-4.165329933E0,-3.575156927E0,1.081817269E0
3.000172917E-1,-4.923658371E0,-3.706553459E0,1.163474321E0
3.198692916E-1,-5.517720222E0,-3.607772589E0,1.308331728E0
3.397212917E-1,-4.564926624E0,-3.386589050E0,1.966450214E0
3.595732916E-1,-2.747523069E0,-8.654459715E-1,1.949722886E0
3.794262917E-1,-1.389141560E0,1.780979514E0,1.635692000E0
3.992782916E-1,-4.505644143E-1,2.829148054E0,2.145009518E0
4.191302917E-1,-1.014227942E-1,3.251536191E-1,2.616227150E0
4.389822916E-1,1.642855406E-1,-4.654294252E-1,1.874168038E0
4.588342917E-1,3.149459958E-1,-5.985545516E-1,6.346167922E-1
4.786862916E-1,4.846994877E-1,-1.063587785E0,-7.778261900E-1
4.985382917E-1,1.143986106E0,-1.453817606E0,-1.557223439E0
5.183902916E-1,2.342833519E0,-1.375685215E0,-1.336657524E0
5.382422917E-1,2.655330420E0,-1.721307397E0,-1.216150403E0
5.580942916E-1,1.995580673E0,-1.135910869E0,-5.250660181E-1
5.779472917E-1,1.322073936E0,-1.145360351E0,1.501081586E-1
5.977992916E-1,1.018018246E0,-5.764133334E-1,1.667206921E-2
6.176512917E-1,1.150851369E0,-7.410651445E-1,5.896584690E-2
6.375032916E-1,1.666693926E0,-5.533553958E-1,-1.196017563E-1
6.573552917E-1,1.276223183E0,-1.527824044E0,-5.624516010E-1
6.772072916E-1,2.675789297E-1,-1.566292644E0,-3.238843679E-1
6.970597917E-1,6.384319663E-1,-6.971814632E-1,2.576757967E-1
7.169117916E-1,1.274816155E0,-2.003999233E0,1.276001811E0
