"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.194029165E-2,-5.693547902E-1,-1.770653844E-2,4.220005703E-1
6.179229158E-2,-3.522333473E-2,-5.914867938E-2,-2.031784648E-1
8.164429164E-2,-6.453373110E-1,-1.254350549E-1,-8.106673336E-1
1.014962916E-1,-2.207052013E-1,-1.556838709E-1,-8.695675063E-1
1.213482916E-1,8.925540805E-2,-1.704691404E-1,-9.893447953E-1
1.412002916E-1,8.778746456E-2,5.048842674E-1,-1.503876969E0
1.610532916E-1,1.048878514E0,7.470888036E-1,-9.482897401E-1
1.809052916E-1,9.669391420E-1,3.109373868E-2,-1.324973220E0
2.007572916E-1,-1.978294319E-1,-2.665140429E-1,-2.241863412E0
2.206092916E-1,1.041754559E-1,-1.271449562E0,-3.758472692E0
2.404612916E-1,-1.104094648E-1,-1.099245845E0,-3.627008573E0
2.603132917E-1,-2.343820434E0,-2.775272736E-1,-1.616296706E0
2.801652916E-1,-1.483407036E0,2.813789807E-1,-5.128166002E-1
3.000172917E-1,1.329171374E0,-7.334070499E-1,-7.707881534E-1
3.198692916E-1,2.070901643E0,-1.891788710E0,-1.661541876E0
3.397212917E-1,7.091735570E-1,-3.527652977E-1,1.165216763E0
3.595732916E-1,9.540637925E-1,1.329270777E0,2.684554355E0
3.794262917E-1,2.638033322E0,3.585731909E-2,1.032693129E0
3.992782916E-1,3.643059473E-1,-1.516963330E0,-1.215425634E-1
4.191302917E-1,-3.399604509E0,-3.321095699E0,-4.288552612E-1
4.389822916E-1,-3.219740063E-1,1.074233064E0,5.150736254E-1
4.588342917E-1,7.570656154E-1,1.944748989E0,-6.702072734E-1
4.786862916E-1,2.926550145E0,1.724714609E0,1.884029601E0
4.985382917E-1,2.342931949E0,-9.816422582E-2,2.642404701E0
5.183902916E-1,-6.875775238E-1,-7.557383705E-1,3.137934592E0
5.382422917E-1,-1.093143362E-1,1.604087135E-1,6.835839486E-1
5.580942916E-1,-2.438662857E0,-4.772939611E-2,-2.028511961E0
5.779472917E-1,-8.284958596E-1,2.604254103E-1,-1.917782069E0
5.977992916E-1,7.709011509E-1,-7.800641763E-1,-1.845110534E0
6.176512917E-1,6.553847279E-1,-4.164674232E-1,-2.080037625E0
6.375032916E-1,2.970392568E0,5.721362375E-1,-1.462778059E0
6.573552917E-1,3.018204081E0,-6.704269825E-1,-1.697872966E0
6.772072916E-1,2.496478955E-1,-5.020292182E-1,-3.573179691E0
6.970597917E-1,-1.557742250E0,-2.659407234E-1,-2.785922270E0
7.169117916E-1,-2.322169071E0,-1.283489271E0,-2.983348244E0
7.367637916E-1,3.109047885E-1,-4.401012111E0,-4.618068942E0
7.566167916E-1,3.559388156E0,-2.168762545E0,-3.472691782E0
7.764687916E-1,2.224319133E0,-6.688667992E-1,-1.258960494E0
7.963207916E-1,-1.117686501E0,-1.306203657E0,5.017337877E-1
8.161727916E-1,-1.160496306E0,-3.134907196E0,-1.169622055E0
8.360247916E-1,2.711617023E-1,-3.231617512E0,-2.755741866E0
8.558767916E-1,3.161200663E-1,-2.201456959E0,-9.215451604E-1
8.757287916E-1,-5.192578930E-1,-1.635776267E0,1.678771867E0
8.955807916E-1,-3.587611789E-1,-2.175003863E0,2.090598282E0
9.154327916E-1,1.617743307E-1,-3.041226031E0,1.902729582E0
9.352857916E-1,4.293557829E-1,-4.452971054E0,2.796141449E0
9.551377916E-1,-1.002855957E-2,-5.187611720E0,1.659078444E0
9.749897916E-1,2.106073523E-1,-3.752651204E0,6.021655637E-1
9.948417916E-1,3.069127482E-1,-6.233590892E-1,-1.950921748E0
1.014693792E0,-4.791144186E-1,1.027690251E0,-3.124968976E0
1.034545792E0,-1.644620619E0,-7.268094903E-1,-1.685207897E0
1.054397792E0,-1.835412342E0,-2.484872232E0,-1.885744590E-1
1.074249792E0,-3.088237937E0,-3.411844194E0,1.797287326E0
1.094102792E0,-2.534038253E0,-3.108248278E0,4.850377650E0
1.113954792E0,1.701859013E0,-1.213277952E0,8.281992157E0
1.133806792E0,3.906906016E0,-1.801567488E0,9.271008339E0
1.153658792E0,7.390740252E0,-5.086668313E-2,9.530089694E0
1.173510792E0,9.121224309E0,1.966537907E0,9.539074525E0
1.193362792E0,8.299723254E0,2.609951484E0,7.441224527E0
1.213214792E0,7.223801660E0,3.951844207E0,4.857681407E0
1.233066792E0,4.986727703E0,4.105102653E0,1.332675464E0
1.252919792E0,1.792977344E0,4.249368666E0,-2.698519260E-1
1.272771792E0,1.266337926E0,4.236729909E0,4.094334421E-1
1.292623792E0,5.187299479E0,4.835328087E0,1.366987657E0
1.312475792E0,6.277179546E0,5.036847112E0,2.852314480E0
1.332327792E0,3.921926928E0,4.556810587E0,2.301986091E0
1.352179792E0,1.602878516E0,4.570940968E0,-1.332632049E0
1.372031792E0,-1.240100300E0,3.760310472E0,-4.874303872E0
1.391884792E0,-4.807747940E0,-1.183611519E0,-1.001041566E1
1.411736792E0,-5.871809042E0,-5.194508511E-1,-7.242949537E0
1.431588792E0,-3.488997912E0,4.320677215E-1,-2.112086799E0
1.451440792E0,-2.247890137E0,-4.907626569E-1,1.507226838E0
1.471292792E0,-3.156032894E0,-2.963746038E0,3.940961369E0
1.491144792E0,-4.884469841E0,-3.634553820E0,1.754541256E0
1.510996792E0,-3.142887769E0,-1.889793786E0,-1.126519086E-1
1.530848792E0,2.139628939E0,3.242000413E-1,-5.581809803E-1
1.550701792E0,7.968881360E0,2.335506570E-1,-2.623739219E-1
1.570553792E0,4.279523342E0,-1.364082322E0,-2.325935409E-1
1.590405792E0,3.671466708E-2,-3.354220760E0,1.081292188E0
1.610257792E0,-3.160892515E0,-3.381792721E0,1.402566941E0
1.630109792E0,-3.476229932E0,-1.334098384E0,1.116041022E0
1.649961792E0,-1.787800804E0,7.398230535E-1,2.660763423E-1
1.669814792E0,-6.030876696E-2,7.014442688E-1,1.998788810E-1
1.689667167E0,5.030611056E-1,5.777540231E-1,6.204551426E-1
1.709519167E0,6.836020750E-1,2.942611277E-2,8.966214037E-1
1.729371167E0,7.049455816E-1,-1.141702770E0,4.612830421E-1
1.749223167E0,9.431868750E-1,-3.121871122E0,-1.961902527E0
1.769075167E0,4.425289750E-2,-2.566600227E0,-3.441939520E0
1.788927167E0,-3.736440969E-1,4.944370472E-1,-1.156007252E0
1.808779167E0,-5.515707761E-1,1.909933351E0,1.907396829E-1
1.828632167E0,-8.108661389E-1,2.495025045E0,9.670932162E-1
1.848484167E0,-1.118780515E0,2.094922882E0,1.294028731E0
1.868336167E0,-1.141498702E0,1.305880306E0,6.873929711E-1
1.888188167E0,-1.477592565E0,3.846783775E-1,5.891667648E-1
1.908040167E0,-2.281093843E0,-1.286234831E0,1.354894592E0
1.927892167E0,-4.672548035E-1,2.412552407E0,5.005241449E-1
1.947745167E0,-1.961182442E-1,9.450755256E-1,1.838832378E-2
1.967597167E0,5.737983817E-1,-4.299440128E-1,-7.994816101E-1
1.987449167E0,2.050786929E0,-3.188539320E-1,-3.155778540E0
2.007301167E0,2.140105779E0,2.322940904E0,-1.317063106E0
2.027153167E0,1.376089433E0,4.481745787E0,6.086136539E-2
2.047005167E0,1.174353037E0,4.547755589E0,4.047535865E-1
2.066857167E0,1.910027199E0,1.295590961E0,5.053573072E-1
2.086710167E0,1.434987705E0,-5.170957680E0,1.572143211E0
2.106562167E0,5.468995817E-1,-1.047066520E1,1.999415631E0
2.126414167E0,-3.207832208E-1,-6.337053865E0,1.920061898E0
2.146266167E0,1.257641070E0,5.771915794E0,-3.589036170E0
2.166118167E0,3.913903964E-1,1.040280476E0,-5.633633237E0
2.185970167E0,1.439956523E-1,-2.473493258E0,-2.373431611E0
2.205823167E0,-2.582917614E-1,-2.159662085E0,5.400699607E-1
2.225675167E0,-2.462879393E0,-6.547329680E0,1.337275761E0
2.245527167E0,-1.344596622E0,-4.855892159E0,9.451872075E-1
2.265379167E0,7.829066540E-1,-2.896734023E0,6.560260212E-1
2.285231167E0,6.610490134E0,1.799093531E0,2.796547830E0
2.305083167E0,3.504232540E0,5.004903772E0,-8.291340832E-1
2.324936167E0,1.296231670E0,1.058191550E1,-5.336473060E-1
2.344788167E0,-1.782230892E0,5.082714425E0,-1.399869035E0
2.364640167E0,-5.576261526E0,-2.653337824E-1,-3.510983296E-1
2.384492167E0,-6.589310349E0,-2.779360524E0,2.094936769E-2
2.404344167E0,-3.232851567E0,-1.079113004E0,5.400242794E-1
2.424196167E0,-1.899649268E-1,-2.404731756E0,3.685616970E-1
2.444049167E0,4.134167408E0,-1.438407449E0,1.099301101E0
2.463901167E0,4.866590225E0,-2.877842254E0,-9.620330358E-1
2.483753167E0,3.152741497E0,-3.619437599E0,-1.761221116E0
2.503605167E0,2.689187981E0,-1.808853119E0,-1.697844315E0
2.523457167E0,1.079194281E0,1.733039290E0,-1.066092424E0
2.543309167E0,-2.193377422E0,3.135872864E0,3.098556519E-1
2.563161167E0,-5.026209272E0,1.532426584E0,8.375364590E-1
2.583014167E0,-5.237485546E0,-4.329863191E-3,2.105898472E-1
2.602866167E0,-2.220252395E0,-1.816376147E0,1.617877793E-1
2.622718167E0,1.615985634E0,-7.945079684E-1,2.538630802E-2
2.642570167E0,2.556451215E0,-2.615629131E-1,-3.632477109E-1
2.662422167E0,2.300134424E0,2.276098859E-1,-3.474801457E-1
2.682273333E0,2.224640438E0,2.142554301E-1,-5.896156847E-1
2.702126333E0,1.647571416E0,-3.580431408E-1,-1.181509445E0
2.721978333E0,7.693751737E-1,2.849172771E-2,-1.601868117E-1
2.741830333E0,-5.662075263E-1,-2.612360537E-2,-4.797973734E-1
2.761682333E0,-1.021329650E0,2.677328950E-1,-1.973137075E-1
2.781534333E0,-8.443356013E-1,7.475127268E-1,2.008051713E-2
2.801386333E0,-7.283642650E-1,9.081971365E-1,1.391426917E-1
2.821239333E0,-3.193132308E-1,6.048646384E-1,2.165106829E-1
2.841091333E0,3.489153448E-1,1.947672451E-1,3.566006327E-1
2.860943333E0,8.839633512E-1,-2.744858444E-1,2.802348268E-1
2.880795333E0,1.152493806E0,-2.597485220E-1,1.355793893E-1
2.900647333E0,9.587052391E-1,2.776871949E-1,1.572433233E-2
2.920499333E0,7.735635343E-1,3.714513910E-1,-2.205686688E-2
2.940352333E0,6.259409273E-1,6.947345889E-1,6.449828784E-2
2.960204333E0,2.930981165E-1,2.622493762E-1,9.272866328E-2
2.980056333E0,-4.548666000E-2,-2.842009932E-1,-5.904519279E-2
2.999908333E0,-6.159223080E-2,-2.636725885E-1,-1.772255981E-1
3.019760333E0,-4.019697636E-2,-2.691333032E-1,-3.462066221E-1
3.039612333E0,-1.496394579E-1,4.800914884E-2,-3.146328270E-1
3.059465333E0,7.761009336E-2,5.861418539E-1,-2.291874647E-2
3.079317333E0,1.245683514E-1,4.177765417E-1,-1.501214147E-2
3.099169333E0,1.264694273E-1,3.802713311E-1,8.688724916E-2
3.119021333E0,1.018636130E-1,-1.274043971E-1,2.923268322E-1
3.138873333E0,5.984756783E-2,-3.816378254E-1,3.723074234E-1
3.158725333E0,2.131693098E-1,8.327604532E-3,5.792895019E-1
3.178578333E0,-6.656791896E-2,-2.515688521E-1,4.046167982E-1
3.198430333E0,-3.423006821E-1,-2.427471578E-1,-2.010775967E-1
3.218282333E0,-1.254400250E-1,1.910612798E-1,-8.284568294E-1
3.238134333E0,2.554723071E-1,6.515499777E-1,-1.021707380E0
3.257986333E0,5.097143599E-1,5.763465983E-1,-1.837839083E-1
3.277839333E0,1.205158655E0,1.727989050E0,1.445325290E0
3.297691333E0,1.454950830E0,2.958463079E-1,3.523076069E0
3.317543333E0,-1.846156016E-1,-1.124401444E0,7.364521337E-1
3.337395333E0,-1.409796438E0,-1.520290103E0,-2.530139329E0
3.357247333E0,-5.397458057E-1,-2.876385713E-1,-8.067134464E-1
3.377099333E0,5.471517429E-1,1.200287778E0,1.147574544E-2
3.396952333E0,-1.893831289E0,-1.817456127E0,-2.167161723E0
3.416804333E0,-1.371186981E0,3.344572270E-1,-6.561242545E-1
3.436656333E0,6.646296144E-2,4.221683854E0,1.026648862E0
3.456508333E0,-1.613971853E0,-2.773243167E0,9.905828336E-2
3.476360333E0,-1.162846594E0,-3.332456839E0,-7.562841350E-1
3.496213333E0,9.013143790E-1,-2.268026778E0,-1.147583315E0
3.516065333E0,1.744841895E0,-1.796630099E0,-9.114091583E-3
3.535917333E0,8.083009654E-1,-3.623369266E0,-7.560285386E-1
3.555769333E0,-3.910059419E-1,-2.945666447E0,-7.040737617E-1
3.575621333E0,-1.458418083E0,5.477940595E-1,-7.608133882E-1
3.595474333E0,-1.963690898E0,8.190615964E-1,-1.179189270E0
3.615326333E0,-3.117835958E0,4.884413123E-2,5.241227764E-1
3.635178333E0,-2.459143022E0,3.074238533E0,1.159473628E-1
3.655030333E0,-1.054785079E-1,4.520399390E0,-3.565569247E-1
3.674882333E0,2.830394438E0,3.647387874E0,1.866307714E0
3.694734917E0,5.090279553E0,2.151734430E0,6.382784061E-1
3.714587917E0,2.811069975E0,-3.233083409E-1,-1.597417216E0
3.734439917E0,3.884761441E-1,-1.735341924E0,-2.158434169E0
3.754291917E0,9.911793593E-1,-3.858755364E0,-5.327418646E-1
