"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.632700443E-2,5.201333290E1,5.170814155E0,5.084210955E0,NaN,NaN,1.099995128E1,3.000000000E1
3.737902641E-2,5.201333290E1,5.170814155E0,4.938356628E0,NaN,NaN,1.099995128E1,3.000000000E1
7.997298241E-2,5.201333290E1,5.170814155E0,4.937479248E0,NaN,NaN,1.099995128E1,3.000000000E1
2.673483968E0,5.201334155E1,5.170765656E0,7.629421234E0,1.070000052E0,9.878906250E1,1.020602915E1,2.400000000E1
4.293512940E0,5.201334631E1,5.170819085E0,4.083522797E0,1.070000052E0,5.167968750E1,8.393112793E0,3.000000000E0
5.292637944E0,5.201339134E1,5.170850635E0,3.698329926E0,1.070000052E0,5.167968750E1,6.326045663E0,3.000000000E0
7.294781089E0,5.201340564E1,5.170855046E0,3.665065765E0,0.000000000E0,3.867187500E0,4.998814838E0,3.000000000E0
9.292693973E0,5.201337844E1,5.170882706E0,3.437099457E0,1.800000072E-1,3.867187500E0,4.357021548E0,3.000000000E0
1.029493392E1,5.201337071E1,5.170886349E0,2.851406097E0,1.800000072E-1,1.061718750E2,4.210051773E0,3.000000000E0
1.129414594E1,5.201334742E1,5.170890233E0,3.709072113E0,2.300000042E-1,1.061718750E2,3.475664058E0,3.000000000E0
1.229376090E1,5.201333980E1,5.170911253E0,3.785366058E0,7.200000286E-1,1.061718750E2,2.973288908E0,3.000000000E0
1.329356492E1,5.201333982E1,5.170922098E0,4.297084808E0,7.500000000E-1,3.550781250E1,2.956627941E0,3.000000000E0
1.428726494E1,5.201334580E1,5.170927968E0,4.094020844E0,7.500000000E-1,3.483984375E2,3.067435121E0,3.000000000E0
1.529417312E1,5.201336627E1,5.170928125E0,4.094020954E0,7.500000000E-1,3.483984358E2,2.664073600E0,3.279250970E0
1.629349375E1,5.201337466E1,5.170925370E0,4.078551479E0,1.299999952E0,3.382031195E2,3.155872892E0,3.275857192E0
1.729439795E1,5.201338255E1,5.170922333E0,4.099674369E0,2.690000057E0,3.227343563E2,3.798302775E0,3.273206775E0
1.829263008E1,5.201339107E1,5.170919858E0,4.091287149E0,2.859999895E0,3.301171712E2,4.373897229E0,3.267265281E0
1.929380333E1,5.201340034E1,5.170915821E0,4.103109075E0,3.099999905E0,3.255468548E2,5.682299521E0,3.266814965E0
2.029406261E1,5.201338975E1,5.170911167E0,7.457933134E-1,3.099999905E0,3.262499802E2,4.970357262E0,2.997146780E1
2.129317737E1,5.201338995E1,5.170911048E0,7.463274378E-1,3.839999914E0,3.178124704E2,7.212134010E0,2.996141341E1
2.229362988E1,5.201339011E1,5.170910883E0,7.496029232E-1,3.839999914E0,3.318749792E2,8.803219923E0,2.995643314E1
2.329374945E1,5.201339092E1,5.170910252E0,7.579637214E-1,NaN,NaN,1.009946440E1,2.991788986E1
2.429193115E1,5.201333290E1,5.170814155E0,7.591788634E-1,NaN,NaN,1.099995128E1,2.987517607E1
2.529394281E1,5.201333290E1,5.170814155E0,7.862423442E-1,NaN,NaN,1.099995128E1,2.978552280E1
2.629265881E1,5.201333290E1,5.170814155E0,8.089509467E-1,NaN,NaN,1.099995128E1,2.960943171E1
2.729318607E1,5.201381576E1,5.170443034E0,2.842251720E0,3.250000000E0,3.139452856E2,6.917852891E0,3.000000000E0
2.829272032E1,5.201380403E1,5.170503747E0,3.019436613E0,2.910000086E0,3.297656082E2,6.701651535E0,3.000000000E0
2.929878008E1,5.201381934E1,5.170565137E0,3.670315527E0,2.910000086E0,9.492193043E0,6.216032290E0,3.000000000E0
3.058331573E1,5.201382587E1,5.170566958E0,3.180325027E0,2.269999981E0,4.957033243E1,4.748651530E0,3.077358139E0
3.157348549E1,5.201385420E1,5.170568452E0,3.430752365E0,2.539999962E0,4.289064465E1,4.748651530E0,3.967487314E0
3.257363212E1,5.201386456E1,5.170592166E0,3.693447637E0,2.420000076E0,5.132814669E1,4.748651530E0,3.462393439E0
3.358079803E1,5.201387871E1,5.170612728E0,4.260098035E0,2.420000076E0,4.007814301E1,4.748651530E0,4.029364438E0
3.457523131E1,5.201388874E1,5.170633984E0,4.102383118E0,2.250000000E0,4.570314338E1,4.748651530E0,4.029364438E0
3.557310224E1,5.201391515E1,5.170694088E0,3.172600509E0,2.811777765E0,4.273595060E1,1.188596674E1,3.140335088E0
3.657277715E1,5.201393555E1,5.170718385E0,3.181760546E0,2.836437141E0,4.206021802E1,1.797760192E1,3.993388954E0
3.757363904E1,5.201396485E1,5.170760648E0,3.111165072E0,3.555472647E0,4.548014631E1,1.569035198E1,3.283660904E0
3.857395267E1,5.201398554E1,5.170803386E0,3.068393944E0,3.859849439E0,4.821971181E1,1.590517686E1,3.282931355E0
3.957480812E1,5.201401344E1,5.170859668E0,3.048305908E0,4.211990650E0,4.813616066E1,1.448531253E1,3.533237762E0
4.057427073E1,5.201404386E1,5.170910588E0,3.214885404E0,4.393383138E0,4.761403776E1,1.454171767E1,3.700036333E0
4.157453847E1,5.201405441E1,5.170956124E0,3.247539491E0,3.782922319E0,5.683356850E1,1.388386428E1,3.594819377E0
4.257391417E1,5.201408292E1,5.171017561E0,3.506570230E0,4.381925886E0,5.443876295E1,1.410734906E1,3.528158835E0
4.357436728E1,5.201410979E1,5.171066456E0,3.822883017E0,4.475601215E0,5.356597865E1,1.445139514E1,3.591400130E0
4.457390475E1,5.201415735E1,5.171110527E0,3.935395598E0,4.927326391E0,4.756166335E1,1.507215512E1,3.664624433E0
4.557349586E1,5.201418760E1,5.171152991E0,4.033008685E0,4.607319539E0,4.409325347E1,1.505777450E1,3.609995786E0
4.657403851E1,5.201421757E1,5.171206606E0,4.289061357E0,4.819790477E0,4.826638607E1,1.529175326E1,3.802201624E0
4.757222772E1,5.201425515E1,5.171244203E0,4.583162321E0,4.910936020E0,4.575292824E1,1.539844851E1,3.937820284E0
4.857352591E1,5.201429077E1,5.171297373E0,3.956297464E0,5.008038919E0,4.735156859E1,1.516603439E1,3.697313036E0
4.957357430E1,5.201432618E1,5.171341712E0,3.594762538E0,4.904324318E0,4.629953813E1,1.513395941E1,3.823014719E0
5.057356596E1,5.201435269E1,5.171408404E0,3.419011885E0,5.017000590E0,4.860277804E1,1.528047183E1,4.725854214E0
5.157372212E1,5.201438198E1,5.171454717E0,2.928714770E0,4.821659496E0,4.860743079E1,1.499208521E1,4.694327557E0
