"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.194029165E-2,2.323501587E0,-2.873775101E1,-3.936363983E1
6.179229158E-2,1.803268433E0,-2.850992584E1,-3.980269623E1
8.164429164E-2,1.398452759E0,-2.816048813E1,-3.954084015E1
1.014962916E-1,1.427139282E0,-2.748556900E1,-4.012931061E1
1.213482916E-1,1.577270508E0,-2.727942657E1,-4.041844177E1
1.412002916E-1,1.295516968E0,-2.646941376E1,-4.067642212E1
1.610532916E-1,1.141311646E0,-2.564967728E1,-4.081798553E1
1.809052916E-1,1.449508667E0,-2.453603745E1,-4.146351624E1
2.007572916E-1,1.466781616E0,-2.300299835E1,-4.245171356E1
2.206092916E-1,1.067291260E0,-2.092451096E1,-4.354507446E1
2.404612916E-1,-6.791687012E-2,-1.826495743E1,-4.478757477E1
2.603132917E-1,-2.223861694E0,-1.519994354E1,-4.603250122E1
2.801652916E-1,-5.127410889E0,-1.165348816E1,-4.695762634E1
3.000172917E-1,-8.794662476E0,-7.617275238E0,-4.724978638E1
3.198692916E-1,-1.248654175E1,-2.694984436E0,-4.679714203E1
3.397212917E-1,-1.589894104E1,2.766942978E0,-4.577721405E1
3.595732916E-1,-1.780955505E1,7.148616791E0,-4.452644348E1
3.794262917E-1,-1.751683044E1,9.700523376E0,-4.444073486E1
3.992782916E-1,-1.479598999E1,1.110576820E1,-4.522887421E1
4.191302917E-1,-1.263703918E1,1.207475376E1,-4.584381104E1
4.389822916E-1,-1.178524780E1,1.240910530E1,-4.585256958E1
4.588342917E-1,-1.211885071E1,1.281625652E1,-4.584318542E1
4.786862916E-1,-1.269456482E1,1.284077835E1,-4.574452209E1
4.985382917E-1,-1.357669067E1,1.206462383E1,-4.515746307E1
5.183902916E-1,-1.543774414E1,1.064745045E1,-4.506018066E1
5.382422917E-1,-1.695423889E1,8.347669601E0,-4.505251312E1
5.580942916E-1,-1.859236145E1,5.641790390E0,-4.513420105E1
5.779472917E-1,-1.959487915E1,4.055377960E0,-4.468607330E1
5.977992916E-1,-2.073236084E1,2.612760544E0,-4.440623474E1
6.176512917E-1,-2.124398804E1,1.924528122E0,-4.427957153E1
6.375032916E-1,-2.174203491E1,6.480140686E-1,-4.407159424E1
6.573552917E-1,-2.242921448E1,-8.129558563E-1,-4.362786865E1
6.772072916E-1,-2.398097229E1,-1.782907486E0,-4.270261383E1
6.970597917E-1,-2.511155701E1,-2.463491440E0,-4.220084381E1
7.169117916E-1,-2.593629456E1,-2.563917160E0,-4.134210968E1
