"Time (s)","X (hPa)"
-5.016229167E-1,1.016021118E3
5.294700833E-1,1.016013641E3
2.093305250E0,1.015982056E3
3.124358250E0,1.015981903E3
4.155468250E0,1.015982056E3
5.186528250E0,1.015983047E3
6.217581250E0,1.015992661E3
6.412169250E0,1.015992661E3
7.476518250E0,1.015988770E3
8.540875250E0,1.015985184E3
9.605215250E0,1.015978470E3
1.066953325E1,1.015957870E3
1.173390325E1,1.015942459E3
1.279829225E1,1.015931320E3
1.386264125E1,1.015918350E3
1.492698725E1,1.015898514E3
1.599135525E1,1.015885468E3
1.705575025E1,1.015864029E3
1.812013725E1,1.015836411E3
1.918456725E1,1.015813293E3
2.024899925E1,1.015787506E3
2.131336125E1,1.015767593E3
2.237775325E1,1.015767593E3
2.344207125E1,1.015771408E3
2.450634125E1,1.015772629E3
2.557066225E1,1.015787201E3
2.663495525E1,1.015815582E3
2.769926425E1,1.015832214E3
2.876361025E1,1.015841827E3
2.982794825E1,1.015857849E3
3.089224725E1,1.015880127E3
3.195654825E1,1.015890350E3
3.302083325E1,1.015901871E3
3.408513025E1,1.015910263E3
3.514941425E1,1.015910263E3
3.621371925E1,1.015893936E3
3.727799525E1,1.015883713E3
3.834231225E1,1.015866318E3
3.940666425E1,1.015850525E3
4.047102325E1,1.015849686E3
4.153539425E1,1.015849686E3
4.259975025E1,1.015854111E3
4.366405625E1,1.015864868E3
4.472840425E1,1.015872192E3
4.579272325E1,1.015875778E3
4.685705825E1,1.015875778E3
4.792135825E1,1.015870285E3
4.898567125E1,1.015854263E3
5.004997225E1,1.015854263E3
5.111428425E1,1.015857010E3
5.217858325E1,1.015866470E3
5.324282525E1,1.015878677E3
5.430706225E1,1.015905228E3
5.537128025E1,1.015911942E3
5.643547825E1,1.015918274E3
5.749970725E1,1.015919647E3
5.856400725E1,1.015919647E3
5.962828125E1,1.015901031E3
6.069257925E1,1.015888214E3
6.175685925E1,1.015860367E3
6.282113725E1,1.015831299E3
6.388543625E1,1.015830536E3
6.494966825E1,1.015830536E3
6.601392425E1,1.015847092E3
6.707818625E1,1.015871811E3
6.814241225E1,1.015900879E3
6.920670725E1,1.015905838E3
7.027099325E1,1.015905838E3
7.133520925E1,1.015878983E3
7.239944025E1,1.015852966E3
7.346371325E1,1.015828171E3
7.452798325E1,1.015806961E3
7.559227325E1,1.015796127E3
7.665656825E1,1.015789337E3
7.772084725E1,1.015789337E3
7.878512725E1,1.015787735E3
7.984938925E1,1.015786362E3
8.091367125E1,1.015786362E3
8.197790825E1,1.015790329E3
8.304215925E1,1.015790329E3
8.410637825E1,1.015779800E3
8.517063225E1,1.015779800E3
8.623487825E1,1.015788040E3
8.729909225E1,1.015788803E3
8.836332425E1,1.015808334E3
8.942760225E1,1.015827713E3
9.049185925E1,1.015848999E3
9.155610025E1,1.015867157E3
9.262035725E1,1.015876389E3
9.368456825E1,1.015876389E3
9.474877825E1,1.015874329E3
9.581301525E1,1.015867920E3
9.687724225E1,1.015859375E3
9.794146025E1,1.015851364E3
9.900571825E1,1.015850449E3
1.000700022E2,1.015831985E3
1.011342292E2,1.015823975E3
1.021984662E2,1.015823975E3
1.032626782E2,1.015829849E3
1.043269252E2,1.015835037E3
1.053911402E2,1.015855560E3
1.064553882E2,1.015872650E3
1.075196792E2,1.015872650E3
1.085839872E2,1.015867615E3
1.096482412E2,1.015859070E3
1.107124812E2,1.015856018E3
1.117767612E2,1.015856018E3
1.128410692E2,1.015861664E3
1.139053932E2,1.015864410E3
1.149696922E2,1.015872879E3
1.160339542E2,1.015874100E3
1.170982342E2,1.015881042E3
1.181624572E2,1.015881042E3
1.192266672E2,1.015880661E3
1.202908692E2,1.015874100E3
1.213550962E2,1.015867386E3
1.224193162E2,1.015852356E3
1.234835592E2,1.015831985E3
1.245478542E2,1.015814056E3
1.256121472E2,1.015806503E3
1.266764512E2,1.015806503E3
1.277407122E2,1.015809021E3
1.288049752E2,1.015823593E3
1.298691792E2,1.015832443E3
1.309334362E2,1.015842133E3
1.319977162E2,1.015847931E3
1.330619402E2,1.015853424E3
1.341261422E2,1.015864029E3
1.351903592E2,1.015876236E3
1.362545822E2,1.015876236E3
1.373187932E2,1.015876160E3
1.383830042E2,1.015870972E3
1.394472742E2,1.015853424E3
1.405114922E2,1.015833206E3
1.415757352E2,1.015805817E3
1.426400022E2,1.015800629E3
1.437042402E2,1.015794525E3
1.447685152E2,1.015782318E3
1.458327682E2,1.015782318E3
1.468970052E2,1.015790710E3
1.479612182E2,1.015805893E3
1.490254422E2,1.015807724E3
1.500896852E2,1.015840454E3
1.511539452E2,1.015862732E3
1.522182252E2,1.015894470E3
1.532825242E2,1.015906982E3
1.543467752E2,1.015939789E3
1.554110302E2,1.015946274E3
1.564752882E2,1.015962906E3
1.575395372E2,1.015976868E3
1.586037152E2,1.015991974E3
1.596679652E2,1.015992966E3
1.607322272E2,1.015992966E3
1.617964472E2,1.015951920E3
1.628606682E2,1.015905609E3
1.639248662E2,1.015872192E3
1.649891002E2,1.015850754E3
1.660532792E2,1.015850754E3
1.671175002E2,1.015851822E3
1.681816622E2,1.015868454E3
1.692458092E2,1.015868454E3
1.703099682E2,1.015854721E3
1.713741242E2,1.015835495E3
1.724383242E2,1.015820618E3
1.735024962E2,1.015804596E3
1.745666852E2,1.015787125E3
1.756308712E2,1.015764999E3
1.766950692E2,1.015745392E3
1.777592952E2,1.015722504E3
1.788235212E2,1.015698547E3
1.798877092E2,1.015680161E3
1.809518502E2,1.015674896E3
1.820160082E2,1.015659103E3
1.830802182E2,1.015652618E3
1.841444432E2,1.015648041E3
1.852086362E2,1.015648041E3
1.862728352E2,1.015653458E3
1.873370502E2,1.015655136E3
