"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.143345834E-2,-4.675345421E-1,-3.592318892E-1,-2.084780931E-1
7.128745833E-2,-3.808030486E-1,-2.009798884E-1,-1.940239817E-1
9.114045833E-2,-2.653196752E-1,-4.345439374E-2,-9.298302233E-2
1.109944583E-1,-1.042815596E-1,-5.104242265E-2,2.385766432E-2
1.308474583E-1,5.403436348E-2,-1.685824990E-1,1.214134097E-1
1.507014583E-1,1.374050081E-1,-3.308677971E-1,1.394605935E-1
1.705544583E-1,9.514986724E-2,-4.350605309E-1,1.476372629E-1
1.904084583E-1,1.246582367E-3,-4.695596695E-1,1.415452212E-1
2.102624583E-1,-5.654427409E-2,-5.330969691E-1,8.185573667E-2
2.301154583E-1,-1.026209742E-1,-6.596863270E-1,2.500685677E-2
2.499698333E-1,-1.447545439E-1,-7.659878135E-1,-8.855589665E-3
2.698228333E-1,-1.736291647E-1,-7.080911398E-1,-7.173788548E-2
2.896768333E-1,-1.684942096E-1,-6.134025455E-1,-1.099113896E-1
3.095298333E-1,-1.528621167E-1,-5.408651233E-1,-1.409070790E-1
3.293838333E-1,1.590717584E-2,-5.218744874E-1,4.404489696E-2
3.492368333E-1,1.588382274E-1,-5.545746684E-1,1.045500562E-1
3.690908333E-1,1.524417698E-1,-4.248088598E-1,5.377124529E-3
3.889448333E-1,-2.806352684E-3,-1.630616188E-1,-8.853755891E-2
4.087978333E-1,-1.318383515E-1,1.230312735E-1,-1.252959371E-1
4.286518333E-1,-1.615193039E-1,1.788619012E-1,-4.351416230E-2
4.485048333E-1,-2.581052296E-2,9.172018617E-2,5.963524058E-2
4.683588333E-1,1.453039944E-1,-8.712077141E-2,3.327944502E-2
4.882118333E-1,1.250751168E-1,-4.848236591E-2,-5.431816354E-2
5.080658333E-1,2.786885016E-2,9.371498600E-3,-7.249779999E-2
5.279198333E-1,-5.730330199E-2,8.022073656E-3,-5.269826576E-2
5.477728333E-1,-4.144978151E-2,-7.086919621E-3,-6.909458339E-2
5.676268333E-1,1.455534808E-2,-4.534912109E-2,-1.059338897E-1
5.874798333E-1,1.033094153E-2,-3.804169595E-2,-6.294757873E-2
6.073338333E-1,1.393057033E-2,-8.105758578E-2,3.780250624E-2
6.271868333E-1,8.321316540E-2,-1.801209152E-1,9.232500941E-2
6.470408333E-1,1.657849103E-1,-1.793372631E-1,1.817904413E-2
6.668948333E-1,1.956391335E-1,-1.040251404E-1,-8.845765144E-2
6.867478333E-1,1.210093647E-1,-2.058048733E-2,-9.089002013E-2
7.066018333E-1,1.097297203E-2,-6.094468758E-3,1.489743590E-2
7.264548333E-1,-4.054494202E-2,-6.149292365E-2,2.009837143E-2
7.463088333E-1,-3.812387586E-2,-2.615791745E-2,-7.702235132E-2
7.661618333E-1,-3.060213290E-2,1.217142306E-2,-1.132173762E-1
7.860158333E-1,-3.272023797E-2,9.119057097E-3,-4.759186506E-2
8.058698333E-1,-2.594724298E-2,-5.439177155E-2,-3.024195693E-2
8.257228333E-1,-4.967779294E-2,-8.926928788E-2,-1.025658846E-1
8.455768333E-1,-9.049665928E-2,-4.460138083E-2,-1.512579769E-1
8.654298333E-1,-1.492858529E-1,1.434772927E-2,-1.204668209E-1
8.852838333E-1,-2.264147997E-1,-3.795421869E-2,-9.773899615E-2
9.051368333E-1,-3.559501171E-1,-1.721103638E-1,-1.954689026E-1
9.249908333E-1,-6.374529600E-1,-1.533717066E-1,-3.600372374E-1
9.448448333E-1,-1.071300983E0,6.581748277E-2,-4.289815724E-1
9.646978333E-1,-1.732006788E0,2.628660202E-1,-3.729404807E-1
9.845518333E-1,-2.424682617E0,5.277987123E-1,-3.367147744E-1
1.004404833E0,-2.811487913E0,7.565754056E-1,-1.569138020E-1
1.024258833E0,-2.873105526E0,6.063395739E-1,3.002894577E-3
1.044111833E0,-3.089014292E0,3.511564732E-1,9.953657165E-3
1.063965833E0,-3.472433329E0,1.087633520E-2,1.991871297E-1
1.083819833E0,-3.769732237E0,-1.351164699E0,4.225494266E-1
1.103672833E0,-3.746981859E0,-1.712525487E0,2.342208326E-1
1.123526833E0,-3.170850039E0,-6.113312244E-1,-1.421402544E-1
1.143379833E0,-2.101106644E0,5.273165703E-1,-4.366169274E-1
1.163233833E0,-7.901139855E-1,1.303135395E0,-5.659852028E-1
1.183087833E0,9.378508665E-3,7.891186476E-1,-5.769125223E-1
1.202940833E0,1.960821897E-1,3.018727005E-1,-2.644534707E-1
1.222794833E0,-5.207490548E-2,5.462432504E-1,3.849587739E-1
1.242647833E0,-5.204336047E-1,8.100421429E-1,9.120960832E-1
1.262502208E0,-6.524764895E-1,1.255851388E0,1.175314188E0
1.282355208E0,-1.325639635E-1,1.462983608E0,8.836265206E-1
1.302209208E0,7.290005088E-1,1.404418111E0,2.037805021E-1
1.322063208E0,1.627030730E0,1.070276976E0,-3.114084899E-1
1.341916208E0,2.543418884E0,1.280150861E-1,-8.639205694E-1
1.361770208E0,3.238497257E0,-6.143764257E-1,-1.418588519E0
1.381623208E0,2.803399563E0,-1.231376529E0,-1.133997917E0
1.401477208E0,3.209973872E-1,-2.711608648E0,-6.997668147E-1
1.421331208E0,-1.516948491E-1,-1.468189716E0,-5.211952329E-1
1.441184208E0,3.678106964E-1,-1.268406272E0,-8.423128128E-1
1.461038208E0,7.842243910E-1,-1.807918549E0,-6.911036968E-1
1.480891208E0,1.163456440E0,-2.601753950E0,-5.529900789E-1
1.500745208E0,1.440956712E0,-2.591818571E0,-8.326440454E-1
1.520598208E0,1.625604033E0,-2.491548777E0,-1.093085051E0
1.540452208E0,1.603005767E0,-2.413067579E0,-1.593217850E0
1.560306208E0,9.133257866E-1,-1.172444463E0,-1.547835469E0
1.580159208E0,4.353563786E-1,-6.102805138E-1,-9.629879594E-1
