"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.979992867E-2,5.201332890E1,5.170807636E0,8.402781702E0,NaN,NaN,8.250676522E0,3.000000000E1
4.082500935E-2,5.201332890E1,5.170807636E0,8.402373529E0,NaN,NaN,8.250676522E0,3.000000000E1
8.572399616E-2,5.201332890E1,5.170807636E0,8.401431299E0,NaN,NaN,8.250676522E0,3.000000000E1
2.182395935E0,5.201341091E1,5.170874902E0,5.632717133E0,6.100000143E-1,1.733203125E2,1.172471518E1,1.200000000E1
2.633464892E0,5.201341091E1,5.170874902E0,5.632717133E0,6.100000143E-1,1.733203125E2,1.172471518E1,1.200000000E1
2.635893901E0,5.201337328E1,5.170859357E0,8.416045587E0,6.100000143E-1,1.733203125E2,1.076594421E1,3.000000000E1
3.858079036E0,5.201334341E1,5.170795729E0,4.335597992E0,6.700000167E-1,1.733203125E2,1.243756611E1,6.000000000E0
5.170945962E0,5.201341184E1,5.170895895E0,3.313442230E0,6.700000167E-1,1.733203125E2,1.400000000E1,3.000000000E0
6.172824939E0,5.201340375E1,5.170906875E0,3.170558929E0,0.000000000E0,1.733203125E2,6.732000769E0,3.000000000E0
7.174462874E0,5.201345027E1,5.170927914E0,3.852748871E0,0.000000000E0,1.733203125E2,3.715845900E0,3.000000000E0
8.181629022E0,5.201341373E1,5.170963621E0,4.293727875E0,2.700000107E-1,1.733203125E2,5.583280544E0,3.000000000E0
1.036291464E1,5.201338624E1,5.170870163E0,5.313987732E-1,3.899999857E-1,3.276562500E2,3.535533906E0,4.000000000E0
1.136412545E1,5.201340363E1,5.170869827E0,1.260829926E0,6.000000238E-1,3.142968750E2,3.535533906E0,3.000000000E0
1.236529632E1,5.201342161E1,5.170862116E0,4.568748474E-1,1.409999967E0,3.171093750E2,3.535533906E0,3.000000000E0
1.336638053E1,5.201344403E1,5.170850800E0,1.481590271E-1,2.349999905E0,3.287109375E2,3.535533906E0,3.000000000E0
1.436740597E1,5.201347035E1,5.170832193E0,2.713279724E-1,2.349999905E0,3.287109375E2,3.535533906E0,3.000000000E0
1.536835345E1,5.201349843E1,5.170812914E0,2.508811951E-1,2.819999933E0,3.325781250E2,3.535533906E0,3.000000000E0
1.636924620E1,5.201352093E1,5.170793998E0,2.508818842E-1,2.819999933E0,3.325781101E2,4.748651530E0,4.029364438E0
1.737006708E1,5.201355590E1,5.170764588E0,9.131746804E-1,3.460000038E0,3.301171677E2,4.748651530E0,4.029364438E0
1.837082918E1,5.201358779E1,5.170738092E0,1.055574929E-1,3.460000038E0,3.315234186E2,4.748651530E0,4.029364438E0
1.937154647E1,5.201361944E1,5.170702711E0,-3.522672132E-1,3.460000038E0,3.273046660E2,4.748651530E0,4.029364438E0
2.037221690E1,5.201365093E1,5.170662159E0,6.793491151E-1,3.670000076E0,3.241406003E2,4.748651530E0,4.029364438E0
2.137282725E1,5.201368141E1,5.170623406E0,7.099888287E-1,3.779999971E0,3.223827860E2,4.748651530E0,4.029364438E0
2.237340422E1,5.201371200E1,5.170584760E0,8.341343878E-1,3.869999886E0,3.216796600E2,4.748651530E0,4.029364438E0
2.337393316E1,5.201373806E1,5.170538942E0,7.048008926E-1,3.869999886E0,3.178124702E2,4.748651530E0,4.029364438E0
2.437441798E1,5.201376618E1,5.170492431E0,2.441075947E-1,3.970000029E0,3.171093440E2,4.748651530E0,4.029364438E0
2.537487562E1,5.201378871E1,5.170462245E0,6.813631030E-1,3.359999895E0,3.195702875E2,4.748651530E0,4.029364438E0
2.637530263E1,5.201382455E1,5.170449106E0,4.502841560E-1,3.640000105E0,3.353906076E2,4.748651530E0,4.029364438E0
2.737570234E1,5.201385825E1,5.170457973E0,4.471102441E-1,3.490000010E0,3.522656196E2,4.748651530E0,4.029364438E0
2.837607654E1,5.201388854E1,5.170495874E0,3.449374260E-1,3.549999952E0,1.441407264E1,4.748651530E0,4.029364438E0
2.937643381E1,5.201390855E1,5.170562372E0,3.577549998E-1,3.880000114E0,3.972659097E1,4.748651530E0,4.029364438E0
3.037676032E1,5.201392380E1,5.170622325E0,3.814366404E-1,3.880000114E0,5.062503443E1,4.748651530E0,4.029364438E0
3.137707706E1,5.201394098E1,5.170677382E0,3.131382763E-1,3.839999914E0,5.273441008E1,4.748651530E0,4.029364438E0
3.237735887E1,5.201396168E1,5.170728112E0,-6.999232601E-1,3.819999933E0,4.851565785E1,4.748651530E0,4.029364438E0
3.337763139E1,5.201398703E1,5.170795864E0,-1.108553101E0,4.619999886E0,5.062504100E1,4.748651530E0,4.029364438E0
3.437788351E1,5.201401051E1,5.170852954E0,-9.796468504E-1,4.619999886E0,5.097660370E1,4.748651530E0,4.029364438E0
3.537812289E1,5.201403655E1,5.170914150E0,-5.649739988E-1,4.619999886E0,5.132816641E1,4.748651530E0,4.029364438E0
3.637834581E1,5.201410478E1,5.170977903E0,3.044772878E0,5.209232407E0,4.929234411E1,5.798179214E0,3.000000000E0
3.737855395E1,5.201413425E1,5.171007455E0,3.302822759E0,3.807663597E0,4.023118605E1,4.748923777E0,3.000000000E0
3.837875112E1,5.201417070E1,5.171057960E0,2.935709370E0,4.128734535E0,3.664247790E1,4.313841581E0,3.000000000E0
3.937893637E1,5.201420357E1,5.171106458E0,2.690896327E0,4.035534201E0,3.618133128E1,4.255850967E0,3.000000000E0
4.037910648E1,5.201423087E1,5.171165057E0,2.460902926E0,3.888896124E0,4.250703221E1,4.301343092E0,3.000000000E0
4.137926813E1,5.201426598E1,5.171221621E0,2.259642488E0,4.095966685E0,4.451327321E1,4.325680208E0,3.000000000E0
4.237941941E1,5.201430042E1,5.171281399E0,2.725272316E0,4.260527011E0,4.510937555E1,4.367050820E0,3.000000000E0
4.337955983E1,5.201432016E1,5.171363525E0,3.282735968E0,4.108147323E0,5.226961980E1,4.301492274E0,3.000000000E0
4.437969430E1,5.201436033E1,5.171402304E0,2.694863706E0,4.126565810E0,4.380759647E1,4.409142781E0,3.000000000E0
4.537981661E1,5.201439160E1,5.171466980E0,2.428763383E0,4.270354237E0,4.677175722E1,4.340545411E0,3.000000000E0
4.637993272E1,5.201442625E1,5.171530795E0,2.472888456E0,4.482771047E0,4.748261384E1,4.276676345E0,3.000000000E0
4.738004323E1,5.201446365E1,5.171579053E0,2.453510715E0,4.315438842E0,4.216288476E1,4.265905175E0,3.000000000E0
4.838014444E1,5.201449241E1,5.171641192E0,2.612061239E0,4.084684292E0,4.555592865E1,4.202704653E0,3.000000000E0
4.938023969E1,5.201453186E1,5.171687760E0,2.694924487E0,4.096205370E0,3.898548232E1,4.151804631E0,3.000000000E0
5.038032981E1,5.201457063E1,5.171748648E0,3.379177411E0,4.530712518E0,3.923920383E1,4.171809230E0,3.000000000E0
5.138041302E1,5.201459992E1,5.171817159E0,2.871823475E0,4.404966966E0,4.505848376E1,4.272530310E0,3.000000000E0
5.238049038E1,5.201462585E1,5.171865978E0,2.973439378E0,3.784759492E0,4.718505606E1,4.271845682E0,3.000000000E0
5.338056548E1,5.201466287E1,5.171933988E0,2.225368881E0,4.265577268E0,4.625531600E1,4.282438754E0,3.000000000E0
5.438063284E1,5.201468830E1,5.171989908E0,2.639488747E0,3.849910739E0,4.775574370E1,4.293863264E0,3.000000000E0
5.538069721E1,5.201472449E1,5.172052140E0,2.998421259E0,4.158604468E0,4.735868098E1,4.303324895E0,3.000000000E0
5.638075813E1,5.201475814E1,5.172117961E0,2.236309233E0,4.495299479E0,4.803626667E1,4.217352699E0,3.000000000E0
5.738081344E1,5.201479102E1,5.172168220E0,2.508655054E0,4.124676312E0,4.643321006E1,4.115506284E0,3.000000000E0
5.838086613E1,5.201482793E1,5.172227291E0,2.825015059E0,4.337959961E0,4.252865982E1,4.142298688E0,3.000000000E0
5.938091536E1,5.201485122E1,5.172298377E0,2.746169866E0,4.173060957E0,4.764209514E1,4.202584276E0,3.000000000E0
6.038096126E1,5.201488473E1,5.172358283E0,2.728330114E0,4.189940663E0,4.902500040E1,4.206860856E0,3.000000000E0
6.138100429E1,5.201492340E1,5.172421675E0,3.122698796E0,4.502044965E0,4.172632381E1,4.196338008E0,3.000000000E0
6.238104435E1,5.201494810E1,5.172490942E0,3.070844484E0,4.190338721E0,4.858333525E1,4.235609666E0,3.000000000E0
6.338108238E1,5.201497923E1,5.172559119E0,3.112268380E0,4.328749447E0,4.550154847E1,4.140866941E0,3.000000000E0
6.438111707E1,5.201501215E1,5.172611358E0,3.511540134E0,4.171923231E0,4.358155539E1,4.130017330E0,3.000000000E0
6.538118346E1,5.201504625E1,5.172665369E0,2.827984188E0,4.052857447E0,4.196560212E1,4.074112977E0,3.000000000E0
6.638118084E1,5.201507300E1,5.172728629E0,2.288208987E0,4.073872702E0,4.637419005E1,4.131736889E0,3.000000000E0
6.738120862E1,5.201510557E1,5.172791957E0,2.467465430E0,4.274062571E0,4.825612058E1,4.128895357E0,3.000000000E0
6.838123604E1,5.201513671E1,5.172847980E0,2.462045222E0,4.184395668E0,5.018347674E1,4.121262163E0,3.000000000E0
6.938126119E1,5.201517402E1,5.172889536E0,2.428479208E0,4.040904277E0,4.646196728E1,4.116783913E0,3.000000000E0
7.038128360E1,5.201520280E1,5.172950347E0,2.734229014E0,4.003023290E0,4.804509474E1,4.161436429E0,3.000000000E0
7.138130613E1,5.201523846E1,5.173010479E0,2.523264933E0,4.323904832E0,4.597468671E1,4.126268978E0,3.000000000E0
7.238132604E1,5.201527066E1,5.173068276E0,2.999980505E0,4.322955403E0,4.550561008E1,4.271909913E0,3.000000000E0
7.338134511E1,5.201530382E1,5.173125284E0,2.591965397E0,4.348119418E0,4.350957705E1,4.199417594E0,3.000000000E0
7.438136216E1,5.201532958E1,5.173185962E0,2.450121376E0,4.089958141E0,4.613250137E1,4.276965728E0,3.000000000E0
7.538137873E1,5.201534678E1,5.173260402E0,2.380449254E0,3.806477674E0,5.104875737E1,4.267373242E0,3.000000000E0
