"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.143345834E-2,2.552898788E1,-3.032139778E0,-3.681382751E1
7.128745833E-2,2.531890106E1,-2.567236423E0,-3.705361938E1
9.114045833E-2,2.499694061E1,-2.180468559E0,-3.713218689E1
1.109944583E-1,2.499551010E1,-1.736217499E0,-3.711122131E1
1.308474583E-1,2.512060738E1,-1.681057930E0,-3.731216431E1
1.507014583E-1,2.500008392E1,-1.827662468E0,-3.742951965E1
1.705544583E-1,2.469224548E1,-2.187146187E0,-3.783789062E1
1.904084583E-1,2.480151558E1,-2.060090542E0,-3.777923584E1
2.102624583E-1,2.436391830E1,-2.249603748E0,-3.798130798E1
2.301154583E-1,2.365715981E1,-2.151103497E0,-3.801528931E1
2.499698333E-1,2.314104080E1,-2.139573097E0,-3.819822693E1
2.698228333E-1,2.208020210E1,-1.830201149E0,-3.869357300E1
2.896768333E-1,2.170497894E1,-1.466764450E0,-3.893554688E1
3.095298333E-1,2.118224525E1,-1.605807304E0,-3.940434265E1
3.293838333E-1,2.081809998E1,-1.451144218E0,-3.935380554E1
3.492368333E-1,2.044089699E1,-1.568789482E0,-3.966607666E1
3.690908333E-1,1.980575752E1,-1.407155037E0,-3.982789612E1
3.889448333E-1,1.965391731E1,-1.482077599E0,-3.994152832E1
4.087978333E-1,1.948992538E1,-1.545368195E0,-4.011540222E1
4.286518333E-1,1.957918167E1,-1.279843330E0,-4.016018677E1
4.485048333E-1,2.006522560E1,-1.252390862E0,-4.033514404E1
4.683588333E-1,2.002360725E1,-1.344769478E0,-4.013781738E1
4.882118333E-1,1.954581070E1,-1.292932510E0,-4.017939758E1
5.080658333E-1,1.958257675E1,-1.217451096E0,-3.995112610E1
5.279198333E-1,1.982648659E1,-1.141215324E0,-4.011326599E1
5.477728333E-1,1.983706665E1,-1.329387665E0,-3.964768982E1
5.676268333E-1,1.981975746E1,-1.217016220E0,-4.030630493E1
5.874798333E-1,1.967648697E1,-1.156433105E0,-4.030676270E1
6.073338333E-1,1.960921097E1,-8.937225342E-1,-4.018049622E1
6.271868333E-1,1.964335442E1,-1.098537445E0,-4.036169434E1
6.470408333E-1,1.938942337E1,-1.242421150E0,-4.041546631E1
6.668948333E-1,1.935991669E1,-1.407649040E0,-4.015946960E1
6.867478333E-1,1.935877228E1,-1.405827522E0,-4.065588379E1
7.066018333E-1,1.951526642E1,-1.543541908E0,-4.052687073E1
7.264548333E-1,1.931509399E1,-1.663393021E0,-4.024070740E1
7.463088333E-1,1.946414948E1,-1.535977364E0,-4.038563538E1
7.661618333E-1,1.924597549E1,-1.600894928E0,-4.046215820E1
7.860158333E-1,1.915746689E1,-1.447842598E0,-4.011779785E1
8.058698333E-1,1.937214661E1,-1.521897316E0,-4.046759033E1
8.257228333E-1,1.917692566E1,-1.435855865E0,-4.068518066E1
8.455768333E-1,1.911955643E1,-1.100974083E0,-4.005944824E1
8.654298333E-1,1.921168137E1,-1.164601326E0,-4.054277039E1
8.852838333E-1,1.923127365E1,-8.302106857E-1,-4.068894958E1
9.051368333E-1,1.919371796E1,-7.394218445E-1,-4.084594727E1
