"Time (s)","X (hPa)"
-5.033388335E-1,1.008783188E3
5.283641666E-1,1.008778152E3
1.560148167E0,1.008773117E3
2.591905167E0,1.008762512E3
3.623691167E0,1.008754425E3
3.817408167E0,1.008753510E3
4.882429167E0,1.008754425E3
5.947451167E0,1.008755417E3
7.012470167E0,1.008756866E3
8.077551167E0,1.008756866E3
9.142641167E0,1.008754807E3
1.020767217E1,1.008751678E3
1.127270817E1,1.008741608E3
1.233781217E1,1.008729935E3
1.340295717E1,1.008726959E3
1.446804117E1,1.008724747E3
1.553311717E1,1.008720703E3
1.659823017E1,1.008719482E3
1.766332317E1,1.008719482E3
1.872848417E1,1.008720703E3
1.979361217E1,1.008720703E3
2.085876217E1,1.008719711E3
2.192390117E1,1.008715897E3
2.298894417E1,1.008709183E3
2.405403717E1,1.008703384E3
2.511911817E1,1.008703384E3
2.618417017E1,1.008709946E3
2.724921517E1,1.008726807E3
2.831427317E1,1.008747864E3
2.937934117E1,1.008767700E3
3.044443217E1,1.008777618E3
3.150952817E1,1.008777618E3
3.257464817E1,1.008768234E3
3.363977617E1,1.008752060E3
3.470489617E1,1.008729095E3
3.576997617E1,1.008701782E3
3.683509917E1,1.008684235E3
3.790023317E1,1.008664017E3
3.896533517E1,1.008655624E3
4.003040717E1,1.008653717E3
4.109552917E1,1.008653717E3
4.216067217E1,1.008683701E3
4.322576317E1,1.008723450E3
4.429086917E1,1.008750992E3
4.535595017E1,1.008788910E3
4.642102117E1,1.008825760E3
4.748609517E1,1.008826828E3
4.855120317E1,1.008826828E3
4.961625817E1,1.008820496E3
5.068136517E1,1.008802414E3
5.174645317E1,1.008782425E3
5.281149917E1,1.008755035E3
5.387656717E1,1.008740768E3
5.494163417E1,1.008734665E3
5.600673217E1,1.008734665E3
5.707186317E1,1.008745193E3
5.813695817E1,1.008761749E3
5.920205717E1,1.008776474E3
6.026715517E1,1.008781967E3
6.133227817E1,1.008796463E3
6.239737617E1,1.008796463E3
6.346251617E1,1.008796310E3
6.452760717E1,1.008796310E3
6.559267417E1,1.008801575E3
6.665775317E1,1.008801575E3
6.772282117E1,1.008801575E3
6.878790117E1,1.008807220E3
6.985295417E1,1.008813324E3
7.091800417E1,1.008816681E3
7.198305017E1,1.008851013E3
7.304807917E1,1.008851013E3
7.411308917E1,1.008849182E3
7.517807517E1,1.008825760E3
7.624305517E1,1.008819046E3
7.730804217E1,1.008776474E3
7.837301117E1,1.008738022E3
7.943797417E1,1.008711929E3
8.050299517E1,1.008690872E3
8.156801017E1,1.008667297E3
8.263308817E1,1.008664474E3
8.369812817E1,1.008664474E3
8.476318617E1,1.008680649E3
8.582820217E1,1.008711472E3
8.689318317E1,1.008738556E3
8.795816817E1,1.008756866E3
8.902312417E1,1.008772736E3
9.008809117E1,1.008792267E3
9.115309017E1,1.008794861E3
9.221807217E1,1.008796463E3
9.328309217E1,1.008796463E3
9.434807517E1,1.008797150E3
9.541306717E1,1.008797150E3
9.647810317E1,1.008787689E3
9.754313817E1,1.008786850E3
9.860819317E1,1.008779449E3
