"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.783304164E-2,-1.366703808E-1,-3.800790310E-1,-1.925845742E-1
6.789904158E-2,-9.912251681E-2,-2.599509358E-1,-2.062385827E-1
8.796504163E-2,-3.953257948E-2,-2.445299178E-1,-2.010189593E-1
1.080310417E-1,-1.867021061E-2,-3.255760074E-1,-1.463237703E-1
1.280980416E-1,-4.949695989E-2,-3.468830884E-1,-8.580987155E-2
1.481640417E-1,-9.935817122E-2,-2.871135771E-1,-8.524114639E-2
1.682300416E-1,-1.310490072E-1,-1.987992078E-1,-9.269525111E-2
1.882960417E-1,-1.709115505E-1,-1.795135736E-1,-7.660803199E-2
2.083620416E-1,-1.643277258E-1,-2.350365072E-1,-4.692757130E-2
2.284290417E-1,-1.351499259E-1,-2.890670300E-1,3.079011571E-3
2.484950416E-1,-1.571611017E-1,-3.635733724E-1,7.861768454E-2
2.685610417E-1,-1.076473519E-1,-3.686790764E-1,7.393223792E-2
2.886270416E-1,-6.273272634E-2,-3.002220094E-1,1.037402637E-2
3.086930417E-1,-8.532904088E-2,-2.563391030E-1,-3.905029595E-2
3.287600416E-1,-1.081021428E-1,-2.773244977E-1,-7.368282974E-2
3.488260417E-1,-1.396836787E-1,-3.229204416E-1,-8.948466927E-2
3.688920416E-1,-1.178745851E-1,-3.289665580E-1,-5.207433924E-2
3.889580417E-1,-1.024642512E-1,-2.862336636E-1,-3.740881383E-2
4.090240416E-1,-1.490877569E-1,-2.841180265E-1,-1.781878993E-2
4.290910417E-1,-1.963931024E-1,-1.163986400E-1,4.142658412E-2
4.491572917E-1,-1.761220247E-1,1.444492191E-1,3.127825260E-2
4.692232916E-1,-1.053192616E-1,8.786383271E-2,-1.301794052E-1
4.892892917E-1,4.388318211E-2,1.437801719E-1,-2.572424114E-1
5.093552916E-1,1.207912937E-1,2.690616846E-1,-2.679041922E-1
5.294212917E-1,1.156562641E-1,3.853651583E-1,-2.234069258E-1
5.494882916E-1,8.675423265E-2,2.835383713E-1,-9.641180933E-2
5.695542917E-1,1.577762812E-1,1.048402339E-1,4.311455041E-2
5.896202916E-1,2.373963296E-1,-1.057042480E-1,6.226313487E-2
6.096862917E-1,2.089344561E-1,-2.335051745E-1,-6.557972170E-3
6.297522916E-1,1.060920134E-1,-3.446485698E-1,-1.107117534E-1
6.498192917E-1,2.731055580E-2,-3.528898060E-1,-1.721980423E-1
6.698852916E-1,-1.911662333E-2,-2.886351347E-1,-2.047410607E-1
6.899512917E-1,-7.848587632E-2,-1.509980857E-1,-1.894936115E-1
7.100172916E-1,-8.692436665E-2,-8.939357102E-2,-1.667765826E-1
7.300832917E-1,-6.335479766E-2,-1.236097664E-1,-1.026596129E-1
7.501502916E-1,-4.402330518E-2,-1.446326822E-1,-7.233721018E-2
7.702162917E-1,-8.943133056E-2,-2.116437852E-1,-5.571405962E-2
7.902822916E-1,-1.165486574E-1,-1.818022430E-1,-5.867768452E-2
8.103482916E-1,-1.164626181E-1,-1.556489766E-1,-1.294381618E-1
8.304142916E-1,-1.174832061E-1,-1.173724085E-1,-1.629353166E-1
8.504812917E-1,-1.098945811E-1,-1.155093089E-1,-1.425150782E-1
8.705472916E-1,-8.256888390E-2,-1.561031193E-1,-9.600681812E-2
8.906132916E-1,-6.161323190E-2,-2.015448958E-1,-3.105215356E-2
9.106792916E-1,-2.060914040E-2,-2.352442294E-1,2.162368968E-2
9.307452916E-1,1.647922909E-3,-2.063594609E-1,2.059523016E-3
9.508122916E-1,-2.876235545E-2,-1.353661865E-1,-4.345840216E-2
9.708782916E-1,-7.153378427E-2,-4.798334092E-2,-5.608231947E-2
9.909442916E-1,-5.091316625E-2,-4.043664411E-2,-2.832192369E-2
1.011010292E0,-1.233071368E-2,-6.198621914E-2,-1.895708148E-3
1.031077292E0,-4.924664274E-3,-8.259392530E-2,-7.393765263E-3
1.051143292E0,-2.702629194E-2,-7.206115872E-2,-2.298052981E-2
1.071209292E0,-4.990391061E-2,-7.405906171E-2,-4.397395998E-2
1.091275292E0,-5.805463344E-2,-9.530392289E-2,-5.086889490E-2
1.111341292E0,-6.942033768E-2,-1.193613857E-1,-4.164548963E-2
1.131408292E0,-8.554199338E-2,-1.111306623E-1,-2.806907706E-2
1.151474292E0,-8.803647757E-2,-1.200973317E-1,-2.619327791E-2
1.171540292E0,-8.302211016E-2,-1.048842147E-1,-2.981850877E-2
1.191606292E0,-9.098821878E-2,-1.375138909E-1,-2.649651840E-2
1.211673292E0,-9.240628779E-2,-1.136334985E-1,-3.602100909E-2
1.231739292E0,-1.021489277E-1,-7.986075431E-2,-2.716109529E-2
1.251805292E0,-1.127645820E-1,-1.171215400E-1,2.383764135E-3
1.271871292E0,-1.088683531E-1,-1.548054218E-1,-2.467035130E-2
1.291937292E0,-7.011049986E-2,-1.164090857E-1,-6.222769618E-2
1.312004292E0,-3.233233467E-2,-8.123921603E-2,-8.730874956E-2
1.332070292E0,-1.953187771E-2,-9.293923527E-2,-7.183204591E-2
1.352136292E0,-4.804726318E-2,-9.264364839E-2,-3.569242358E-2
1.372202292E0,-1.010328755E-1,-6.339724362E-2,-2.758795209E-2
1.392268292E0,-1.298148483E-1,-5.720260739E-2,-4.616601765E-2
1.412335292E0,-9.206829220E-2,-1.195176095E-1,-6.125041097E-2
1.432401292E0,-2.582263574E-2,-1.378206760E-1,-9.231290966E-2
1.452466667E0,2.785874158E-2,-1.908496618E-1,-1.146759540E-1
1.472532667E0,4.004057124E-2,-2.740561366E-1,-1.303651631E-1
1.492599667E0,7.136525586E-3,-2.462768555E-1,-1.191988587E-1
1.512665667E0,-5.031880736E-2,-1.316631585E-1,-3.246048838E-2
1.532731667E0,-1.264934540E-1,-7.038164139E-2,2.761862706E-3
1.552797667E0,-2.449517548E-1,-4.709062353E-2,-6.332727522E-2
1.572864667E0,-3.842963278E-1,-6.286618114E-1,-2.021723241E-1
1.592930667E0,-4.556543231E-1,-8.941317201E-1,-2.722774148E-1
1.612996667E0,-4.846908152E-1,-7.657762766E-1,-2.173920423E-1
1.633062667E0,-4.514428079E-1,-6.151844859E-1,-9.970901906E-2
1.653128667E0,-3.605324328E-1,-3.793659210E-1,-6.321036257E-3
1.673195667E0,-2.422499508E-1,-1.558230072E-1,1.397788338E-2
1.693261667E0,-1.197583824E-1,1.253743172E-1,-4.370272160E-2
1.713327667E0,-1.627454069E-3,2.168909907E-1,-1.831851602E-1
1.733393667E0,1.096130013E-1,5.522229150E-2,-3.368196785E-1
1.753460667E0,1.756535769E-1,-2.062816173E-1,-4.059715271E-1
1.773526667E0,1.755284667E-1,-4.445058703E-1,-3.249218762E-1
1.793592667E0,1.052353308E-1,-5.418638587E-1,-1.462936401E-1
1.813658667E0,-1.908045262E-2,-4.582020044E-1,3.865401447E-2
1.833725667E0,-1.844187528E-1,-3.006856441E-1,1.122154668E-1
1.853791667E0,-3.429499865E-1,-4.231792092E-1,6.046819687E-2
1.873857667E0,-5.265535712E-1,-7.354244590E-1,-2.997560054E-2
1.893923667E0,-6.840699911E-1,-9.169594049E-1,-1.260674447E-1
1.913990667E0,-7.724824548E-1,-1.390727520E0,-4.150745869E-1
1.934056667E0,-7.066786885E-1,-2.109733820E0,-8.910335898E-1
1.954122667E0,-5.277302265E-1,-2.127459526E0,-1.065517426E0
1.974188667E0,-2.706319392E-1,-1.921600223E0,-8.872711658E-1
1.994255667E0,-9.198439308E-3,-1.632503510E0,-5.332649350E-1
2.014321667E0,6.435833871E-2,-1.237556338E0,-1.166359484E-1
2.034387667E0,-2.410276979E-1,-1.220610499E0,2.907772958E-1
2.054453667E0,-8.849112391E-1,-1.349040031E0,6.487810612E-1
2.074520667E0,-1.654082298E0,-2.073785067E0,9.880289435E-1
2.094586667E0,-2.142211437E0,-2.611012936E0,1.127865553E0
2.114652667E0,-2.243971348E0,-3.083541870E0,1.093930840E0
2.134718667E0,-2.123724461E0,-3.398214817E0,1.299603581E0
2.154785667E0,-2.143976688E0,-3.961487293E0,2.044992447E0
2.174851667E0,-2.064444542E0,-4.717150211E0,2.955798388E0
2.194917667E0,-1.858228922E0,-5.107675076E0,3.883715868E0
2.214983667E0,-1.845928550E0,-4.362026691E0,4.337070942E0
2.235050667E0,-2.298490047E0,-3.370318890E0,4.358561993E0
2.255116667E0,-2.673428059E0,-2.543884277E0,3.952672005E0
2.275182667E0,-2.760461330E0,-1.563162565E0,3.080285788E0
2.295248667E0,-2.526994944E0,1.728339940E-1,2.492135763E0
2.315315667E0,-2.069754124E0,1.542044163E0,2.480826855E0
2.335381667E0,-1.632487535E0,1.537733197E0,2.743979454E0
2.355447667E0,-1.214989424E0,9.452018142E-1,3.138532162E0
2.375513667E0,-1.531857491E0,1.253936052E0,2.357716560E0
2.395580667E0,-1.127230167E0,1.169951558E0,1.386520416E-1
2.415646667E0,-8.233449459E-1,7.304122448E-1,-5.061735511E-1
2.435712667E0,-1.534911394E0,5.649831295E-1,3.602585495E-1
2.455778667E0,-1.980531335E0,2.188376188E0,1.728462458E0
2.475845667E0,-1.562655330E0,1.846428633E0,1.134848833E0
2.495911667E0,-9.207791686E-1,1.091153502E0,5.203924179E-1
2.515977667E0,-2.006042957E0,-4.915092289E-1,1.931835294E0
2.536043667E0,-1.418614268E0,-9.455720782E-1,5.202569485E0
2.556110667E0,5.690762997E-1,-1.969920993E0,5.890527248E0
2.576176667E0,-1.035461307E0,1.571479678E0,-7.516874671E-1
2.596242667E0,-6.954013109E-1,3.858151734E-1,-1.088741422E0
2.616308667E0,1.116353571E-1,1.598655581E-1,-5.390533805E-1
2.636375667E0,5.358977914E-1,-1.948762238E-1,-1.372896433E-1
2.656441667E0,9.569560885E-1,-7.271929979E-1,4.443850517E-1
2.676507667E0,-3.786136508E-1,-1.041126728E0,1.317204908E-2
2.696573667E0,-2.287646681E-1,-1.452796340E0,-2.642657459E-1
2.716640667E0,3.423601091E-1,-2.420735359E0,-5.115218759E-1
2.736706667E0,1.006887630E-1,-2.859838486E0,-5.874509215E-1
2.756772667E0,-1.020169854E0,-1.745908022E0,4.035153985E-1
2.776839667E0,4.665603638E0,1.097541690E0,1.077876759E1
2.796905667E0,3.250186205E0,-4.063212276E-1,6.792124748E0
2.816971667E0,-3.597808778E-1,9.657143950E-1,2.961151361E0
2.837037667E0,1.098874807E0,9.039278030E-1,9.005574584E-1
2.857104667E0,8.769128919E-1,5.089600682E-1,2.068868577E-1
