"Time (s)","X (hPa)"
-5.567883750E-1,1.007792358E3
4.744696250E-1,1.007791901E3
1.505816625E0,1.007791519E3
2.537150625E0,1.007791519E3
3.568423625E0,1.007796555E3
3.762693625E0,1.007796555E3
4.827274625E0,1.007804947E3
5.891876625E0,1.007804947E3
6.956481625E0,1.007807693E3
8.021072625E0,1.007810440E3
9.085615625E0,1.007813644E3
1.015016362E1,1.007815323E3
1.121468662E1,1.007816544E3
1.227923362E1,1.007818069E3
1.334380962E1,1.007819290E3
1.440839962E1,1.007822647E3
1.547297562E1,1.007823944E3
1.653748862E1,1.007824554E3
1.760203962E1,1.007827759E3
1.866658862E1,1.007827759E3
1.973112062E1,1.007828140E3
2.079565562E1,1.007827454E3
2.186017162E1,1.007827072E3
2.292466262E1,1.007824936E3
2.398919962E1,1.007822189E3
2.505373262E1,1.007820129E3
2.611825262E1,1.007814407E3
2.718271762E1,1.007807541E3
2.824721062E1,1.007798615E3
2.931169462E1,1.007788162E3
3.037619062E1,1.007771530E3
3.144069462E1,1.007758484E3
3.250518862E1,1.007745438E3
3.356976062E1,1.007735214E3
3.463433462E1,1.007732162E3
3.569888362E1,1.007732162E3
3.676343162E1,1.007738037E3
3.782799262E1,1.007747498E3
3.889255262E1,1.007757797E3
3.995707562E1,1.007765961E3
4.102160062E1,1.007771301E3
4.208608162E1,1.007780075E3
4.315061462E1,1.007789230E3
4.421523162E1,1.007795029E3
4.527984262E1,1.007805023E3
4.634445062E1,1.007818069E3
4.740905662E1,1.007826691E3
4.847360662E1,1.007834625E3
4.953815862E1,1.007844315E3
5.060271662E1,1.007848358E3
5.166729962E1,1.007848358E3
5.273185462E1,1.007844925E3
5.379642462E1,1.007844925E3
5.486100662E1,1.007848740E3
5.592558762E1,1.007862396E3
5.699018762E1,1.007876129E3
5.805477462E1,1.007897949E3
5.911937262E1,1.007968521E3
6.018394362E1,1.008030853E3
6.124850562E1,1.008097610E3
6.231312862E1,1.008164673E3
6.337774462E1,1.008229141E3
6.444234462E1,1.008251038E3
6.550696262E1,1.008252563E3
6.657156562E1,1.008252563E3
6.763620262E1,1.008247223E3
6.870084162E1,1.008244476E3
6.976540962E1,1.008240509E3
7.083003062E1,1.008230896E3
7.189469162E1,1.008215027E3
7.295938962E1,1.008195419E3
7.402412362E1,1.008170624E3
7.508888662E1,1.008143539E3
7.615363862E1,1.008117142E3
7.721842262E1,1.008091049E3
7.828318562E1,1.008066864E3
7.934792362E1,1.008041534E3
8.041264762E1,1.008019638E3
8.147740862E1,1.007979507E3
8.254217362E1,1.007937393E3
8.360694362E1,1.007896957E3
8.467167162E1,1.007862854E3
8.573638262E1,1.007826691E3
8.680112862E1,1.007813187E3
8.786593562E1,1.007811966E3
8.893077062E1,1.007810287E3
8.999557862E1,1.007805023E3
9.106034562E1,1.007794266E3
9.212504462E1,1.007778244E3
9.318975362E1,1.007761841E3
9.425448962E1,1.007748795E3
9.531920162E1,1.007738037E3
9.638387462E1,1.007738037E3
9.744854662E1,1.007740326E3
9.851326862E1,1.007749863E3
9.957800162E1,1.007756348E3
1.006427166E2,1.007756348E3
1.017074346E2,1.007748718E3
1.027721716E2,1.007733536E3
1.038368726E2,1.007714005E3
1.049015606E2,1.007696304E3
1.059662186E2,1.007681656E3
1.070309606E2,1.007674255E3
1.080957316E2,1.007670670E3
1.091604126E2,1.007668381E3
1.102250956E2,1.007665558E3
1.112897196E2,1.007665558E3
1.123543716E2,1.007665634E3
1.134190896E2,1.007665634E3
1.144837736E2,1.007657547E3
1.155484836E2,1.007654572E3
1.166132146E2,1.007647095E3
1.176779476E2,1.007632370E3
1.187426576E2,1.007616348E3
1.198073496E2,1.007600327E3
1.208720456E2,1.007576752E3
1.219367406E2,1.007554169E3
1.230013666E2,1.007536926E3
1.240660186E2,1.007536926E3
1.251306616E2,1.007541809E3
1.261953556E2,1.007556610E3
1.272600246E2,1.007568741E3
1.283247216E2,1.007568741E3
1.293894166E2,1.007556915E3
1.304541166E2,1.007534485E3
1.315188246E2,1.007508087E3
1.325835146E2,1.007483978E3
1.336482246E2,1.007472610E3
1.347129116E2,1.007468185E3
1.357776946E2,1.007468185E3
1.368424576E2,1.007476196E3
1.379072266E2,1.007488174E3
1.389719786E2,1.007499542E3
1.400367186E2,1.007518921E3
1.411014736E2,1.007545624E3
1.421662236E2,1.007553635E3
1.432309996E2,1.007555771E3
1.442957726E2,1.007556915E3
1.453605046E2,1.007556915E3
1.464252906E2,1.007537384E3
1.474900826E2,1.007532578E3
1.485548886E2,1.007532578E3
1.496196606E2,1.007533569E3
1.506844156E2,1.007536926E3
1.517491696E2,1.007537994E3
1.528139906E2,1.007539902E3
1.538787796E2,1.007544708E3
1.549435606E2,1.007544937E3
1.560083566E2,1.007548370E3
1.570731646E2,1.007550659E3
1.581379406E2,1.007550659E3
1.592027006E2,1.007542648E3
1.602674406E2,1.007528152E3
1.613322766E2,1.007527084E3
1.623971166E2,1.007527084E3
1.634619656E2,1.007537766E3
1.645268386E2,1.007554398E3
1.655916796E2,1.007583923E3
1.666565216E2,1.007603531E3
1.677213916E2,1.007608109E3
1.687862506E2,1.007608566E3
1.698510736E2,1.007647858E3
1.709158946E2,1.007701187E3
1.719806996E2,1.007760773E3
1.730454496E2,1.007823639E3
1.741102466E2,1.007885208E3
1.751750136E2,1.007913437E3
1.762398506E2,1.007913437E3
1.773047546E2,1.007911835E3
1.783696536E2,1.007905426E3
1.794345276E2,1.007901001E3
1.804993966E2,1.007895737E3
1.815642746E2,1.007891693E3
1.826291386E2,1.007883530E3
1.836939896E2,1.007872772E3
1.847588496E2,1.007860718E3
1.858237026E2,1.007849121E3
1.868885416E2,1.007837753E3
1.879533736E2,1.007828979E3
1.890181576E2,1.007820053E3
1.900829506E2,1.007807465E3
1.911477106E2,1.007784271E3
1.922124606E2,1.007735519E3
1.932771526E2,1.007683487E3
1.943418856E2,1.007647858E3
1.954067036E2,1.007630463E3
1.964714726E2,1.007623138E3
1.975362266E2,1.007623138E3
1.986010036E2,1.007624741E3
1.996657956E2,1.007624741E3
2.007305606E2,1.007605362E3
2.017953196E2,1.007592392E3
2.028602076E2,1.007592392E3
2.039251076E2,1.007610016E3
2.049899746E2,1.007624817E3
2.060548556E2,1.007644272E3
2.071197416E2,1.007644272E3
2.081845976E2,1.007642288E3
2.092494116E2,1.007613449E3
2.103142976E2,1.007591019E3
2.113791616E2,1.007568359E3
2.124440126E2,1.007550888E3
2.135088286E2,1.007550507E3
2.145736616E2,1.007547455E3
2.156385416E2,1.007533340E3
2.167034406E2,1.007518692E3
2.177683146E2,1.007518692E3
2.188331646E2,1.007524567E3
2.198980066E2,1.007549591E3
2.209628616E2,1.007570877E3
2.220277236E2,1.007580719E3
2.230926166E2,1.007580719E3
2.241574866E2,1.007563553E3
2.252223356E2,1.007536087E3
2.262871786E2,1.007517624E3
2.273519936E2,1.007511292E3
2.284169096E2,1.007500076E3
2.294818406E2,1.007486038E3
2.305467716E2,1.007481995E3
2.316116686E2,1.007479019E3
2.326765796E2,1.007473450E3
2.337414226E2,1.007468948E3
2.348062386E2,1.007468948E3
2.358711116E2,1.007468948E3
2.369359476E2,1.007457123E3
2.380008016E2,1.007457123E3
2.390656756E2,1.007459946E3
2.401305446E2,1.007469559E3
2.411954226E2,1.007487259E3
2.422602326E2,1.007523727E3
2.433250336E2,1.007568741E3
2.443898516E2,1.007625427E3
2.454546486E2,1.007686462E3
2.465194776E2,1.007745209E3
2.475842756E2,1.007798920E3
2.486491466E2,1.007842178E3
2.497139976E2,1.007883072E3
2.507788146E2,1.007924271E3
2.518436426E2,1.007973404E3
2.529084346E2,1.008029327E3
2.539732496E2,1.008087845E3
2.550380466E2,1.008087845E3
2.561028776E2,1.008069305E3
2.571676346E2,1.007994995E3
2.582323856E2,1.007947083E3
2.592971746E2,1.007947083E3
2.603620066E2,1.007993393E3
2.614267896E2,1.008100357E3
2.624915796E2,1.008244934E3
2.635564026E2,1.008340073E3
2.646212316E2,1.008368454E3
2.656860066E2,1.008368454E3
2.667508116E2,1.008341980E3
2.678156636E2,1.008308792E3
2.688804726E2,1.008266144E3
2.699452736E2,1.008208694E3
2.710100926E2,1.008152618E3
2.720749106E2,1.008100967E3
2.731397776E2,1.008050613E3
2.742045876E2,1.008003082E3
2.752694066E2,1.007970581E3
2.763342356E2,1.007948914E3
2.773990546E2,1.007919083E3
2.784638666E2,1.007891312E3
2.795287146E2,1.007868347E3
2.805936106E2,1.007853775E3
2.816585496E2,1.007842484E3
2.827234366E2,1.007833862E3
2.837883156E2,1.007833862E3
2.848532776E2,1.007834625E3
2.859182536E2,1.007835464E3
2.869831526E2,1.007835464E3
2.880480346E2,1.007824707E3
2.891129466E2,1.007801819E3
2.901778256E2,1.007766418E3
2.912427046E2,1.007727432E3
2.923075416E2,1.007686386E3
2.933724456E2,1.007662811E3
2.944373596E2,1.007662811E3
2.955022746E2,1.007665787E3
2.965671886E2,1.007677765E3
2.976321206E2,1.007690887E3
2.986970666E2,1.007703323E3
2.997620486E2,1.007708817E3
3.008270026E2,1.007711945E3
3.018919706E2,1.007715073E3
3.029569186E2,1.007721329E3
3.040218286E2,1.007728500E3
3.050867056E2,1.007730865E3
3.061516266E2,1.007730865E3
3.072165466E2,1.007729874E3
3.082814466E2,1.007722244E3
3.093464036E2,1.007715073E3
3.104113516E2,1.007711105E3
3.114763386E2,1.007707520E3
3.125413426E2,1.007705231E3
3.136063156E2,1.007701645E3
3.146712806E2,1.007697372E3
3.157361966E2,1.007697372E3
3.168011746E2,1.007717743E3
3.178661926E2,1.007739182E3
3.189312306E2,1.007747498E3
3.199962896E2,1.007758026E3
3.210613856E2,1.007758026E3
3.221264276E2,1.007756348E3
3.231914226E2,1.007752228E3
3.242564346E2,1.007751312E3
3.253214726E2,1.007751312E3
3.263865386E2,1.007743912E3
3.274515856E2,1.007735901E3
3.285166396E2,1.007726822E3
3.295816776E2,1.007715530E3
3.306467006E2,1.007710190E3
3.317117106E2,1.007710037E3
3.327768126E2,1.007710037E3
3.338418906E2,1.007729568E3
3.349069156E2,1.007777328E3
3.359719806E2,1.007800140E3
3.370370366E2,1.007831116E3
3.381021206E2,1.007854385E3
3.391672006E2,1.007854385E3
3.402322936E2,1.007838440E3
3.412973636E2,1.007837830E3
3.423624456E2,1.007832336E3
3.434275776E2,1.007832336E3
3.444926566E2,1.007833786E3
3.455577796E2,1.007836380E3
3.466229106E2,1.007839508E3
3.476880196E2,1.007842178E3
3.487531386E2,1.007843933E3
3.498182146E2,1.007843933E3
3.508833346E2,1.007843933E3
3.519484606E2,1.007845840E3
3.530136086E2,1.007845993E3
3.540787266E2,1.007846603E3
3.551438306E2,1.007847748E3
3.562089506E2,1.007849350E3
3.572740706E2,1.007851105E3
3.583391906E2,1.007864914E3
3.594043336E2,1.007914963E3
3.604694856E2,1.007975311E3
3.615345656E2,1.008031006E3
3.625996066E2,1.008086777E3
3.636646646E2,1.008135681E3
3.647297876E2,1.008140335E3
3.657949276E2,1.008140335E3
3.668600236E2,1.008139877E3
3.679251166E2,1.008137131E3
3.689902276E2,1.008133316E3
3.700553476E2,1.008125839E3
3.711204566E2,1.008118439E3
3.721855666E2,1.008111038E3
3.732506956E2,1.008102188E3
3.743157496E2,1.008092346E3
3.753807376E2,1.008083954E3
3.764456996E2,1.008073578E3
3.775106626E2,1.008061600E3
3.785756606E2,1.008052368E3
3.796406376E2,1.008045120E3
3.807056166E2,1.008036575E3
3.817706626E2,1.008014069E3
3.828356906E2,1.007969971E3
3.839007176E2,1.007927322E3
3.849657476E2,1.007886200E3
3.860308176E2,1.007850800E3
3.870958746E2,1.007840500E3
3.881609256E2,1.007835922E3
3.892260216E2,1.007835922E3
3.902910926E2,1.007820969E3
3.913561386E2,1.007792053E3
3.924211826E2,1.007742081E3
3.934862016E2,1.007680588E3
3.945512626E2,1.007616119E3
3.956162816E2,1.007547150E3
3.966813186E2,1.007480392E3
3.977463716E2,1.007417221E3
3.988114476E2,1.007356796E3
3.998765246E2,1.007301407E3
4.009415446E2,1.007247925E3
4.020065326E2,1.007192841E3
4.030715356E2,1.007139282E3
4.041365646E2,1.007090225E3
4.052016486E2,1.007038498E3
4.062667106E2,1.006982117E3
4.073317786E2,1.006930237E3
4.083968476E2,1.006895676E3
4.094619056E2,1.006871262E3
4.105269776E2,1.006854630E3
4.115920206E2,1.006846848E3
4.126570196E2,1.006845856E3
4.137220296E2,1.006844406E3
4.147870806E2,1.006844406E3
4.158521656E2,1.006859589E3
4.169172886E2,1.006884308E3
4.179823336E2,1.006918488E3
4.190473956E2,1.006962891E3
4.201124586E2,1.007013016E3
4.211775686E2,1.007058868E3
4.222426896E2,1.007110825E3
4.233077966E2,1.007175980E3
4.243728366E2,1.007231064E3
4.254378696E2,1.007293854E3
4.265028956E2,1.007353668E3
4.275679256E2,1.007416153E3
4.286329626E2,1.007470703E3
4.296980106E2,1.007519455E3
4.307630966E2,1.007560501E3
4.318281756E2,1.007593536E3
4.328932596E2,1.007615662E3
4.339582716E2,1.007628708E3
