"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.899612500E-2,-1.172060445E-1,-1.062382311E-1,9.285932034E-2
3.885012498E-2,-2.904769480E-1,-9.247934073E-2,2.270487398E-1
5.870412500E-2,-4.083817899E-1,-1.827477664E-1,2.768929005E-1
7.855812501E-2,-3.620456457E-1,-4.621745050E-1,3.584682643E-1
9.841212499E-2,-4.760536253E-1,-8.092920184E-1,4.876524806E-1
1.182661250E-1,-5.567653179E-1,-1.179469109E0,6.201196909E-1
1.381191250E-1,-9.187445641E-1,-1.397929072E0,9.458507299E-1
1.579731250E-1,-5.449834466E-1,-5.967839956E-1,1.079054236E0
1.778271250E-1,4.325481132E-2,-3.798308969E-1,1.052292228E0
1.976811250E-1,1.569433659E-1,-1.212081313E-1,1.097814322E0
2.175351250E-1,3.395549059E-1,4.247459769E-2,1.261893988E0
2.373881250E-1,4.768890738E-1,-1.483555883E-1,1.446930051E0
2.572421250E-1,4.126716256E-1,-1.170007065E-1,1.666335464E0
2.770961250E-1,2.158615440E-1,-3.636690974E-1,1.976664662E0
2.969501250E-1,2.812925875E-1,-5.211523175E-1,2.141271353E0
3.168041250E-1,6.567486525E-1,-3.677636385E-1,2.073523283E0
3.366581250E-1,1.217304349E0,-3.553761840E-1,1.792928696E0
3.565111250E-1,1.715885162E0,-4.166508019E-1,1.366280437E0
3.763651250E-1,5.451356769E-1,-2.414679527E0,-1.388516784E0
3.962191250E-1,1.557575464E-1,-1.866559863E0,-1.035064220E0
4.160731250E-1,3.062307537E-1,-2.239108324E0,-6.968648434E-1
4.359271250E-1,2.909626961E-1,-3.006320953E0,-8.876583576E-1
4.557811250E-1,3.071229458E-1,-2.806772709E0,-6.934412122E-1
4.756341250E-1,-1.532462239E0,2.310319543E-1,-3.065719903E-1
4.954881250E-1,-2.374202728E0,1.997654915E0,-2.670563459E-1
5.153421250E-1,-1.456514239E0,3.093601704E0,-1.799487174E-1
5.351961250E-1,-1.633799911E0,1.759224176E0,8.649063110E-2
5.550508750E-1,-1.077391148E0,9.359525442E-1,3.506109416E-1
5.749048750E-1,-3.610152602E-1,3.178826272E-1,1.595099717E-1
5.947578750E-1,2.372405082E-1,-8.696569204E-1,2.996709943E-1
6.146118750E-1,4.589292407E-2,-1.868161917E0,2.731526196E-1
6.344658750E-1,-6.093907356E-1,-2.290449619E0,3.643487096E-1
6.543198750E-1,-1.231993198E0,-1.814758778E0,2.652703822E-1
6.741738750E-1,-2.337473154E0,2.264113538E-2,8.256048709E-2
6.940268750E-1,-1.847715497E0,1.528553814E-1,-2.911560237E-1
7.138808750E-1,-5.823820233E-1,-7.258272171E-1,-2.219637930E-1
7.337348750E-1,3.229433596E-1,-1.306521297E0,-2.904967666E-1
7.535888750E-1,7.568749785E-1,-1.693092227E0,-2.127881944E-1
7.734428750E-1,3.639490008E-1,-8.669728637E-1,1.067959368E-1
7.932968750E-1,-1.441398114E-1,-5.835770369E-1,-1.691803187E-1
8.131498750E-1,-3.392525315E-1,-9.416628480E-1,-4.247596562E-1
8.330038750E-1,-2.329005301E-1,-1.252856016E0,-1.104759276E-1
8.528578750E-1,-3.618161678E-1,-1.210037589E0,3.182973266E-1
8.727118750E-1,-6.668205261E-1,-6.997811794E-2,5.307574868E-1
8.925658750E-1,-1.281022549E0,3.613811731E-1,5.323272943E-1
9.124198750E-1,-1.622882843E0,8.290968537E-1,2.557712495E-1
9.322728750E-1,-1.605795741E0,1.239977360E0,1.495782286E-1
9.521268750E-1,-1.152115107E0,9.965853095E-1,-5.020670220E-2
9.719808750E-1,-3.187805712E-1,5.512721837E-2,-1.804954857E-1
9.918348750E-1,2.340598404E-1,-5.999914408E-1,-1.284997910E-1
