"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.899612500E-2,-3.951606810E-1,4.208343431E-1,-2.525745732E-1
3.885012498E-2,-5.143988568E-1,5.265432313E-1,-3.550902969E-1
5.870412500E-2,-3.885781780E-1,4.023217660E-1,-3.019250733E-1
7.855812501E-2,-8.245202646E-1,5.668934047E-2,-1.547103095E-1
9.841212499E-2,-1.287906404E0,8.080281928E-1,-8.805994481E-1
1.182661250E-1,4.611905099E-1,-6.408665299E-2,-3.174979627E-2
1.381191250E-1,-1.146472855E0,1.454528223E0,-1.350315052E0
1.579731250E-1,-2.128090628E0,1.081252500E0,1.541716055E0
1.778271250E-1,6.386608140E-1,6.853465918E-1,1.455117037E0
1.976811250E-1,4.391825769E-1,-2.766346961E-2,4.666048855E-1
2.175351250E-1,-8.595442092E-1,2.644260022E-1,2.050758862E-1
2.373881250E-1,4.948589969E-2,-1.852833536E-1,3.784288734E-1
2.572421250E-1,-3.551819520E-1,-1.258964002E-2,-3.484940529E-3
2.770961250E-1,-4.484605733E-1,5.883649653E-1,6.751692206E-1
2.969501250E-1,3.838304947E-1,2.914214274E-1,8.924663723E-1
3.168041250E-1,1.048743151E0,-1.776135609E-1,1.530303460E0
3.366581250E-1,1.382236172E0,-5.919943321E-1,1.095219744E0
3.565111250E-1,1.399861142E0,-1.233290340E0,9.408590984E-1
3.763651250E-1,8.499825498E-1,-6.889992304E0,2.736117441E0
3.962191250E-1,1.882902404E0,-1.915084748E0,-1.789239804E0
4.160731250E-1,9.868345857E-2,5.625100395E-1,8.592155957E-1
4.359271250E-1,4.797473797E-1,1.328646441E0,5.737802553E-1
4.557811250E-1,8.208870971E-1,-4.970291179E-1,3.128973734E-1
4.756341250E-1,-2.074174038E-1,-1.949398841E0,-1.791918413E0
4.954881250E-1,3.009430919E0,-1.712983925E0,-1.407261670E0
5.153421250E-1,1.512747341E0,-7.040942270E-1,-5.588394499E-1
5.351961250E-1,-2.321648231E0,5.711855534E-1,3.538600427E-1
5.550508750E-1,-4.768880182E-1,-1.076844577E0,6.795476156E-1
5.749048750E-1,-3.389832643E-1,-1.804743111E0,5.486161780E-1
5.947578750E-1,4.788406958E-1,-1.412128893E-1,1.458204952E0
6.146118750E-1,-2.981454331E-1,-5.318454865E-1,-9.389704478E-1
6.344658750E-1,-3.633483195E-1,9.409193248E-2,-1.740377546E0
6.543198750E-1,1.167328485E0,2.500096920E-1,-9.857130897E-1
6.741738750E-1,1.928690050E0,1.593617696E-1,-1.332674587E0
6.940268750E-1,6.309790345E-1,7.530025314E-1,1.121071454E0
7.138808750E-1,1.219977692E-1,1.384282990E-1,2.169957862E0
7.337348750E-1,1.288852045E-1,-1.225309329E0,2.059585235E0
7.535888750E-1,-8.741932386E-1,1.546295887E0,4.201709765E-1
7.734428750E-1,-1.752515781E-1,2.688953800E0,-2.109427485E0
7.932968750E-1,-3.872143149E-2,6.407396454E-1,-2.967862478E0
8.131498750E-1,-9.237586239E-1,-1.817259369E0,-1.201472424E0
8.330038750E-1,-5.111323097E-1,-2.369126599E0,-2.182520020E-1
8.528578750E-1,6.449262518E-1,-1.088832831E0,-1.010961952E0
8.727118750E-1,1.921716660E-2,1.198051949E0,-1.532166383E0
8.925658750E-1,-5.973076969E-1,1.445124730E-1,-1.800708532E0
9.124198750E-1,-6.074707425E-1,-4.979474232E-2,-7.341787362E-1
9.322728750E-1,-1.429488983E0,5.667576031E-1,-4.978284323E-1
9.521268750E-1,-8.433260795E-1,3.054633696E-1,-3.621139723E-1
9.719808750E-1,-1.034069271E0,-4.919786585E-1,-1.405202866E-2
9.918348750E-1,-4.472076246E-1,-3.173670582E-1,-4.460642016E-1
1.011688875E0,1.555496773E-1,5.135733761E-2,-6.182728887E-1
1.031541875E0,1.693526146E-1,8.508130006E-2,1.026285750E-1
1.051395875E0,-3.156628141E-1,-2.138734607E-1,1.623210454E-1
1.071249875E0,2.361661166E-2,-1.759457888E-1,-4.354836649E-1
1.091103875E0,2.941702035E-1,1.622714902E-1,-3.966686779E-1
1.110957875E0,-1.538311806E-1,2.450237712E-1,-1.992649233E-1
1.130811875E0,2.987462345E-1,9.330304807E-1,-1.570269763E-1
1.150664875E0,4.969618750E-1,1.046381899E0,-1.020923853E-3
1.170518875E0,4.633184579E-1,-6.287437901E-2,-1.063976902E-1
1.190372875E0,-1.920102829E-1,-1.032173603E0,1.458178639E-2
1.210226875E0,1.092113703E-2,-1.695493295E0,3.807940722E-2
1.230080875E0,1.649631098E-1,-1.365624232E0,3.654305130E-1
1.249933875E0,9.345072681E-1,-3.301328821E-1,-2.037713724E-1
1.269787875E0,7.173484030E-1,-3.650914111E-1,-1.009992483E0
1.289641875E0,1.781468269E-1,-2.067386334E-1,-6.970571029E-1
1.309495875E0,5.646153295E-1,-8.396639684E-1,6.687226653E-1
1.329349875E0,-3.695878834E-1,-5.039529522E-1,1.332013267E0
1.349203875E0,-6.048394954E-1,5.429923626E-1,7.546510077E-1
1.369056875E0,-6.971480271E-1,6.172445827E-1,-1.784792411E-1
1.388910875E0,-6.126072291E-1,5.715542934E-1,-1.202362955E-2
1.408764875E0,1.380501303E-1,2.745114259E-1,4.219678259E-1
1.428618875E0,4.587362874E-1,-2.065061883E-1,3.576350051E-1
1.448472875E0,6.426516849E-1,-7.259103347E-1,-1.662772715E-2
1.468325875E0,1.850731462E-1,-1.179832025E0,-7.827357692E-1
1.488179875E0,4.050658643E-1,-1.311531348E0,-1.237854384E0
1.508033875E0,5.052374393E-1,-1.583584458E0,-1.363792884E0
1.527887875E0,1.410423260E0,-1.320564419E0,5.748187208E-1
1.547741875E0,2.480654928E0,4.353739565E-1,2.306212020E-1
1.567595792E0,1.573457665E0,4.645845263E-1,1.142374030E0
1.587448792E0,-2.398634865E0,-9.077831537E-1,2.759401639E0
1.607302792E0,-2.920625746E0,-6.186037680E-1,-2.853090405E-2
1.627156792E0,-2.882889571E0,2.031851891E-1,-1.396709200E0
1.647010792E0,-1.679194620E0,2.673033439E-1,-9.782385939E-1
1.666864792E0,-7.123639441E-1,1.380814129E-1,1.220661816E0
1.686717792E0,-7.563472849E-1,1.083372116E-1,2.337412763E0
1.706571792E0,-6.465441763E-2,1.067313688E0,1.762473589E0
1.726425792E0,8.875839472E-1,6.542076834E-1,8.517370069E-1
1.746279792E0,-8.481602651E-1,1.468491666E0,1.660907453E0
1.766133792E0,-5.615320927E-1,4.084125913E-1,1.758028536E0
1.785986792E0,-1.609523876E0,8.147524177E-1,1.158638061E0
1.805840792E0,-1.359618557E0,9.298554426E-1,1.606382167E-1
1.825694792E0,-9.274221969E-1,1.240449817E0,-6.748078626E-1
1.845548792E0,-3.192006719E-1,1.018215715E0,-4.549554777E-1
