"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.264496803E-2,5.233906512E1,4.874209492E0,2.512044285E0,NaN,NaN,2.704712215E1,1.307870760E1
3.378721476E0,5.233906626E1,4.874216773E0,-1.348721695E1,0.000000000E0,NaN,2.999632941E1,9.600000000E1
4.378708005E0,5.233900750E1,4.874133651E0,6.425991058E0,0.000000000E0,NaN,2.175532821E1,6.000000000E0
5.378694177E0,5.233900447E1,4.874188335E0,6.448146820E0,0.000000000E0,NaN,1.523798192E1,4.000000000E0
6.378680348E0,5.233905880E1,4.874181234E0,7.393886566E0,0.000000000E0,NaN,1.333668948E1,4.000000000E0
7.378666759E0,5.233905869E1,4.874181005E0,7.619289398E0,0.000000000E0,NaN,1.309689363E1,4.000000000E0
8.378653765E0,5.233907831E1,4.874110486E0,7.858547211E0,0.000000000E0,NaN,1.335073046E1,4.000000000E0
9.379636645E0,5.233907229E1,4.874098215E0,7.842617035E0,0.000000000E0,NaN,1.306334732E1,4.000000000E0
1.037964761E1,5.233905958E1,4.874104215E0,7.834133148E0,0.000000000E0,NaN,1.332645477E1,4.000000000E0
1.137964463E1,5.233906128E1,4.874103582E0,7.921413422E0,0.000000000E0,NaN,1.301092460E1,4.000000000E0
1.237965941E1,5.233906756E1,4.874111205E0,7.802455902E0,0.000000000E0,NaN,1.277428894E1,4.000000000E0
1.337967741E1,5.233907712E1,4.874117616E0,7.833278656E0,0.000000000E0,NaN,8.584399033E0,4.000000000E0
1.437967539E1,5.233907960E1,4.874116513E0,7.876857758E0,0.000000000E0,NaN,7.909275902E0,4.000000000E0
1.537968862E1,5.233908168E1,4.874115594E0,7.876857826E0,0.000000000E0,NaN,7.146812050E0,4.000000000E0
1.637970293E1,5.233908245E1,4.874115250E0,7.876857826E0,0.000000000E0,NaN,8.103590399E0,4.000000000E0
1.737970209E1,5.233908315E1,4.874114940E0,7.876857826E0,0.000000000E0,NaN,8.340310953E0,4.000000000E0
1.837971783E1,5.233908363E1,4.874114727E0,7.876857826E0,0.000000000E0,NaN,8.169856245E0,4.000000000E0
1.937973785E1,5.233908451E1,4.874120915E0,7.852321692E0,0.000000000E0,NaN,6.184820127E0,4.000000000E0
2.037974036E1,5.233908452E1,4.874121029E0,7.852321692E0,0.000000000E0,NaN,6.134159243E0,4.000000000E0
2.137975597E1,5.233908454E1,4.874121132E0,7.852321692E0,0.000000000E0,NaN,6.088047484E0,4.000000000E0
2.237977207E1,5.233908454E1,4.874121181E0,7.852321692E0,0.000000000E0,NaN,6.065999383E0,4.000000000E0
2.337977004E1,5.233908457E1,4.874121375E0,7.852321692E0,0.000000000E0,NaN,5.977697826E0,4.000000000E0
2.437976778E1,5.233908458E1,4.874121453E0,7.852321692E0,0.000000000E0,NaN,5.941813639E0,4.000000000E0
2.537976444E1,5.233908460E1,4.874121550E0,7.852321692E0,0.000000000E0,NaN,5.897285377E0,4.000000000E0
2.637976098E1,5.233908462E1,4.874121702E0,7.852321692E0,0.000000000E0,NaN,5.826469071E0,4.000000000E0
2.737975788E1,5.233908465E1,4.874121937E0,7.852321692E0,0.000000000E0,NaN,5.714674438E0,4.000000000E0
