"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.899612500E-2,-7.298950195E0,-4.647099304E1,-2.690470886E1
3.885012498E-2,-7.459396362E0,-4.641982269E1,-2.680194092E1
5.870412500E-2,-7.500450134E0,-4.611879730E1,-2.702071381E1
7.855812501E-2,-8.204963684E0,-4.586749268E1,-2.670487976E1
9.841212499E-2,-8.781677246E0,-4.559245300E1,-2.743724060E1
1.182661250E-1,-9.731903076E0,-4.527102661E1,-2.727691650E1
1.381191250E-1,-1.097959900E1,-4.501754761E1,-2.751311493E1
1.579731250E-1,-1.236376953E1,-4.430518341E1,-2.816209412E1
1.778271250E-1,-1.371530914E1,-4.389945221E1,-2.769873047E1
1.976811250E-1,-1.462724304E1,-4.353212738E1,-2.764428711E1
2.175351250E-1,-1.583749390E1,-4.322769928E1,-2.729442596E1
2.373881250E-1,-1.708520508E1,-4.289859772E1,-2.673636627E1
2.572421250E-1,-1.819432068E1,-4.250953674E1,-2.609188843E1
2.770961250E-1,-2.010448456E1,-4.199135590E1,-2.533961487E1
2.969501250E-1,-2.206938171E1,-4.099745178E1,-2.506678009E1
3.168041250E-1,-2.415069580E1,-3.986174011E1,-2.440131378E1
3.366581250E-1,-2.586111450E1,-3.924122620E1,-2.328352356E1
3.565111250E-1,-2.676902008E1,-3.906716919E1,-2.282422638E1
3.763651250E-1,-2.791179657E1,-3.912762451E1,-2.030256653E1
3.962191250E-1,-2.798175049E1,-3.957470703E1,-1.898908234E1
4.160731250E-1,-2.798528290E1,-4.015126801E1,-1.792813873E1
4.359271250E-1,-2.807727814E1,-4.021346283E1,-1.638892365E1
4.557811250E-1,-2.788618469E1,-4.035633850E1,-1.480261230E1
4.756341250E-1,-2.819474030E1,-4.047351074E1,-1.368437958E1
4.954881250E-1,-2.757880402E1,-4.010333252E1,-1.548708344E1
5.153421250E-1,-2.686887360E1,-3.915274048E1,-1.776867676E1
5.351961250E-1,-2.586548615E1,-3.867773438E1,-2.108716583E1
5.550508750E-1,-2.524523163E1,-3.754384613E1,-2.307054901E1
5.749048750E-1,-2.537998199E1,-3.671720886E1,-2.482603455E1
5.947578750E-1,-2.558897400E1,-3.640139008E1,-2.546201324E1
6.146118750E-1,-2.648859406E1,-3.644190979E1,-2.477323151E1
6.344658750E-1,-2.765499878E1,-3.619913483E1,-2.386793518E1
6.543198750E-1,-2.901545715E1,-3.565999603E1,-2.342040253E1
6.741738750E-1,-2.967652130E1,-3.447807312E1,-2.453295135E1
6.940268750E-1,-2.974365997E1,-3.337484741E1,-2.618653870E1
7.138808750E-1,-2.984297943E1,-3.246698761E1,-2.707303619E1
7.337348750E-1,-3.038125610E1,-3.231224060E1,-2.673619080E1
7.535888750E-1,-3.101372528E1,-3.260107422E1,-2.563139343E1
7.734428750E-1,-3.160721588E1,-3.276381683E1,-2.454815674E1
7.932968750E-1,-3.222525024E1,-3.246704102E1,-2.381607056E1
8.131498750E-1,-3.219597626E1,-3.244695282E1,-2.395690155E1
8.330038750E-1,-3.251468658E1,-3.242742920E1,-2.342259979E1
8.528578750E-1,-3.313195038E1,-3.236852264E1,-2.307981873E1
8.727118750E-1,-3.413091278E1,-3.140103149E1,-2.287692261E1
8.925658750E-1,-3.432063293E1,-3.066168213E1,-2.355768585E1
9.124198750E-1,-3.452744293E1,-2.981887817E1,-2.475356293E1
9.322728750E-1,-3.444098663E1,-2.875381470E1,-2.654561615E1
9.521268750E-1,-3.398352051E1,-2.810723877E1,-2.831128693E1
9.719808750E-1,-3.387323761E1,-2.745201874E1,-2.942201996E1
9.918348750E-1,-3.391950989E1,-2.758596802E1,-2.955361938E1
