"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.478374994E-3,3.126997375E-1,5.223238220E0,8.503666534E0
1.858762500E-2,3.903881836E-1,5.307962036E0,8.119864655E0
3.865462501E-2,3.727249146E-1,5.384003906E0,7.831564178E0
5.872062501E-2,3.959266663E-1,5.385500793E0,7.827672272E0
7.878762501E-2,4.194277954E-1,5.326523438E0,7.999963989E0
9.885362501E-2,3.281176758E-1,5.296286316E0,8.277786255E0
1.189206250E-1,3.523672485E-1,5.230423279E0,8.491092682E0
1.389866250E-1,2.399510193E-1,5.147944794E0,8.470585327E0
1.590526250E-1,1.622625732E-1,5.115612030E0,8.475225677E0
1.791196250E-1,7.439529419E-2,5.113815765E0,8.355774078E0
1.991856250E-1,1.511856079E-2,5.080584869E0,8.294551392E0
2.192526250E-1,-4.415817261E-2,5.059478760E0,8.257129211E0
2.393186250E-1,5.089416504E-2,5.160818024E0,8.292455750E0
2.593856250E-1,1.895059204E-1,5.235662384E0,8.356821899E0
2.794516250E-1,3.318598938E-1,5.252277832E0,8.341703339E0
2.995186250E-1,4.023632813E-1,5.277126160E0,8.347990265E0
3.195846250E-1,4.555027771E-1,5.304668884E0,8.319100342E0
3.396506250E-1,4.641847229E-1,5.347030792E0,8.346942444E0
3.597176250E-1,4.221221924E-1,5.281616821E0,8.286917267E0
3.797836250E-1,3.662882996E-1,5.184768219E0,8.315507812E0
3.998506250E-1,2.130070496E-1,5.154531097E0,8.334218903E0
4.199166250E-1,1.013392639E-1,5.015320587E0,8.306077423E0
4.399836250E-1,4.490661621E-2,5.038073273E0,8.386460266E0
4.600496250E-1,4.565505981E-2,5.040168915E0,8.416398010E0
4.801166250E-1,7.409591675E-2,5.051096191E0,8.421038361E0
5.001826250E-1,5.867797852E-2,4.969665527E0,8.432115326E0
5.202496250E-1,9.445358276E-2,4.947212219E0,8.383017426E0
5.403156250E-1,-2.484832764E-2,4.991071014E0,8.364456024E0
5.603816250E-1,-1.541793823E-2,4.906496887E0,8.313861237E0
5.804486250E-1,-1.002914429E-1,4.872517548E0,8.277337189E0
6.005146250E-1,-6.721023560E-2,4.819527740E0,8.240813141E0
6.205816250E-1,3.173400879E-1,4.852309570E0,8.521629181E0
6.406476250E-1,3.552113342E-1,4.978796539E0,9.030271454E0
6.607146250E-1,7.155120850E-2,4.892126770E0,9.056766357E0
6.807806250E-1,-1.724414062E-1,4.788991241E0,8.798403625E0
7.008476250E-1,-3.393443298E-1,4.615352325E0,8.597072296E0
7.209136250E-1,-4.857398987E-1,4.489464111E0,8.309370575E0
7.409806250E-1,-6.007008362E-1,4.524940338E0,8.297994232E0
7.610466250E-1,-1.071771240E-1,4.689747620E0,8.788075104E0
7.811126250E-1,4.730163574E-2,4.646487579E0,8.643475800E0
8.011796250E-1,-2.052232361E-1,4.669090576E0,9.071435852E0
8.212456250E-1,-3.478765869E-1,4.531077576E0,8.882977753E0
8.413126250E-1,-7.963439941E-2,4.519252167E0,8.786877594E0
8.613782500E-1,3.248245239E-2,4.605921936E0,8.780740356E0
8.814452500E-1,-5.987548828E-4,4.607568512E0,8.794811096E0
9.015112500E-1,-8.382568359E-3,4.613705750E0,8.717422028E0
9.215782500E-1,-9.220825195E-2,4.549489288E0,8.682394867E0
9.416442500E-1,-1.028361511E-1,4.546944580E0,8.688681793E0
9.617112500E-1,-3.832031250E-2,4.491859131E0,8.752149811E0
9.817772500E-1,-7.828720093E-2,4.520000610E0,8.666527863E0
1.001844250E0,-1.133143616E-1,4.461771698E0,8.759185181E0
1.021910250E0,3.083587646E-2,4.444258118E0,9.069190521E0
1.041977250E0,1.871109009E-2,4.548591156E0,8.879684601E0
1.062043250E0,-1.272354126E-2,4.578229523E0,8.776249695E0
1.082109250E0,-7.634124756E-3,4.579876099E0,8.799301758E0
1.102176250E0,-4.236190796E-2,4.555776215E0,8.741821289E0
1.122242250E0,-5.089416504E-2,4.507726135E0,8.740923157E0
1.142309250E0,-8.831634521E-3,4.534071350E0,8.699459381E0
1.162375250E0,-1.901046753E-2,4.534969482E0,8.716972961E0
1.182442250E0,-1.118174744E-1,4.524191895E0,8.663234711E0
1.202508250E0,-1.329235840E-1,4.520449677E0,8.731343079E0
1.222575250E0,-1.296304321E-1,4.547693024E0,8.749455414E0
1.242641250E0,-9.175918579E-2,4.535119171E0,8.741970978E0
1.262708250E0,-1.538800049E-1,4.547243958E0,8.675209808E0
1.282774250E0,-8.352630615E-2,4.531376953E0,8.737180939E0
1.302841250E0,7.933502197E-3,4.562961273E0,8.717721405E0
1.322907250E0,-1.047821045E-2,4.625680847E0,8.570577393E0
