"Time (s)","X (hPa)"
-5.080161667E-1,1.023706131E3
5.239268333E-1,1.023708954E3
1.555861833E0,1.023711777E3
2.587831833E0,1.023712997E3
3.619799833E0,1.023715439E3
3.813262833E0,1.023721313E3
4.878540833E0,1.023724518E3
5.943854833E0,1.023727875E3
7.009150833E0,1.023733521E3
8.074476833E0,1.023739853E3
9.139745833E0,1.023743896E3
1.020501883E1,1.023747177E3
1.127033483E1,1.023750992E3
1.233565783E1,1.023752518E3
1.340098083E1,1.023760910E3
1.446628683E1,1.023774643E3
1.553160683E1,1.023784943E3
1.659686483E1,1.023796616E3
1.766217783E1,1.023807983E3
1.872750483E1,1.023807983E3
1.979286883E1,1.023798828E3
2.085823283E1,1.023788681E3
2.192355283E1,1.023774948E3
2.298885283E1,1.023762970E3
2.405410783E1,1.023751221E3
2.511942283E1,1.023750839E3
2.618479783E1,1.023750153E3
2.725016483E1,1.023750153E3
2.831552983E1,1.023750992E3
2.938083083E1,1.023753281E3
3.044609283E1,1.023753586E3
3.151132983E1,1.023754349E3
3.257665683E1,1.023766327E3
3.364204383E1,1.023790970E3
3.470739783E1,1.023827362E3
3.577276383E1,1.023827362E3
3.683813683E1,1.023825302E3
3.790349083E1,1.023800507E3
3.896885283E1,1.023755798E3
4.003417683E1,1.023690948E3
4.109953783E1,1.023651428E3
4.216487783E1,1.023612900E3
4.323020083E1,1.023604965E3
4.429551683E1,1.023589325E3
4.536095183E1,1.023575668E3
4.642636083E1,1.023555222E3
4.749176983E1,1.023498611E3
4.855719683E1,1.023405991E3
4.962259283E1,1.023333359E3
5.068803083E1,1.023283920E3
5.175343683E1,1.023223877E3
5.281879383E1,1.023214645E3
5.388417783E1,1.023195877E3
5.494958983E1,1.023195877E3
5.601501383E1,1.023210602E3
5.708039983E1,1.023253708E3
5.814584183E1,1.023319168E3
5.921128883E1,1.023446198E3
6.027671183E1,1.023569794E3
6.134207183E1,1.023655472E3
6.240742983E1,1.023655472E3
6.347285683E1,1.023638382E3
6.453823683E1,1.023584747E3
6.560367583E1,1.023527679E3
6.666913383E1,1.023465271E3
6.773462783E1,1.023465271E3
6.880003983E1,1.023539886E3
6.986543883E1,1.023595581E3
7.093083083E1,1.023649292E3
7.199627783E1,1.023727646E3
7.306169983E1,1.023798981E3
