"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.360462499E-2,1.059494540E-1,-2.580484841E-3,1.532033202E-4
4.367062499E-2,1.114914846E-2,7.753772661E-3,-1.832546294E-2
6.373762499E-2,-7.312481105E-2,4.020886496E-2,-3.005528823E-2
8.380362499E-2,-1.525454819E-1,6.765371561E-2,-4.268157855E-2
1.038706250E-1,-1.236252785E-1,7.396361232E-2,-3.586836904E-2
1.239366250E-1,-6.858301163E-2,3.655169159E-2,-4.175799713E-2
1.440036250E-1,-4.273650795E-2,3.694929183E-2,-3.688011691E-2
1.640696250E-1,-2.414397709E-2,3.705340996E-2,-3.272223473E-2
1.841356250E-1,-3.085110709E-2,6.055010855E-2,-1.037486456E-2
2.042026250E-1,-4.822852090E-2,8.792629838E-2,1.376869623E-2
2.242686250E-1,-6.250692904E-2,9.064880013E-2,5.086588115E-2
2.443356250E-1,-6.324143708E-2,5.930045992E-2,5.580661446E-2
2.644016250E-1,-4.602366686E-2,3.462689742E-2,5.386670306E-2
2.844686250E-1,-4.739246890E-2,3.788742423E-2,4.938761145E-2
3.045346250E-1,-5.492218211E-2,6.247044727E-2,3.728942573E-2
3.246016250E-1,-5.210668966E-2,4.903798178E-2,1.276760921E-2
3.446676250E-1,-4.246907681E-2,1.438237168E-2,-1.710303687E-2
3.647346250E-1,-6.420397013E-2,2.364310063E-2,-3.257122636E-2
3.848006250E-1,-7.023348659E-2,2.462454140E-2,-5.237391591E-2
4.048666250E-1,-7.527101040E-2,5.426065624E-2,-5.455505475E-2
4.249336250E-1,-9.573724866E-2,7.436066866E-2,-2.735271864E-2
4.449996250E-1,-9.439935535E-2,4.034168273E-2,-2.272814512E-2
4.650666250E-1,-9.782710671E-2,3.107041866E-2,-1.427180879E-2
4.851326250E-1,-1.071709096E-1,5.372443050E-2,-5.533539224E-3
5.051996250E-1,-1.284335554E-1,1.170100719E-1,1.462717727E-2
5.252656250E-1,-1.506628096E-1,1.196504086E-1,1.352034230E-2
5.453326250E-1,-1.557837427E-1,1.005758047E-1,1.298245881E-2
5.653986250E-1,-1.662626266E-1,7.502190024E-2,2.238101140E-2
