"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.360462499E-2,-2.814501706E-1,1.339515245E-1,-2.088865167E-1
4.367062499E-2,-2.982732678E-1,1.924692893E-1,-4.713387913E-1
6.373762499E-2,-2.656330137E-1,1.917062277E-1,-4.617803478E-1
8.380362499E-2,-2.308491703E-1,1.525368994E-1,-3.018730330E-1
1.038706250E-1,-3.035343732E-1,1.411430150E-1,-2.615225673E-2
1.239366250E-1,-2.732414107E-1,9.627148211E-2,1.568112141E-1
1.440036250E-1,-3.731602763E-1,2.221883476E-2,1.292655659E-1
1.640696250E-1,-4.439730546E-1,-2.146512866E-3,1.253724897E-1
1.841356250E-1,-5.218972165E-1,-7.838777304E-3,3.525871038E-4
2.042026250E-1,-5.612668118E-1,-2.630253017E-2,-6.107650638E-2
2.242686250E-1,-6.095374774E-1,-3.611708164E-2,-1.038050348E-1
2.443356250E-1,-4.952078930E-1,7.874152958E-2,-7.483383536E-2
2.644016250E-1,-3.519170860E-1,1.562124592E-1,-1.398946345E-2
2.844686250E-1,-2.160689440E-1,1.850573587E-1,-3.944999456E-2
3.045346250E-1,-1.416952115E-1,2.183461422E-1,-3.929972112E-2
3.246016250E-1,-8.631999616E-2,2.553104854E-1,-7.556239843E-2
3.446676250E-1,-7.176550895E-2,2.995739079E-1,-5.680219173E-2
3.647346250E-1,-1.129866982E-1,2.390563953E-1,-1.180792576E-1
3.848006250E-1,-1.598468326E-1,1.586028010E-1,-8.858590186E-2
4.048666250E-1,-3.059292100E-1,1.371101904E-1,-8.040564716E-2
4.249336250E-1,-4.073553416E-1,9.591187835E-3,-1.225465304E-1
4.449996250E-1,-4.349808774E-1,5.472876906E-2,-4.795243084E-2
4.650666250E-1,-4.249326200E-1,7.236221731E-2,-2.589907229E-2
4.851326250E-1,-3.924723505E-1,1.012199807E-1,-3.438104331E-2
5.051996250E-1,-3.963221208E-1,3.083646119E-2,-3.849105120E-2
5.252656250E-1,-3.430414877E-1,4.166433513E-2,-1.081249577E-1
5.453326250E-1,-4.421265769E-1,1.077676928E-1,-1.323178124E-1
5.653986250E-1,-4.209527493E-1,4.946510553E-2,-2.035094172E-1
5.854656250E-1,-4.953882065E-1,4.656225532E-2,-2.579452407E-1
6.055316250E-1,-4.450340684E-1,3.766922504E-2,-3.165764415E-1
6.255976250E-1,-1.046560239E-2,1.325838608E-1,-3.440560162E-2
6.456646250E-1,6.118745729E-2,2.988889065E-1,4.319940466E-1
6.657306250E-1,-1.680916808E-1,2.425185317E-1,3.988134366E-1
6.857976250E-1,-3.655590787E-1,1.669765985E-1,1.253128481E-1
7.058636250E-1,-5.057237814E-1,1.203327745E-2,-7.584481895E-2
7.259306250E-1,-6.630263078E-1,-1.005323482E-1,-4.002372336E-1
7.459966250E-1,-7.348549667E-1,-1.782494456E-2,-3.573046374E-1
7.660636250E-1,-2.083092138E-1,1.931662774E-1,8.691535234E-2
7.861296250E-1,-8.482986979E-2,1.763607949E-1,-6.396561563E-2
8.061966250E-1,-3.512366163E-1,2.339582080E-1,2.832788873E-1
8.262626250E-1,-5.191399254E-1,9.544614762E-2,1.270705211E-1
8.463296250E-1,-2.943610603E-1,9.187963843E-2,4.156727135E-2
8.663952500E-1,-1.994554877E-1,1.809841883E-1,3.263974249E-2
8.864612500E-1,-2.388438125E-1,1.761415243E-1,3.686143219E-2
9.065282500E-1,-2.521200801E-1,1.851231399E-1,-3.698597789E-2
9.265942500E-1,-3.470710599E-1,1.253371140E-1,-7.784339726E-2
9.466612500E-1,-3.600089016E-1,1.238259012E-1,-7.166522920E-2
9.667272500E-1,-3.086690325E-1,9.888372570E-2,9.109961987E-4
9.867942500E-1,-3.547450919E-1,1.215253142E-1,-1.065298373E-1
1.006860250E0,-3.915037227E-1,7.583078563E-2,1.256683588E-2
1.026927250E0,-2.430683161E-1,6.257485539E-2,2.997662812E-1
1.046993250E0,-2.696453548E-1,1.508774596E-1,1.004189122E-1
1.067060250E0,-3.011338354E-1,1.744119179E-1,1.728846252E-2
1.087126250E0,-2.982160565E-1,1.726141915E-1,3.299057543E-2
1.107193250E0,-3.232155894E-1,1.446411118E-1,-1.881633997E-2
1.127259250E0,-3.186366349E-1,9.802623153E-2,-2.002203584E-2
1.147325250E0,-2.824874301E-1,1.160394564E-1,-5.214722335E-2
1.167392250E0,-2.775915564E-1,1.147048295E-1,-3.694972515E-2
1.187458250E0,-3.713289649E-1,9.801453710E-2,-8.693055511E-2
1.207525250E0,-3.935529160E-1,9.265176326E-2,-1.806672692E-2
1.227591250E0,-3.882270527E-1,1.190940419E-1,-9.858405590E-4
1.247658250E0,-3.512449486E-1,9.780900747E-2,-5.434402227E-3
1.267724250E0,-4.283838294E-1,1.053285268E-1,-7.006660044E-2
1.287791250E0,-3.691455780E-1,8.889054179E-2,6.479299664E-3
1.307857250E0,-2.866428270E-1,1.327402738E-1,-3.940146267E-2
1.327924250E0,-3.332187136E-1,1.861852866E-1,-1.643266404E-1
1.347990250E0,-1.477716380E-1,2.262433916E-1,-2.520062238E-1
1.368057250E0,-8.467252853E-1,1.832341969E-1,6.956257045E-2
1.388123250E0,-2.930745449E-1,3.579811603E-2,1.700586659E-1
1.408190250E0,-2.663316829E-1,1.909589535E-1,-1.471861124E-1
1.428256250E0,-2.192615969E-1,1.806465116E-1,-4.819105572E-1
1.448323250E0,-2.241994243E-1,3.765197575E-2,4.468752104E-1
1.468389250E0,-6.492499754E-2,2.259393364E-1,1.194475061E-1
1.488456250E0,-4.741879202E-1,1.927259821E-1,3.224353516E-1
1.508522250E0,3.077502888E-1,2.528909075E-1,3.547271848E-2
1.528588250E0,-6.513584083E-1,1.191162613E-1,-2.573324525E-1
1.548655250E0,-5.754774097E-1,1.682010055E-1,-5.927240646E-1
1.568721250E0,-7.045738448E-1,-1.671993774E-1,-1.584932826E0
1.588788250E0,-4.954798982E-1,1.639509568E-1,-1.355270568E0
1.608854250E0,-1.152043863E0,-3.883106679E-2,-1.147831821E0
1.628921250E0,-6.131687810E-1,3.229832357E-1,-3.350565666E-1
1.648987250E0,2.308569910E0,1.201784080E-1,5.610754251E-2
1.669054250E0,-5.566707907E-1,9.123088986E-2,1.395549697E0
1.689120250E0,-6.984893784E-1,5.068074167E-1,8.692903483E-1
1.709187250E0,-5.413968401E-1,3.187162301E-1,3.575309247E-1
1.729253250E0,-7.745422120E-1,-5.323539019E-1,1.182422780E0
1.749320250E0,-4.420552044E-1,-1.125100186E0,1.291127197E0
1.769386250E0,7.550625785E-1,6.707256290E-1,-8.798539281E-1
1.789453250E0,1.485533230E0,7.452489772E-1,-6.185231495E-1
1.809519250E0,1.129463232E0,8.138298002E-1,-3.109981978E-1
1.829586250E0,5.130549839E-1,6.986928615E-1,-5.288256919E-1
1.849652250E0,8.317412104E-1,1.321789411E-1,-1.259290861E0
1.869720125E0,9.169241790E-1,4.664060801E-1,-1.063355343E0
1.889786125E0,7.259379628E-1,4.394322896E-1,4.728327549E-1
1.909853125E0,5.875976279E-1,-1.733968413E-1,1.203216063E0
1.929919125E0,3.143981344E-1,-6.458688229E-1,6.369687760E-1
1.949986125E0,2.805570632E-1,-1.213470618E0,-1.137906173E0
1.970052125E0,-1.519614165E0,2.659152880E-1,-1.427081392E0
1.990119125E0,-2.736132023E-1,-9.461876661E-2,-7.688176417E-1
2.010185125E0,-6.096571991E-2,-2.630255941E-1,3.353547746E-1
2.030252125E0,-6.071728999E-1,-1.552274957E-2,1.254224834E0
2.050318125E0,-1.023063568E-1,-3.329752502E-1,1.691102475E0
2.070385125E0,-4.489084335E-1,-5.816965082E-1,2.108203663E0
2.090451125E0,3.308780367E-1,-5.460716160E-1,2.410477815E0
2.110517125E0,1.278030895E0,-9.096235648E-2,2.117839290E0
2.130584125E0,1.479255805E0,3.119238120E-1,1.390650315E0
2.150650125E0,8.579975476E-1,-1.342693207E-1,1.361109012E0
2.170717125E0,2.106269404E-1,-4.467848709E-1,-1.300303817E-2
2.190783125E0,-1.019352852E0,4.120772606E-1,-2.379032074E0
2.210850125E0,-6.731414793E-1,-8.246193749E-1,-1.541544732E0
2.230916125E0,-1.153692193E-1,-8.972011551E-1,-1.566931003E-1
2.250983125E0,-1.577639448E-1,-7.168236154E-1,3.100544572E-1
2.271049125E0,-9.813067011E-1,-1.692349978E0,-1.303109311E0
2.291116125E0,-1.077906139E0,-9.168024838E-2,-3.023796943E0
2.311182125E0,-1.788006626E0,1.320508286E0,-3.516135424E0
2.331249125E0,-1.373249586E0,2.265986100E-1,-3.792153824E0
2.351315125E0,-1.717088671E0,-5.344562683E-1,-2.113739222E0
2.371382125E0,-1.689913736E0,-9.851359695E-1,-1.001367840E0
2.391448125E0,-1.928606288E0,-2.556106229E0,-4.562319249E-1
2.411515125E0,-1.838975197E0,-1.520224614E0,9.560185897E-1
2.431581125E0,-2.355271913E0,-6.205883861E-2,4.043209291E0
2.451648125E0,-2.061128169E0,1.924806914E-1,3.889338056E0
2.471714125E0,-2.485907482E0,1.061592700E0,3.540459841E0
2.491781125E0,-2.152366514E0,1.649611510E0,4.124111951E0
2.511847125E0,-1.735978393E0,6.792932618E-1,3.866057952E0
2.531914125E0,-8.480050215E-1,7.497679979E-1,2.979832313E0
2.551980125E0,-6.758232316E-1,1.242236288E0,1.462558204E0
2.572047125E0,-1.284147083E0,4.680433005E-1,-9.861738503E-2
2.592113125E0,-1.584549249E0,-5.066223523E-1,7.801705956E-1
2.612180125E0,-1.159547303E0,-7.820800039E-1,1.353886532E0
2.632246125E0,-7.079750240E-1,-1.130150134E0,8.368365473E-1
2.652313125E0,-1.218536938E0,-1.201676491E0,3.787083703E-1
2.672379125E0,-1.906570033E0,-1.667346407E0,-2.472191083E-1
2.692446125E0,-2.309118671E0,-2.100552582E0,4.571937919E-2
2.712512125E0,-1.448866948E0,-1.726444508E0,-9.467729723E-1
2.732579125E0,-1.017350619E0,-6.226430976E-1,-1.712016796E0
2.752645125E0,-7.183976859E-1,-6.754718140E-1,-1.772499810E0
2.772712125E0,-9.345704180E-1,-9.228561062E-1,-1.368015159E0
2.792778125E0,-3.277510554E-1,-1.283676382E0,-1.315091425E0
2.812845125E0,2.997797298E-1,-6.572399032E-1,-1.898523095E0
2.832911125E0,1.659340400E0,1.026767853E0,-4.367143868E0
2.852978125E0,1.919288896E0,3.531148151E-1,-3.355110707E0
2.873044208E0,2.214222454E0,6.565253735E-2,-2.132693849E0
2.893111208E0,1.688244356E0,3.222710449E-1,-1.116010689E0
2.913177208E0,6.966834658E-1,4.635470840E-1,9.689742655E-2
2.933244208E0,3.014947182E-1,6.055718592E-1,1.274169686E-1
2.953310208E0,7.870580310E-1,1.403163942E0,1.212313746E0
2.973377208E0,-7.383670968E-1,2.767418464E-1,1.137862611E0
2.993443208E0,-4.005985916E-2,3.673216487E-1,9.924473280E-1
3.013510208E0,-1.248257750E0,1.181808530E-1,1.798922208E-1
3.033576208E0,-5.628576565E-1,-1.745348556E-1,5.503375983E-1
3.053643208E0,4.246084285E-1,1.962726107E-1,2.961293131E-2
3.073709208E0,1.832157782E0,7.806240472E-1,-1.210154369E0
3.093776208E0,1.807079659E0,7.210697173E-1,-1.600905227E0
3.113842208E0,8.971751350E-1,1.636944102E-1,-4.258585632E-1
3.133909208E0,9.875479460E-2,-3.858735484E-1,-1.766619265E-1
3.153975208E0,-8.393163514E-1,-2.388406330E-1,-1.006339143E0
3.174042208E0,-5.952968395E-1,2.069266762E-1,-1.231535298E0
3.194108208E0,3.307325506E-1,2.420791134E-1,7.538698196E-2
