"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.652203083E-2,5.237126954E1,4.900650934E0,-1.145283885E1,NaN,NaN,2.000000000E3,7.696344248E0
8.335006237E-2,5.237126555E1,4.900650477E0,-1.145283885E1,NaN,NaN,2.000000000E3,7.708422804E0
8.505797386E-2,5.237126357E1,4.900650251E0,-1.145283885E1,NaN,NaN,2.000000000E3,7.708426357E0
6.468427503E1,5.236873551E1,4.902231614E0,-7.392838849E0,NaN,NaN,2.000000000E3,7.747397294E0
6.474025798E1,5.236775551E1,4.902844629E0,-7.392838849E0,NaN,NaN,2.000000000E3,7.747402905E0
6.474086297E1,5.236726551E1,4.903151135E0,-7.392838849E0,NaN,NaN,2.000000000E3,7.748097942E0
7.392032707E1,5.236713838E1,4.902962460E0,-9.252838849E0,NaN,NaN,2.000000000E3,7.738858005E0
7.392776799E1,5.236707902E1,4.902874357E0,-9.252838849E0,NaN,NaN,2.000000000E3,7.738864747E0
7.393275797E1,5.236704934E1,4.902830306E0,-9.252838849E0,NaN,NaN,2.000000000E3,7.738943001E0
7.862421298E1,5.236691152E1,4.903146051E0,-9.252838849E0,NaN,NaN,2.000000000E3,7.735708329E0
7.863628399E1,5.236684352E1,4.903301846E0,-9.252838849E0,NaN,NaN,2.000000000E3,7.735712231E0
7.864566004E1,5.236680951E1,4.903379744E0,-9.252838849E0,NaN,NaN,2.000000000E3,7.735855009E0
1.436208380E2,5.236680677E1,4.903381611E0,-8.702838849E0,NaN,NaN,2.015086398E3,7.780008487E0
1.436288561E2,5.236680677E1,4.903381611E0,-8.702838849E0,NaN,NaN,2.015086402E3,7.780012334E0
1.439092520E2,5.236304873E1,4.906568317E0,-8.702838849E0,NaN,NaN,1.414000000E3,7.780308026E0
2.417844330E2,5.236303859E1,4.906574643E0,-3.752838849E0,NaN,NaN,4.474440690E3,7.838715391E0
2.432946340E2,5.235244805E1,4.913385023E0,-3.752838849E0,NaN,NaN,1.414000000E3,7.825948776E0
2.642198120E2,5.235476371E1,4.912061908E0,-7.992838849E0,NaN,NaN,2.421841287E2,7.841742782E0
2.644043380E2,5.235476379E1,4.912061862E0,-7.992838849E0,NaN,NaN,2.421926129E2,7.841746504E0
3.425247090E2,5.234978981E1,4.915181461E0,1.977161151E0,NaN,NaN,2.063268299E2,7.866899967E0
3.441756550E2,5.234975364E1,4.915214654E0,1.977161151E0,NaN,NaN,8.798217903E1,7.866904024E0
3.672426250E2,5.234924100E1,4.915384180E0,2.871611512E-1,NaN,NaN,9.485463448E2,7.899461684E0
3.672565460E2,5.234889953E1,4.915486324E0,2.871611512E-1,NaN,NaN,9.485467218E2,7.899464820E0
4.398248590E2,5.234458661E1,4.920423245E0,2.307161151E0,NaN,NaN,1.414000000E3,7.945965758E0
4.398270290E2,5.234423888E1,4.920821293E0,2.307161151E0,NaN,NaN,1.414000000E3,7.945969917E0
