"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.360462499E-2,2.715027809E1,-1.845149231E1,-1.241693115E1
4.367062499E-2,2.709690285E1,-1.877732849E1,-1.225518799E1
6.373762499E-2,2.705360985E1,-1.867078400E1,-1.245133972E1
8.380362499E-2,2.745052147E1,-1.865353394E1,-1.264443970E1
1.038706250E-1,2.729587746E1,-1.890702057E1,-1.273689270E1
1.239366250E-1,2.730903816E1,-1.848797607E1,-1.261112976E1
1.440036250E-1,2.726253700E1,-1.857599640E1,-1.285942078E1
1.640696250E-1,2.751484108E1,-1.845343781E1,-1.304580688E1
1.841356250E-1,2.729889488E1,-1.844687653E1,-1.250616455E1
2.042026250E-1,2.756175804E1,-1.830390930E1,-1.260128784E1
2.242686250E-1,2.727297020E1,-1.850085449E1,-1.244410706E1
2.443356250E-1,2.772873878E1,-1.831481171E1,-1.301817322E1
2.644016250E-1,2.770260048E1,-1.810559845E1,-1.275920105E1
2.844686250E-1,2.766571999E1,-1.820291138E1,-1.272950745E1
3.045346250E-1,2.765697289E1,-1.797512054E1,-1.282284546E1
3.246016250E-1,2.784426308E1,-1.792856598E1,-1.309980774E1
3.446676250E-1,2.779212761E1,-1.802553558E1,-1.265408325E1
3.647346250E-1,2.774913216E1,-1.788575745E1,-1.272982788E1
3.848006250E-1,2.771199226E1,-1.788813782E1,-1.277719116E1
4.048666250E-1,2.778562355E1,-1.787594604E1,-1.265606689E1
4.249336250E-1,2.803986168E1,-1.803419495E1,-1.302029419E1
4.449996250E-1,2.792051506E1,-1.752363586E1,-1.293426514E1
4.650666250E-1,2.805636406E1,-1.769233704E1,-1.264215088E1
4.851326250E-1,2.801183128E1,-1.759052277E1,-1.286723328E1
5.051996250E-1,2.819619560E1,-1.745359802E1,-1.287141418E1
5.252656250E-1,2.816832924E1,-1.730734253E1,-1.297395325E1
5.453326250E-1,2.836951637E1,-1.709615326E1,-1.302450562E1
5.653986250E-1,2.831789207E1,-1.717819977E1,-1.264096069E1
5.854656250E-1,2.818649101E1,-1.679443359E1,-1.330627441E1
6.055316250E-1,2.847741890E1,-1.660550690E1,-1.292926025E1
6.255976250E-1,2.870609474E1,-1.632182312E1,-1.328460693E1
