"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.289945830E-2,-2.009421387E0,5.530698853E0,8.287665710E0
5.267845828E-2,-1.745370483E0,5.031936035E0,8.267607422E0
7.253145834E-2,-1.684297485E0,5.163811798E0,8.193661194E0
9.238445829E-2,-1.943558350E0,5.202132111E0,8.353528748E0
1.122374582E-1,-1.839075623E0,5.090464325E0,8.181386719E0
1.320904583E-1,-1.759740601E0,5.237308960E0,8.154442749E0
1.519434582E-1,-1.374441833E0,5.195396118E0,8.218808899E0
1.717962082E-1,-1.324296112E0,5.015170898E0,8.220455475E0
1.916492083E-1,-1.363065491E0,5.154980164E0,8.080945587E0
2.115012083E-1,-1.122964783E0,5.112019501E0,8.629405060E0
2.313542083E-1,-1.314716034E0,5.249583435E0,8.387657776E0
2.512072083E-1,-1.409918060E0,5.208718414E0,8.113278351E0
2.710602083E-1,-1.324745178E0,5.125641174E0,8.002359009E0
2.909132083E-1,-1.337169342E0,5.252427521E0,8.256231079E0
3.107662083E-1,-1.283880157E0,5.390590210E0,8.558302917E0
3.306192083E-1,-1.141675873E0,5.154680786E0,7.819888458E0
3.504722083E-1,-7.198530579E-1,4.552333374E0,8.381370850E0
3.703252083E-1,2.013313293E-1,3.586392059E0,8.611143036E0
3.901782082E-1,-5.544470215E-1,3.111130371E0,9.164093170E0
4.100312083E-1,1.781295776E-2,3.274440765E0,9.186546478E0
4.298842082E-1,-7.424560547E-2,3.559597778E0,9.463769989E0
4.497372083E-1,-2.993774414E-2,2.191442871E0,8.233179016E0
4.695902083E-1,6.125262451E-1,1.948049011E0,8.970845032E0
4.894432083E-1,8.367599487E-2,2.507884827E0,1.050725006E1
5.092962083E-1,-4.565505981E-2,3.377276917E0,1.048389862E1
5.291492083E-1,6.903643799E-1,1.140927429E0,9.978399811E0
5.490022083E-1,5.788462830E-1,9.488768005E-1,8.841813354E0
5.688542083E-1,5.408253479E-1,1.049766998E0,8.655600586E0
5.887072083E-1,8.737330627E-1,-2.115101624E-1,9.220226440E0
6.085602083E-1,-9.639953613E-2,-3.971241760E-1,1.040800644E1
6.284132083E-1,2.492167511E0,3.647914124E-1,7.708370361E0
6.482662082E-1,1.268611908E0,5.900729370E-1,8.608448639E0
6.681192083E-1,1.228046265E0,-7.096742249E-1,8.117619324E0
6.879722083E-1,8.517288208E-2,-1.483415222E-1,7.091203766E0
7.078252083E-1,-3.722758484E-1,-6.834786987E-1,7.578440552E0
7.276782083E-1,6.233038330E-1,-5.180726624E-1,1.223046661E1
7.475312083E-1,2.641107788E0,-9.361532593E-1,1.055080948E1
7.673842083E-1,2.214045868E0,-1.438508606E0,8.431516571E0
7.872372083E-1,3.101400604E0,-1.466799774E0,8.613687744E0
8.070902083E-1,2.664908295E0,-1.796863403E0,6.043532410E0
8.269432083E-1,2.523602142E0,-2.802771606E0,6.377338257E0
8.467962083E-1,4.763244781E0,-2.792742462E0,9.070388031E0
8.666492082E-1,6.039490814E0,-2.079475708E0,8.418643341E0
8.865022083E-1,5.679339752E0,-1.735940094E0,6.390810242E0
9.063552083E-1,3.436703339E0,-2.729873199E0,4.375700684E0
9.262082083E-1,1.337917786E0,-4.518653412E0,3.442840576E0
9.460612083E-1,5.731581116E-1,-4.552782440E0,4.714446259E0
9.659142083E-1,3.154390411E0,-3.500470734E0,8.312663727E0
9.857672083E-1,5.138364716E0,-3.473377075E0,9.871372375E0
1.005620208E0,3.642225952E0,-3.693718872E0,9.940378876E0
1.025473208E0,1.925296326E0,-4.366419983E0,9.250463562E0
1.045326208E0,4.881199493E0,-3.538491669E0,1.011042526E1
1.065179208E0,7.089706879E0,-3.419339447E0,1.166748734E1
1.085032208E0,8.274193726E0,-3.333717499E0,1.118114868E1
1.104885208E0,9.514514465E0,-2.663411407E0,1.092308533E1
1.124737208E0,1.214469498E1,-2.695594482E0,1.363529526E1
1.144590208E0,1.229812592E1,-2.953957214E0,1.299118469E1
1.164443708E0,9.512867889E0,-2.452200623E0,1.022763153E1
1.184296708E0,8.784332886E0,-1.625170441E0,8.262068939E0
