"Time (s)","X (hPa)"
-5.347991667E-1,1.014923859E3
4.963508332E-1,1.014929962E3
1.527546833E0,1.014935989E3
2.558730833E0,1.014948807E3
3.589914833E0,1.014956207E3
3.784386833E0,1.014958115E3
4.848811833E0,1.014960251E3
5.913186833E0,1.014961548E3
6.977581833E0,1.014963226E3
8.041983833E0,1.014964905E3
9.106376833E0,1.014964905E3
1.017081983E1,1.014963608E3
1.123531583E1,1.014963379E3
1.229975083E1,1.014962997E3
1.336418383E1,1.014962692E3
1.442861183E1,1.014962692E3
1.549308683E1,1.014963531E3
1.655749983E1,1.014964676E3
1.762196783E1,1.014963531E3
1.868647983E1,1.014959030E3
1.975094483E1,1.014957123E3
2.081540883E1,1.014953461E3
2.187982083E1,1.014953308E3
2.294421583E1,1.014947433E3
2.400862783E1,1.014947433E3
2.507305983E1,1.014947128E3
2.613749183E1,1.014945221E3
2.720191983E1,1.014945068E3
2.826635483E1,1.014940414E3
2.933086583E1,1.014940033E3
3.039532383E1,1.014935379E3
3.145975483E1,1.014933853E3
3.252420483E1,1.014932404E3
3.358865983E1,1.014932404E3
3.465308083E1,1.014930267E3
3.571751783E1,1.014930267E3
3.678193783E1,1.014929428E3
3.784642883E1,1.014925461E3
3.891092383E1,1.014921646E3
3.997535583E1,1.014919968E3
4.103983983E1,1.014915619E3
4.210428283E1,1.014910736E3
4.316876583E1,1.014910126E3
4.423324683E1,1.014907532E3
4.529774683E1,1.014905701E3
4.636220283E1,1.014905319E3
4.742661983E1,1.014902573E3
4.849105783E1,1.014902496E3
4.955554583E1,1.014898148E3
5.062006183E1,1.014891434E3
5.168450083E1,1.014891434E3
5.274891783E1,1.014890747E3
5.381329283E1,1.014889908E3
5.487773383E1,1.014889908E3
5.594216183E1,1.014891357E3
5.700662683E1,1.014892807E3
5.807106983E1,1.014891357E3
5.913548883E1,1.014888382E3
6.019987383E1,1.014887009E3
6.126430183E1,1.014882126E3
6.232872883E1,1.014879990E3
6.339316583E1,1.014870758E3
6.445754783E1,1.014868469E3
6.552197083E1,1.014859848E3
6.658640783E1,1.014856415E3
6.765082383E1,1.014854965E3
6.871530883E1,1.014854126E3
6.977975583E1,1.014851456E3
7.084419483E1,1.014851456E3
7.190864183E1,1.014851456E3
7.297307283E1,1.014851456E3
7.403754783E1,1.014851456E3
7.510205383E1,1.014850998E3
7.616651883E1,1.014850998E3
7.723094083E1,1.014850769E3
7.829536683E1,1.014850769E3
7.935980883E1,1.014850922E3
8.042427683E1,1.014853973E3
8.148874083E1,1.014857025E3
8.255321383E1,1.014858170E3
8.361772183E1,1.014860382E3
8.468221283E1,1.014860382E3
8.574668083E1,1.014860382E3
8.681112183E1,1.014862976E3
8.787560183E1,1.014863358E3
8.894005583E1,1.014863815E3
9.000450783E1,1.014864502E3
9.106897083E1,1.014864426E3
9.213344983E1,1.014864502E3
9.319787983E1,1.014865723E3
9.426230583E1,1.014868698E3
9.532676283E1,1.014869308E3
9.639116783E1,1.014872894E3
9.745555583E1,1.014874496E3
9.851996683E1,1.014874496E3
9.958436283E1,1.014874344E3
1.006487738E2,1.014872589E3
1.017132328E2,1.014871750E3
1.027777048E2,1.014871216E3
1.038421688E2,1.014869919E3
1.049065598E2,1.014869461E3
1.059710038E2,1.014869461E3
1.070354258E2,1.014870911E3
1.080998768E2,1.014870911E3
1.091643308E2,1.014873123E3
1.102288598E2,1.014873734E3
1.112933368E2,1.014873886E3
1.123577628E2,1.014873734E3
1.134221968E2,1.014871750E3
1.144866668E2,1.014871750E3
1.155511708E2,1.014871750E3
1.166156818E2,1.014870987E3
1.176801908E2,1.014870987E3
1.187446438E2,1.014872437E3
1.198091018E2,1.014876633E3
1.208735948E2,1.014877853E3
1.219381348E2,1.014882584E3
1.230027348E2,1.014882584E3
1.240672808E2,1.014881668E3
1.251318248E2,1.014881668E3
1.261963818E2,1.014881897E3
1.272609208E2,1.014881973E3
1.283254208E2,1.014883423E3
1.293899328E2,1.014887543E3
1.304544318E2,1.014888077E3
1.315189428E2,1.014891357E3
1.325834718E2,1.014891968E3
1.336480148E2,1.014891357E3
1.347125718E2,1.014889450E3
1.357770788E2,1.014885254E3
1.368415928E2,1.014877319E3
1.379061278E2,1.014875870E3
1.389706228E2,1.014873734E3
1.400350948E2,1.014873734E3
1.410995848E2,1.014873886E3
1.421641188E2,1.014874802E3
1.432286698E2,1.014873886E3
1.442932018E2,1.014873886E3
1.453577498E2,1.014873657E3
1.464223158E2,1.014873886E3
1.474868618E2,1.014874954E3
1.485514348E2,1.014875336E3
1.496159618E2,1.014885025E3
1.506805048E2,1.014893723E3
1.517450528E2,1.014900818E3
