"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.150845832E-2,-4.192403257E-1,-3.094042838E-1,-5.525030568E-2
6.136145827E-2,-2.852753997E-1,-2.975037098E-1,1.979236305E-2
8.121445833E-2,-1.083767191E-1,-2.751354575E-1,8.247686177E-2
1.010674583E-1,-1.145061571E-2,-3.889152110E-1,7.403927296E-2
1.209204583E-1,-3.267779201E-2,-4.505101442E-1,8.557390422E-2
1.407734583E-1,-6.187142059E-2,-4.866738915E-1,9.149535745E-2
1.606262083E-1,-9.490543604E-2,-3.639752567E-1,9.420116246E-2
1.804792082E-1,-1.172972247E-1,-2.996384501E-1,1.167461723E-1
2.003322083E-1,-6.585438550E-2,-2.587822676E-1,9.568965435E-2
2.201852083E-1,2.792458422E-2,-2.527430654E-1,2.564613149E-2
2.400382083E-1,2.596609481E-2,-2.542401850E-1,-4.833416641E-2
2.598912083E-1,-9.686221182E-2,-2.797617614E-1,-1.055859029E-1
2.797442083E-1,-2.737352252E-1,-3.228746653E-1,-9.894210100E-2
2.995962083E-1,-4.151946902E-1,-4.510378242E-1,-6.493228674E-2
3.194492083E-1,-8.889247775E-1,-4.394489825E-1,-2.008439600E-2
3.393022083E-1,-1.506695271E0,-8.134872913E-1,1.358721256E-1
3.591552083E-1,-2.065469027E0,-5.540903211E-1,1.362962462E-2
3.790082083E-1,-2.029145718E0,-3.977478147E-1,3.415225819E-2
3.988612083E-1,-1.996052980E0,-4.388247430E-1,7.117883116E-2
4.187142083E-1,-1.922971964E0,-8.019658923E-1,3.999751806E-1
4.385672082E-1,-1.965316892E0,-5.947656035E-1,5.099857450E-1
4.584202083E-1,-2.236192942E0,-5.452829003E-1,7.842521369E-2
4.782732083E-1,-2.291277647E0,-4.915938973E-1,-2.257679552E-1
4.981262083E-1,-2.153628588E0,-2.821644545E-1,-8.024160564E-2
5.179792083E-1,-1.922902703E0,-4.135676473E-2,-1.446293853E-2
5.378322083E-1,-1.731022477E0,1.658876538E-1,2.429180592E-1
5.576852083E-1,-1.439690948E0,3.565410972E-1,6.768983603E-1
5.775382083E-1,-8.077124953E-1,2.426866442E-1,9.281451106E-1
5.973912083E-1,-1.134293601E-1,-1.069653928E-1,1.206810832E0
6.172442083E-1,-3.336875141E-1,7.648163438E-1,8.504523635E-1
6.370972083E-1,-3.306121230E-1,1.181897283E0,8.371726424E-2
6.569502082E-1,-1.221373007E-1,1.559447050E0,-3.449836969E-1
6.768032083E-1,-5.966451764E-1,1.327937245E0,-2.201018929E-1
6.966562083E-1,-7.229494452E-1,9.347662330E-1,-5.086344481E-1
7.165082083E-1,-5.081150532E-1,-7.931589484E-1,-1.500224829E0
7.363612083E-1,8.433785290E-2,-1.314816236E0,-1.976803780E0
7.562142083E-1,9.954150021E-2,-1.031306148E0,-1.202005386E0
7.760672083E-1,-3.553647995E-1,-9.138686657E-1,-7.160299420E-1
7.959202083E-1,-8.811620474E-1,-5.135186911E-1,-6.063046455E-1
