"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.150845832E-2,-2.292668407E-1,1.249690318E-1,2.602806187E-1
6.136145827E-2,-3.802298158E-3,-8.055007339E-2,7.825211763E-2
8.121445833E-2,7.166932225E-3,8.152305007E-2,-2.493954420E-2
1.010674583E-1,-3.146931995E-1,1.248333764E-1,1.192142022E-1
1.209204583E-1,-2.863032134E-1,1.355793893E-2,-6.785693765E-2
1.407734583E-1,-2.953421317E-1,1.651885200E-1,-1.138844651E-1
1.606262083E-1,1.122358426E-2,1.337363470E-1,-6.947427750E-2
1.804792082E-1,-2.124439627E-3,-3.170535743E-2,-8.719192564E-2
2.003322083E-1,-9.981606424E-2,1.221226072E-1,-2.443563116E-1
2.201852083E-1,9.276286036E-2,7.943968713E-2,2.968631387E-1
2.400382083E-1,-1.396494169E-1,2.115487540E-1,5.257933259E-2
2.598912083E-1,-2.714546478E-1,1.770846802E-1,-2.307410699E-1
2.797442083E-1,-2.247015540E-1,1.276733691E-1,-3.670092613E-1
2.995962083E-1,-2.906185316E-1,3.134680617E-1,-1.549231482E-1
3.194492083E-1,-3.093802732E-1,5.531153181E-1,7.978408813E-2
3.393022083E-1,-2.811421685E-1,5.208781564E-1,-7.837999624E-1
3.591552083E-1,-1.788078547E-3,2.436119610E-1,-4.024445575E-1
3.790082083E-1,8.411036991E-1,-3.590050077E-1,-3.476871371E-1
3.988612083E-1,6.461831108E-3,-4.779937997E-1,5.148297966E-2
4.187142083E-1,4.542918918E-1,4.375149876E-2,-6.592501760E-2
4.385672082E-1,1.904992162E-1,6.757343540E-1,9.097156584E-2
4.584202083E-1,1.127271732E-1,-2.994122323E-1,-1.254254655E0
4.782732083E-1,6.617263987E-1,-1.101073100E-1,-6.206965595E-1
4.981262083E-1,5.371196567E-2,8.758570638E-1,8.340035713E-1
5.179792083E-1,-9.945075944E-2,2.138829625E0,7.525337309E-1
5.378322083E-1,6.440286311E-1,2.546878300E-1,2.086233920E-1
