"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.288198471E-2,5.202056357E1,5.183149399E0,5.051517203E0,8.232804410E-3,3.235467227E2,9.069016775E0,6.550414607E0
1.022867799E0,5.202056343E1,5.183149501E0,5.063704489E0,0.000000000E0,3.235467227E2,9.676611297E0,6.977049302E0
2.022853374E0,5.202056114E1,5.183148322E0,4.785865429E0,1.221259725E-1,3.235467189E2,9.819498739E0,7.033434628E0
3.022838712E0,5.202057414E1,5.183136399E0,4.568500514E0,9.097749651E-1,3.300189966E2,1.042086072E1,7.021217990E0
4.022824526E0,5.202056813E1,5.183133600E0,4.513895258E0,5.302967617E-1,3.108920454E2,1.139326888E1,7.127148586E0
5.022809982E0,5.202056349E1,5.183137479E0,4.599194070E0,3.393577060E-1,3.067620950E2,1.202932336E1,6.849634968E0
6.022795796E0,5.202056230E1,5.183151262E0,4.606673158E0,8.361073513E-2,3.067621071E2,1.180346670E1,7.334415657E0
7.022780418E0,5.202056039E1,5.183153507E0,4.479926396E0,8.724664436E-2,3.067621086E2,1.157393615E1,7.449903629E0
8.022766352E0,5.202055544E1,5.183159073E0,4.516118576E0,3.515800488E-2,3.067621124E2,1.167675215E1,7.319429947E0
9.022751093E0,5.202055646E1,5.183151199E0,4.432722068E0,2.659122719E-1,3.067621056E2,1.152244069E1,7.382096152E0
1.002273619E1,5.202055706E1,5.183149129E0,4.623671877E0,1.132951394E-1,3.067621039E2,1.166971494E1,7.441010925E0
1.102272081E1,5.202055438E1,5.183152838E0,4.736790232E0,1.570323634E-2,3.067621066E2,1.160275977E1,7.410990358E0
1.202270639E1,5.202055592E1,5.183147096E0,4.879553461E0,9.747356022E-2,3.067621018E2,1.139366219E1,7.342004734E0
1.302269113E1,5.202055502E1,5.183147404E0,4.746631131E0,3.201842355E-2,3.067621018E2,1.139708211E1,7.246879073E0
1.402267599E1,5.202055677E1,5.183148082E0,4.606618406E0,1.070953746E-1,3.067621029E2,1.136904465E1,7.259440052E0
1.502266145E1,5.202056017E1,5.183152874E0,4.548295700E0,1.335775238E-1,3.067621080E2,1.131512355E1,7.261278737E0
1.602264643E1,5.202056283E1,5.183156417E0,4.475023808E0,1.151592104E-1,3.067621118E2,1.138522365E1,6.991780330E0
1.702263069E1,5.202056556E1,5.183161193E0,4.625837355E0,2.322984690E-1,3.067621168E2,1.100818450E1,6.653651039E0
1.802261555E1,5.202057552E1,5.183173819E0,4.536463113E0,4.470998079E-1,3.067621306E2,1.068616193E1,6.556265318E0
1.902260029E1,5.202060265E1,5.183194111E0,3.524016725E0,1.720081835E0,1.496721579E1,1.033731072E1,6.493406750E0
2.002258587E1,5.202061081E1,5.183228324E0,4.322154562E0,1.931410651E0,3.662715119E1,1.002262326E1,6.599474853E0
2.102256966E1,5.202062528E1,5.183263229E0,4.333918342E0,2.305503278E0,4.642996262E1,9.830190494E0,6.560211503E0
2.202255452E1,5.202063659E1,5.183265918E0,4.081381650E0,1.735044673E0,3.784808575E1,9.564381679E0,6.513665602E0
2.302253890E1,5.202065427E1,5.183298367E0,4.777595723E0,2.204450857E0,3.941538739E1,9.281939799E0,6.826784435E0
2.402252364E1,5.202066977E1,5.183322259E0,4.986807345E0,2.182642943E0,3.750233818E1,9.084971805E0,6.707183725E0
2.502250779E1,5.202069022E1,5.183347384E0,4.246438191E0,2.411800746E0,3.491325914E1,8.849631335E0,6.509813192E0
2.602249324E1,5.202070834E1,5.183387659E0,4.539134539E0,2.928099692E0,4.401098790E1,8.626565735E0,6.322356533E0
2.702247643E1,5.202073563E1,5.183415847E0,4.219388067E0,3.225123263E0,3.659155365E1,8.450731528E0,6.040735300E0
2.802246141E1,5.202075961E1,5.183429313E0,4.107592732E0,3.118551782E0,2.822693219E1,8.284564667E0,5.737668609E0
2.902244592E1,5.202077453E1,5.183448608E0,3.929733537E0,2.707883496E0,3.270761161E1,8.075794345E0,5.829561476E0
3.002243018E1,5.202078672E1,5.183482477E0,4.247700028E0,2.541704632E0,4.545827467E1,7.933945642E0,5.870459850E0
3.102241492E1,5.202080914E1,5.183505143E0,4.408265159E0,2.758470715E0,4.169285431E1,7.773140037E0,5.728262553E0
3.202239954E1,5.202083948E1,5.183535014E0,4.325400840E0,3.327495205E0,3.741952425E1,7.625236434E0,5.422038563E0
3.302238405E1,5.202085927E1,5.183560027E0,4.380773625E0,3.204473122E0,3.619104951E1,7.442676146E0,5.227486644E0
3.402236807E1,5.202088450E1,5.183570200E0,4.372952444E0,3.188731399E0,2.914938601E1,7.296888461E0,5.167493156E0
3.502235317E1,5.202090529E1,5.183599762E0,4.616899758E0,3.139505448E0,3.285109012E1,7.091060202E0,5.032980246E0
3.602233756E1,5.202092166E1,5.183634571E0,4.281039964E0,3.111850670E0,4.270631258E1,6.986422906E0,5.069635731E0
3.702232134E1,5.202094128E1,5.183647416E0,5.057412583E0,2.812787134E0,3.537015729E1,6.920396445E0,5.085293537E0
3.802230608E1,5.202096429E1,5.183668253E0,5.018358169E0,2.901957054E0,3.222385916E1,6.854458695E0,5.008306855E0
3.902228999E1,5.202098290E1,5.183702917E0,5.003900946E0,3.037670763E0,4.007998725E1,6.679247098E0,4.849140203E0
4.002227437E1,5.202100536E1,5.183734517E0,4.686691185E0,3.304278207E0,4.513097952E1,6.589162625E0,4.776073843E0
4.102225971E1,5.202103254E1,5.183740785E0,4.729048546E0,3.292802069E0,3.665278974E1,6.534820754E0,4.886603348E0
4.202224326E1,5.202105014E1,5.183754283E0,5.525917352E0,3.007559495E0,3.482284313E1,6.402010313E0,4.927147222E0
4.302222776E1,5.202107536E1,5.183776216E0,4.610031047E0,3.221017799E0,3.408841466E1,6.294054833E0,4.737889968E0
4.402221155E1,5.202109247E1,5.183793266E0,4.305339859E0,2.929212305E0,3.991845631E1,6.211392903E0,4.665382612E0
4.502219665E1,5.202111780E1,5.183808873E0,3.774644699E0,2.880494528E0,3.550512172E1,6.145327900E0,4.637315806E0
4.602218068E1,5.202113965E1,5.183853628E0,3.759842902E0,3.341094725E0,4.481257534E1,6.043482396E0,4.726812211E0
4.702216494E1,5.202115878E1,5.183879650E0,4.371759498E0,3.291346910E0,4.572601170E1,5.886714885E0,4.625307108E0
4.802214885E1,5.202118371E1,5.183900871E0,4.703322415E0,3.275455615E0,3.973264965E1,5.796998626E0,4.259680560E0
4.902213407E1,5.202121511E1,5.183904764E0,4.436538762E0,3.217198001E0,2.865902239E1,5.713062335E0,4.474176695E0
5.002211738E1,5.202123846E1,5.183927215E0,4.543447859E0,3.102698283E0,3.337168583E1,5.637442749E0,4.531341544E0
5.102210164E1,5.202127466E1,5.183934925E0,4.359706989E0,3.456910772E0,2.207907238E1,5.565079937E0,4.491218925E0
5.202208650E1,5.202129405E1,5.183963841E0,4.050385856E0,3.242884975E0,3.244188959E1,5.476471794E0,4.108056046E0
5.302207100E1,5.202133062E1,5.183957164E0,4.157436043E0,3.390425707E0,1.568936797E1,5.367044382E0,4.080742902E0
5.402205503E1,5.202135552E1,5.183964321E0,4.296397323E0,3.183686004E0,1.809041731E1,5.315221390E0,4.115875807E0
5.502203941E1,5.202137313E1,5.183981436E0,2.978070551E0,2.739596513E0,2.922555811E1,5.246880204E0,4.014675576E0
5.602202392E1,5.202141121E1,5.183979503E0,3.435941056E0,3.067982048E0,1.793196143E1,5.183847576E0,4.301386225E0
5.702200818E1,5.202144178E1,5.183984792E0,4.050715779E0,3.240830166E0,1.277892532E1,5.225068871E0,4.219313428E0
5.802199173E1,5.202147172E1,5.183992930E0,4.357469297E0,3.363641223E0,1.100303756E1,5.163840083E0,4.053140995E0
5.902197671E1,5.202150227E1,5.184005793E0,4.244034084E0,3.528841566E0,1.634201319E1,5.076630284E0,4.026434948E0
6.002196038E1,5.202152844E1,5.184010866E0,4.964068847E0,3.394962695E0,1.715034256E1,5.074109783E0,3.884926600E0
6.102194524E1,5.202155664E1,5.184015470E0,4.306124927E0,3.397670059E0,1.474677857E1,5.013324957E0,3.615966084E0
6.202192938E1,5.202157941E1,5.184025057E0,3.979426229E0,3.087953813E0,1.578800603E1,4.984028411E0,3.655474006E0
6.302191341E1,5.202160809E1,5.184037659E0,4.640764190E0,3.175218181E0,2.048621562E1,4.969554834E0,3.660978046E0
6.402189732E1,5.202164069E1,5.184046684E0,5.450873329E0,3.389857016E0,1.865803615E1,4.917693672E0,3.591048331E0
6.502188146E1,5.202166694E1,5.184046526E0,5.832040413E0,3.079598529E0,1.591516843E1,4.909842040E0,3.559749291E0
6.602186644E1,5.202169939E1,5.184055438E0,5.765671520E0,3.375044252E0,1.778701667E1,4.851811332E0,3.543300141E0
6.702184999E1,5.202172111E1,5.184061651E0,6.313910583E0,2.946790373E0,1.886562930E1,4.749455449E0,3.533923578E0
6.802183497E1,5.202173777E1,5.184069815E0,6.115922089E0,2.496453567E0,2.098900687E1,4.737891720E0,3.548788262E0
6.902181852E1,5.202177585E1,5.184076981E0,5.611403052E0,3.257120293E0,1.940862948E1,4.805567714E0,3.711703349E0
7.002180326E1,5.202180271E1,5.184077112E0,5.973151061E0,3.168433782E0,1.581605005E1,4.733850993E0,3.675697952E0
7.102178693E1,5.202182278E1,5.184092899E0,6.824051147E0,2.915945770E0,1.976642302E1,4.675377208E0,3.627810424E0
7.202177155E1,5.202184891E1,5.184099686E0,6.965835027E0,3.092512750E0,1.880240197E1,4.618273550E0,3.553283144E0
7.302175558E1,5.202187061E1,5.184101787E0,7.266813203E0,2.712157687E0,1.415488970E1,4.576189594E0,3.341604396E0
7.402173972E1,5.202189253E1,5.184082745E0,6.156196774E0,2.440472182E0,3.583698347E2,4.529080972E0,3.249371359E0
7.502172470E1,5.202192485E1,5.184092008E0,6.403918185E0,3.040694108E0,3.108990067E0,4.777127189E0,3.717345809E0
7.602170837E1,5.202195271E1,5.184100436E0,5.822150714E0,3.241293230E0,4.085136108E0,4.764475401E0,3.758948162E0
7.702169299E1,5.202197813E1,5.184094824E0,5.207175490E0,3.238164539E0,3.591925464E2,4.780498624E0,3.458937901E0
7.802167678E1,5.202200292E1,5.184091624E0,5.474993190E0,3.277877166E0,3.580623666E2,4.760589477E0,3.225735646E0
7.902166200E1,5.202201728E1,5.184098075E0,4.941176368E0,2.636027744E0,6.947380277E-1,4.735048803E0,3.135941167E0
8.002164495E1,5.202204631E1,5.184103396E0,5.374345250E0,2.750521149E0,7.224848623E0,4.855912176E0,3.110506525E0
8.102162921E1,5.202207180E1,5.184131473E0,6.147151468E0,2.996465699E0,2.233536851E1,5.050261751E0,3.260527572E0
8.202161419E1,5.202209660E1,5.184137260E0,6.528592965E0,2.987743695E0,2.014126977E1,5.081206988E0,3.363777338E0
8.302159834E1,5.202212551E1,5.184137529E0,6.258199932E0,3.204101497E0,1.726291300E1,5.086088762E0,3.284358492E0
8.402158237E1,5.202215056E1,5.184144821E0,6.583499148E0,3.159503134E0,1.643160103E1,4.982292542E0,3.002730421E0
8.502156675E1,5.202216701E1,5.184149733E0,6.325467469E0,2.806116469E0,1.869287230E1,4.965262939E0,3.000000000E0
8.602298450E1,5.202220091E1,5.184161489E0,6.485251987E0,3.353545965E0,1.801598573E1,4.974956043E0,3.000000000E0
8.702299094E1,5.202222542E1,5.184168437E0,6.693966484E0,3.195292717E0,1.736288449E1,4.922342368E0,3.000000000E0
8.802298188E1,5.202225019E1,5.184179225E0,5.678659631E0,3.121962354E0,1.835006399E1,4.905699483E0,3.000000000E0
8.902299619E1,5.202228368E1,5.184190053E0,6.101238177E0,3.471647586E0,1.110408730E1,4.889529830E0,3.000000000E0
9.002300930E1,5.202229909E1,5.184188019E0,6.003377439E0,2.779687422E0,6.674814952E0,4.819265338E0,3.000000000E0
9.102300346E1,5.202232274E1,5.184194401E0,6.045352914E0,2.799648751E0,6.219190970E0,4.760783263E0,3.000000000E0
9.202301621E1,5.202235161E1,5.184193676E0,5.246701597E0,3.002040495E0,9.079018768E0,4.788900283E0,3.077778520E0
9.302303064E1,5.202237397E1,5.184195741E0,5.181101558E0,2.850934257E0,8.161243455E0,4.730713567E0,3.072354681E0
9.402302277E1,5.202240593E1,5.184202143E0,5.676001348E0,3.352225619E0,1.096181624E1,4.604583831E0,3.181978841E0
9.502303338E1,5.202243237E1,5.184213105E0,5.132056725E0,3.345726484E0,1.454744954E1,4.570739322E0,3.069900565E0
9.602304697E1,5.202244834E1,5.184212051E0,4.646224391E0,2.681800916E0,1.362997812E1,4.487837603E0,3.059877178E0
9.702303791E1,5.202247796E1,5.184218559E0,4.450771040E0,2.960586348E0,1.168791940E1,4.401747098E0,3.079478230E0
9.802304852E1,5.202250319E1,5.184222095E0,4.785156214E0,2.944872221E0,9.356261577E0,4.352493993E0,3.121629088E0
9.902306199E1,5.202252499E1,5.184230789E0,4.791276223E0,2.885977332E0,1.200006693E1,4.234869303E0,3.027170533E0
1.000230533E2,5.202255498E1,5.184246615E0,5.263719581E0,3.191129199E0,1.139810762E1,4.165248262E0,3.000000000E0
1.010230452E2,5.202257697E1,5.184251308E0,5.777506150E0,2.897224804E0,7.348866717E0,4.151162442E0,3.000000000E0
1.020230355E2,5.202259811E1,5.184241601E0,5.787837188E0,2.738150513E0,3.588946699E2,4.134071400E0,3.000000000E0
1.030230262E2,5.202263220E1,5.184251191E0,5.321761293E0,3.224775493E0,1.103549697E0,4.074220818E0,3.000000000E0
1.040230172E2,5.202264979E1,5.184255701E0,5.533594589E0,2.725397540E0,2.513280642E0,4.015763078E0,3.000000000E0
1.050230066E2,5.202267693E1,5.184262128E0,5.593224156E0,2.843861136E0,6.942675031E0,3.997853546E0,3.000000000E0
1.060229959E2,5.202270232E1,5.184268483E0,4.865321628E0,2.899198666E0,7.022697299E0,3.936518051E0,3.000000000E0
1.070229853E2,5.202272110E1,5.184269468E0,4.584576337E0,2.664214679E0,6.506461626E0,3.953235981E0,3.023718949E0
1.080229747E2,5.202275073E1,5.184286377E0,5.236221010E0,3.044798825E0,1.407384728E1,3.945325881E0,3.026545366E0
1.090229638E2,5.202278474E1,5.184277358E0,5.060662671E0,3.460432833E0,3.511824056E0,3.955296849E0,3.103178632E0
1.100229518E2,5.202280350E1,5.184269606E0,5.210624471E0,2.964932449E0,3.568479109E2,3.864691615E0,3.136323471E0
1.110229408E2,5.202283431E1,5.184279005E0,5.298430102E0,3.240102961E0,1.637648914E0,3.901196738E0,3.140790335E0
1.120229290E2,5.202285727E1,5.184272603E0,6.187345733E0,3.051518686E0,3.570529635E2,3.925504763E0,3.000000000E0
