"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.150845832E-2,-4.543136597E0,-1.443082237E1,-4.640156174E1
6.136145827E-2,-4.994171143E0,-1.412817192E1,-4.636566544E1
8.121445833E-2,-5.096511841E0,-1.366378593E1,-4.648144913E1
1.010674583E-1,-5.332183838E0,-1.351884270E1,-4.655988693E1
1.209204583E-1,-5.690322876E0,-1.352413368E1,-4.663533401E1
1.407734583E-1,-6.032867432E0,-1.330222130E1,-4.665057755E1
1.606262083E-1,-6.470458984E0,-1.314594841E1,-4.644852066E1
1.804792082E-1,-6.807723999E0,-1.335714149E1,-4.641419601E1
2.003322083E-1,-7.093582153E0,-1.336322212E1,-4.669595718E1
2.201852083E-1,-7.578643799E0,-1.318387413E1,-4.677886581E1
2.400382083E-1,-7.843719482E0,-1.294908333E1,-4.654555130E1
2.598912083E-1,-8.153228760E0,-1.281009102E1,-4.639831924E1
2.797442083E-1,-8.352645874E0,-1.297117043E1,-4.637743759E1
2.995962083E-1,-8.548233032E0,-1.278254128E1,-4.648789597E1
3.194492083E-1,-8.874114990E0,-1.257892799E1,-4.642878342E1
3.393022083E-1,-9.060882568E0,-1.221912575E1,-4.632804489E1
3.591552083E-1,-9.427505493E0,-1.125308037E1,-4.649955368E1
3.790082083E-1,-1.016523743E1,-9.601816177E0,-4.660951614E1
3.988612083E-1,-1.067425537E1,-7.848722458E0,-4.674715805E1
4.187142083E-1,-1.118913269E1,-6.008607864E0,-4.700107956E1
4.385672082E-1,-1.158509827E1,-3.946084976E0,-4.694999313E1
4.584202083E-1,-1.188539124E1,-3.024095535E0,-4.685614395E1
4.782732083E-1,-1.285801697E1,-1.891288757E-1,-4.652607346E1
4.981262083E-1,-1.302432251E1,8.467044830E-1,-4.666212845E1
5.179792083E-1,-1.351000977E1,2.907712936E0,-4.641428757E1
5.378322083E-1,-1.397758484E1,5.003696442E0,-4.604217911E1
5.576852083E-1,-1.397207642E1,6.537290573E0,-4.574358749E1
5.775382083E-1,-1.382145691E1,8.161272049E0,-4.559717941E1
5.973912083E-1,-1.339567566E1,9.543909073E0,-4.544795609E1
6.172442083E-1,-1.293629456E1,1.054149055E1,-4.526742935E1
6.370972083E-1,-1.278790283E1,1.127574539E1,-4.513090134E1
6.569502082E-1,-1.213726807E1,1.168803596E1,-4.505881882E1
6.768032083E-1,-1.162222290E1,1.335890579E1,-4.505461884E1
6.966562083E-1,-1.043359375E1,1.340525627E1,-4.529866791E1
7.165082083E-1,-9.303207397E0,1.390721703E1,-4.530870056E1
7.363612083E-1,-8.581253052E0,1.440945911E1,-4.531172180E1
