"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.377758337E-2,-2.734789252E-1,-7.167756557E-1,1.477633417E-2
3.384358331E-2,-4.022739530E-1,-5.652682185E-1,-8.931685984E-2
5.391058337E-2,-5.877804756E-1,-4.295465648E-1,-7.966623455E-2
7.397758332E-2,-7.814510465E-1,-4.174411595E-1,-7.106441259E-2
9.404458338E-2,-8.204938769E-1,-5.063660145E-1,-3.143844903E-1
1.141105833E-1,-8.232845068E-1,-7.112333179E-1,-7.394788265E-1
1.341775834E-1,-7.849216461E-1,-5.260664821E-1,-8.983022571E-1
1.542445833E-1,-6.848248243E-1,5.630458891E-2,-6.702688932E-1
1.743115834E-1,-5.488569736E-1,4.868620932E-1,-1.917588562E-1
1.943785833E-1,-4.092220962E-1,6.088060737E-1,2.986735404E-1
2.144445834E-1,-1.738077104E-1,3.325662315E-1,6.304516196E-1
2.345115833E-1,4.726669565E-2,-1.492285579E-1,6.721765399E-1
2.545785833E-1,1.377606839E-1,-4.789388776E-1,4.997526407E-1
2.746455834E-1,2.931582555E-2,-6.265871525E-1,2.396315485E-1
2.947125833E-1,-2.390845567E-1,-6.552044749E-1,1.849265583E-2
3.147785834E-1,-5.324267149E-1,-5.679668188E-1,-1.396602094E-1
3.348455833E-1,-7.937704921E-1,-3.808182478E-1,-2.974257171E-1
3.549125834E-1,-1.057373881E0,-1.942392588E-1,-4.291624725E-1
3.749795833E-1,-1.314913154E0,-1.943998411E-2,-4.629291892E-1
3.950465834E-1,-1.494289279E0,4.126037285E-2,-3.705679476E-1
4.151125833E-1,-1.565088272E0,-1.127209328E-2,-2.196502239E-1
4.351795834E-1,-1.519125819E0,-2.204772234E-1,-1.203625426E-1
4.552465833E-1,-1.362236261E0,-5.050039887E-1,-1.075082049E-1
4.753135834E-1,-1.059988379E0,-6.755680442E-1,-8.825767040E-2
4.953795833E-1,-6.124919057E-1,-5.025377274E-1,-6.897716317E-3
5.154465834E-1,-6.686577201E-2,2.393749803E-1,3.220962584E-1
5.355135833E-1,4.111274779E-1,3.414588273E-1,4.069087505E-1
5.555805834E-1,8.096437454E-1,1.278706342E-1,2.100774944E-1
5.756475833E-1,1.174400687E0,1.021324545E-1,3.732147068E-2
5.957135834E-1,1.408312798E0,-2.718900517E-2,5.898861960E-2
6.157805833E-1,1.399121761E0,-2.061337531E-1,3.043738008E-2
6.358475833E-1,1.167300820E0,-1.230457947E-1,-5.641183630E-2
6.559145834E-1,7.965483069E-1,-7.418368757E-2,-1.229053885E-1
6.759815833E-1,3.241023123E-1,-3.070665002E-1,-2.456089258E-1
6.960475834E-1,-1.786529720E-1,-7.586597204E-1,-4.320202172E-1
7.161145833E-1,-4.974099398E-1,-7.649772763E-1,-4.686789811E-1
7.361815834E-1,-5.402723551E-1,-2.030231655E-1,-2.824316025E-1
7.562485833E-1,-4.194935858E-1,6.049141884E-1,1.256561577E-1
7.763155834E-1,-2.573865950E-1,1.358683467E0,7.998126149E-1
7.963815833E-1,-2.017673552E-1,1.795637727E0,1.402221322E0
8.164485834E-1,-3.259568512E-1,1.912088037E0,1.706355214E0
8.365155833E-1,-4.475258291E-1,1.148228884E0,1.557574391E0
8.565825834E-1,-3.903968334E-1,2.241583169E-2,8.720455766E-1
8.766483751E-1,-2.215039134E-1,-5.976319909E-1,2.823868096E-1
8.967153750E-1,-9.898263961E-2,-9.351258278E-1,2.012103498E-1
9.167823750E-1,-1.681805104E-1,-9.221006036E-1,1.279191971E-1
9.368493750E-1,-3.233503699E-1,-4.778973460E-1,7.794337720E-2
9.569163750E-1,-4.538183212E-1,3.206733763E-1,2.696608007E-1
9.769823750E-1,-5.732293725E-1,9.706623554E-1,5.131735206E-1
9.970493750E-1,-5.926267505E-1,1.098186255E0,6.179799438E-1
1.017116375E0,-5.013519526E-1,8.631883264E-1,6.516276002E-1
1.037183375E0,-3.515038192E-1,4.827203453E-1,5.768654346E-1
1.057250375E0,-1.395577639E-1,-4.387978837E-2,4.391226470E-1
1.077316375E0,1.522349659E-2,-8.004095405E-3,3.730606437E-1
1.097383375E0,1.257760357E-2,3.508131504E-1,3.186205029E-1
1.117450375E0,-9.425212443E-2,6.750703454E-1,2.489875406E-1
1.137517375E0,-1.602660418E-1,5.960043073E-1,1.573855877E-1
1.157584375E0,-1.490800679E-1,1.067747325E-1,6.324125826E-2
1.177650375E0,-1.503033638E-1,-4.726053774E-1,-1.134471595E-1
1.197717375E0,-2.480628639E-1,-7.641192079E-1,-3.062599003E-1
1.217784375E0,-4.292031527E-1,-5.206358433E-1,-3.531199694E-1
1.237851375E0,-6.914443970E-1,-2.769524753E-1,-4.081349075E-1
1.257917375E0,-8.580495119E-1,-3.908167481E-1,-5.579840541E-1
1.277984375E0,-8.644214272E-1,-3.603730500E-1,-7.235386372E-1
1.298051375E0,-6.828248501E-1,3.008128107E-1,-7.163065672E-1
1.318118375E0,-3.663701713E-1,1.198834777E0,-4.583756626E-1
1.338185375E0,-6.262332201E-3,1.345173597E0,-8.066321164E-2
1.358251375E0,3.412346542E-1,1.057294369E0,3.185474277E-1
1.378318375E0,6.303898692E-1,6.316629648E-1,4.780561924E-1
1.398385375E0,7.616650462E-1,1.280211061E-1,3.569502831E-1
1.418452375E0,6.351871490E-1,-3.438327312E-1,1.616023779E-1
1.438519375E0,3.416572511E-1,-6.313928366E-1,-1.282366812E-1
1.458585375E0,4.035046324E-2,-7.218849659E-1,-4.056937993E-1
1.478652375E0,-8.134277910E-2,-5.262733698E-1,-5.651525855E-1
1.498719375E0,-4.464447126E-2,-5.936531350E-2,-5.387554765E-1
1.518786375E0,9.496128559E-2,3.236653805E-1,-2.821345925E-1
1.538852375E0,2.674804926E-1,3.067178726E-1,9.030701965E-2
1.558919375E0,4.345410466E-1,-1.769201905E-1,3.392595649E-1
1.578986375E0,5.300319195E-1,-7.777718902E-1,3.313542902E-1
1.599053375E0,5.104107261E-1,-1.178677559E0,1.146007776E-1
1.619120375E0,4.158851206E-1,-1.159166098E0,-1.670659184E-1
1.639186375E0,2.824748755E-1,-9.060207605E-1,-3.736041784E-1
1.659253375E0,2.256957591E-1,-4.501127601E-1,-4.372569919E-1
1.679320375E0,2.793528140E-1,-1.320440173E-1,-3.411471248E-1
1.699387375E0,4.334887266E-1,-2.028769106E-1,-1.838358790E-1
1.719454375E0,6.102369428E-1,-2.756216824E-1,-1.436627358E-1
1.739520375E0,5.945211053E-1,-3.943491280E-1,-1.617663801E-1
1.759587375E0,4.814208448E-1,-4.244567156E-1,-2.047467530E-1
1.779654375E0,4.085956514E-1,-5.633749440E-2,-2.561801672E-1
1.799721375E0,2.333195060E-1,2.445597649E-1,-2.295008600E-1
1.819787375E0,-1.607172936E-1,-2.304294705E-1,-3.648246825E-1
1.839854375E0,-2.910507917E-1,-8.943720460E-1,-5.571502447E-1
1.859921375E0,5.279516056E-2,-7.999852896E-1,-6.344852448E-1
1.879988708E0,4.495992959E-1,-2.250868678E-1,-5.128275752E-1
1.900055708E0,4.604675770E-1,3.064496815E-1,-2.457007766E-1
1.920121708E0,1.390728951E-1,5.635531545E-1,1.028888524E-1
1.940188708E0,-1.399335116E-1,8.024355173E-1,3.375279307E-1
1.960255708E0,-2.577858567E-1,6.907180548E-1,4.004321098E-1
1.980322708E0,-3.070029914E-1,1.554905623E-1,3.231487274E-1
2.000389708E0,-3.387076557E-1,-4.128674269E-1,2.026425451E-1
2.020455708E0,-3.708045781E-1,-5.293772817E-1,1.296861172E-1
2.040522708E0,-3.842082024E-1,-2.959665954E-1,1.334594488E-1
2.060589708E0,-3.500695825E-1,1.684824191E-2,1.874562353E-1
2.080656708E0,-3.371078670E-1,1.225097254E-1,2.466586530E-1
2.100722708E0,-2.506082952E-1,-3.055382892E-2,2.741295397E-1
2.120789708E0,-8.796945959E-2,-2.200891972E-1,3.004933596E-1
2.140856708E0,9.173567593E-2,-2.914370894E-1,3.050993979E-1
2.160923708E0,1.867028773E-1,-2.350838184E-1,2.185078561E-1
2.180990708E0,2.204087675E-1,-1.928905994E-1,7.525774837E-2
2.201056708E0,2.346032560E-1,-1.768733561E-2,-1.965535060E-2
2.221123708E0,2.396689653E-1,1.029969454E-1,-2.046164311E-2
2.241190708E0,2.498632371E-1,-8.197472245E-2,2.066426724E-2
2.261257708E0,3.333097100E-1,-4.353370368E-1,3.454257175E-2
2.281324708E0,4.784556627E-1,-6.909427047E-1,-5.318758637E-2
2.301390708E0,5.857260823E-1,-6.848406196E-1,-2.685862184E-1
2.321457708E0,5.949967504E-1,-4.062918425E-1,-4.847610891E-1
2.341524708E0,3.903082013E-1,5.202885717E-2,-4.648382962E-1
2.361591708E0,-5.574549735E-2,9.393017739E-3,-3.912336826E-1
2.381657708E0,-5.310282707E-1,-2.502049804E-1,-4.432480931E-1
2.401724708E0,-7.394750714E-1,-2.111156583E-1,-7.088592052E-1
2.421791708E0,-6.842361689E-1,1.740476787E-1,-8.759911060E-1
2.441858708E0,-4.755968750E-1,4.078758955E-1,-7.269672751E-1
2.461925708E0,-1.646032184E-1,4.645287991E-1,-2.935468554E-1
2.481991708E0,1.542989612E-1,3.843663633E-1,2.056472003E-1
2.502058708E0,3.747059405E-1,1.017394587E-1,4.714437425E-1
2.522125708E0,4.045444727E-1,-2.754895687E-1,4.360395372E-1
2.542192708E0,2.492917776E-1,-7.231486440E-1,1.892357767E-1
2.562258708E0,1.052281410E-1,-7.898413539E-1,-1.090756655E-1
2.582325708E0,4.985491186E-2,-3.673361540E-1,-3.562335670E-1
2.602392708E0,-1.890324056E-2,1.619694829E-1,-4.202456176E-1
2.622459708E0,-1.669162959E-1,5.306355953E-1,-2.970455587E-1
2.642526708E0,-3.143827617E-1,6.546254754E-1,-1.133765727E-1
2.662592708E0,-3.848451078E-1,5.641209483E-1,2.303858474E-2
2.682659708E0,-3.511582911E-1,3.992459476E-1,7.393991202E-2
2.702726708E0,-2.687851191E-1,1.435052752E-1,2.350113913E-2
2.722793708E0,-1.715250164E-1,-5.087540299E-2,-1.184703335E-1
2.742860708E0,-1.457345486E-1,-1.472365707E-1,-2.508367002E-1
2.762926708E0,-2.294158190E-1,-1.437461972E-1,-1.802181304E-1
2.782993708E0,-4.416234493E-1,2.950870693E-1,8.801794052E-2
2.803060708E0,-6.847676039E-1,6.315412521E-1,3.289664686E-1
2.823127708E0,-7.293743491E-1,6.843970418E-1,3.697801828E-1
2.843193708E0,-5.618696809E-1,6.069339514E-1,3.078711331E-1
2.863260708E0,-2.770027518E-1,2.990575433E-1,1.420304626E-1
2.883327833E0,2.258207649E-2,1.480337083E-1,-8.244857192E-2
2.903394833E0,7.769493014E-2,2.244606465E-1,-2.577925622E-1
2.923461833E0,-4.370441437E-1,-2.800359763E-2,-4.943645895E-1
2.943527833E0,-9.800086021E-1,-5.896994472E-1,-7.854487896E-1
2.963594833E0,-8.000388145E-1,-7.729176879E-1,-8.836483955E-1
2.983661833E0,-1.502860188E-1,-6.690045819E-3,-6.562117338E-1
3.003728833E0,3.263563812E-1,1.001214862E0,-2.067151517E-1
3.023794833E0,3.893700242E-1,1.492513537E0,2.633999288E-1
3.043861833E0,1.964255124E-1,1.418497920E0,4.187031090E-1
3.063928833E0,2.821358386E-3,7.542834282E-1,2.397872210E-1
3.083995833E0,-8.044264466E-2,-2.489112318E-1,-8.248282224E-2
3.104062833E0,-3.131285682E-2,-9.702721238E-1,-3.590344787E-1
3.124128833E0,-8.156212047E-3,-1.182864547E0,-4.910576642E-1
3.144195833E0,-3.314331919E-2,-1.046253204E0,-4.775359929E-1
3.164262833E0,3.109432757E-2,-5.000057817E-1,-2.915416956E-1
3.184329833E0,2.781444192E-1,1.793900430E-1,4.196023569E-2
3.204395833E0,4.506378472E-1,4.547894299E-1,4.821276665E-1
3.224462833E0,5.210821033E-1,3.250343204E-1,7.803936005E-1
3.244529833E0,6.321094036E-1,9.070737287E-3,8.430845141E-1
3.264596833E0,6.911970973E-1,-2.627596855E-1,7.249547243E-1
3.284663833E0,6.000682712E-1,-4.406577647E-1,5.203887820E-1
3.304729833E0,4.494073093E-1,-6.082595587E-1,2.967848480E-1
3.324796833E0,4.474586844E-1,-5.988973975E-1,1.985169202E-1
3.344863833E0,4.700253308E-1,-4.231836796E-1,2.263954431E-1
3.364930833E0,3.945982456E-1,-3.203319013E-1,2.504297793E-1
3.384997833E0,3.069367707E-1,-3.390225172E-1,2.221685201E-1
3.405063833E0,2.068225592E-1,-5.244112611E-1,1.477404684E-1
3.425130833E0,1.503948122E-1,-7.492594719E-1,1.584750228E-2
3.445197833E0,1.427249759E-1,-5.781389475E-1,-6.626212597E-2
3.465264833E0,-2.736861352E-3,-9.298582375E-2,-6.262852252E-2
3.485330833E0,-3.692215085E-1,2.552371323E-1,-1.524839252E-1
3.505397833E0,-7.725195289E-1,1.621934921E-1,-4.290265739E-1
3.525464833E0,-9.992549419E-1,-1.821556091E-1,-9.015487432E-1
3.545531833E0,-9.164575934E-1,-1.006834283E-1,-1.201738477E0
3.565598833E0,-5.924843550E-1,3.210144937E-1,-1.004129529E0
3.585664833E0,-1.516811550E-1,7.259088159E-1,-3.791309893E-1
3.605731833E0,2.362789661E-1,7.488585711E-1,2.041357011E-1
3.625798833E0,4.298766553E-1,3.886660337E-1,4.031721056E-1
3.645865833E0,3.408989012E-1,-1.035912856E-1,2.493346632E-1
3.665931833E0,1.415701807E-1,-4.351113737E-1,-9.675858915E-2
3.685998833E0,-1.677512750E-2,-3.934143782E-1,-4.656905830E-1
3.706065833E0,-1.532196254E-1,-1.533971876E-1,-6.894833446E-1
3.726132833E0,-1.783552319E-1,2.142308503E-1,-7.139313221E-1
3.746198833E0,-1.250413805E-1,4.908196330E-1,-5.842024088E-1
3.766265833E0,-8.804962784E-2,4.701936543E-1,-4.249641001E-1
3.786332833E0,-9.696052410E-3,2.387074381E-1,-3.153955638E-1
3.806399833E0,9.310828149E-2,-7.525100559E-2,-2.966228127E-1
3.826466833E0,1.385634989E-1,-2.474340200E-1,-3.819352090E-1
3.846532833E0,8.295170963E-2,-2.820654511E-1,-4.803688526E-1
3.866599125E0,4.645743594E-2,-8.774524182E-2,-5.089150071E-1
3.886666125E0,7.078716159E-2,1.682505459E-1,-4.705831409E-1
3.906733125E0,2.059180140E-1,2.590502501E-1,-3.879717886E-1
