"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.377758337E-2,-7.344026846E-1,1.168964828E0,6.148598689E-1
3.384358331E-2,-2.924486370E-1,8.742850399E-1,1.617319384E0
5.391058337E-2,-3.940988266E-1,6.964931390E-1,1.742607674E0
7.397758332E-2,-1.167955014E-1,6.154662251E-1,1.747735097E0
9.404458338E-2,6.268665415E-1,7.131957105E-1,2.449441321E0
1.141105833E-1,1.038244987E0,5.629050189E-1,3.224908417E0
1.341775834E-1,3.255318908E-1,1.951306495E-1,4.250548049E0
1.542445833E-1,-3.496724861E-1,-7.778960288E-1,4.526771686E0
1.743115834E-1,-4.019162616E-1,-1.782074333E0,3.620901741E0
1.943785833E-1,-2.159619400E-1,-2.018351693E0,1.721920225E0
2.144445834E-1,-9.533037275E-2,-1.318813178E0,3.557434309E-1
2.345115833E-1,5.106053294E-1,-1.043574212E0,-2.534779680E-1
2.545785833E-1,1.124597252E0,-8.202132055E-1,-5.780937463E-1
2.746455834E-1,1.273653670E0,-7.446714185E-1,-8.308139151E-1
2.947125833E-1,9.810369983E-1,-5.372167388E-1,-1.020163130E0
3.147785834E-1,5.719092194E-1,-3.442619844E-1,-1.145201744E0
3.348455833E-1,3.617551725E-1,-2.316906577E-1,-1.251798239E0
3.549125834E-1,1.823767758E-1,-1.271285547E-1,-1.636277812E0
3.749795833E-1,1.476722353E-1,-1.342038319E-1,-2.270505998E0
3.950465834E-1,9.884352610E-3,-3.032629162E-2,-2.706459779E0
4.151125833E-1,-1.910039040E-1,3.288266507E-1,-2.770217233E0
4.351795834E-1,-2.161627188E-1,7.187368975E-1,-2.530294281E0
4.552465833E-1,-4.494732745E-2,8.133753254E-1,-2.043502468E0
4.753135834E-1,-1.223408546E-1,7.845586386E-1,-1.278115388E0
4.953795833E-1,-1.870374087E-1,8.882044099E-1,-5.287730670E-1
5.154465834E-1,-7.469844308E-1,1.460369737E0,1.304548895E-1
5.355135833E-1,-4.018071380E-2,6.732140578E-1,7.620418882E-1
5.555805834E-1,7.636796933E-1,-2.847923294E-1,1.079925182E0
5.756475833E-1,5.740694367E-1,-2.692788988E-3,1.284192984E0
5.957135834E-1,-9.217112213E-2,8.827979281E-1,1.428421574E0
6.157805833E-1,2.058260109E-2,9.919566004E-1,1.447602196E0
6.358475833E-1,2.229144987E-1,8.031505917E-1,1.144040487E0
6.559145834E-1,6.337256178E-2,8.928334312E-1,1.041751050E0
6.759815833E-1,1.683998108E-1,9.250874037E-1,1.152475680E0
6.960475834E-1,2.330249193E-1,7.846077552E-1,1.522317333E0
7.161145833E-1,-1.314660010E-1,5.261011818E-1,2.409026536E0
7.361815834E-1,-4.464059713E-1,-1.330580699E-1,2.908046046E0
7.562485833E-1,-4.278588226E-1,-5.337274128E-1,2.506499037E0
7.763155834E-1,-9.816736870E-1,-1.282636455E-1,1.876646907E0
7.963815833E-1,-8.689678013E-1,-4.652491354E-1,4.124842268E-1
8.164485834E-1,-6.132904762E-1,-8.593004534E-1,-1.273375050E0
8.365155833E-1,-1.614577040E-2,-1.297776796E0,-1.966448445E0
8.565825834E-1,9.132077618E-1,-1.163219062E0,-1.970533310E0
8.766483751E-1,4.994375861E-1,-7.016978918E-1,-1.428256683E0
8.967153750E-1,-3.807886635E-1,2.227444909E-1,-6.190973461E-1
9.167823750E-1,-4.459055228E-1,-1.211893916E-1,-2.994569635E-1
9.368493750E-1,-4.172915152E-1,-7.555538908E-1,-1.747750300E-1
9.569163750E-1,-5.350963922E-1,-9.468446007E-1,-3.071793813E-1
9.769823750E-1,-4.060077777E-1,-9.476485198E-1,-1.068129594E0
9.970493750E-1,-2.935047173E-1,-4.921470583E-1,-1.804693410E0
1.017116375E0,-3.094041006E-1,1.502701167E-1,-2.212931973E0
1.037183375E0,-1.068283376E-1,5.424983094E-1,-2.512189547E0
