"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.342416672E-2,-1.481020203E0,4.656217346E0,8.798852692E0
4.327916668E-2,-6.560856628E-1,5.071603546E0,8.195307770E0
6.313516665E-2,-1.701960754E-1,4.661456451E0,8.435109100E0
8.299116662E-2,-7.858657837E-2,4.679269409E0,8.857380981E0
1.028471667E-1,-6.282435608E-1,4.450245667E0,9.698182526E0
1.227031667E-1,-6.337820435E-1,4.867577820E0,8.727002106E0
1.425591666E-1,-7.165599060E-1,4.661905518E0,7.796686707E0
1.624151666E-1,-1.502874756E-1,4.803660736E0,7.868986359E0
1.822711667E-1,-5.906716919E-1,4.397704926E0,7.900121613E0
2.021261667E-1,-6.768923950E-1,4.662204895E0,8.350534973E0
2.219821666E-1,-7.951464844E-1,4.958289185E0,8.569529572E0
2.418381667E-1,-8.524772644E-1,4.864733734E0,8.554860077E0
2.616941667E-1,-6.662644958E-1,4.811145172E0,8.395740967E0
2.815501667E-1,-4.740641785E-1,4.672832794E0,8.342751160E0
3.014061666E-1,-4.137396240E-1,4.563859406E0,8.696615295E0
3.212621667E-1,-5.863307190E-1,4.638105011E0,8.816665649E0
3.411181667E-1,-5.857319641E-1,4.718936920E0,8.609795837E0
3.609731667E-1,-5.249583435E-1,4.750072174E0,8.382418671E0
3.808291666E-1,-4.323010254E-1,4.680915985E0,8.408165131E0
4.006851667E-1,-4.658312988E-1,4.544250183E0,8.574469299E0
4.205411667E-1,-6.282435608E-1,4.572840729E0,8.732390900E0
4.403971666E-1,-1.217867432E0,4.678071899E0,8.743767242E0
4.602531666E-1,-4.448748779E-1,4.776866455E0,8.339308319E0
4.801091667E-1,-5.170248413E-1,4.517755280E0,8.353229370E0
4.999651667E-1,-4.911286926E-1,4.688101044E0,8.525521088E0
5.198211666E-1,-4.502636719E-1,4.739743652E0,8.482410736E0
5.396761667E-1,-2.553689575E-1,4.517904968E0,9.009015656E0
5.595321667E-1,-6.533912659E-1,5.056185608E0,9.377998352E0
5.793881667E-1,-7.307803345E-1,4.542753296E0,9.799821167E0
5.992441666E-1,-4.511618042E-1,4.151916046E0,8.149952087E0
6.114622500E-1,-5.733078003E-1,4.677772522E0,8.559799805E0
6.313182500E-1,-1.908531189E-1,4.609065399E0,9.207502899E0
6.511742499E-1,-1.932481384E0,4.539909210E0,8.718918915E0
6.710302500E-1,-1.711690521E0,4.640200653E0,9.935439148E0
6.908862500E-1,-1.100810852E0,5.663772125E0,8.893755341E0
7.107422500E-1,-5.513035583E-1,5.898184662E0,9.210346985E0
7.305972499E-1,1.017883301E-1,5.512137451E0,9.252259827E0
7.504532500E-1,-2.106569366E0,4.661905518E0,8.296347656E0
7.703092500E-1,-1.526076508E0,5.449268188E0,8.234376526E0
7.901651249E-1,-4.278103638E-1,5.254373474E0,9.376651154E0
8.100211250E-1,3.010838928E0,3.692521362E0,1.089150101E1
8.298771250E-1,9.250762939E-1,4.908742218E0,1.210577591E1
8.497331250E-1,-6.001020813E-1,6.790628815E0,1.113459549E1
8.695891249E-1,-1.184037781E-1,6.736291809E0,8.750203857E0
8.894451250E-1,1.096769257E0,6.566095734E0,8.917855225E0
9.093011250E-1,2.152224426E0,6.322851562E0,7.309898987E0
9.291561249E-1,2.638263702E0,5.381010132E0,6.020031281E0
9.490121250E-1,3.640130310E0,4.508624268E0,5.013973389E0
9.688681250E-1,3.881428528E0,2.923869781E0,4.631518707E0
9.887241250E-1,3.457809448E0,2.485730896E0,5.474266205E0
1.008580125E0,-1.839375000E0,3.363505554E0,1.086051544E1
1.028436125E0,-1.687440948E0,4.284839630E0,1.064975372E1
1.048292125E0,-1.567540283E0,2.612217865E0,7.933801575E0
1.068148125E0,-2.496658173E0,2.747237091E0,7.997868347E0
1.088004125E0,-1.730850677E0,4.294270020E0,6.704707489E0
1.107860125E0,-1.275647278E0,4.758754120E0,6.380481720E0
1.127716125E0,-3.244503021E0,5.432203674E0,5.133874054E0
1.147571125E0,-6.927444305E0,8.669371948E0,3.148851929E0
1.167427125E0,-3.788920898E0,8.559051361E0,6.375242615E0
1.187283125E0,4.357438660E-1,5.223387909E0,8.410560150E0
1.207139125E0,-1.488504639E0,4.699926453E0,6.709497528E0
1.226995125E0,-1.825154572E0,4.249962158E0,5.364095306E0
1.246851125E0,-1.910028076E-1,4.737198944E0,4.723277893E0
1.266707125E0,-1.664538574E-1,4.695136414E0,6.635551300E0
1.286563125E0,-1.570084991E0,4.084855499E0,8.027806091E0
1.306419125E0,-9.677375793E-1,2.713557129E0,8.512498169E0
1.326275125E0,-1.824855194E0,3.336711273E0,7.892188110E0
1.346130125E0,-3.607647858E0,4.012555847E0,7.795638885E0
1.365986125E0,-4.651576996E0,2.443668365E0,8.116721191E0
1.385842125E0,-2.978506165E0,4.522096252E-1,9.384285278E0
1.405698125E0,-1.520687714E0,1.121467896E0,6.966063995E0
1.425554125E0,-1.090781708E0,2.768642578E0,8.025860138E0
1.445410125E0,1.482068024E0,1.288071442E0,8.652457123E0
1.465266125E0,-7.939489746E-1,2.508034515E0,9.751322021E0
1.485122125E0,3.389401703E0,3.861519928E0,1.033690430E1
1.504978125E0,2.476150818E0,1.863325195E0,8.853638763E0
1.524834125E0,1.862876129E0,2.873424683E0,1.004875351E1
1.544690125E0,1.325792999E0,3.029699707E0,1.030157776E1
1.564545125E0,6.289920044E-1,3.706891479E0,9.058862000E0
