"Time (s)","X (hPa)"
7.866733323E-2,1.022690277E3
1.110633333E0,1.022693481E3
2.142590333E0,1.022696762E3
3.174585333E0,1.022703018E3
4.206626333E0,1.022705154E3
4.400063333E0,1.022711639E3
5.465370333E0,1.022712555E3
6.530686333E0,1.022713165E3
7.596043333E0,1.022713776E3
8.661365333E0,1.022716064E3
9.726644333E0,1.022716064E3
1.079187733E1,1.022747650E3
1.185715133E1,1.022797623E3
1.292245333E1,1.022848511E3
1.398773033E1,1.022898636E3
1.505307233E1,1.022947235E3
1.611835733E1,1.022971191E3
1.718362533E1,1.022972565E3
1.824890433E1,1.022973404E3
1.931416933E1,1.022973785E3
2.037951833E1,1.022974854E3
2.144484333E1,1.022977524E3
2.251011133E1,1.022977982E3
2.357540833E1,1.022981567E3
2.464068933E1,1.022985535E3
2.570593333E1,1.022990570E3
2.677124433E1,1.022994995E3
2.783655933E1,1.022999725E3
2.890187233E1,1.023000717E3
2.996713433E1,1.023000717E3
3.103245133E1,1.022997284E3
3.209769733E1,1.022994843E3
3.316299833E1,1.022994843E3
3.422826833E1,1.022996292E3
3.529360633E1,1.022997742E3
3.635898933E1,1.023001099E3
3.742439233E1,1.023002853E3
3.848979733E1,1.023004456E3
3.955515033E1,1.023004532E3
4.062046833E1,1.023004684E3
4.168574233E1,1.023007050E3
4.275105433E1,1.023007050E3
4.381634233E1,1.023007507E3
4.488158233E1,1.023007507E3
4.594682033E1,1.023007812E3
4.701208533E1,1.023008270E3
4.807738733E1,1.023008270E3
4.914266833E1,1.023008957E3
5.020798933E1,1.023008957E3
5.127332833E1,1.023009491E3
5.233865033E1,1.023009720E3
5.340394433E1,1.023010025E3
5.446925633E1,1.023010025E3
5.553456133E1,1.023009796E3
5.659982133E1,1.023007660E3
5.766506633E1,1.023001404E3
5.873031833E1,1.022998199E3
5.979557833E1,1.022998199E3
6.086083833E1,1.022999878E3
6.192614733E1,1.023003693E3
6.299136833E1,1.023008881E3
6.405665633E1,1.023015442E3
6.512191133E1,1.023017502E3
6.618708633E1,1.023020096E3
6.725228533E1,1.023024521E3
6.831749533E1,1.023028259E3
6.938273833E1,1.023031387E3
7.044795733E1,1.023032990E3
7.151319533E1,1.023034363E3
7.257840233E1,1.023037109E3
7.364366233E1,1.023042374E3
7.470895033E1,1.023048248E3
7.577422233E1,1.023056488E3
7.683946033E1,1.023064041E3
7.790468533E1,1.023069992E3
7.896989333E1,1.023073730E3
8.003517233E1,1.023076553E3
8.110037733E1,1.023079300E3
8.216561133E1,1.023083267E3
8.323087333E1,1.023091812E3
8.429612633E1,1.023103027E3
8.536143633E1,1.023116074E3
8.642671033E1,1.023130646E3
8.749200033E1,1.023147888E3
8.855730133E1,1.023163452E3
8.962261133E1,1.023176346E3
9.068792333E1,1.023186569E3
9.175320133E1,1.023195877E3
9.281839133E1,1.023199463E3
9.388362933E1,1.023200073E3
9.494890433E1,1.023201828E3
9.601412633E1,1.023202362E3
9.707939133E1,1.023202972E3
9.814464933E1,1.023202972E3
9.920993833E1,1.023204346E3
1.002751993E2,1.023204346E3
1.013405083E2,1.023204651E3
1.024058013E2,1.023205795E3
1.034711423E2,1.023208694E3
1.045364943E2,1.023210373E3
1.056018303E2,1.023211823E3
1.066671063E2,1.023211823E3
1.077323713E2,1.023209152E3
1.087976523E2,1.023203506E3
1.098629183E2,1.023175507E3
1.109281883E2,1.023146973E3
1.119934273E2,1.023115234E3
1.130587183E2,1.023082199E3
1.141240033E2,1.023048706E3
1.151892713E2,1.023034821E3
1.162545503E2,1.023022537E3
1.173198723E2,1.023013611E3
1.183851923E2,1.023009109E3
1.194504703E2,1.023009109E3
1.205157753E2,1.023010864E3
1.215811133E2,1.023016052E3
1.226464363E2,1.023027496E3
1.237117233E2,1.023045578E3
1.247770513E2,1.023068542E3
1.258423543E2,1.023094254E3
1.269076783E2,1.023114777E3
1.279730063E2,1.023128128E3
1.290382893E2,1.023128128E3
1.301035673E2,1.023124084E3
1.311688373E2,1.023116531E3
1.322340803E2,1.023107224E3
1.332994103E2,1.023098755E3
1.343646673E2,1.023092728E3
1.354299083E2,1.023085556E3
1.364951973E2,1.023080444E3
1.375604663E2,1.023077621E3
1.386257803E2,1.023076477E3
1.396911003E2,1.023076477E3
1.407564163E2,1.023076096E3
