"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.320716673E-2,-4.899704363E-4,-7.502362132E-5,5.611686409E-2
7.306316670E-2,2.252259292E-4,6.126110256E-2,-1.201659068E-2
9.291916667E-2,6.091691181E-2,2.774039507E-1,-2.607529610E-2
1.127751666E-1,2.621260583E-1,1.005641371E-1,-5.403401330E-2
1.326311667E-1,2.185714841E-1,5.120981485E-2,-6.887148600E-3
1.524871667E-1,6.738117337E-2,2.064334899E-1,9.181300178E-3
1.723431667E-1,1.334788743E-3,1.142709330E-1,-8.581328392E-2
1.921991666E-1,-2.912282199E-2,1.682431623E-2,-4.092783481E-2
2.120541667E-1,-3.879475966E-2,-1.936890557E-2,-3.661596403E-2
2.319101667E-1,-3.449708596E-2,-5.366173759E-2,-7.940039970E-3
2.517661666E-1,-4.630301520E-2,-9.906395525E-2,-9.901653044E-3
2.716221666E-1,-9.468732774E-2,-6.765946746E-2,-4.095038865E-3
2.914781667E-1,-1.032981500E-1,-9.564099833E-3,-2.087075077E-2
3.113341667E-1,-4.658570141E-2,-4.229626060E-2,-5.927505903E-3
3.311901666E-1,9.002850391E-3,-3.766743466E-2,2.530879714E-2
3.510461666E-1,-7.698365487E-3,-2.094012126E-2,3.728982806E-2
3.709011667E-1,-2.769697644E-2,2.939431369E-2,3.950484842E-2
3.907571667E-1,-4.403438047E-2,1.308819652E-2,-8.988333866E-4
4.106131666E-1,-5.743211508E-2,-1.947892457E-2,-3.952795267E-2
4.304691667E-1,-1.211684756E-2,-2.990159579E-2,5.157974735E-2
4.503251667E-1,4.155109078E-2,-3.611595929E-2,4.582595080E-2
4.701811667E-1,-4.176376760E-2,-1.365047321E-2,1.368049067E-3
4.900371666E-1,-3.986015171E-2,-4.102317616E-3,1.125320420E-2
5.098931667E-1,-6.927650422E-2,1.106682420E-1,3.212089837E-2
5.297481667E-1,-6.339894980E-2,1.199937239E-1,2.587706596E-2
5.496041666E-1,-4.540056884E-1,1.697442830E-1,1.543865651E-1
5.694601666E-1,1.812411845E-1,-1.304652840E-1,-1.026544161E-2
5.893161667E-1,2.064646184E-1,-1.220508069E-1,-3.148870170E-2
6.164262500E-1,1.455676109E-1,2.664335966E-1,-2.523365431E-3
6.362822499E-1,2.733446062E-1,4.616125524E-1,2.042321116E-2
6.561382500E-1,2.902367711E-1,3.280574083E-2,1.833922863E-1
6.759942500E-1,3.289427757E-1,-1.314251274E-1,3.278275132E-1
6.958502500E-1,1.133789122E-1,5.804008842E-1,2.913319170E-1
7.157062499E-1,2.230144441E-1,2.680421174E-1,1.879514158E-1
7.355612500E-1,2.990839481E-1,5.233141780E-1,1.503471434E-1
7.554172500E-1,-1.220243052E-1,5.728563070E-1,4.015344977E-1
7.752732500E-1,-5.327621102E-1,-7.740116864E-2,4.448373616E-1
7.951291250E-1,-4.639462233E-1,-9.490335584E-1,1.864447892E-1
8.149851250E-1,-7.192648202E-2,-1.895701289E0,2.102146596E-1
8.348411249E-1,7.126496434E-1,-9.204277992E-1,1.246279776E-1
8.546971249E-1,8.870918155E-1,-1.575538330E-2,1.861464381E-1
8.745531250E-1,8.132171631E-1,-4.693315625E-1,6.962037086E-1
