"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.320716673E-2,3.655876569E-2,2.945903260E-1,-3.928837752E-1
7.306316670E-2,3.571730385E-1,-8.639553487E-3,-5.529536426E-2
9.291916667E-2,3.396449133E-1,-4.484960586E-2,3.829400003E-1
1.127751666E-1,1.730186726E-1,-1.239618489E-1,1.135025250E0
1.326311667E-1,-2.626341595E-1,7.540949374E-2,-2.142092371E-1
1.524871667E-1,3.993904106E-2,-6.576597333E-2,-8.025660163E-1
1.723431667E-1,5.591318107E-1,3.191117942E-2,-6.162415659E-1
1.921991666E-1,-9.262647405E-2,-4.181715211E-1,-6.053230602E-1
2.120541667E-1,-4.532820046E-2,6.774788707E-2,-1.377744341E-1
2.319101667E-1,-1.726062977E-1,1.795890427E-1,7.140795171E-2
2.517661666E-1,-1.970221507E-1,1.217416611E-1,-7.563548863E-2
2.716221666E-1,7.040120736E-3,4.782116085E-2,-2.101717347E-1
2.914781667E-1,2.200504594E-1,-6.537918001E-2,-1.419791669E-1
3.113341667E-1,1.432774680E-1,-1.295029628E-1,1.617392474E-1
3.311901666E-1,1.423044182E-2,-2.662149578E-2,2.121744061E-1
3.510461666E-1,3.304601435E-2,3.629425228E-2,-6.714883983E-2
3.709011667E-1,7.728889849E-2,5.076143324E-2,-2.187215334E-1
3.907571667E-1,1.868439389E-1,-4.276653528E-2,-1.584291387E-1
4.106131666E-1,9.596914452E-2,-1.522927782E-1,8.069157600E-4
4.304691667E-1,-1.868621384E-1,-8.595260829E-2,1.638834214E-1
4.503251667E-1,-3.558074579E-1,1.150661874E-1,1.119525450E-1
4.701811667E-1,1.373291686E-1,1.343485504E-2,-3.338023388E-1
4.900371666E-1,7.779449992E-2,-1.454465657E-1,-1.750814241E-1
5.098931667E-1,8.594051186E-2,7.738994569E-2,-1.078209025E-1
5.297481667E-1,1.086559214E-1,5.021033317E-2,-1.068748230E-1
5.496041666E-1,9.084621616E-2,-2.827713490E-1,-4.110516590E-1
5.694601666E-1,4.801525552E-1,6.664828894E-1,2.699773487E0
5.893161667E-1,6.638296422E-2,-2.839372838E-1,9.756979787E-1
6.164262500E-1,3.065097289E-1,-3.947689176E-2,-7.625529349E-2
6.362822499E-1,7.416550592E-1,1.658594880E-1,7.880877256E-1
6.561382500E-1,-1.033358249E0,-1.132900956E-1,-1.203590870E-1
6.759942500E-1,-6.041964479E-1,2.081176078E-1,8.068356532E-1
6.958502500E-1,3.367031425E-2,1.160646287E0,5.483512992E-1
7.157062499E-1,1.045699310E0,1.123400985E0,7.228497559E-1
7.355612500E-1,4.323927536E-1,3.933851740E-1,6.058610040E-1
7.554172500E-1,-9.711489911E-1,-3.414159983E-2,-3.241316289E-1
7.752732500E-1,1.042178482E-2,8.120206717E-1,-1.179874563E-1
7.951291250E-1,1.244484834E0,1.865934223E-2,1.322343727E0
8.149851250E-1,3.843863383E0,-8.221793318E-1,2.596835010E0
8.348411249E-1,6.043920372E-1,6.586502516E-1,3.722988279E0
8.546971249E-1,-8.855644651E-3,2.103489930E0,1.771054963E0
8.745531250E-1,5.388444940E-1,1.633545408E0,3.404897994E-1
8.944091250E-1,1.793249093E0,1.455571951E0,3.393355590E-1
9.142651249E-1,2.228431188E0,7.363153088E-1,-1.346135463E0
9.341201250E-1,2.943837438E0,-2.163610125E-1,-2.407847153E0
9.539761250E-1,4.035528973E0,-1.372381859E0,-3.269667683E0
9.738321250E-1,4.642841256E0,-2.738200219E0,-3.365057405E0
9.936881249E-1,3.957517760E0,-3.062777406E0,-2.012195306E0
1.013544125E0,6.845978558E-2,-2.335952713E0,2.332156116E0
1.033400125E0,7.484053043E-1,-1.221278113E0,1.957474138E0
1.053256125E0,-5.178687407E-1,-3.321068802E0,-8.279365003E-2
1.073112125E0,-3.419919491E-1,-2.311591458E0,5.184667647E-2
1.092968125E0,4.114770439E-1,-1.271227952E0,-1.170561703E0
1.112824125E0,2.571311621E-1,-1.289087103E0,-1.374037206E0
1.132679125E0,-2.135715690E0,1.576292396E-1,-2.843623179E0
1.152535125E0,-6.053242296E0,3.069644961E0,-4.754540616E0
1.172391125E0,-1.150846427E0,1.652424313E0,-1.103035133E0
1.192247125E0,1.478160622E0,-4.899077940E-1,3.945467234E-1
1.212103125E0,-4.403663823E-1,-1.187995176E0,-1.703686852E0
1.231959125E0,3.085258488E-1,-9.621295148E-1,-3.097209905E0
1.251815125E0,1.728091669E0,-3.900858825E-1,-3.139792253E0
1.271671125E0,1.372252928E0,-7.699993640E-2,-1.217817730E0
1.291527125E0,4.400050244E-1,-9.000265297E-1,-2.354872549E-1
1.311383125E0,1.214286012E0,-1.421157871E0,-1.250315970E-1
1.331239125E0,-1.971827298E-3,-5.823888186E-1,-7.766020399E-1
1.351094125E0,-2.386797761E0,2.782514513E-2,-1.024748517E0
1.370950125E0,-2.778009818E0,-1.898705820E0,-1.073220180E0
1.390806125E0,-1.210646705E0,-3.992332082E0,-1.171424167E0
1.410662125E0,-9.355382784E-1,-1.882508156E0,-1.021502143E0
1.430518125E0,2.891303422E-1,-1.126901421E0,-9.331618237E-1
1.450374125E0,9.468596573E-1,-1.954204083E0,-4.165971583E-1
1.470230125E0,-1.807918442E0,-1.230648860E-1,9.686971074E-1
1.490086125E0,2.375869608E0,-2.880268264E-1,5.351430237E-2
1.509942125E0,-4.942259628E-1,-1.578063810E0,5.375450599E-1
1.529798125E0,-1.300497067E0,-4.548423341E-1,1.892758325E0
1.549654125E0,-2.385719535E0,-6.977014661E-1,1.624875741E0
1.569509125E0,-3.287754875E0,1.166604307E-1,8.791417372E-1
1.589365125E0,-6.369386628E-1,1.090931689E0,1.190870252E0
1.609221125E0,-1.936289676E0,7.182450736E-1,2.336121113E0
1.629077125E0,-4.113937211E0,-5.991577560E-1,1.789136893E0
1.648933125E0,4.982663888E-1,-1.637723828E0,-3.166711664E-1
1.668789125E0,2.815431998E0,2.538934711E0,-7.053502089E-1
1.688645125E0,3.007377961E0,1.819352087E0,7.362480658E-1
1.708501125E0,1.845726246E-1,-5.525919923E-1,2.727054257E0
1.728357125E0,2.803979641E-1,-8.631282601E-1,5.074531247E0
1.748213125E0,-1.257509800E0,-7.985545340E-1,4.836160730E0
1.768069125E0,2.200392035E0,6.017621058E-1,2.659799582E0
1.787924125E0,7.305534625E-1,1.181536634E0,-3.402459705E-1
1.807779958E0,-1.585956089E0,1.972237188E0,-6.193891221E-1
1.827635958E0,-1.873492919E0,1.873063733E0,-2.399901956E-2
1.847491958E0,1.480523774E0,1.617724012E0,6.569425723E-1
1.867347958E0,1.888156566E0,1.960700632E0,-3.999404874E-1
1.887203958E0,3.107017440E-1,1.356218401E0,-4.349924988E-1
1.907059958E0,-1.396610967E0,1.407677992E0,1.445010710E-1
1.926915958E0,2.044952577E0,-5.217493916E-1,1.264723510E-1
1.946771958E0,8.241077435E-1,9.303563297E-2,-4.475941256E-1
1.966627958E0,-3.891333711E-1,2.248798209E-1,3.527467328E-1
1.986482958E0,-3.350928193E-1,5.635704321E-1,-3.218767963E-1
2.006338958E0,1.580942686E0,1.209545674E0,-2.497083265E0
2.026194958E0,1.704974994E0,1.416763980E0,-2.963207510E0
2.046050958E0,7.485956311E-1,1.306718797E0,6.466622170E-1
2.065906958E0,-5.732785642E-1,6.459787506E-1,2.153333205E0
2.085762958E0,-5.729154521E-1,6.606529230E-1,-1.823691598E0
2.105618958E0,-9.657512802E-1,8.510786104E-1,-3.747123539E0
2.125474958E0,1.595570666E-1,-7.003444076E-2,1.234060711E0
2.145330958E0,1.336790442E-1,-2.554716346E0,3.948555441E0
2.165186958E0,2.654869795E-1,-2.566182151E0,4.197689804E0
2.185042958E0,1.006166065E0,-3.357717980E0,1.471050115E0
2.204897958E0,-3.185022805E0,-3.824235157E0,-3.704735319E0
2.224753958E0,-1.465194713E0,-2.174939105E0,-4.086653518E0
2.244609958E0,2.540606430E0,1.408604191E0,1.228213495E-1
2.264465958E0,3.966651111E0,1.444717180E0,2.851045049E0
2.284321958E0,7.641591650E0,2.746398016E0,3.104335322E0
2.304177958E0,2.776284889E0,1.996699600E0,-3.203198875E0
2.324033958E0,-3.227263675E0,7.271322566E-1,-3.561662430E0
2.343889958E0,-5.915266133E0,-1.901271286E0,9.890764081E-1
2.363745958E0,-2.229491580E0,-2.162997336E0,1.716356015E0
2.383601958E0,-3.480113068E0,4.189489084E-1,-1.070607060E0
2.403456958E0,-2.831566220E0,-1.481994349E0,-4.228951943E-1
2.423312958E0,3.565842605E-1,1.861390936E-1,-1.588083306E0
2.443168958E0,-2.873977537E0,-5.933356833E-1,6.184085441E-1
2.463024958E0,-5.127667235E0,4.984347886E-1,1.574410177E0
2.482880958E0,-4.177170171E0,-6.073964828E-1,-2.482192746E0
2.502736958E0,1.996332979E-1,-2.651643301E0,-2.774296251E0
2.522592958E0,-3.398594695E-1,-1.216305640E0,2.219245797E0
2.542448958E0,8.873991752E-1,-1.657942915E-1,7.393277358E0
2.562304958E0,7.098318073E0,-1.362123504E0,4.977408995E0
2.582160958E0,3.786589614E0,1.249614889E0,2.350568998E-1
2.602015958E0,5.055976278E0,5.227317823E0,-2.429608443E0
2.621871958E0,1.838936459E0,5.008011568E-1,-2.508426864E0
2.641727958E0,1.120808914E0,1.012345403E0,-1.152038601E0
2.661583958E0,1.095531401E0,-1.320593655E-1,-2.846728635E-1
2.681439958E0,5.893753642E-1,-1.414058181E0,-2.293120104E-1
2.701295958E0,-3.549973261E-1,-2.695942976E0,3.336035335E-1
2.721151958E0,-2.016990023E0,-1.347982598E0,1.349951063E0
2.741007958E0,-4.518711884E0,1.443108611E0,5.697088391E-2
2.760863958E0,-3.539551769E0,1.093566737E-1,-1.012235475E0
2.780719958E0,-2.594448761E0,-2.955061753E0,1.242084552E0
2.800575000E0,-4.610079306E-1,-5.157949380E0,-6.286768395E-1
2.820431000E0,1.939803852E0,-4.191509005E0,-2.596663102E0
2.840287000E0,2.281152023E0,-2.088516965E0,1.344608170E-1
2.860143000E0,1.615433657E-1,3.234545213E-1,-1.708719551E0
2.879999000E0,-8.256116474E-1,2.356803299E0,-9.962550348E-1
2.899855000E0,-1.476147133E0,3.256582199E0,-6.800557387E-1
2.919711000E0,-1.392580481E0,4.995983845E-1,-3.736353260E-1
2.939567000E0,-4.958549970E-1,-8.927102011E-1,1.057132151E0
2.959423000E0,-2.299423403E-1,-2.944119859E-1,-2.040882915E-1
2.979279000E0,-6.574609280E-2,1.130238134E0,-1.140875974E0
2.999134000E0,-1.780439744E0,1.392274087E0,-2.592164254E-1
3.018990000E0,-1.419687588E0,2.302642295E-1,-4.468336952E-1
3.038846000E0,-4.625977886E-1,5.787807941E-2,2.554935032E-1
3.058702000E0,-5.003538448E-1,5.273813127E0,5.403599095E-1
3.078558000E0,-6.234500134E-1,6.811950687E-1,-8.185809553E-2
3.098414000E0,-5.619168395E-1,-5.670068407E-1,-1.006191793E0
3.118270000E0,-5.128019822E-1,-1.112640939E0,4.753295159E-1
3.138126000E0,-6.371681660E-1,-3.429078277E0,5.394278634E-1
3.157982000E0,9.810692310E-2,-1.811793099E0,-1.372896999E-1
3.177838000E0,4.981599694E-1,4.824751058E-1,1.254982048E-1
3.197693000E0,3.444126964E-2,1.092513068E0,-6.468991023E-1
3.217549000E0,-8.356571639E-1,5.569677562E-2,-1.152627123E0
3.237405000E0,-5.817348075E-1,-2.247235103E0,-8.165484631E-1
3.257261000E0,3.602253217E-1,-2.331805575E0,3.269236743E-2
3.277117000E0,1.019546834E0,-1.305909250E0,-1.662532979E-1
3.296973000E0,5.520081478E-1,-3.103034024E-1,-9.780193233E-1
3.316829000E0,-2.220176089E-1,9.782805477E-1,-3.061572880E-2
3.336685000E0,-1.421399653E-1,-3.308997810E-2,-6.417862970E-1
3.356541000E0,8.645599508E-1,-1.090253339E0,-1.107822248E0
3.376397000E0,3.697065818E-1,-7.172439571E-1,-1.691307127E-2
3.396252000E0,-6.876442552E-2,-3.943785428E-1,-3.008450925E-2
3.416108000E0,-1.591945392E-1,6.256557293E-2,2.735777718E-1
3.435964000E0,9.905247635E-1,6.337111460E-1,2.657571208E-1
3.455820000E0,2.257880105E0,1.253043696E0,1.601634228E-1
3.475676000E0,1.211489874E0,1.111405495E-1,-1.379007339E0
3.495532000E0,-4.960157955E-1,-3.457833203E-1,-1.004975572E0
3.515388000E0,-1.617177882E0,9.462629490E-2,-1.953350097E-1
3.535244000E0,-1.100580472E0,8.644810134E-1,1.559057727E0
3.555100000E0,-2.833356053E-1,5.451709986E-2,5.046737677E-1
3.574955000E0,-3.698942775E-1,-1.200569175E0,-6.070579290E-3
3.594811000E0,-5.119629067E-1,-7.799899167E-1,6.839230871E-1
3.614667000E0,-5.022524357E-2,2.732606700E-1,-1.190422940E-1
3.634523000E0,-1.109187573E-1,4.019468864E-1,4.158042759E-2
3.654379000E0,4.847283304E-2,2.322026180E-2,3.895555401E-1
