"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.407298565E-2,5.231160287E1,4.946768476E0,2.400000000E0,NaN,NaN,1.414000000E3,3.572493434E1
7.242798805E-2,5.231161459E1,4.946804892E0,2.400000000E0,NaN,NaN,1.414000000E3,3.574294496E1
6.631196408E-1,5.231161889E1,4.946818232E0,2.400000000E0,NaN,NaN,1.414000000E3,3.574750151E1
5.688412633E0,5.231330514E1,4.944918516E0,2.400000000E0,NaN,NaN,1.414000000E3,3.575145368E1
5.690336671E0,5.231330693E1,4.944924053E0,2.400000000E0,NaN,NaN,1.414000000E3,3.575145368E1
1.208639571E1,5.231243622E1,4.945909219E0,2.400000000E0,NaN,NaN,1.414000000E3,3.576105196E1
1.209454271E1,5.231202942E1,4.946369505E0,2.400000000E0,NaN,NaN,1.414000000E3,3.576105196E1
8.173628470E1,5.231202822E1,4.946374342E0,2.400000000E0,NaN,NaN,3.575476768E3,3.584734481E1
8.174294266E1,5.231202822E1,4.946374342E0,2.400000000E0,NaN,NaN,3.575476770E3,3.584734481E1
8.246146664E1,5.230867064E1,4.949983195E0,2.400000000E0,NaN,NaN,2.411000000E3,3.584749308E1
8.496601972E1,5.230790595E1,4.950805113E0,2.400000000E0,NaN,NaN,2.411000000E3,3.584827023E1
9.208533069E1,5.230790650E1,4.950806183E0,2.400000000E0,NaN,NaN,2.446603996E3,3.586298018E1
9.208851072E1,5.230790650E1,4.950806183E0,2.400000000E0,NaN,NaN,2.446603996E3,3.586298018E1
9.248760470E1,5.230772107E1,4.953350493E0,2.400000000E0,NaN,NaN,1.414000000E3,3.586300577E1
9.289000567E1,5.230769010E1,4.953775438E0,2.400000000E0,NaN,NaN,1.414000000E3,3.586303200E1
9.764829966E1,5.230754633E1,4.953208856E0,2.400000000E0,NaN,NaN,1.441523146E3,3.586629770E1
9.765486869E1,5.230744042E1,4.952791477E0,2.400000000E0,NaN,NaN,1.441523200E3,3.586629770E1
1.056864026E2,5.230744068E1,4.952791682E0,2.400000000E0,NaN,NaN,1.515454604E3,3.587202797E1
1.056977757E2,5.230744068E1,4.952791682E0,2.400000000E0,NaN,NaN,1.515454709E3,3.587202797E1
1.076293827E2,5.230518285E1,4.951671667E0,2.400000000E0,NaN,NaN,1.503000000E3,3.587476543E1
1.078176027E2,5.230407874E1,4.951123968E0,2.400000000E0,NaN,NaN,1.503000000E3,3.587476812E1
1.078911887E2,5.230613593E1,4.952573264E0,2.400000000E0,NaN,NaN,1.414000000E3,3.587476828E1
1.079009087E2,5.230704631E1,4.953214627E0,2.400000000E0,NaN,NaN,1.414000000E3,3.587476828E1
1.094261896E2,5.230381173E1,4.956401723E0,2.400000000E0,NaN,NaN,1.414000000E3,3.587540817E1
1.094293157E2,5.230220112E1,4.957988686E0,2.400000000E0,NaN,NaN,1.414000000E3,3.587540817E1
1.270892197E2,5.230121120E1,4.957987196E0,2.400000000E0,NaN,NaN,1.727179540E3,3.589588760E1
1.270912647E2,5.230067022E1,4.957986381E0,2.400000000E0,NaN,NaN,1.727179543E3,3.589588760E1
1.388665167E2,5.230061981E1,4.958991458E0,2.400000000E0,NaN,NaN,1.414000000E3,3.591198015E1
1.388798357E2,5.230060516E1,4.959283554E0,2.400000000E0,NaN,NaN,1.414000000E3,3.591198015E1
1.407270757E2,5.229974648E1,4.961936456E0,2.400000000E0,NaN,NaN,1.414000000E3,3.591448564E1
1.407298346E2,5.229931972E1,4.963254918E0,2.400000000E0,NaN,NaN,1.414000000E3,3.591448564E1
1.451258367E2,5.229830010E1,4.963178820E0,2.400000000E0,NaN,NaN,1.414000000E3,3.592188063E1
1.451374436E2,5.229780690E1,4.963142010E0,2.400000000E0,NaN,NaN,1.414000000E3,3.592188063E1
1.477250417E2,5.229835312E1,4.963861900E0,2.400000000E0,NaN,NaN,1.414000000E3,3.592280643E1
1.477330137E2,5.229862305E1,4.964217640E0,2.400000000E0,NaN,NaN,1.414000000E3,3.592280643E1
1.641292057E2,5.229518340E1,4.962995625E0,2.400000000E0,NaN,NaN,1.689791479E3,3.593984128E1
1.641318087E2,5.229313128E1,4.962266564E0,2.400000000E0,NaN,NaN,1.689791479E3,3.593984128E1
1.747659816E2,5.229312545E1,4.962266373E0,2.400000000E0,NaN,NaN,1.797533038E3,3.596374332E1
1.747720177E2,5.229312545E1,4.962266373E0,2.400000000E0,NaN,NaN,1.797533069E3,3.596374332E1
1.834116146E2,5.229136340E1,4.969624943E0,2.400000000E0,NaN,NaN,1.414000000E3,3.597380873E1
1.834218377E2,5.229085763E1,4.971737117E0,2.400000000E0,NaN,NaN,1.414000000E3,3.597380873E1
1.943731566E2,5.229085355E1,4.971735952E0,2.400000000E0,NaN,NaN,1.548188809E3,3.599286803E1
1.943798756E2,5.229085355E1,4.971735952E0,2.400000000E0,NaN,NaN,1.548188861E3,3.599286803E1
2.068033206E2,5.229084862E1,4.971734542E0,2.400000000E0,NaN,NaN,1.703861558E3,3.600226256E1
2.068108277E2,5.229084862E1,4.971734542E0,2.400000000E0,NaN,NaN,1.703861573E3,3.600226256E1
2.224487097E2,5.229084235E1,4.971732751E0,2.400000000E0,NaN,NaN,1.919911979E3,3.602658294E1
2.224584677E2,5.229084235E1,4.971732751E0,2.400000000E0,NaN,NaN,1.919912054E3,3.602658294E1
2.531535147E2,5.228994345E1,4.976212309E0,2.400000000E0,NaN,NaN,2.528561548E3,3.607291347E1
2.531671747E2,5.228920292E1,4.979902710E0,2.400000000E0,NaN,NaN,2.528561680E3,3.607291347E1
2.539884426E2,5.226743009E1,4.976050177E0,2.400000000E0,NaN,NaN,1.414000000E3,3.607313556E1
2.539908716E2,5.226402701E1,4.975448028E0,2.400000000E0,NaN,NaN,1.414000000E3,3.607313556E1
2.625678006E2,5.226052621E1,4.973717713E0,2.400000000E0,NaN,NaN,1.414000000E3,3.608535314E1
2.625773947E2,5.225896908E1,4.972948082E0,2.400000000E0,NaN,NaN,1.414000000E3,3.608535314E1
2.831396407E2,5.226000020E1,4.974130579E0,2.400000000E0,NaN,NaN,1.414000000E3,3.611802238E1
2.831568637E2,5.226031206E1,4.974488230E0,2.400000000E0,NaN,NaN,1.414000000E3,3.611802238E1
3.333481186E2,5.226030935E1,4.974483144E0,2.400000000E0,NaN,NaN,2.888248327E3,3.621364147E1
3.333605086E2,5.226030935E1,4.974483144E0,2.400000000E0,NaN,NaN,2.888248385E3,3.621364147E1
3.917651467E2,5.223676102E1,4.991736808E0,2.400000000E0,NaN,NaN,2.091000000E3,3.632246456E1
3.917896907E2,5.223363777E1,4.994025190E0,2.400000000E0,NaN,NaN,2.091000000E3,3.632246457E1
4.064804227E2,5.223024517E1,4.992835532E0,2.400000000E0,NaN,NaN,1.443000000E3,3.634094083E1
4.064918676E2,5.222954824E1,4.992591146E0,2.400000000E0,NaN,NaN,1.443000000E3,3.634094083E1
4.096304956E2,5.222986346E1,4.993805464E0,2.400000000E0,NaN,NaN,1.454947106E3,3.634401829E1
