"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.320716673E-2,2.414903259E1,-4.267596436E1,-3.919768906E1
7.306316670E-2,2.435986328E1,-4.258913422E1,-3.927680588E1
9.291916667E-2,2.431449890E1,-4.241667175E1,-3.944035339E1
1.127751666E-1,2.473770142E1,-4.259409332E1,-3.951279449E1
1.326311667E-1,2.509092712E1,-4.256059265E1,-3.916343307E1
1.524871667E-1,2.545483398E1,-4.259714508E1,-3.885536957E1
1.723431667E-1,2.564558411E1,-4.272579956E1,-3.874553299E1
1.921991666E-1,2.568824768E1,-4.289778137E1,-3.836859131E1
2.120541667E-1,2.599624634E1,-4.279087830E1,-3.896130371E1
2.319101667E-1,2.582669067E1,-4.272224426E1,-3.873164749E1
2.517661666E-1,2.579626465E1,-4.268051910E1,-3.866697693E1
2.716221666E-1,2.583125305E1,-4.269998932E1,-3.878241348E1
2.914781667E-1,2.587629700E1,-4.262751770E1,-3.916933441E1
3.113341667E-1,2.567327881E1,-4.235100555E1,-3.909021378E1
3.311901666E-1,2.593301392E1,-4.238304901E1,-3.911422348E1
3.510461666E-1,2.571772766E1,-4.247444153E1,-3.952867126E1
3.709011667E-1,2.567666626E1,-4.239577484E1,-3.948801041E1
3.907571667E-1,2.568644714E1,-4.253520203E1,-3.917990112E1
4.106131666E-1,2.564376831E1,-4.240032196E1,-3.959630585E1
4.304691667E-1,2.570724487E1,-4.254213715E1,-3.968901062E1
4.503251667E-1,2.565890503E1,-4.278215790E1,-3.998154831E1
4.701811667E-1,2.579014587E1,-4.273050690E1,-3.959638214E1
4.900371666E-1,2.562063599E1,-4.258734894E1,-3.939547729E1
5.098931667E-1,2.558261108E1,-4.271440125E1,-3.956356812E1
5.297481667E-1,2.579423523E1,-4.269332886E1,-3.940434647E1
5.496041666E-1,2.580673218E1,-4.246579742E1,-3.932269669E1
5.694601666E-1,2.583813477E1,-4.252990723E1,-3.971835709E1
5.893161667E-1,2.580258179E1,-4.278397369E1,-3.943265915E1
6.164262500E-1,2.391226196E1,-4.228992462E1,-3.904222488E1
6.362822499E-1,2.416390991E1,-4.232843781E1,-3.896423721E1
6.561382500E-1,2.447624207E1,-4.262868500E1,-3.853213120E1
6.759942500E-1,2.431834412E1,-4.305345917E1,-3.822035599E1
6.958502500E-1,2.425993347E1,-4.329373169E1,-3.790418625E1
7.157062499E-1,2.445558167E1,-4.318215942E1,-3.713936234E1
7.355612500E-1,2.443333435E1,-4.371647644E1,-3.727231979E1
7.554172500E-1,2.465353394E1,-4.408145905E1,-3.634179306E1
7.752732500E-1,2.504200745E1,-4.439129639E1,-3.640968323E1
7.951291250E-1,2.420787048E1,-4.409595490E1,-3.696775055E1
8.149851250E-1,2.316610718E1,-4.384062958E1,-3.743833923E1
8.348411249E-1,2.154377747E1,-4.370923615E1,-3.793025970E1
8.546971249E-1,2.081935120E1,-4.442158508E1,-3.745694733E1
8.745531250E-1,2.070434570E1,-4.503487396E1,-3.676235580E1
8.944091250E-1,1.953216553E1,-4.606866455E1,-3.587563705E1
9.142651249E-1,1.858813477E1,-4.696383667E1,-3.473200607E1
9.341201250E-1,1.782809448E1,-4.781417084E1,-3.374120331E1
9.539761250E-1,1.811328125E1,-4.785957336E1,-3.350416565E1
9.738321250E-1,1.980397034E1,-4.776231384E1,-3.216866684E1
9.936881249E-1,2.261744690E1,-4.744339752E1,-3.058297348E1
1.013544125E0,2.371702576E1,-4.705767059E1,-2.968615723E1
1.033400125E0,2.415405273E1,-4.668268585E1,-2.919401550E1
1.053256125E0,2.549421692E1,-4.622183990E1,-2.827139282E1
1.073112125E0,2.628686523E1,-4.588768768E1,-2.684450150E1
1.092968125E0,2.701890564E1,-4.588771820E1,-2.611896515E1
1.112824125E0,2.728215027E1,-4.581634521E1,-2.554615021E1
1.132679125E0,2.683212280E1,-4.553314209E1,-2.550877762E1
1.152535125E0,2.553436279E1,-4.524938965E1,-2.715751266E1
1.172391125E0,2.437142944E1,-4.490313721E1,-2.858438492E1
1.192247125E0,2.418632507E1,-4.413474274E1,-2.902023697E1
1.212103125E0,2.524754333E1,-4.339723969E1,-2.962361526E1
1.231959125E0,2.603306580E1,-4.248097992E1,-2.968318176E1
1.251815125E0,2.624566650E1,-4.167405701E1,-3.055099106E1
1.271671125E0,2.634114075E1,-4.094546509E1,-3.144414520E1
1.291527125E0,2.677871704E1,-4.000270081E1,-3.179400635E1
1.311383125E0,2.724980164E1,-3.912935638E1,-3.214473343E1
1.331239125E0,2.634339905E1,-3.820282745E1,-3.337174225E1
