"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.271291667E-2,-3.222049713E0,4.686454468E0,7.196884003E0
4.278191667E-2,-2.915337524E0,4.583917694E0,7.831863556E0
6.285191666E-2,-2.750081177E0,4.550836487E0,8.277037811E0
8.292191666E-2,-2.678529968E0,4.545896759E0,8.449778595E0
1.029909167E-1,-3.133733368E0,4.567901001E0,8.274642792E0
1.230609167E-1,-3.153941345E0,4.471052399E0,8.171956329E0
1.431309167E-1,-2.939886475E0,4.408781891E0,8.095465393E0
1.631999167E-1,-2.781366119E0,4.494403839E0,8.027357025E0
1.832699167E-1,-2.797682190E0,4.597988434E0,7.946674805E0
2.033399167E-1,-2.716700592E0,4.556075592E0,7.857160950E0
2.234089167E-1,-2.605332184E0,4.727918243E0,7.907755737E0
2.434789167E-1,-2.605481873E0,4.731510773E0,8.047565002E0
2.635489167E-1,-2.794688416E0,4.633314972E0,8.148604889E0
2.836179167E-1,-2.838247833E0,4.436773682E0,8.271199951E0
3.036879167E-1,-2.811004486E0,4.350253601E0,8.405919800E0
3.237579167E-1,-2.805016937E0,4.364474030E0,8.539741516E0
3.438269167E-1,-2.801274719E0,4.341571655E0,8.594527588E0
3.638969167E-1,-2.761756897E0,4.136348419E0,8.482710114E0
3.839669167E-1,-2.868484955E0,4.147724762E0,8.457263031E0
4.040359167E-1,-2.819985809E0,4.218976593E0,8.526868286E0
4.241059167E-1,-2.543660431E0,3.978576508E0,8.663983154E0
4.441759167E-1,-2.294279022E0,3.853287048E0,8.971443787E0
4.642449167E-1,-2.103126526E0,3.735032959E0,8.958720245E0
4.843149167E-1,-2.107168121E0,3.866459656E0,8.733289032E0
5.043849167E-1,-2.115999756E0,4.096082153E0,8.534352722E0
5.244539167E-1,-1.939367065E0,4.064048767E0,8.448880463E0
5.445239167E-1,-2.084864502E0,4.176464996E0,8.505013733E0
5.645939167E-1,-1.976489868E0,3.903283081E0,8.469238129E0
5.846629167E-1,-1.959425354E0,3.860322418E0,8.512049103E0
6.047329167E-1,-1.879192200E0,3.798950043E0,8.665030975E0
6.248029167E-1,-1.959575043E0,3.704346771E0,8.656199341E0
6.448720833E-1,-2.066752167E0,3.814817047E0,8.751700745E0
6.649420833E-1,-1.883533173E0,3.667523346E0,8.792116699E0
6.850120833E-1,-2.067051544E0,3.724105682E0,8.776998138E0
