"Time (s)","X (hPa)"
-5.058999583E-1,1.018535995E3
5.270240417E-1,1.018540421E3
1.559942042E0,1.018544846E3
2.592913042E0,1.018552322E3
3.625919042E0,1.018563461E3
3.818053042E0,1.018570786E3
4.884347042E0,1.018571930E3
5.950673042E0,1.018573303E3
7.016984042E0,1.018575897E3
8.083327042E0,1.018577499E3
9.149692042E0,1.018577499E3
1.021601904E1,1.018577347E3
1.128230404E1,1.018577271E3
1.234860304E1,1.018566742E3
1.341488104E1,1.018545303E3
1.448114004E1,1.018522568E3
1.554737404E1,1.018501968E3
1.661360804E1,1.018484879E3
1.767989004E1,1.018473358E3
1.874616504E1,1.018471756E3
1.981249704E1,1.018471756E3
2.087885804E1,1.018471756E3
2.194518604E1,1.018466568E3
2.301154004E1,1.018464279E3
2.407787104E1,1.018462830E3
2.514421804E1,1.018457336E3
2.621057404E1,1.018457336E3
2.727690704E1,1.018458023E3
2.834325004E1,1.018460693E3
2.940959104E1,1.018467407E3
3.047590704E1,1.018477783E3
3.154221804E1,1.018481979E3
3.260850004E1,1.018482590E3
3.367482704E1,1.018481979E3
3.474121204E1,1.018477554E3
3.580761104E1,1.018472290E3
3.687395604E1,1.018467026E3
3.794026304E1,1.018465729E3
3.900658204E1,1.018457565E3
4.007288304E1,1.018452530E3
4.113920004E1,1.018443909E3
4.220550504E1,1.018436890E3
4.327182304E1,1.018433762E3
4.433817004E1,1.018433075E3
4.540447704E1,1.018428879E3
4.647076504E1,1.018427887E3
4.753709104E1,1.018426208E3
4.860341604E1,1.018420258E3
4.966971004E1,1.018411484E3
5.073601504E1,1.018406525E3
5.180236104E1,1.018399506E3
5.286869104E1,1.018391647E3
5.393500104E1,1.018388672E3
5.500131604E1,1.018388672E3
5.606762504E1,1.018389282E3
5.713394304E1,1.018390198E3
5.820023804E1,1.018390808E3
5.926654704E1,1.018390808E3
6.033290204E1,1.018384247E3
6.139921804E1,1.018381805E3
6.246550104E1,1.018379440E3
6.353183304E1,1.018376312E3
6.459821704E1,1.018370438E3
6.566459304E1,1.018364944E3
6.673092604E1,1.018357697E3
6.779731404E1,1.018356018E3
6.886365204E1,1.018356018E3
6.992997504E1,1.018368073E3
7.099632804E1,1.018388062E3
7.206267804E1,1.018410873E3
7.312904804E1,1.018434601E3
7.419543704E1,1.018456345E3
7.526178604E1,1.018482132E3
7.632810904E1,1.018517075E3
7.739441204E1,1.018560486E3
7.846071204E1,1.018602753E3
7.952703404E1,1.018651581E3
8.059333904E1,1.018699646E3
8.165965604E1,1.018736725E3
8.272601204E1,1.018765945E3
8.379231804E1,1.018792877E3
8.485862204E1,1.018811417E3
8.592493104E1,1.018832626E3
8.699118704E1,1.018855438E3
8.805747204E1,1.018875046E3
8.912373504E1,1.018898773E3
9.019002504E1,1.018921967E3
9.125629204E1,1.018939362E3
9.232263404E1,1.018953094E3
9.338897304E1,1.018963013E3
9.445528304E1,1.018983612E3
9.552159104E1,1.019022980E3
9.658787404E1,1.019076462E3
9.765412504E1,1.019150620E3
9.872040104E1,1.019248047E3
9.978664904E1,1.019354095E3
1.008529810E2,1.019468842E3
1.019192850E2,1.019576645E3
1.029856200E2,1.019676895E3
1.040519530E2,1.019771652E3
1.051183080E2,1.019853210E3
1.061846320E2,1.019911575E3
1.072509410E2,1.019948807E3
