"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.647591666E-2,-9.664152563E-2,-5.172387958E-1,1.596934199E-1
4.654491667E-2,-2.401706725E-1,-2.651085556E-1,5.437364802E-2
6.661491666E-2,-2.595938444E-1,-2.603941038E-2,-3.722013161E-2
8.668491666E-2,-1.776655167E-1,2.855318226E-2,-1.051596180E-1
1.067539167E-1,-8.509624749E-2,-1.123249158E-1,-8.096606284E-2
1.268239167E-1,-5.016637594E-2,-2.184421718E-1,-1.964513212E-2
1.468939167E-1,-7.653465867E-2,-2.489759177E-1,1.680899411E-2
1.669629167E-1,-1.153244898E-1,-2.093524784E-1,2.047751285E-2
1.870329167E-1,-1.359137446E-1,-1.275722235E-1,6.359187886E-3
2.071029167E-1,-1.531962603E-1,-1.543560475E-1,-2.050007321E-2
2.271719167E-1,-1.597141922E-1,-2.611050010E-1,-7.969216257E-2
2.472419167E-1,-1.547302306E-1,-4.170725942E-1,-1.623148024E-1
2.673119167E-1,-1.591646373E-1,-4.701257646E-1,-1.729316264E-1
2.873809167E-1,-2.000958025E-1,-4.390593469E-1,-1.357771158E-1
3.074509167E-1,-2.304245234E-1,-3.176440895E-1,-9.656086564E-2
3.275209167E-1,-2.456388026E-1,-2.251966149E-1,-8.501157165E-2
3.475899167E-1,-2.517920732E-1,-1.651940048E-1,-7.312739640E-2
3.676599167E-1,-2.620157003E-1,-1.925952733E-1,-1.858363673E-2
3.877299167E-1,-2.789300680E-1,-2.768530250E-1,5.802134424E-2
4.077989167E-1,-2.954339683E-1,-3.280624747E-1,9.359352291E-2
4.278689167E-1,-2.904343903E-1,-3.171578944E-1,1.323282272E-1
4.479389167E-1,-2.055803537E-1,-1.787585914E-1,1.910250485E-1
4.680079167E-1,-1.141620874E-1,-9.658300877E-2,2.245266587E-1
4.880779167E-1,-5.372681841E-2,-1.053340957E-1,2.357775271E-1
5.081479167E-1,-4.096908122E-2,-1.395419687E-1,1.847258806E-1
5.282169167E-1,-6.672844291E-2,-1.900157332E-1,9.521305561E-2
5.482869167E-1,-9.241055697E-2,-2.123267651E-1,4.478126764E-2
5.683569167E-1,-1.240104884E-1,-2.302841842E-1,1.843904704E-2
5.884259167E-1,-1.252703816E-1,-2.319230288E-1,5.315368064E-3
6.084959167E-1,-1.244457513E-1,-2.043751478E-1,-2.711549774E-2
6.285659167E-1,-1.404216439E-1,-1.550194174E-1,-3.669783473E-2
6.486350833E-1,-1.525432914E-1,-4.736516997E-2,-5.573937297E-2
6.687050833E-1,-1.560136527E-1,2.365073003E-2,-7.903916389E-2
6.887750833E-1,-1.559157073E-1,1.315856818E-2,-8.333409578E-2
7.088450833E-1,-1.529421955E-1,-5.870938301E-2,-6.288319081E-2
7.289140833E-1,-1.173139811E-1,-7.297845185E-2,-2.703087591E-2
7.489840833E-1,-5.401076749E-2,3.761801869E-2,-1.109453943E-2
7.690540833E-1,1.264248509E-3,8.016872406E-2,1.657767966E-2
7.891230833E-1,8.440708742E-3,1.096224319E-2,4.876552895E-2
8.091930833E-1,-1.408951171E-2,-1.025404036E-1,4.580472410E-2
8.292630833E-1,-2.288167179E-2,-1.190249249E-1,-8.980544284E-3
8.493320833E-1,-3.337971121E-2,-9.389910102E-2,-1.326290052E-2
8.694020833E-1,-5.313245580E-2,-8.890610188E-2,9.016588330E-3
8.894720833E-1,-7.647440583E-2,-1.442389488E-1,1.156237442E-2
9.095410833E-1,-8.127239347E-2,-2.283592224E-1,-1.749096066E-2
9.296110833E-1,-7.046458870E-2,-2.516010404E-1,-7.775337249E-2
9.496810833E-1,-8.757087588E-2,-1.203852072E-1,-9.084466845E-2
9.697500833E-1,-1.340565532E-1,4.533511773E-2,-2.742173523E-2
9.898200833E-1,-1.828149110E-1,4.410651326E-2,5.361211300E-2
1.009890083E0,-2.024675757E-1,-6.893650442E-2,7.439708710E-2
1.029960083E0,-1.760532558E-1,-1.602291316E-1,2.961514890E-2
1.050029083E0,-1.462921202E-1,-1.963165849E-1,-1.545586344E-2
1.070099083E0,-1.475235373E-1,-1.379408538E-1,2.564321645E-2
1.090169083E0,-1.763203740E-1,2.028205618E-2,1.499503553E-1
1.110238083E0,-2.314962745E-1,4.656532779E-2,2.319962233E-1
1.130308083E0,-2.542741299E-1,-8.579209447E-2,2.576378584E-1
