"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.647591666E-2,2.830169320E-2,-3.872026205E-3,-7.214318061E-1
4.654491667E-2,2.411964762E-1,-8.340994656E-2,-1.488782966E-1
6.661491666E-2,3.863439569E-1,-6.989147633E-2,2.437897164E-1
8.668491666E-2,4.170301446E-1,-3.398021668E-2,3.458914572E-1
1.067539167E-1,-6.376476377E-2,1.094394118E-2,1.403565645E-1
1.268239167E-1,-1.872600049E-2,-7.305482000E-2,4.143337011E-2
1.468939167E-1,1.508473465E-1,-1.208531767E-1,-6.113030076E-2
1.669629167E-1,2.429269597E-1,-1.003002137E-2,-1.565018964E-1
1.870329167E-1,1.924780601E-1,1.062877625E-1,-2.529990810E-1
2.071029167E-1,2.738482055E-1,9.967397690E-2,-3.487858289E-1
2.271719167E-1,3.470348802E-1,3.028825548E-1,-3.178224832E-1
2.472419167E-1,2.870760691E-1,3.005126783E-1,-2.090063846E-1
2.673119167E-1,1.210841417E-2,2.598759913E-1,-1.407424808E-1
2.873809167E-1,-5.205045193E-2,6.498098463E-2,-8.451857865E-2
3.074509167E-1,-8.853912413E-2,6.510845393E-2,4.864883423E-2
3.275209167E-1,-1.336939546E-1,1.298824471E-1,1.183189934E-1
3.475899167E-1,-1.330802894E-1,1.154898182E-1,1.402641785E-1
3.676599167E-1,-1.349800497E-1,-3.570339113E-2,-2.927291572E-2
3.877299167E-1,-2.933714738E-1,6.049207717E-2,-5.046790302E-2
4.077989167E-1,-2.590082645E-1,1.436380219E-1,-3.228657067E-2
4.278689167E-1,-5.065706044E-2,-7.321327955E-2,8.524655700E-2
4.479389167E-1,1.498865028E-1,-1.381319913E-1,3.600522441E-1
4.680079167E-1,2.736900383E-1,-2.264512601E-1,2.799816424E-1
4.880779167E-1,2.101894225E-1,-6.305344999E-2,3.739820659E-2
5.081479167E-1,1.990827826E-1,1.366342270E-1,-1.604592919E-1
5.282169167E-1,3.116235575E-1,1.107968429E-1,-2.384775209E-1
