"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.348803520E-2,5.230731530E1,4.949001275E0,1.070000000E0,NaN,NaN,6.392746896E2,3.009231639E1
7.586407661E-2,5.230647339E1,4.949429189E0,1.070000000E0,NaN,NaN,6.500844513E2,3.009466332E1
7.161290646E-1,5.230471769E1,4.950187970E0,1.070000000E0,NaN,NaN,6.512124728E2,3.009478881E1
7.184530497E-1,5.230326922E1,4.950813974E0,1.070000000E0,NaN,NaN,6.512124870E2,3.009478881E1
5.637430072E0,5.230335794E1,4.954811610E0,1.070000000E0,NaN,NaN,7.127478073E2,3.010733202E1
5.645449042E0,5.230342868E1,4.957999312E0,1.070000000E0,NaN,NaN,7.127479367E2,3.010733202E1
1.146157205E1,5.230120173E1,4.953058521E0,1.070000000E0,NaN,NaN,7.835849347E2,3.011618311E1
1.147122002E1,5.230008302E1,4.953224596E0,1.070000000E0,NaN,NaN,7.835851378E2,3.011618311E1
1.237942004E1,5.230008337E1,4.953224327E0,1.070000000E0,NaN,NaN,7.855182331E2,3.011655602E1
1.239446402E1,5.230008337E1,4.953224327E0,1.070000000E0,NaN,NaN,7.855182396E2,3.011655602E1
1.370021999E1,5.230008374E1,4.953225486E0,1.070000000E0,NaN,NaN,7.893907570E2,3.011672440E1
1.371593010E1,5.230008374E1,4.953225486E0,1.070000000E0,NaN,NaN,7.893911767E2,3.011672440E1
1.885943210E1,5.230008331E1,4.953224156E0,1.070000000E0,NaN,NaN,8.454521818E2,3.012371797E1
1.886905301E1,5.230008331E1,4.953224156E0,1.070000000E0,NaN,NaN,8.454523103E2,3.012371797E1
2.038644707E1,5.229952508E1,4.953947483E0,1.070000000E0,NaN,NaN,8.502755791E2,3.012520095E1
2.215521002E1,5.229911048E1,4.954484691E0,1.070000000E0,NaN,NaN,8.567850641E2,3.012588809E1
3.440059602E1,5.229911123E1,4.954484086E0,1.070000000E0,NaN,NaN,1.107413651E3,3.014792837E1
3.440562201E1,5.229911123E1,4.954484086E0,1.070000000E0,NaN,NaN,1.107413671E3,3.014792837E1
3.596172309E1,5.229851229E1,4.958104773E0,1.070000000E0,NaN,NaN,1.111296811E3,3.014971613E1
4.511815906E1,5.229851325E1,4.958103778E0,1.070000000E0,NaN,NaN,1.231560723E3,3.016372070E1
4.536868405E1,5.229684379E1,4.962836658E0,1.070000000E0,NaN,NaN,1.231650166E3,3.016372797E1
6.209981799E1,5.229477120E1,4.967068832E0,1.070000000E0,NaN,NaN,1.414000000E3,3.020607219E1
6.305624199E1,5.229522162E1,4.971994376E0,1.070000000E0,NaN,NaN,1.415154438E3,3.020617686E1
6.306537199E1,5.229554646E1,4.975546619E0,1.070000000E0,NaN,NaN,1.415154542E3,3.020617686E1
7.119676304E1,5.229089790E1,4.975478832E0,1.070000000E0,NaN,NaN,1.492184644E3,3.022031360E1
7.120794106E1,5.228791165E1,4.975435285E0,1.070000000E0,NaN,NaN,1.492184730E3,3.022031360E1
7.126718307E1,5.228599326E1,4.975407310E0,1.070000000E0,NaN,NaN,1.492189056E3,3.022031371E1
9.399949908E1,5.228365734E1,4.974196934E0,1.070000000E0,NaN,NaN,1.948842624E3,3.027933036E1
9.400339210E1,5.228201463E1,4.973345755E0,1.070000000E0,NaN,NaN,1.948842633E3,3.027933036E1
9.401658010E1,5.228085942E1,4.972747175E0,1.070000000E0,NaN,NaN,1.948842790E3,3.027933036E1
9.560233307E1,5.228168234E1,4.974019844E0,1.070000000E0,NaN,NaN,1.951135707E3,3.028121280E1
9.561439300E1,5.228210398E1,4.974671915E0,1.070000000E0,NaN,NaN,1.951135844E3,3.028121281E1
9.561620402E1,5.228232001E1,4.975006013E0,1.070000000E0,NaN,NaN,1.951135847E3,3.028121281E1
1.036405550E2,5.228292367E1,4.976728039E0,1.070000000E0,NaN,NaN,2.000000000E3,3.030451219E1
1.036441211E2,5.228322361E1,4.977583685E0,1.070000000E0,NaN,NaN,2.000000000E3,3.030451219E1
1.036460950E2,5.228337359E1,4.978011508E0,1.070000000E0,NaN,NaN,2.000000000E3,3.030451219E1
1.064791900E2,5.228711883E1,4.987806144E0,1.070000000E0,NaN,NaN,2.007058860E3,3.031245663E1
1.064816871E2,5.228970606E1,4.994572324E0,1.070000000E0,NaN,NaN,2.007058863E3,3.031245663E1
1.064897580E2,5.229149333E1,4.999246432E0,1.070000000E0,NaN,NaN,2.007058923E3,3.031245663E1
1.093552340E2,5.228528076E1,4.994279370E0,1.070000000E0,NaN,NaN,2.014255165E3,3.031340779E1
1.093612840E2,5.228099860E1,4.990855706E0,1.070000000E0,NaN,NaN,2.014255210E3,3.031340779E1
1.093645420E2,5.227804702E1,4.988495864E0,1.070000000E0,NaN,NaN,2.014255210E3,3.031340779E1
1.155595621E2,5.227138818E1,4.982321163E0,1.070000000E0,NaN,NaN,2.000000000E3,3.031765417E1
1.155625590E2,5.226820905E1,4.979373167E0,1.070000000E0,NaN,NaN,2.000000000E3,3.031765417E1
1.156191361E2,5.226661947E1,4.977899167E0,1.070000000E0,NaN,NaN,2.000000000E3,3.031765421E1
1.200781580E2,5.226728378E1,4.979597162E0,1.070000000E0,NaN,NaN,2.017230670E3,3.032606621E1
1.200858320E2,5.226774125E1,4.980766470E0,1.070000000E0,NaN,NaN,2.017230714E3,3.032606621E1
1.200922260E2,5.226805629E1,4.981571704E0,1.070000000E0,NaN,NaN,2.017230750E3,3.032606621E1
1.234603250E2,5.226652275E1,4.978963840E0,1.070000000E0,NaN,NaN,2.000000000E3,3.032897498E1
1.234629461E2,5.226577633E1,4.977694505E0,1.070000000E0,NaN,NaN,2.000000000E3,3.032897498E1
1.234817750E2,5.226540312E1,4.977059838E0,1.070000000E0,NaN,NaN,2.000000000E3,3.032897498E1
1.285621310E2,5.226582044E1,4.981771758E0,1.070000000E0,NaN,NaN,2.022234749E3,3.033751704E1
1.285712800E2,5.226610739E1,4.985011569E0,1.070000000E0,NaN,NaN,2.022234808E3,3.033751704E1
1.285752920E2,5.226630468E1,4.987239190E0,1.070000000E0,NaN,NaN,2.022234824E3,3.033751704E1
1.336866910E2,5.226890296E1,4.987037542E0,1.070000000E0,NaN,NaN,2.039147575E3,3.034816063E1
1.336959521E2,5.226999336E1,4.988496647E0,1.070000000E0,NaN,NaN,2.039147629E3,3.034816063E1
1.368425330E2,5.226959917E1,4.986861802E0,1.070000000E0,NaN,NaN,2.047666542E3,3.035422806E1
1.368492141E2,5.226933026E1,4.985746537E0,1.070000000E0,NaN,NaN,2.047666578E3,3.035422806E1
1.368508730E2,5.226914681E1,4.984985723E0,1.070000000E0,NaN,NaN,2.047666583E3,3.035422806E1
1.385809880E2,5.226703728E1,4.980599237E0,1.070000000E0,NaN,NaN,2.000000000E3,3.035576635E1
1.385835731E2,5.226603359E1,4.978512204E0,1.070000000E0,NaN,NaN,2.000000000E3,3.035576635E1
1.385969020E2,5.226553175E1,4.977468687E0,1.070000000E0,NaN,NaN,2.000000000E3,3.035576636E1
1.411023540E2,5.226652672E1,4.979286077E0,1.070000000E0,NaN,NaN,2.005535622E3,3.035736410E1
1.411110320E2,5.226721437E1,4.980542127E0,1.070000000E0,NaN,NaN,2.005535694E3,3.035736410E1
1.411127090E2,5.226768962E1,4.981410220E0,1.070000000E0,NaN,NaN,2.005535696E3,3.035736410E1
1.509321851E2,5.226920831E1,4.984747057E0,1.070000000E0,NaN,NaN,2.084316676E3,3.038205160E1
1.846558211E2,5.225251672E1,4.992312030E0,1.070000000E0,NaN,NaN,2.000000000E3,3.046305243E1
1.846607200E2,5.224809216E1,4.994317331E0,1.070000000E0,NaN,NaN,2.000000000E3,3.046305243E1
1.846793931E2,5.224587988E1,4.995319982E0,1.070000000E0,NaN,NaN,2.000000000E3,3.046305243E1
2.216180280E2,5.224504802E1,4.998447025E0,1.070000000E0,NaN,NaN,2.784914236E3,3.055403740E1
2.216224331E2,5.224448775E1,5.000553154E0,1.070000000E0,NaN,NaN,2.784914236E3,3.055403740E1
2.216362780E2,5.224411039E1,5.001971678E0,1.070000000E0,NaN,NaN,2.784914361E3,3.055403740E1
2.371635660E2,5.224423827E1,5.002227316E0,1.070000000E0,NaN,NaN,2.920340607E3,3.058016605E1
2.371670370E2,5.224423827E1,5.002227316E0,1.070000000E0,NaN,NaN,2.920340610E3,3.058016605E1
2.371778491E2,5.224423827E1,5.002227316E0,1.070000000E0,NaN,NaN,2.920340672E3,3.058016605E1
2.463791161E2,5.223060088E1,5.004337163E0,1.070000000E0,NaN,NaN,2.000000000E3,3.060497550E1
2.463820721E2,5.222750594E1,5.004815981E0,1.070000000E0,NaN,NaN,2.000000000E3,3.060497550E1
2.464270860E2,5.222595848E1,5.005055391E0,1.070000000E0,NaN,NaN,2.000000000E3,3.060497554E1
2.514414901E2,5.222146991E1,5.006433787E0,1.070000000E0,NaN,NaN,2.000000000E3,3.061459421E1
2.514497070E2,5.222071268E1,5.006550939E0,1.070000000E0,NaN,NaN,2.000000000E3,3.061459421E1
2.514585991E2,5.222033406E1,5.006609515E0,1.070000000E0,NaN,NaN,2.000000000E3,3.061459421E1
2.806366130E2,5.221361594E1,4.997534166E0,1.070000000E0,NaN,NaN,2.279000000E3,3.067715134E1
2.827164390E2,5.221199070E1,5.003791591E0,1.070000000E0,NaN,NaN,2.282363090E3,3.067969493E1
2.827465611E2,5.221096128E1,5.007755003E0,1.070000000E0,NaN,NaN,2.282363778E3,3.067969494E1
2.827478670E2,5.221030926E1,5.010265402E0,1.070000000E0,NaN,NaN,2.282363779E3,3.067969494E1
3.246021050E2,5.220894372E1,4.997151751E0,1.070000000E0,NaN,NaN,2.279000000E3,3.078516360E1
3.259793460E2,5.220230038E1,4.999645805E0,1.070000000E0,NaN,NaN,2.280484413E3,3.078627397E1
3.259899970E2,5.219861951E1,5.001027684E0,1.070000000E0,NaN,NaN,2.280484481E3,3.078627397E1
3.359785380E2,5.219373598E1,4.999441163E0,1.070000000E0,NaN,NaN,2.282000000E3,3.079782103E1
3.359882671E2,5.219143815E1,4.998694662E0,1.070000000E0,NaN,NaN,2.282000000E3,3.079782103E1
3.792385811E2,5.218813822E1,4.994579440E0,1.070000000E0,NaN,NaN,3.184267252E3,3.091163585E1
3.792429811E2,5.218569698E1,4.991535071E0,1.070000000E0,NaN,NaN,3.184267258E3,3.091163585E1
3.857574130E2,5.218390050E1,4.987544387E0,1.070000000E0,NaN,NaN,3.207015879E3,3.092652554E1
3.857599630E2,5.218250874E1,4.984452769E0,1.070000000E0,NaN,NaN,3.207015882E3,3.092652554E1
3.903084811E2,5.218151700E1,4.984037083E0,1.070000000E0,NaN,NaN,3.218212978E3,3.093577658E1
3.903150800E2,5.218078740E1,4.983731271E0,1.070000000E0,NaN,NaN,3.218213001E3,3.093577658E1
4.050982101E2,5.218076042E1,4.983757086E0,1.070000000E0,NaN,NaN,3.325865725E3,3.096979808E1
4.051042521E2,5.218076042E1,4.983757086E0,1.070000000E0,NaN,NaN,3.325865728E3,3.096979808E1
4.054785080E2,5.217817846E1,4.975510871E0,1.070000000E0,NaN,NaN,3.174000000E3,3.096982226E1
4.079393030E2,5.217629649E1,4.973206352E0,1.070000000E0,NaN,NaN,2.329000000E3,3.097160395E1
4.233758471E2,5.217195143E1,4.980208630E0,1.070000000E0,NaN,NaN,1.946000000E3,3.099948059E1
4.233829890E2,5.217062194E1,4.982351180E0,1.070000000E0,NaN,NaN,1.946000000E3,3.099948059E1
4.246989551E2,5.217044164E1,4.983042976E0,1.070000000E0,NaN,NaN,1.947585078E3,3.100053370E1
4.247052151E2,5.217032978E1,4.983472188E0,1.070000000E0,NaN,NaN,1.947585113E3,3.100053370E1
4.382975210E2,5.216944309E1,4.984643364E0,1.070000000E0,NaN,NaN,2.096071411E3,3.102926303E1
4.383054991E2,5.216878542E1,4.985512041E0,1.070000000E0,NaN,NaN,2.096071460E3,3.102926303E1
4.473366210E2,5.215933351E1,4.992119550E0,1.070000000E0,NaN,NaN,1.414000000E3,3.105155296E1
4.473430130E2,5.215730920E1,4.993534680E0,1.070000000E0,NaN,NaN,1.414000000E3,3.105155296E1
4.524018360E2,5.215609907E1,4.994700013E0,1.070000000E0,NaN,NaN,1.445008736E3,3.105616966E1
4.524159451E2,5.215527881E1,4.995489914E0,1.070000000E0,NaN,NaN,1.445008980E3,3.105616966E1
4.632989221E2,5.215709322E1,4.992708376E0,1.070000000E0,NaN,NaN,1.575037743E3,3.107858016E1
4.633060380E2,5.215826818E1,4.990907136E0,1.070000000E0,NaN,NaN,1.575037798E3,3.107858016E1
4.636794111E2,5.215407126E1,4.994921738E0,1.070000000E0,NaN,NaN,1.575197856E3,3.107859638E1
4.636814001E2,5.215161411E1,4.997272151E0,1.070000000E0,NaN,NaN,1.575197856E3,3.107859638E1
4.731193970E2,5.214846665E1,4.998935855E0,1.070000000E0,NaN,NaN,1.667274082E3,3.109324741E1
4.731219541E2,5.214664840E1,4.999896952E0,1.070000000E0,NaN,NaN,1.667274088E3,3.109324741E1
4.737603171E2,5.215186977E1,4.995236120E0,1.070000000E0,NaN,NaN,1.667712012E3,3.109331032E1
