"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.647591666E-2,-2.501311493E1,1.888235283E1,-4.551076508E1
4.654491667E-2,-2.527542877E1,1.944394302E1,-4.473224640E1
6.661491666E-2,-2.560085297E1,2.024445343E1,-4.444319916E1
8.668491666E-2,-2.558501434E1,2.061898804E1,-4.407317352E1
1.067539167E-1,-2.551621246E1,2.076865959E1,-4.380875397E1
1.268239167E-1,-2.572832489E1,2.085737038E1,-4.312178802E1
1.468939167E-1,-2.593312836E1,2.062918854E1,-4.290024567E1
1.669629167E-1,-2.598548126E1,2.037187958E1,-4.271016693E1
1.870329167E-1,-2.567015839E1,2.030115700E1,-4.234165192E1
2.071029167E-1,-2.591118622E1,1.963217926E1,-4.202605438E1
2.271719167E-1,-2.652292633E1,1.923878479E1,-4.148696136E1
2.472419167E-1,-2.700385284E1,1.941659546E1,-4.143271637E1
2.673119167E-1,-2.742075348E1,1.945074654E1,-4.060958099E1
2.873809167E-1,-2.833889008E1,1.947230911E1,-4.067227936E1
3.074509167E-1,-2.866793060E1,1.953462791E1,-4.012618256E1
3.275209167E-1,-2.919734955E1,2.004241371E1,-3.978795624E1
3.475899167E-1,-2.974266815E1,2.038737679E1,-3.936679840E1
3.676599167E-1,-3.005236053E1,2.067839050E1,-3.886923981E1
3.877299167E-1,-3.002222443E1,2.112182426E1,-3.873654938E1
4.077989167E-1,-3.020092010E1,2.150975418E1,-3.850568390E1
4.278689167E-1,-3.045429230E1,2.183424759E1,-3.788753510E1
4.479389167E-1,-3.045462799E1,2.223484230E1,-3.787984467E1
4.680079167E-1,-3.054863739E1,2.223657990E1,-3.763068390E1
4.880779167E-1,-3.025263214E1,2.247140121E1,-3.727873993E1
5.081479167E-1,-3.025902557E1,2.250115585E1,-3.741075897E1
5.282169167E-1,-3.033837128E1,2.228800011E1,-3.670029449E1
5.482869167E-1,-3.067136383E1,2.259195137E1,-3.686385345E1
5.683569167E-1,-3.082282257E1,2.295535278E1,-3.686104584E1
5.884259167E-1,-3.085315704E1,2.300864220E1,-3.617548370E1
6.084959167E-1,-3.113697052E1,2.333241081E1,-3.637870026E1
6.285659167E-1,-3.129335785E1,2.325786209E1,-3.614475250E1
6.486350833E-1,-3.121625519E1,2.339353943E1,-3.567014313E1
