"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.614583057E-4,-3.640429688E0,6.354585571E0,4.866529999E0
2.091845832E-2,-4.265380096E0,6.206244049E0,5.371280365E0
4.097545831E-2,-3.981270905E0,5.938600616E0,7.216493225E0
6.103245832E-2,-3.799548798E0,5.652545471E0,7.964038696E0
8.108945831E-2,-3.584595795E0,5.709427185E0,7.553442535E0
1.011464583E-1,-3.418291626E0,6.081553345E0,6.254892883E0
1.212034583E-1,-3.523073730E0,6.179749146E0,6.094426575E0
1.412604583E-1,-3.699107666E0,5.930218048E0,6.932683411E0
1.613184583E-1,-3.891607361E0,5.632337494E0,7.256759491E0
1.813754583E-1,-3.905678101E0,5.525759125E0,7.428602142E0
2.014324583E-1,-3.608396301E0,5.886658630E0,7.221882019E0
2.214894583E-1,-3.313808899E0,6.092630310E0,6.880142670E0
2.415464583E-1,-3.213816833E0,6.180497589E0,6.832541656E0
2.616034583E-1,-3.098107452E0,6.056555328E0,6.910679169E0
2.816604583E-1,-3.002606049E0,5.810317383E0,7.074288940E0
3.017174583E-1,-3.052751770E0,5.847739563E0,7.081473999E0
3.217744583E-1,-3.073708191E0,5.678740997E0,6.976991272E0
3.418324583E-1,-2.919379120E0,5.659880219E0,7.122638397E0
3.618894583E-1,-2.816992035E0,5.649102631E0,7.491770782E0
3.819464583E-1,-3.026107178E0,5.410648499E0,7.771688690E0
4.020034583E-1,-2.985840912E0,5.246290283E0,7.727231140E0
4.220604583E-1,-3.051554260E0,5.319937134E0,7.490273895E0
4.421174583E-1,-2.986439667E0,5.198389893E0,7.298522644E0
4.621744583E-1,-2.789000244E0,5.142556000E0,7.608228607E0
4.822314583E-1,-2.595303040E0,4.824617157E0,8.084089050E0
5.022884583E-1,-2.435285797E0,4.730163574E0,8.681047668E0
5.223464583E-1,-2.444716187E0,4.703219604E0,9.028924255E0
5.424034583E-1,-2.342628479E0,4.664300537E0,9.045839081E0
5.624604583E-1,-2.580034790E0,4.419858856E0,8.789272614E0
5.825174583E-1,-2.714455261E0,4.256698151E0,8.360264740E0
6.025744583E-1,-3.003953247E0,4.208348694E0,8.110134888E0
6.226314583E-1,-2.842888184E0,4.391717377E0,8.210725708E0
6.426884583E-1,-2.336940308E0,4.661905518E0,8.347391510E0
6.627454583E-1,-1.907183990E0,4.198020172E0,8.122409363E0
6.828024583E-1,-2.120191040E0,4.238735504E0,8.360414429E0
7.028604583E-1,-2.273921356E0,4.183200989E0,8.612190857E0
7.229174583E-1,-2.333946533E0,4.180057526E0,8.846753082E0
7.429745000E-1,-2.324067078E0,4.291725311E0,8.971443787E0
7.630315000E-1,-2.180515594E0,4.035907288E0,8.998387756E0
7.830885000E-1,-1.917362823E0,3.567531281E0,8.730295258E0
8.031455000E-1,-2.390379181E0,3.633244629E0,8.698112183E0
8.232025000E-1,-2.499651947E0,3.788471832E0,8.895252228E0
8.432595000E-1,-2.289189606E0,3.780837708E0,8.989107056E0
8.633165000E-1,-2.334694977E0,3.781137085E0,8.863817596E0
8.833745000E-1,-2.437231750E0,3.872147827E0,8.618777161E0
9.034315000E-1,-2.118394775E0,3.869004364E0,8.562943268E0
9.234885000E-1,-1.829046478E0,3.977678375E0,8.525670776E0
9.435455000E-1,-1.632654877E0,4.241429901E0,8.716673584E0
9.636025000E-1,-1.549577637E0,4.897066498E0,1.028316605E1
9.836595000E-1,-9.250762939E-1,4.298910370E0,1.213721054E1
1.003716500E0,-7.668553162E-1,3.714226227E0,1.190624084E1
1.023773500E0,-6.084846497E-1,1.639989624E0,1.037357803E1
1.043830500E0,-6.104306030E-1,9.759704590E-1,9.940079498E0
