"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.339645832E-2,-4.138908982E-1,-5.957484245E-1,-5.256994814E-2
3.345345831E-2,-4.835953712E-1,-6.282055378E-1,-1.218822598E-2
5.351145833E-2,-2.562230527E-1,-4.639306366E-1,4.062015563E-2
7.356845832E-2,-3.611172317E-3,-2.636438310E-1,1.069216579E-1
9.362545831E-2,1.525452547E-2,-2.602004111E-1,7.630677521E-2
1.136824583E-1,-1.769131720E-1,-3.297799826E-1,8.157594129E-3
1.337394583E-1,-2.992956042E-1,-3.628275692E-1,-5.887906626E-2
1.537964583E-1,-3.144780099E-1,-1.729659438E-1,-7.655008696E-3
1.738534583E-1,-2.205527574E-1,-1.651283950E-1,1.267311275E-1
1.939104583E-1,-1.048077792E-1,-2.215564251E-1,1.987091303E-1
2.139674583E-1,-6.382764131E-2,-3.324357867E-1,1.500952840E-1
2.340244583E-1,-1.266141683E-1,-4.277251661E-1,4.711082578E-2
2.540824583E-1,-2.291608453E-1,-4.915533066E-1,-7.963889092E-2
2.741394583E-1,-3.229397237E-1,-4.611743689E-1,-1.187815219E-1
2.941964583E-1,-3.774536848E-1,-3.644689918E-1,-9.504797310E-2
3.142534583E-1,-3.564794660E-1,-4.036807418E-1,-1.092356592E-1
3.343104583E-1,-4.533548951E-1,-5.296838880E-1,-9.429816157E-2
3.543674583E-1,-5.568318367E-1,-5.093327165E-1,-1.039245203E-1
3.744244583E-1,-5.810191035E-1,-4.477929771E-1,-1.269574314E-1
3.944814583E-1,-5.321287513E-1,-3.514645100E-1,-1.068529487E-1
4.145384583E-1,-4.984717667E-1,-3.306358457E-1,-1.197309121E-1
4.345964583E-1,-5.781474710E-1,-4.537154138E-1,-1.063319817E-1
4.546534583E-1,-7.428718805E-1,-5.613190532E-1,-7.633183151E-2
4.747104583E-1,-8.497824073E-1,-5.560096502E-1,-6.376078725E-2
4.947674583E-1,-7.920641899E-1,-5.248842239E-1,-4.973107204E-2
5.148244583E-1,-5.902570486E-1,-3.652264774E-1,-1.166578755E-1
5.348814583E-1,-3.339286745E-1,-1.505685747E-1,-2.084670812E-1
5.549384583E-1,-1.807656139E-1,1.661302522E-3,-2.532805204E-1
5.749954583E-1,-1.855065674E-1,-2.160736360E-2,-1.845940650E-1
5.950524583E-1,-2.618370652E-1,-9.570661187E-2,-5.338516459E-2
6.151104583E-1,-2.778769732E-1,-2.328149378E-1,4.500290379E-2
6.351674583E-1,-2.425310016E-1,-1.921073645E-1,-2.359249629E-3
6.552244583E-1,-3.280318081E-1,-1.246413216E-1,-1.127081439E-1
6.752814583E-1,-5.221739411E-1,-1.423045397E-1,-9.834837914E-2
6.953384583E-1,-6.011818051E-1,-9.782376140E-2,-2.684269100E-2
7.153954583E-1,-5.118828416E-1,-1.292391717E-1,-3.193292394E-2
7.354524583E-1,-3.991904259E-1,-1.132769063E-1,-1.682842672E-1
7.555095000E-1,-4.005637467E-1,-5.127328634E-2,-2.598055303E-1
7.755665000E-1,-4.240412116E-1,1.067307591E-1,-2.140600979E-1
7.956245000E-1,-4.129723310E-1,5.333774909E-2,-1.461446434E-1
8.156815000E-1,-3.683986664E-1,-2.675027028E-2,-1.068339571E-1
8.357385000E-1,-2.970290780E-1,-2.585139126E-2,-1.447334141E-1
8.557955000E-1,-2.297241688E-1,2.372569963E-2,-2.347397953E-1
8.758525000E-1,-2.659011185E-1,8.792876452E-2,-3.134064972E-1
8.959095000E-1,-5.316816568E-1,1.839773357E-1,-3.961579800E-1
9.159665000E-1,-8.989668489E-1,3.432509899E-1,-4.497911334E-1
9.360235000E-1,-1.167217970E0,2.697690725E-1,-4.693222344E-1
9.560805000E-1,-1.280160666E0,1.480061263E-1,-5.696728826E-1
9.761385000E-1,-1.334614992E0,2.681647837E-1,-7.229592800E-1
9.961955000E-1,-1.412811279E0,6.315257549E-1,-6.291278601E-1
