"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.339645832E-2,-2.364733887E1,-1.211755371E1,-5.266297913E1
3.345345831E-2,-2.389395142E1,-1.189160156E1,-5.239546204E1
5.351145833E-2,-2.477990723E1,-1.120239258E1,-5.224523926E1
7.356845832E-2,-2.513406372E1,-1.100912476E1,-5.203820801E1
9.362545831E-2,-2.567086792E1,-1.104400635E1,-5.190075684E1
1.136824583E-1,-2.586087036E1,-1.093978882E1,-5.191969299E1
1.337394583E-1,-2.635562134E1,-1.067184448E1,-5.185720825E1
1.537964583E-1,-2.666000366E1,-1.033474731E1,-5.173745728E1
1.738534583E-1,-2.695690918E1,-1.000344849E1,-5.178259277E1
1.939104583E-1,-2.708477783E1,-9.728820801E0,-5.158880615E1
2.139674583E-1,-2.754556274E1,-9.606628418E0,-5.133149719E1
2.340244583E-1,-2.780227661E1,-9.418945312E0,-5.118778992E1
2.540824583E-1,-2.803964233E1,-9.429901123E0,-5.127023315E1
2.741394583E-1,-2.854010010E1,-9.166687012E0,-5.085873413E1
2.941964583E-1,-2.911273193E1,-8.938934326E0,-5.063049316E1
3.142534583E-1,-2.950109863E1,-8.655517578E0,-5.071708679E1
3.343104583E-1,-2.988330078E1,-8.185821533E0,-5.027165222E1
3.543674583E-1,-3.043951416E1,-7.902801514E0,-5.022192383E1
3.744244583E-1,-3.086740112E1,-7.421508789E0,-4.976211548E1
3.944814583E-1,-3.143386841E1,-6.822723389E0,-4.969599915E1
4.145384583E-1,-3.184841919E1,-6.231170654E0,-4.931997681E1
4.345964583E-1,-3.221862793E1,-5.865600586E0,-4.944100952E1
4.546534583E-1,-3.282696533E1,-5.289947510E0,-4.914346313E1
4.747104583E-1,-3.345239258E1,-4.516387939E0,-4.893197632E1
4.947674583E-1,-3.401925659E1,-3.869842529E0,-4.871630859E1
5.148244583E-1,-3.441159058E1,-3.038635254E0,-4.859672546E1
5.348814583E-1,-3.482232666E1,-2.778900146E0,-4.816377258E1
5.549384583E-1,-3.499624634E1,-2.585388184E0,-4.799977112E1
5.749954583E-1,-3.483428955E1,-2.601593018E0,-4.805133057E1
5.950524583E-1,-3.487960815E1,-2.392883301E0,-4.797827148E1
6.151104583E-1,-3.511557007E1,-2.270812988E0,-4.801341248E1
6.351674583E-1,-3.526327515E1,-1.770355225E0,-4.782923889E1
6.552244583E-1,-3.559320068E1,-1.610443115E0,-4.782067871E1
6.752814583E-1,-3.550524902E1,-1.218048096E0,-4.766458130E1
6.953384583E-1,-3.580950928E1,-7.223205566E-1,-4.757719421E1
7.153954583E-1,-3.591851807E1,-1.625976562E-1,-4.759938049E1
7.354524583E-1,-3.609564209E1,1.184692383E-1,-4.760472107E1
7.555095000E-1,-3.617193604E1,2.408142090E-1,-4.758003235E1
7.755665000E-1,-3.641860962E1,3.220214844E-1,-4.742916870E1
7.956245000E-1,-3.619723511E1,7.548828125E-1,-4.745658875E1
8.156815000E-1,-3.613665771E1,9.994201660E-1,-4.738160706E1
8.357385000E-1,-3.621884155E1,1.289886475E0,-4.757072449E1
8.557955000E-1,-3.620092773E1,1.491149902E0,-4.743069458E1
8.758525000E-1,-3.636648560E1,1.513122559E0,-4.724940491E1
8.959095000E-1,-3.621887207E1,1.557861328E0,-4.723020935E1
9.159665000E-1,-3.609930420E1,2.016387939E0,-4.727861023E1
9.360235000E-1,-3.575796509E1,2.517333984E0,-4.762615967E1
9.560805000E-1,-3.552496338E1,3.416625977E0,-4.757478333E1
9.761385000E-1,-3.545800781E1,4.220123291E0,-4.762205505E1
9.961955000E-1,-3.519708252E1,4.866333008E0,-4.785208130E1
1.016252500E0,-3.435195923E1,5.845428467E0,-4.810266113E1
1.036309500E0,-3.447338867E1,6.733123779E0,-4.789259338E1
1.056366500E0,-3.552359009E1,8.100585938E0,-4.699957275E1
1.076423500E0,-3.708676147E1,9.272827148E0,-4.515740967E1
1.096480500E0,-3.833386230E1,9.690185547E0,-4.338012695E1
1.116537500E0,-4.013275146E1,1.001544189E1,-4.122047424E1
1.136594500E0,-4.186923218E1,1.055670166E1,-3.851835632E1
1.156652500E0,-4.290069580E1,1.120370483E1,-3.666018677E1
1.176709500E0,-4.328982544E1,1.078543091E1,-3.629235840E1
1.196766500E0,-4.362432861E1,9.157440186E0,-3.577009583E1
1.216823500E0,-4.426116943E1,6.517395020E0,-3.505950928E1
1.236880500E0,-4.585012817E1,3.513793945E0,-3.236970520E1
1.256937500E0,-4.758349609E1,1.516815186E0,-2.977914429E1
1.276994500E0,-4.977139282E1,-1.155517578E0,-2.425384521E1
1.297051500E0,-5.137838745E1,-2.552398682E0,-1.943095398E1
1.317108500E0,-5.223724365E1,-2.279998779E0,-1.614331055E1
1.337166500E0,-5.294229126E1,-1.418609619E0,-1.328266907E1
1.357223500E0,-5.306958008E1,-6.285095215E-1,-1.179824829E1
1.377280500E0,-5.286340332E1,4.465026855E-1,-1.141976929E1
1.397337500E0,-5.264074707E1,1.311340332E0,-1.197758484E1
1.417394500E0,-5.225488281E1,2.184417725E0,-1.261576843E1
1.437451500E0,-5.238281250E1,2.533660889E0,-1.224177551E1
1.457508500E0,-5.224963379E1,3.015594482E0,-1.118859863E1
1.477565500E0,-5.252352905E1,3.251770020E0,-8.906982422E0
1.497623500E0,-5.277490234E1,3.315124512E0,-6.961975098E0
1.517680500E0,-5.276025391E1,3.367858887E0,-5.673019409E0
1.537737500E0,-5.277114868E1,3.417266846E0,-4.053726196E0
1.557794500E0,-5.256945801E1,2.925292969E0,-2.741470337E0
1.577851500E0,-5.242312622E1,2.334808350E0,-1.891387939E0
1.597908500E0,-5.234741211E1,1.476654053E0,-1.364517212E0
1.617965500E0,-5.223977661E1,6.661987305E-1,-8.888244629E-1
1.638022500E0,-5.205148315E1,1.665649414E-1,-6.348266602E-1
1.658079500E0,-5.208450317E1,-4.467468262E-1,-3.057708740E-1
1.678137500E0,-5.192382812E1,-1.063720703E0,6.714019775E-1
1.698194500E0,-5.171374512E1,-1.241149902E0,2.334411621E0
1.718251500E0,-5.158493042E1,-1.756958008E0,4.834381104E0
1.738308500E0,-5.146984863E1,-1.923736572E0,5.357757568E0
1.758365083E0,-5.167102051E1,-1.992431641E0,5.324356079E0
1.778422083E0,-5.179159546E1,-1.444915771E0,4.177078247E0
1.798479083E0,-5.220959473E1,-6.222534180E-1,1.623519897E0
1.818536083E0,-5.238418579E1,3.949584961E-1,-1.354736328E0
1.838593083E0,-5.244769287E1,1.350311279E0,-4.620147705E0
1.858651083E0,-5.235116577E1,1.880462646E0,-6.230148315E0
1.878708083E0,-5.218145752E1,1.769775391E0,-6.805221558E0
1.898765083E0,-5.213983154E1,1.392761230E0,-6.681854248E0
1.918822083E0,-5.204376221E1,1.064971924E0,-6.600784302E0
1.938879083E0,-5.202606201E1,1.031005859E0,-5.686172485E0
1.958936083E0,-5.194015503E1,1.394317627E0,-4.299392700E0
1.978993083E0,-5.182498169E1,1.628295898E0,-2.199722290E0
1.999050083E0,-5.176373291E1,2.250976562E0,3.288879395E-1
2.019107083E0,-5.154165649E1,3.592895508E0,3.176467896E0
2.039165083E0,-5.096868896E1,5.156433105E0,6.581100464E0
2.059222083E0,-4.989520264E1,7.209442139E0,1.059162903E1
2.079279083E0,-4.852304077E1,9.428649902E0,1.361929321E1
2.099336083E0,-4.718481445E1,1.109228516E1,1.559053040E1
2.119393083E0,-4.647845459E1,1.298471069E1,1.654034424E1
2.139450083E0,-4.541061401E1,1.500988770E1,1.703681946E1
2.159507083E0,-4.440054321E1,1.671417236E1,1.785147095E1
2.179564083E0,-4.240496826E1,1.871838379E1,1.954299927E1
2.199621083E0,-4.019903564E1,2.083236694E1,2.174252319E1
2.219679083E0,-3.733044434E1,2.321560669E1,2.318545532E1
2.239736083E0,-3.477581787E1,2.502191162E1,2.495214844E1
2.259793083E0,-3.343283081E1,2.555810547E1,2.564541626E1
2.279850083E0,-3.155316162E1,2.654351807E1,2.635025024E1
2.299907083E0,-3.057092285E1,2.731567383E1,2.601248169E1
2.319964083E0,-3.063360596E1,2.785165405E1,2.479417419E1
2.340021083E0,-3.117388916E1,2.804776001E1,2.335287476E1
2.360078083E0,-3.142907715E1,2.814428711E1,2.255361938E1
2.380135083E0,-3.135955811E1,2.810070801E1,2.227546692E1
2.400193083E0,-3.118362427E1,2.820681763E1,2.204412842E1
2.420250083E0,-3.135458374E1,2.832092285E1,2.153431702E1
2.440307083E0,-3.169598389E1,2.847839355E1,2.160169983E1
2.460364083E0,-3.179324341E1,2.858486938E1,2.160600281E1
2.480421083E0,-3.156494141E1,2.858843994E1,2.196673584E1
2.500478083E0,-3.067742920E1,2.890646362E1,2.287348938E1
2.520535083E0,-2.935742188E1,2.930056763E1,2.407894897E1
2.540592083E0,-2.825561523E1,2.934704590E1,2.523376465E1
2.560649083E0,-2.812304688E1,2.904318237E1,2.590179443E1
2.580707083E0,-2.826477051E1,2.867877197E1,2.574194336E1
2.600764083E0,-2.819073486E1,2.842761230E1,2.616996765E1
2.620821083E0,-2.764813232E1,2.799722290E1,2.700430298E1
2.640878083E0,-2.715133667E1,2.771533203E1,2.801695251E1
2.660935083E0,-2.732943726E1,2.740463257E1,2.812124634E1
2.680992083E0,-2.711346436E1,2.708209229E1,2.832472229E1
2.701049083E0,-2.633169556E1,2.691482544E1,2.908106995E1
2.721106083E0,-2.527984619E1,2.696163940E1,2.991642761E1
2.741163708E0,-2.475781250E1,2.703121948E1,3.029389954E1
2.761220708E0,-2.375735474E1,2.728494263E1,3.092956543E1
2.781278708E0,-2.271011353E1,2.748242188E1,3.166184998E1
2.801335708E0,-2.196148682E1,2.764245605E1,3.211363220E1
2.821392708E0,-2.157708740E1,2.733044434E1,3.251345825E1
2.841449708E0,-2.029730225E1,2.735720825E1,3.326002502E1
2.861506708E0,-1.905673218E1,2.793405151E1,3.360578918E1
2.881563708E0,-1.671923828E1,2.889825439E1,3.390882874E1
2.901620708E0,-1.395965576E1,2.956643677E1,3.499081421E1
2.921677708E0,-1.148034668E1,3.022903442E1,3.520906067E1
2.941734708E0,-9.739318848E0,3.034887695E1,3.574450684E1
2.961792708E0,-9.358337402E0,3.023364258E1,3.605058289E1
2.981849708E0,-9.480529785E0,2.958139038E1,3.657960510E1
3.001906708E0,-9.147064209E0,2.947760010E1,3.726358032E1
3.021963708E0,-8.456939697E0,2.907183838E1,3.788816833E1
3.042020708E0,-7.700073242E0,2.903616333E1,3.846559143E1
3.062077708E0,-6.665435791E0,2.872430420E1,3.921801758E1
3.082134708E0,-5.424530029E0,2.899975586E1,3.959013367E1
